date,adjusted_close,close,volume
2020-10-19,3.42,4.6,5996084
2020-10-22,3.42,4.6,5996084
2020-10-25,3.2,4.3,3486048
2020-10-26,3.02,4.06,9275115
2020-10-27,3.09,4.15,3495654
2020-10-28,2.99,4.01,3213654
2020-10-29,2.93,3.93,5021922
2020-11-01,3.02,4.06,2521423
2020-11-02,2.94,3.95,2181633
2020-11-03,3.01,4.04,6004031
2020-11-04,3.16,4.25,3143956
2020-11-05,3.22,4.32,2885812
2020-11-08,3.28,4.4,2897326
2020-11-09,3.2,4.3,1221296
2020-11-10,3.19,4.28,4301488
2020-11-11,3.25,4.36,3547608
2020-11-12,3.13,4.21,2679932
2020-11-15,3.18,4.27,32531
2020-11-16,3.14,4.22,4018195
2020-11-17,3.11,4.18,5247602
2020-11-18,3.16,4.24,1939983
2020-11-19,3.17,4.26,1191297
2020-11-22,3.25,4.36,1846056
2020-11-23,3.37,4.52,2785229
2020-11-24,3.34,4.48,949848
2020-11-25,3.35,4.5,853952
2020-11-26,3.46,4.65,2347642
2020-11-29,3.42,4.6,5124065
2020-11-30,3.42,4.6,2334938
2020-12-01,3.54,4.76,2427546
2020-12-02,3.71,4.98,1831138
2020-12-03,3.82,5.13,1805715
2020-12-06,3.91,5.25,1766489
2020-12-07,3.81,5.12,2101864
2020-12-08,3.78,5.08,2914306
2020-12-09,3.7,4.97,2671362
2020-12-10,3.72,5,1839994
2020-12-13,3.58,4.81,2209285
2020-12-14,3.43,4.61,4393929
2020-12-15,3.4,4.57,5797064
2020-12-16,3.46,4.65,3113419
2020-12-17,3.53,4.74,4910468
2020-12-20,3.68,4.94,1416138
2020-12-21,3.6,4.83,2171609
2020-12-22,3.57,4.8,1238095
2020-12-23,3.6,4.83,318742
2020-12-28,3.6,4.83,978026
2020-12-29,3.59,4.82,1202423
2020-12-30,3.57,4.8,562154
2021-01-03,3.61,4.85,408011
2021-01-04,3.63,4.88,1156789
2021-01-05,3.54,4.76,2142198
2021-01-06,3.63,4.87,1270954
2021-01-07,3.48,4.68,1018780
2021-01-10,3.45,4.64,1104354
2021-01-11,3.43,4.61,1077844
2021-01-12,3.41,4.58,1106288
2021-01-13,3.37,4.53,994755
2021-01-14,3.29,4.42,3181902
2021-01-17,3.27,4.39,1520875
2021-01-18,3.38,4.54,993046
2021-01-19,3.33,4.47,2161935
2021-01-20,3.43,4.61,1976988
2021-01-21,3.45,4.64,1212352
2021-01-24,3.52,4.73,516360
2021-01-25,3.21,4.31,8943469
2021-01-26,3.35,4.5,2114195
2021-01-27,3.29,4.42,1905483
2021-01-28,3.21,4.31,4407431
2021-01-31,3.23,4.34,1852061
2021-02-01,3.27,4.39,1189546
2021-02-02,3.3,4.43,2200679
2021-02-03,3.28,4.41,2041219
2021-02-04,3.31,4.44,2654906
2021-02-07,3.33,4.47,3910308
2021-02-08,3.39,4.55,1208900
2021-02-09,3.38,4.54,3018271
2021-02-10,3.37,4.53,1305691
2021-02-11,3.35,4.5,1828830
2021-02-14,3.39,4.56,480552
2021-02-15,3.45,4.64,1416063
2021-02-16,3.4,4.57,1725272
2021-02-17,3.5,4.7,839024
2021-02-18,3.43,4.61,1149653
2021-02-21,3.5,4.7,1127838
2021-02-22,3.57,4.8,2481801
2021-02-23,3.45,4.64,1283513
2021-02-24,3.36,4.51,1615658
2021-02-25,3.39,4.55,2749273
2021-02-28,3.34,4.48,6421894
2021-03-01,3.34,4.49,3308153
2021-03-02,3.22,4.33,1634307
2021-03-03,3.15,4.23,1696076
2021-03-04,3.13,4.2,2189621
2021-03-07,3.16,4.25,737894
2021-03-08,3.09,4.15,1685794
2021-03-09,3.08,4.14,2046133
2021-03-10,3.07,4.13,952688
2021-03-11,3.1,4.16,928723
2021-03-14,3.09,4.15,1214640
2021-03-15,3.11,4.15,2038464
2021-03-16,3.03,4.05,1704221
2021-03-17,3,4,3040088
2021-03-18,2.94,3.93,4827776
2021-03-21,2.9,3.87,1287000
2021-03-22,2.91,3.89,1829154
2021-03-23,2.92,3.9,904892
2021-03-24,2.94,3.92,767488
2021-03-25,2.94,3.92,1478081
2021-03-28,2.98,3.98,597042
2021-03-29,2.97,3.96,1263490
2021-03-30,2.94,3.92,1667711
2021-03-31,3,4,402095
2021-04-05,3.08,4.11,4586144
2021-04-06,3.01,4.02,1724205
2021-04-07,3,4,935418
2021-04-08,3.12,4.17,1303485
2021-04-09,3.08,4.11,623036
2021-04-12,3.04,4.06,556590
2021-04-13,3.07,4.1,617205
2021-04-14,3.09,4.13,901527
2021-04-15,3.12,4.17,793367
2021-04-16,3.08,4.11,649574
2021-04-19,3.08,4.11,761116
2021-04-20,3.07,4.1,1107214
2021-04-21,3.13,4.18,1851708
2021-04-22,3.27,4.36,2754520
2021-04-23,3.26,4.35,1554224
2021-04-26,3.21,4.28,759075
2021-04-27,3.32,4.43,1767273
2021-04-28,3.3,4.41,1248799
2021-04-29,3.3,4.4,964097
2021-04-30,3.27,4.37,991036
2021-05-03,3.26,4.35,469402
2021-05-04,3.28,4.38,1060160
2021-05-05,3.3,4.4,1367719
2021-05-06,3.26,4.35,1319906
2021-05-07,3.3,4.4,1161677
2021-05-10,3.36,4.49,2205944
2021-05-11,3.34,4.46,1881861
2021-05-12,3.34,4.46,1173054
2021-05-13,3.36,4.48,1904501
2021-05-14,3.32,4.43,5165776
2021-05-17,3.31,4.42,612257
2021-05-18,3.38,4.51,1616889
2021-05-19,3.27,4.36,1714260
2021-05-20,3.3,4.41,2274854
2021-05-21,3.26,4.35,1410199
2021-05-24,3.15,4.2,1644679
2021-05-25,3.15,4.2,1099011
2021-05-26,3.1,4.14,1175000
2021-05-27,3.08,4.11,1717360
2021-05-28,3.14,4.19,1819483
2021-05-31,3.15,4.2,863443
2021-06-01,3.19,4.26,1304290
2021-06-02,3.3,4.41,1728667
2021-06-03,3.39,4.53,1778251
2021-06-04,3.24,4.32,3028788
2021-06-07,3.21,4.28,3816700
2021-06-08,3.25,4.34,869187
2021-06-09,3.22,4.3,1344797
2021-06-10,3.27,4.37,2459228
2021-06-11,3.39,4.52,1649833
2021-06-14,3.42,4.57,6824687
2021-06-15,3.42,4.57,1308418
2021-06-16,3.41,4.56,2011449
2021-06-17,3.4,4.54,1787452
2021-06-18,3.42,4.57,1717368
2021-06-21,3.32,4.43,1147202
2021-06-22,3.3,4.4,1234157
2021-06-23,3.31,4.42,777809
2021-06-24,3.31,4.42,1409460
2021-06-25,3.37,4.5,619169
2021-06-28,3.39,4.52,835421
2021-06-29,3.36,4.48,1129151
2021-06-30,3.37,4.5,528542
2021-07-01,3.32,4.43,974778
2021-07-02,3.3,4.4,1603795
2021-07-05,3.22,4.3,2142037
2021-07-06,3.18,4.24,1587200
2021-07-07,3.16,4.22,868941
2021-07-08,3.21,4.29,1047822
2021-07-09,3.23,4.31,1024168
2021-07-12,3.29,4.39,398534
2021-07-13,3.25,4.34,586318
2021-07-14,3.24,4.33,1318078
2021-07-15,3.24,4.32,1656013
2021-07-16,3.3,4.4,3367654
2021-07-19,3.41,4.55,6029588
2021-07-20,3.39,4.52,3588610
2021-07-21,3.48,4.65,4090801
2021-07-22,3.57,4.77,3162397
2021-07-23,3.58,4.78,1742786
2021-07-26,3.64,4.86,640214
2021-07-27,3.52,4.7,2102113
2021-07-28,3.48,4.65,1423041
2021-07-29,3.49,4.66,1596661
2021-07-30,3.5,4.67,1810275
2021-08-02,3.43,4.58,1334653
2021-08-03,3.4,4.54,1509908
2021-08-04,3.39,4.53,835897
2021-08-05,3.36,4.48,1845438
2021-08-06,3.39,4.52,897137
2021-08-09,3.39,4.52,534125
2021-08-10,3.33,4.45,858140
2021-08-11,3.38,4.51,1037187
2021-08-12,3.42,4.57,1261947
2021-08-13,3.41,4.55,585264
2021-08-16,3.27,4.37,1103849
2021-08-17,3.23,4.31,1333593
2021-08-18,3.3,4.41,1916786
2021-08-19,3.12,4.17,3832734
2021-08-20,3.15,4.2,2758754
2021-08-23,3.09,4.12,3375064
2021-08-24,3.15,4.21,1995808
2021-08-25,3.3,4.41,2466616
2021-08-26,3.24,4.33,1775520
2021-08-27,3.21,4.28,1626270
2021-08-30,3.24,4.32,1587035
2021-08-31,3.26,4.35,1866669
2021-09-01,3.2,4.27,1749029
2021-09-02,3.17,4.12,3576291
2021-09-03,3.25,4.22,2887921
2021-09-06,3.16,4.11,1657431
2021-09-07,3.11,4.04,1529799
2021-09-08,3.1,4.03,2198338
2021-09-09,3.03,3.94,2570062
2021-09-10,3.08,4,2246537
2021-09-13,3.03,3.94,2447735
2021-09-14,3.01,3.91,2959462
2021-09-15,2.97,3.86,2078730
2021-09-16,2.97,3.86,3135961
2021-09-17,2.89,3.75,11894126
2021-09-20,2.85,3.7,3158934
2021-09-21,2.86,3.72,3931097
2021-09-22,2.99,3.88,3031232
2021-09-23,3.02,3.92,2985475
2021-09-24,2.93,3.81,1462161
2021-09-27,2.92,3.8,1708647
2021-09-28,2.83,3.68,2338179
2021-09-29,2.81,3.65,4014174
2021-09-30,2.92,3.79,2621647
2021-10-01,2.81,3.65,3183749
2021-10-03,2.82,3.66,1773540
2021-10-04,2.79,3.62,2748592
2021-10-05,2.76,3.58,4551410
2021-10-06,2.8,3.64,2754360
2021-10-07,2.9,3.77,3188545
2021-10-10,2.89,3.75,2544228
