date,adjusted_close,close,volume
2016-01-07,0.71,0.71,195327
2016-01-10,0.69,0.69,124633
2016-01-11,0.68,0.68,89278
2016-01-12,0.77,0.77,438040
2016-01-13,0.75,0.75,163541
2016-01-14,0.77,0.77,506425
2016-01-17,0.73,0.73,257441
2016-01-18,0.73,0.73,71524
2016-01-19,0.71,0.71,282870
2016-01-20,0.7,0.7,227008
2016-01-21,0.72,0.72,66793
2016-01-24,0.75,0.75,100962
2016-01-26,0.81,0.81,273894
2016-01-27,0.86,0.86,468471
2016-01-28,0.82,0.82,324948
2016-01-31,0.79,0.79,248072
2016-02-01,0.79,0.79,128589
2016-02-02,0.76,0.76,436542
2016-02-03,0.75,0.75,167554
2016-02-04,0.69,0.69,171262
2016-02-07,0.7,0.7,311750
2016-02-08,0.69,0.69,665151
2016-02-09,0.56,0.56,1051425
2016-02-10,0.61,0.61,444305
2016-02-11,0.6,0.6,641663
2016-02-14,0.55,0.55,339916
2016-02-15,0.58,0.58,119327
2016-02-16,0.64,0.64,427342
2016-02-17,0.68,0.68,487183
2016-02-18,0.65,0.65,83510
2016-02-21,0.59,0.59,679293
2016-02-22,0.66,0.66,378503
2016-02-23,0.6,0.6,227093
2016-02-24,0.61,0.61,412311
2016-02-25,0.63,0.63,359628
2016-02-28,0.66,0.66,502846
2016-02-29,0.69,0.69,332717
2016-03-01,0.67,0.67,334581
2016-03-02,0.67,0.67,470823
2016-03-03,0.68,0.68,206621
2016-03-06,0.62,0.62,317683
2016-03-07,0.65,0.65,595078
2016-03-08,0.67,0.67,663041
2016-03-09,0.65,0.65,156863
2016-03-10,0.67,0.67,244015
2016-03-13,0.64,0.64,37235
2016-03-14,0.63,0.63,126569
2016-03-15,0.63,0.63,193412
2016-03-16,0.67,0.67,93518
2016-03-17,0.65,0.65,356397
2016-03-20,0.62,0.62,223475
2016-03-21,0.61,0.61,201213
2016-03-22,0.6,0.6,145896
2016-03-23,0.61,0.61,60171
2016-03-28,0.6,0.6,98057
2016-03-29,0.62,0.62,335512
2016-03-30,0.6,0.6,174320
2016-03-31,0.58,0.58,53495
2016-04-01,0.52,0.52,4081412
2016-04-04,0.56,0.56,134957
2016-04-05,0.55,0.55,215638
2016-04-06,0.54,0.54,224850
2016-04-07,0.59,0.59,607305
2016-04-08,0.55,0.55,159683
2016-04-11,0.56,0.56,162189
2016-04-12,0.52,0.52,187244
2016-04-13,0.54,0.54,129760
2016-04-14,0.53,0.53,24200
2016-04-15,0.56,0.56,79500
2016-04-18,0.56,0.56,112817
2016-04-19,0.52,0.52,160363
2016-04-20,0.51,0.51,278761
2016-04-21,0.51,0.51,322654
2016-04-22,0.51,0.51,226673
2016-04-26,0.51,0.51,134029
2016-04-27,0.49,0.49,78872
2016-04-28,0.51,0.51,337960
2016-04-29,0.52,0.52,450462
2016-05-01,0.58,0.58,5511143
2016-05-02,0.48,0.48,100861
2016-05-03,0.5,0.5,204313
2016-05-04,0.5,0.5,40000
2016-05-05,0.44,0.44,158282
2016-05-06,0.48,0.48,358124
2016-05-09,0.43,0.43,56896
2016-05-10,0.48,0.48,340377
2016-05-11,0.49,0.49,312152
2016-05-12,0.53,0.53,139230
2016-05-13,0.6,0.6,709758
