date,adjusted_close,close,volume
2016-01-07,0.29,0.29,0
2016-01-10,0.29,0.29,0
2016-01-11,0.29,0.29,0
2016-01-12,0.29,0.29,410
2016-01-13,0.29,0.29,23475
2016-01-14,0.29,0.29,0
2016-01-17,0.29,0.29,0
2016-01-18,0.29,0.29,0
2016-01-19,0.29,0.29,0
2016-01-20,0.29,0.29,0
2016-01-21,0.29,0.29,0
2016-01-24,0.29,0.29,0
2016-01-26,0.29,0.29,0
2016-01-27,0.29,0.29,0
2016-01-28,0.29,0.29,0
2016-01-31,0.29,0.29,0
2016-02-01,0.29,0.29,0
2016-02-02,0.29,0.29,0
2016-02-03,0.29,0.29,0
2016-02-04,0.29,0.29,0
2016-02-07,0.29,0.29,0
2016-02-08,0.29,0.29,1985
2016-02-09,0.29,0.29,0
2016-02-10,0.29,0.29,0
2016-02-11,0.29,0.29,0
2016-02-14,0.29,0.29,0
2016-02-15,0.29,0.29,0
2016-02-16,0.29,0.29,0
2016-02-17,0.23,0.23,47558
2016-02-18,0.23,0.23,32788
2016-02-21,0.23,0.23,0
2016-02-22,0.23,0.23,1892
2016-02-23,0.23,0.23,3452
2016-02-24,0.23,0.23,0
2016-02-25,0.23,0.23,0
2016-02-28,0.23,0.23,4885
2016-02-29,0.23,0.23,0
2016-03-01,0.23,0.23,4330
2016-03-02,0.23,0.23,5459
2016-03-03,0.17,0.17,3128
2016-03-06,0.23,0.23,17238
2016-03-07,0.23,0.23,0
2016-03-08,0.23,0.23,0
2016-03-09,0.23,0.23,0
2016-03-10,0.23,0.23,1795
2016-03-13,0.23,0.23,0
2016-03-14,0.23,0.23,1428
2016-03-15,0.23,0.23,0
2016-03-16,0.29,0.29,34345
2016-03-17,0.23,0.23,114141
2016-03-20,0.23,0.23,0
2016-03-21,0.23,0.23,0
2016-03-22,0.23,0.23,0
2016-03-23,0.23,0.23,0
2016-03-28,0.23,0.23,0
2016-03-29,0.23,0.23,2856
2016-03-30,0.17,0.17,13743
2016-03-31,0.23,0.23,1246
2016-04-01,0.41,0.41,271955
2016-04-04,0.23,0.23,0
2016-04-05,0.23,0.23,0
2016-04-06,0.23,0.23,0
2016-04-07,0.23,0.23,0
2016-04-08,0.23,0.23,0
2016-04-11,0.23,0.23,0
2016-04-12,0.17,0.17,3279
2016-04-13,0.17,0.17,0
2016-04-14,0.23,0.23,15636
2016-04-15,0.23,0.23,0
2016-04-18,0.23,0.23,91423
2016-04-19,0.23,0.23,0
2016-04-20,0.35,0.35,64481
2016-04-21,0.35,0.35,1726
2016-04-22,0.35,0.35,0
2016-04-26,0.35,0.35,4505
2016-04-27,0.35,0.35,3452
2016-04-28,0.35,0.35,0
2016-04-29,0.41,0.41,86207
2016-05-01,0.41,0.41,789346
2016-05-02,0.35,0.35,4155
2016-05-03,0.41,0.41,169791
2016-05-04,0.35,0.35,21145
2016-05-05,0.35,0.35,34504
2016-05-06,0.35,0.35,26823
2016-05-09,0.35,0.35,0
2016-05-10,0.35,0.35,0
2016-05-11,0.29,0.29,71709
2016-05-12,0.29,0.29,0
2016-05-13,0.29,0.29,8803
2016-05-16,0.35,0.35,63005
2016-05-17,0.35,0.35,3281
2016-05-18,0.35,0.35,21836
2016-05-19,0.35,0.35,53194
2016-05-20,0.35,0.35,536
2016-05-23,0.35,0.35,60295
2016-05-24,0.35,0.35,59417
2016-05-25,0.29,0.29,42590
2016-05-26,0.29,0.29,0
2016-05-27,0.29,0.29,0
2016-05-30,0.41,0.41,80187
2016-05-31,0.41,0.41,68075
2016-06-01,0.41,0.41,55735
2016-06-02,0.41,0.41,15445
2016-06-03,0.41,0.41,4711
2016-06-06,0.46,0.46,206262
2016-06-07,0.58,0.58,423519
2016-06-08,0.58,0.58,63523
2016-06-09,0.52,0.52,70629
2016-06-10,0.52,0.52,25863
2016-06-14,0.52,0.52,50137
2016-06-15,0.52,0.52,6736
2016-06-16,0.52,0.52,1972
2016-06-17,0.46,0.46,92762
2016-06-20,0.46,0.46,0
2016-06-21,0.41,0.41,28464
2016-06-22,0.35,0.35,173308
2016-06-23,0.35,0.35,1726
2016-06-24,0.35,0.35,64876
2016-06-27,0.29,0.29,15758
2016-06-28,0.35,0.35,27791
2016-06-29,0.35,0.35,24815
2016-06-30,0.35,0.35,212
2016-07-01,0.41,0.41,7596
2016-07-04,0.46,0.46,332392
2016-07-05,0.46,0.46,165285
2016-07-06,0.52,0.52,48692
2016-07-07,0.52,0.52,69306
2016-07-08,0.52,0.52,13377
2016-07-11,0.58,0.58,10702
2016-07-12,0.52,0.52,15724
2016-07-13,0.52,0.52,1787
2016-07-14,0.52,0.52,9493
2016-07-15,0.52,0.52,0
2016-07-18,0.52,0.52,924
2016-07-19,0.52,0.52,23915
2016-07-20,0.46,0.46,74555
2016-07-21,0.46,0.46,0
2016-07-22,0.46,0.46,0
2016-07-25,0.46,0.46,0
2016-07-26,0.46,0.46,0
2016-07-27,0.52,0.52,200656
2016-07-28,0.52,0.52,58128
2016-07-29,0.52,0.52,84836
2016-08-01,0.58,0.58,122583
2016-08-02,0.58,0.58,60918
2016-08-03,0.58,0.58,83154
2016-08-04,0.52,0.52,109036
2016-08-05,0.45,0.45,14641
2016-08-08,0.51,0.51,41814
2016-08-09,0.51,0.51,58061
2016-08-10,0.51,0.51,0
2016-08-11,0.51,0.51,172395
2016-08-12,0.51,0.51,61569
2016-08-15,0.51,0.51,0
2016-08-16,0.45,0.45,64092
2016-08-17,0.45,0.45,0
2016-08-18,0.45,0.45,28112
2016-08-19,0.45,0.45,0
2016-08-22,0.45,0.45,2654
2016-08-23,0.45,0.45,2342
2016-08-24,0.45,0.45,25821
2016-08-25,0.45,0.45,25611
2016-08-26,0.45,0.45,39552
2016-08-29,0.45,0.45,0
2016-08-30,0.51,0.51,99391
2016-08-31,0.45,0.45,257550
2016-09-01,0.38,0.38,80581
2016-09-02,0.45,0.45,278553
2016-09-05,0.51,0.51,49976
2016-09-06,0.51,0.51,4372
2016-09-07,0.51,0.51,268600
2016-09-08,0.51,0.51,130598
2016-09-09,0.51,0.51,9439
2016-09-12,0.51,0.51,115262
2016-09-13,0.51,0.51,31829
2016-09-14,0.77,0.77,349917
2016-09-15,0.7,0.7,275988
2016-09-16,0.77,0.77,272351
2016-09-19,0.77,0.77,113785
2016-09-20,0.9,0.9,338296
2016-09-21,0.77,0.77,419093
2016-09-22,0.77,0.77,78293
2016-09-23,0.7,0.7,52239
2016-09-26,0.7,0.7,91442
2016-09-27,0.7,0.7,97099
2016-09-28,0.7,0.7,110428
2016-09-29,0.7,0.7,20866
2016-09-30,0.77,0.77,150478
2016-10-01,0.58,0.58,1840325
2016-10-02,0.77,0.77,60559
2016-10-03,0.7,0.7,88808
2016-10-04,0.7,0.7,63204
2016-10-05,0.7,0.7,43640
2016-10-06,0.7,0.7,45907
2016-10-09,0.64,0.64,200947
2016-10-10,0.58,0.58,61690
2016-10-11,0.7,0.7,95661
2016-10-12,0.64,0.64,65104
2016-10-13,0.64,0.64,23426
2016-10-16,0.58,0.58,25647
2016-10-17,0.51,0.51,81368
2016-10-18,0.58,0.58,54255
2016-10-19,0.7,0.7,474349
2016-10-20,0.64,0.64,273207
2016-10-23,0.58,0.58,101196
2016-10-24,0.58,0.58,0
2016-10-25,0.58,0.58,19823
2016-10-26,0.58,0.58,0
2016-10-27,0.58,0.58,44575
2016-10-30,0.58,0.58,16959
2016-10-31,0.58,0.58,12181
2016-11-01,0.58,0.58,7081
2016-11-02,0.58,0.58,481121
2016-11-03,0.51,0.51,52693
2016-11-06,0.58,0.58,7808
2016-11-07,0.58,0.58,61560
2016-11-08,0.51,0.51,205259
2016-11-09,0.64,0.64,68774
2016-11-10,0.58,0.58,7183
2016-11-13,0.64,0.64,2342
2016-11-14,0.58,0.58,25865
2016-11-15,0.58,0.58,157552
2016-11-16,0.58,0.58,0
2016-11-17,0.58,0.58,34073
2016-11-20,0.58,0.58,7595
2016-11-21,0.64,0.64,65119
2016-11-22,0.58,0.58,71746
2016-11-23,0.58,0.58,16086
2016-11-24,0.51,0.51,24351
2016-11-27,0.51,0.51,28019
2016-11-28,0.58,0.58,114971
2016-11-29,0.58,0.58,0
2016-11-30,0.51,0.51,7028
2016-12-01,0.51,0.51,6286
2016-12-04,0.51,0.51,224777
2016-12-05,0.51,0.51,73606
2016-12-06,0.51,0.51,15367
2016-12-07,0.51,0.51,1796
2016-12-08,0.51,0.51,35897
2016-12-11,0.51,0.51,22864
2016-12-12,0.45,0.45,1952
2016-12-13,0.45,0.45,0
2016-12-14,0.51,0.51,4685
2016-12-15,0.51,0.51,33508
2016-12-18,0.51,0.51,24207
2016-12-19,0.51,0.51,49092
2016-12-20,0.51,0.51,0
2016-12-21,0.51,0.51,0
2016-12-22,0.51,0.51,0
2016-12-27,0.51,0.51,3123
2016-12-28,0.51,0.51,486
2016-12-29,0.51,0.51,0
2017-01-01,0.45,0.45,586658
2017-01-02,0.45,0.45,18200
2017-01-03,0.45,0.45,27018
2017-01-04,0.51,0.51,10293
2017-01-05,0.45,0.45,15617
2017-01-08,0.45,0.45,0
2017-01-09,0.45,0.45,5268
2017-01-10,0.51,0.51,93831
2017-01-11,0.51,0.51,114298
2017-01-12,0.51,0.51,54769
2017-01-15,0.45,0.45,9589
2017-01-16,0.45,0.45,28580
2017-01-17,0.45,0.45,3904
2017-01-18,0.45,0.45,0
2017-01-19,0.45,0.45,0
2017-01-22,0.45,0.45,7900
2017-01-23,0.45,0.45,0
2017-01-24,0.45,0.45,31627
2017-01-26,0.45,0.45,87741
2017-01-29,0.45,0.45,4826
2017-01-30,0.45,0.45,73197
2017-01-31,0.45,0.45,7138
2017-02-01,0.45,0.45,174919
2017-02-02,0.45,0.45,39018
2017-02-05,0.45,0.45,16929
2017-02-06,0.45,0.45,0
2017-02-07,0.45,0.45,9208
2017-02-08,0.45,0.45,20141
2017-02-09,0.45,0.45,20194
2017-02-12,0.45,0.45,31235
2017-02-13,0.45,0.45,0
2017-02-14,0.45,0.45,0
2017-02-15,0.64,0.64,604352
2017-02-16,0.7,0.7,1410943
2017-02-19,0.64,0.64,222542
2017-02-20,0.64,0.64,271598
2017-02-21,0.64,0.64,7608
2017-02-22,0.64,0.64,49705
2017-02-23,0.64,0.64,47470
2017-02-26,0.64,0.64,148941
2017-02-27,0.58,0.58,20303
2017-02-28,0.58,0.58,143565
2017-03-01,0.58,0.58,16479
2017-03-02,0.58,0.58,32527
2017-03-05,0.58,0.58,4252
2017-03-06,0.51,0.51,17651
2017-03-07,0.51,0.51,2264
2017-03-08,0.51,0.51,0
2017-03-09,0.51,0.51,85826
2017-03-12,0.51,0.51,0
2017-03-13,0.51,0.51,16311
2017-03-14,0.51,0.51,11020
2017-03-15,0.51,0.51,48962
2017-03-16,0.51,0.51,99458
2017-03-19,0.51,0.51,0
2017-03-20,0.51,0.51,55680
2017-03-21,0.51,0.51,14056
2017-03-22,0.51,0.51,0
2017-03-23,0.51,0.51,0
2017-03-26,0.51,0.51,10088
2017-03-27,0.51,0.51,0
2017-03-28,0.58,0.58,3904
2017-03-29,0.58,0.58,12189
