date,adjusted_close,close,volume
2016-01-07,1.09,2.03,81336
2016-01-10,1.09,2.03,72086
2016-01-11,1.1,2.05,168822
2016-01-12,1.1,2.05,63289
2016-01-13,1.07,1.99,54459
2016-01-14,1.07,2,265213
2016-01-17,1.09,2.03,138263
2016-01-18,1.07,1.99,47658
2016-01-19,1.08,2.01,28380
2016-01-20,1.07,2,108667
2016-01-21,1.08,2.01,83584
2016-01-24,1.07,1.99,27505
2016-01-26,1.07,2,41558
2016-01-27,1.08,2.01,140584
2016-01-28,1.08,2.01,64488
2016-01-31,1.07,1.99,22091
2016-02-01,1.07,2,31579
2016-02-02,1.06,1.98,93501
2016-02-03,1.06,1.98,36844
2016-02-04,1.07,1.99,31222
2016-02-07,1.07,1.99,32882
2016-02-08,1.08,2.01,60547
2016-02-09,1.07,1.99,126780
2016-02-10,1.07,1.99,88336
2016-02-11,1.08,2.01,182065
2016-02-14,1.08,2.01,107342
2016-02-15,1.13,2.11,103510
2016-02-16,1.09,2.03,36391
2016-02-17,1.09,2.04,102921
2016-02-18,1.08,2.02,60871
2016-02-21,1.09,2.04,129219
2016-02-22,1.12,2.08,78306
2016-02-23,1.13,2.11,87538
2016-02-24,1.1,2.05,174221
2016-02-25,1.08,2.02,38517
2016-02-28,1.12,2.09,156314
2016-02-29,1.09,2.04,26424
2016-03-01,1.1,2.05,17867
2016-03-02,1.1,2.06,183881
2016-03-03,1.11,2.08,45611
2016-03-06,1.09,2.04,53386
2016-03-07,1.07,2,97446
2016-03-08,1.07,2,53604
2016-03-09,1.09,2.04,27334
2016-03-10,1.09,2.03,64602
2016-03-13,1.09,2.04,32489
2016-03-14,1.08,2.02,77140
2016-03-15,1.1,2.06,382411
2016-03-16,1.1,2.06,91800
2016-03-17,1.1,2.06,267861
2016-03-20,1.1,2.06,23937
2016-03-21,1.1,2.05,81436
2016-03-22,1.08,2.02,93593
2016-03-23,1.11,2.07,24184
2016-03-28,1.1,2.06,24388
2016-03-29,1.09,2.04,60474
2016-03-30,1.08,2.01,134617
2016-03-31,1.08,2.01,73201
2016-04-01,1.1,2.05,1533964
2016-04-04,1.08,2.02,103576
2016-04-05,1.09,2.03,18797
2016-04-06,1.09,2.03,64980
2016-04-07,1.09,2.03,47314
2016-04-08,1.08,2.02,48057
2016-04-11,1.09,2.03,32074
2016-04-12,1.09,2.03,34384
2016-04-13,1.08,2.01,51471
2016-04-14,1.09,2.04,45982
2016-04-15,1.08,2.01,21231
2016-04-18,1.09,2.03,178400
2016-04-19,1.08,2.02,36505
2016-04-20,1.07,2,183463
2016-04-21,1.08,2.01,56715
2016-04-22,1.08,2.01,69578
2016-04-26,1.08,2.01,59149
2016-04-27,1.08,2.02,107844
2016-04-28,1.09,2.03,230469
2016-04-29,1.1,2.05,70774
2016-05-01,1.11,2.07,3733116
2016-05-02,1.08,2.01,100143
2016-05-03,1.09,2.04,170108
2016-05-04,1.1,2.06,95656
2016-05-05,1.12,2.08,234404
2016-05-06,1.12,2.08,76663
2016-05-09,1.1,2.06,93653
2016-05-10,1.12,2.08,57171
2016-05-11,1.12,2.08,16113
2016-05-12,1.1,2.06,124443
