date,adjusted_close,close,volume
2021-11-22,1.05,1.05,14307533
2021-11-23,1.03,1.03,10781192
2021-11-24,1.04,1.04,2303000
2021-11-25,1.05,1.05,1223341
2021-11-28,1.03,1.03,938268
2021-11-29,1.05,1.05,573257
2021-11-30,1.03,1.03,333761
2021-12-01,1.02,1.02,196265
2021-12-02,1.02,1.02,329046
2021-12-05,0.99,0.99,819151
2021-12-06,0.95,0.95,652870
2021-12-07,0.99,0.99,186538
2021-12-08,0.94,0.94,209334
2021-12-09,0.97,0.97,154900
2021-12-12,0.96,0.96,178903
2021-12-13,0.94,0.94,143656
2021-12-14,0.92,0.92,146749
2021-12-15,0.94,0.94,84129
2021-12-16,0.91,0.91,531442
2021-12-19,0.88,0.88,283365
2021-12-20,0.87,0.87,191536
2021-12-21,0.87,0.87,220031
2021-12-22,0.84,0.84,194409
2021-12-23,0.84,0.84,27417
2021-12-27,0.83,0.83,650432
2021-12-28,0.84,0.84,149503
2021-12-29,0.89,0.89,49675
2021-12-30,0.83,0.83,451254
2022-01-03,0.82,0.82,179643
2022-01-04,0.86,0.86,171722
2022-01-05,0.85,0.85,139029
2022-01-06,0.84,0.84,85375
2022-01-09,0.82,0.82,98883
2022-01-10,0.79,0.79,569313
2022-01-11,0.78,0.78,442786
2022-01-12,0.8,0.8,214786
2022-01-13,0.78,0.78,62651
2022-01-16,0.77,0.77,218475
2022-01-17,0.77,0.77,237386
2022-01-18,0.77,0.77,166326
2022-01-19,0.76,0.76,69591
2022-01-20,0.73,0.73,393823
2022-01-23,0.68,0.68,360641
2022-01-24,0.65,0.65,471840
2022-01-26,0.64,0.64,173725
2022-01-27,0.68,0.68,186806
2022-01-30,0.66,0.66,162254
2022-01-31,0.7,0.7,180763
2022-02-01,0.8,0.8,293861
2022-02-02,0.75,0.75,188345
2022-02-03,0.71,0.71,142368
2022-02-06,0.76,0.76,238278
2022-02-07,0.79,0.79,237421
2022-02-08,0.77,0.77,133793
2022-02-09,0.79,0.79,147660
2022-02-10,0.77,0.77,65918
2022-02-13,0.74,0.74,127607
2022-02-14,0.73,0.73,154796
2022-02-15,0.68,0.68,138070
2022-02-16,0.73,0.73,120517
2022-02-17,0.74,0.74,40565
2022-02-20,0.75,0.75,42219
2022-02-21,0.74,0.74,81591
2022-02-22,0.7,0.7,187333
2022-02-23,0.67,0.67,137323
2022-02-24,0.68,0.68,83486
2022-02-27,0.68,0.68,74982
2022-02-28,0.66,0.66,242035
2022-03-01,0.66,0.66,100111
2022-03-02,0.65,0.65,60060
2022-03-03,0.66,0.66,82266
2022-03-06,0.65,0.65,174340
2022-03-07,0.64,0.64,286306
2022-03-08,0.64,0.64,258445
2022-03-09,0.65,0.65,77253
