date,adjusted_close,close,volume
2016-01-07,0.49,0.59,190959
2016-01-10,0.49,0.59,207018
2016-01-11,0.48,0.57,68637
2016-01-12,0.45,0.54,84851
2016-01-13,0.46,0.55,180633
2016-01-14,0.45,0.53,155127
2016-01-17,0.44,0.53,205594
2016-01-18,0.44,0.52,1815425
2016-01-19,0.43,0.52,324849
2016-01-20,0.44,0.52,98581
2016-01-21,0.45,0.54,89674
2016-01-24,0.44,0.52,149882
2016-01-26,0.44,0.52,79074
2016-01-27,0.43,0.52,56493
2016-01-28,0.42,0.5,265167
2016-01-31,0.42,0.51,671939
2016-02-01,0.43,0.51,617142
2016-02-02,0.43,0.51,95332
2016-02-03,0.44,0.52,122757
2016-02-04,0.43,0.51,298887
2016-02-07,0.43,0.52,437148
2016-02-08,0.42,0.51,1760164
2016-02-09,0.43,0.51,325575
2016-02-10,0.43,0.51,5788
2016-02-11,0.42,0.5,192729
2016-02-14,0.42,0.5,479852
2016-02-15,0.39,0.46,710785
2016-02-16,0.41,0.49,584198
2016-02-17,0.43,0.51,360079
2016-02-18,0.47,0.56,1592944
2016-02-21,0.47,0.56,380753
2016-02-22,0.48,0.57,283014
2016-02-23,0.47,0.56,80549
2016-02-24,0.47,0.56,169283
2016-02-25,0.45,0.54,208223
2016-02-28,0.47,0.56,143420
2016-02-29,0.47,0.56,73160
2016-03-01,0.45,0.54,50932
2016-03-02,0.46,0.55,76461
2016-03-03,0.47,0.56,308933
2016-03-06,0.48,0.57,144729
2016-03-07,0.49,0.59,1879575
2016-03-08,0.5,0.6,178877
2016-03-09,0.5,0.6,138545
2016-03-10,0.51,0.61,251505
2016-03-13,0.51,0.61,302043
2016-03-14,0.51,0.61,270688
2016-03-15,0.52,0.62,155107
2016-03-16,0.51,0.61,233118
2016-03-17,0.52,0.62,83628
2016-03-20,0.52,0.63,139653
2016-03-21,0.53,0.64,856263
2016-03-22,0.52,0.62,191328
2016-03-23,0.52,0.62,3639030
2016-03-28,0.51,0.61,63605
2016-03-29,0.49,0.59,170421
2016-03-30,0.51,0.61,130815
2016-03-31,0.5,0.6,46266
2016-04-01,0.52,0.63,3364580
2016-04-04,0.52,0.62,169235
2016-04-05,0.51,0.61,85763
2016-04-06,0.53,0.64,105504
2016-04-07,0.51,0.61,26590
2016-04-08,0.51,0.61,61996
2016-04-11,0.51,0.61,135566
2016-04-12,0.51,0.61,55446
2016-04-13,0.5,0.6,38291
2016-04-14,0.5,0.6,128062
2016-04-15,0.5,0.6,496058
2016-04-18,0.5,0.6,68142
2016-04-19,0.51,0.61,437264
2016-04-20,0.5,0.6,421589
2016-04-21,0.52,0.62,169579
2016-04-22,0.52,0.62,82486
2016-04-26,0.52,0.62,45130
2016-04-27,0.52,0.62,651354
2016-04-28,0.53,0.64,38218
2016-04-29,0.52,0.63,102041
2016-05-01,0.6,0.72,8005513
2016-05-02,0.53,0.64,87483
2016-05-03,0.55,0.65,1704822
2016-05-04,0.55,0.65,226361
2016-05-05,0.55,0.65,63215
2016-05-06,0.54,0.65,26493
2016-05-09,0.57,0.68,164968
2016-05-10,0.57,0.69,240170
2016-05-11,0.55,0.66,127311
2016-05-12,0.55,0.66,390327
2016-05-13,0.57,0.69,49688
2016-05-16,0.57,0.68,285457
2016-05-17,0.59,0.71,3025580
2016-05-18,0.59,0.71,219728
2016-05-19,0.61,0.73,322081
2016-05-20,0.61,0.73,163796
2016-05-23,0.62,0.74,223429
2016-05-24,0.61,0.74,146603
2016-05-25,0.61,0.73,66897
2016-05-26,0.61,0.74,131812
2016-05-27,0.61,0.73,83832
2016-05-30,0.59,0.71,111008
2016-05-31,0.6,0.72,144452
2016-06-01,0.61,0.73,286285
2016-06-02,0.6,0.72,225541
2016-06-03,0.61,0.73,182064
2016-06-06,0.6,0.72,89714
2016-06-07,0.61,0.74,135287
2016-06-08,0.65,0.77,670887
2016-06-09,0.65,0.77,0
2016-06-10,0.65,0.77,0
2016-06-14,0.64,0.76,483687
2016-06-15,0.64,0.76,353853
2016-06-16,0.62,0.75,262720
2016-06-17,0.65,0.77,215442
2016-06-20,0.65,0.77,321455
2016-06-21,0.64,0.76,216961
2016-06-22,0.64,0.77,181227
2016-06-23,0.63,0.76,140592
2016-06-24,0.59,0.71,750640
2016-06-27,0.61,0.73,350661
2016-06-28,0.6,0.72,345840
2016-06-29,0.6,0.72,177924
2016-06-30,0.65,0.77,498325
2016-07-01,0.63,0.76,141427
2016-07-04,0.63,0.76,126870
2016-07-05,0.63,0.76,74049
2016-07-06,0.63,0.76,84652
2016-07-07,0.63,0.76,264499
2016-07-08,0.62,0.75,190033
2016-07-11,0.63,0.75,97031
2016-07-12,0.61,0.74,169122
2016-07-13,0.62,0.74,7586
2016-07-14,0.63,0.76,81522
2016-07-15,0.61,0.74,189224
2016-07-18,0.62,0.74,182798
2016-07-19,0.62,0.74,416518
2016-07-20,0.63,0.75,58979
2016-07-21,0.63,0.75,208799
2016-07-22,0.62,0.74,432031
2016-07-25,0.61,0.74,97455
2016-07-26,0.61,0.73,67823
