date,adjusted_close,close,volume
2016-01-07,0.24,0.24,42159
2016-01-10,0.24,0.24,117301
2016-01-11,0.24,0.24,17969
2016-01-12,0.24,0.24,71984
2016-01-13,0.24,0.24,12575
2016-01-14,0.25,0.25,197732
2016-01-17,0.25,0.25,0
2016-01-18,0.24,0.24,60000
2016-01-19,0.24,0.24,0
2016-01-20,0.23,0.23,132500
2016-01-21,0.23,0.23,0
2016-01-24,0.23,0.23,0
2016-01-26,0.24,0.24,31228
2016-01-27,0.24,0.24,28771
2016-01-28,0.27,0.27,264008
2016-01-31,0.27,0.27,0
2016-02-01,0.27,0.27,0
2016-02-02,0.26,0.26,977695
2016-02-03,0.26,0.26,269982
2016-02-04,0.26,0.26,53175
2016-02-07,0.26,0.26,91029
2016-02-08,0.26,0.26,103975
2016-02-09,0.26,0.26,2300
2016-02-10,0.26,0.26,15082604
2016-02-11,0.26,0.26,356514
2016-02-14,0.25,0.25,10961
2016-02-15,0.25,0.25,197446
2016-02-16,0.25,0.25,5000
2016-02-17,0.24,0.24,7500
2016-02-18,0.26,0.26,112847
2016-02-21,0.25,0.25,29799
2016-02-22,0.25,0.25,2800
2016-02-23,0.25,0.25,27788
2016-02-24,0.26,0.26,75544
2016-02-25,0.26,0.26,0
2016-02-28,0.26,0.26,20000
2016-02-29,0.26,0.26,321511
2016-03-01,0.26,0.26,22500
2016-03-02,0.26,0.26,0
2016-03-03,0.27,0.27,201605
2016-03-06,0.28,0.28,263648
2016-03-07,0.28,0.28,80535
2016-03-08,0.28,0.28,189503
2016-03-09,0.26,0.26,485800
2016-03-10,0.26,0.26,141830
2016-03-13,0.25,0.25,329331
2016-03-14,0.26,0.26,88056
2016-03-15,0.26,0.26,43835
2016-03-16,0.24,0.24,330052
2016-03-17,0.25,0.25,150739
2016-03-20,0.25,0.25,0
2016-03-21,0.25,0.25,15433
2016-03-22,0.25,0.25,0
2016-03-23,0.26,0.26,53500
2016-03-28,0.26,0.26,234400
2016-03-29,0.25,0.25,14986
2016-03-30,0.25,0.25,37961
2016-03-31,0.25,0.25,0
2016-04-01,0.25,0.25,0
2016-04-04,0.25,0.25,0
2016-04-05,0.25,0.25,0
2016-04-06,0.25,0.25,0
2016-04-07,0.25,0.25,0
2016-04-08,0.25,0.25,0
2016-04-11,0.25,0.25,0
2016-04-12,0.25,0.25,0
2016-04-13,0.25,0.25,0
2016-04-14,0.25,0.25,0
2016-04-15,0.25,0.25,0
2016-04-18,0.25,0.25,0
2016-04-19,0.25,0.25,0
2016-04-20,0.25,0.25,0
2016-04-21,0.25,0.25,0
2016-04-22,0.25,0.25,0
2016-04-26,0.25,0.25,0
2016-04-27,0.25,0.25,0
2016-04-28,0.25,0.25,0
2016-04-29,0.25,0.25,0
2016-05-01,0.41,0.41,4334071
2016-05-02,0.25,0.25,0
2016-05-03,0.25,0.25,0
2016-05-04,0.25,0.25,0
2016-05-05,0.25,0.25,0
2016-05-06,0.25,0.25,0
2016-05-09,0.25,0.25,0
2016-05-10,0.25,0.25,0
2016-05-11,0.25,0.25,0
2016-05-12,0.25,0.25,0
2016-05-13,0.25,0.25,0
2016-05-16,0.25,0.25,0
2016-05-17,0.32,0.32,1359142
2016-05-18,0.41,0.41,888414
2016-05-19,0.4,0.4,476946
2016-05-20,0.39,0.39,112477
2016-05-23,0.38,0.38,227844
2016-05-24,0.4,0.4,407916
2016-05-25,0.39,0.39,179056
2016-05-26,0.37,0.37,61003
2016-05-27,0.39,0.39,37869
2016-05-30,0.4,0.4,333812
2016-05-31,0.41,0.41,249592
2016-06-01,0.41,0.41,165531
2016-06-02,0.47,0.47,332835
2016-06-03,0.44,0.44,171424
2016-06-06,0.43,0.43,341804
2016-06-07,0.43,0.43,192446
2016-06-08,0.45,0.45,161848
2016-06-09,0.45,0.45,5240194
2016-06-10,0.45,0.45,150250
2016-06-14,0.46,0.46,182122
2016-06-15,0.48,0.48,528597
2016-06-16,0.48,0.48,120970
2016-06-17,0.47,0.47,768765
2016-06-20,0.47,0.47,152490
2016-06-21,0.47,0.47,99349
2016-06-22,0.45,0.45,343329
2016-06-23,0.43,0.43,202371
2016-06-24,0.46,0.46,146270
2016-06-27,0.45,0.45,30170
2016-06-28,0.44,0.44,73432
2016-06-29,0.45,0.45,58418
2016-06-30,0.47,0.47,262262
2016-07-01,0.46,0.46,59679
2016-07-04,0.45,0.45,36434
2016-07-05,0.47,0.47,210214
2016-07-06,0.46,0.46,217819
2016-07-07,0.48,0.48,76403
2016-07-08,0.48,0.48,117939
2016-07-11,0.47,0.47,54854
2016-07-12,0.46,0.46,39723
2016-07-13,0.46,0.46,82574
2016-07-14,0.47,0.47,32320
2016-07-15,0.45,0.45,38933
2016-07-18,0.45,0.45,0
2016-07-19,0.45,0.45,276446
2016-07-20,0.45,0.45,317914
2016-07-21,0.46,0.46,188701
2016-07-22,0.48,0.48,153833
2016-07-25,0.46,0.46,145093
2016-07-26,0.42,0.42,234882
2016-07-27,0.43,0.43,10334
2016-07-28,0.44,0.44,82965
2016-07-29,0.46,0.46,106749
2016-08-01,0.44,0.44,194526
2016-08-02,0.44,0.44,76470
2016-08-03,0.46,0.46,89358
2016-08-04,0.46,0.46,185765
2016-08-05,0.45,0.45,307882
2016-08-08,0.47,0.47,253750
2016-08-09,0.49,0.49,150588
2016-08-10,0.49,0.49,247276
2016-08-11,0.49,0.49,0
2016-08-12,0.55,0.55,151778
2016-08-15,0.55,0.55,379342
2016-08-16,0.58,0.58,138306
2016-08-17,0.58,0.58,385921
2016-08-18,0.57,0.57,214119
2016-08-19,0.58,0.58,148575
2016-08-22,0.58,0.58,93651
2016-08-23,0.55,0.55,68695
2016-08-24,0.53,0.53,110616
2016-08-25,0.49,0.49,205542
2016-08-26,0.53,0.53,51363
2016-08-29,0.55,0.55,19238
2016-08-30,0.53,0.53,7159
2016-08-31,0.5,0.5,75018
2016-09-01,0.5,0.5,184020
2016-09-02,0.5,0.5,10642
2016-09-05,0.5,0.5,142757
2016-09-06,0.48,0.48,126752
2016-09-07,0.48,0.48,58369
2016-09-08,0.48,0.48,28440
2016-09-09,0.5,0.5,43043
2016-09-12,0.5,0.5,96437
2016-09-13,0.49,0.49,2548
2016-09-14,0.49,0.49,13650
2016-09-15,0.48,0.48,5373
2016-09-16,0.47,0.47,72543
2016-09-19,0.47,0.47,3295
2016-09-20,0.48,0.48,65658
2016-09-21,0.48,0.48,81562
2016-09-22,0.47,0.47,53572
2016-09-23,0.47,0.47,4107
2016-09-26,0.48,0.48,48486
2016-09-27,0.48,0.48,62425
2016-09-28,0.47,0.47,36342
2016-09-29,0.47,0.47,10354
2016-09-30,0.49,0.49,22128
2016-10-01,0.49,0.49,2914589
2016-10-02,0.5,0.5,135095
2016-10-03,0.5,0.5,133189
2016-10-04,0.46,0.46,69328
2016-10-05,0.47,0.47,75078
2016-10-06,0.42,0.42,334783
2016-10-09,0.42,0.42,60897
2016-10-10,0.42,0.42,46502
2016-10-11,0.43,0.43,9044
2016-10-12,0.42,0.42,120226
2016-10-13,0.41,0.41,57080
2016-10-16,0.42,0.42,341545
2016-10-17,0.47,0.47,210877
2016-10-18,0.46,0.46,100772
2016-10-19,0.5,0.5,459300
2016-10-20,0.51,0.51,120663
2016-10-23,0.5,0.5,92734
2016-10-24,0.49,0.49,131772
2016-10-25,0.49,0.49,108900
2016-10-26,0.49,0.49,62852
2016-10-27,0.5,0.5,144435
2016-10-30,0.49,0.49,99517
2016-10-31,0.49,0.49,27038
2016-11-01,0.49,0.49,312212
2016-11-02,0.49,0.49,524314
2016-11-03,0.5,0.5,64728
2016-11-06,0.48,0.48,100441
2016-11-07,0.49,0.49,46071
2016-11-08,0.5,0.5,575460
2016-11-09,0.5,0.5,78199
2016-11-10,0.49,0.49,141827
2016-11-13,0.45,0.45,146871
2016-11-14,0.46,0.46,230620
2016-11-15,0.45,0.45,236433
2016-11-16,0.46,0.46,44938
