date,adjusted_close,close,volume
2016-08-26,0.5,0.5,7917912
2016-08-29,0.53,0.53,954137
2016-08-30,0.52,0.52,278879
2016-08-31,0.52,0.52,3556585
2016-09-01,0.52,0.52,2055
2016-09-02,0.52,0.52,0
2016-09-05,0.49,0.49,92761
2016-09-06,0.5,0.5,519872
2016-09-07,0.5,0.5,443281
2016-09-08,0.49,0.49,124793
2016-09-09,0.49,0.49,421146
2016-09-12,0.48,0.48,57352
2016-09-13,0.48,0.48,0
2016-09-14,0.47,0.47,109382
2016-09-15,0.45,0.45,30834
2016-09-16,0.45,0.45,20556
2016-09-19,0.47,0.47,35742
2016-09-20,0.47,0.47,77832
2016-09-21,0.47,0.47,51391
2016-09-22,0.49,0.49,5139
2016-09-23,0.49,0.49,145951
2016-09-26,0.48,0.48,67965
2016-09-27,0.49,0.49,146938
2016-09-28,0.49,0.49,13109
2016-09-29,0.51,0.51,246717
2016-09-30,0.51,0.51,48829
2016-10-01,0.5,0.5,3303185
2016-10-02,0.49,0.49,11414
2016-10-03,0.49,0.49,30076
2016-10-04,0.5,0.5,265446
2016-10-05,0.5,0.5,1694999
2016-10-06,0.49,0.49,61669
2016-10-09,0.49,0.49,0
2016-10-10,0.49,0.49,246679
2016-10-11,0.49,0.49,0
2016-10-12,0.49,0.49,0
2016-10-13,0.49,0.49,0
2016-10-16,0.5,0.5,83783
2016-10-17,0.5,0.5,0
2016-10-18,0.49,0.49,53430
2016-10-19,0.49,0.49,45761
2016-10-20,0.49,0.49,153146
2016-10-23,0.49,0.49,0
2016-10-24,0.49,0.49,174731
2016-10-25,0.47,0.47,10278
2016-10-26,0.49,0.49,312460
2016-10-27,0.49,0.49,51391
2016-10-30,0.5,0.5,107922
2016-10-31,0.5,0.5,0
2016-11-01,0.5,0.5,0
2016-11-02,0.47,0.47,30834
2016-11-03,0.49,0.49,367361
2016-11-06,0.49,0.49,47721
2016-11-07,0.49,0.49,91378
2016-11-08,0.49,0.49,0
2016-11-09,0.5,0.5,395950
2016-11-10,0.53,0.53,167506
2016-11-13,0.53,0.53,141146
2016-11-14,0.52,0.52,82604
2016-11-15,0.49,0.49,10278
2016-11-16,0.47,0.47,30834
2016-11-17,0.49,0.49,17377
2016-11-20,0.49,0.49,0
2016-11-21,0.49,0.49,0
2016-11-22,0.47,0.47,10278
2016-11-23,0.49,0.49,12426
2016-11-24,0.49,0.49,0
2016-11-27,0.49,0.49,1972
2016-11-28,0.49,0.49,100619
2016-11-29,0.49,0.49,16386
2016-11-30,0.49,0.49,0
2016-12-01,0.48,0.48,10660
2016-12-04,0.48,0.48,2055
2016-12-05,0.45,0.45,26898
2016-12-06,0.45,0.45,0
2016-12-07,0.45,0.45,0
2016-12-08,0.45,0.45,8222
2016-12-11,0.45,0.45,82226
2016-12-12,0.45,0.45,2055
2016-12-13,0.45,0.45,0
2016-12-14,0.45,0.45,0
2016-12-15,0.45,0.45,115569
2016-12-18,0.45,0.45,123362
2016-12-19,0.45,0.45,0
2016-12-20,0.45,0.45,268027
2016-12-21,0.44,0.44,161000
2016-12-22,0.44,0.44,151091
2016-12-27,0.44,0.44,0
2016-12-28,0.44,0.44,0
2016-12-29,0.48,0.48,88393
2017-01-01,0.44,0.44,61573
2017-01-02,0.48,0.48,0
2017-01-03,0.42,0.42,3576
2017-01-04,0.42,0.42,0
2017-01-05,0.42,0.42,0
2017-01-08,0.42,0.42,0
2017-01-09,0.42,0.42,0
2017-01-10,0.42,0.42,10278
2017-01-11,0.42,0.42,0
2017-01-12,0.42,0.42,0
2017-01-15,0.42,0.42,0
2017-01-16,0.42,0.42,0
2017-01-17,0.42,0.42,0
2017-01-18,0.42,0.42,0
2017-01-19,0.42,0.42,3149
2017-01-22,0.42,0.42,0
2017-01-23,0.42,0.42,0
2017-01-24,0.42,0.42,0
2017-01-26,0.42,0.42,0
2017-01-29,0.42,0.42,0
2017-01-30,0.44,0.44,44570
2017-01-31,0.45,0.45,63197
2017-02-01,0.44,0.44,39303
2017-02-02,0.44,0.44,61669
2017-02-05,0.45,0.45,7693
2017-02-06,0.44,0.44,547709
2017-02-07,0.44,0.44,74256
2017-02-08,0.44,0.44,0
2017-02-09,0.44,0.44,0
2017-02-12,0.44,0.44,0
2017-02-13,0.44,0.44,0
2017-02-14,0.44,0.44,4428
2017-02-15,0.44,0.44,20556
2017-02-16,0.47,0.47,5139
2017-02-19,0.49,0.49,5139
2017-02-20,0.43,0.43,51391
2017-02-21,0.47,0.47,4625
2017-02-22,0.47,0.47,0
2017-02-23,0.47,0.47,0
2017-02-26,0.47,0.47,30834
2017-02-27,0.49,0.49,38825
2017-02-28,0.49,0.49,0
2017-03-01,0.44,0.44,25695
2017-03-02,0.44,0.44,0
2017-03-05,0.44,0.44,0
2017-03-06,0.44,0.44,0
2017-03-07,0.47,0.47,10278
2017-03-08,0.47,0.47,37515
2017-03-09,0.47,0.47,0
2017-03-12,0.47,0.47,12333
2017-03-13,0.47,0.47,0
2017-03-14,0.47,0.47,51391
2017-03-15,0.47,0.47,0
2017-03-16,0.42,0.42,146979
2017-03-19,0.47,0.47,11306
2017-03-20,0.47,0.47,0
2017-03-21,0.47,0.47,41113
2017-03-22,0.47,0.47,0
2017-03-23,0.45,0.45,52316
2017-03-26,0.48,0.48,351519
2017-03-27,0.48,0.48,146437
2017-03-28,0.47,0.47,25724
2017-03-29,0.49,0.49,1439
2017-03-30,0.48,0.48,30714
2017-04-01,0.49,0.49,191277
2017-04-03,0.48,0.48,10278
2017-04-04,0.47,0.47,10278
2017-04-05,0.49,0.49,54438
2017-04-06,0.49,0.49,0
2017-04-07,0.49,0.49,0
2017-04-10,0.49,0.49,0
2017-04-11,0.49,0.49,0
2017-04-12,0.47,0.47,10278
2017-04-13,0.47,0.47,20556
2017-04-18,0.47,0.47,1235
2017-04-19,0.47,0.47,0
2017-04-20,0.47,0.47,0
2017-04-21,0.49,0.49,26690
2017-04-24,0.49,0.49,6853
2017-04-26,0.49,0.49,2569
2017-04-27,0.49,0.49,0
2017-04-28,0.49,0.49,48102
2017-05-01,0.49,0.49,0
2017-05-02,0.49,0.49,0
2017-05-03,0.47,0.47,35399
2017-05-04,0.48,0.48,21972
2017-05-05,0.52,0.52,269038
2017-05-08,0.51,0.51,69892
2017-05-09,0.52,0.52,164157
2017-05-10,0.51,0.51,51391
2017-05-11,0.52,0.52,513
2017-05-12,0.51,0.51,104064
2017-05-15,0.51,0.51,50363
2017-05-16,0.51,0.51,0
2017-05-17,0.51,0.51,0
2017-05-18,0.5,0.5,55240
2017-05-19,0.5,0.5,37277
2017-05-22,0.51,0.51,16031
2017-05-23,0.51,0.51,0
2017-05-24,0.52,0.52,29605
2017-05-25,0.52,0.52,105660
2017-05-26,0.5,0.5,10278
2017-05-29,0.53,0.53,27956
2017-05-30,0.52,0.52,4008
2017-05-31,0.53,0.53,72050
2017-06-01,0.54,0.54,39311
2017-06-02,0.52,0.52,30834
2017-06-05,0.55,0.55,125242
2017-06-06,0.56,0.56,22098
2017-06-07,0.55,0.55,32492
2017-06-08,0.55,0.55,0
2017-06-09,0.55,0.55,0
2017-06-13,0.55,0.55,0
2017-06-14,0.55,0.55,20463
2017-06-15,0.55,0.55,10546
2017-06-16,0.55,0.55,14831
2017-06-19,0.55,0.55,0
2017-06-20,0.56,0.56,62492
2017-06-21,0.55,0.55,46252
2017-06-22,0.55,0.55,5139
2017-06-23,0.56,0.56,50569
2017-06-26,0.55,0.55,90415
2017-06-27,0.57,0.57,50877
2017-06-28,0.57,0.57,0
2017-06-29,0.58,0.58,33178
2017-06-30,0.58,0.58,23015
2017-07-01,0.74,0.74,718208
2017-07-03,0.59,0.59,47271
2017-07-04,0.59,0.59,0
2017-07-05,0.59,0.59,48517
2017-07-06,0.55,0.55,38029
2017-07-07,0.55,0.55,0
2017-07-10,0.55,0.55,0
2017-07-11,0.55,0.55,0
2017-07-12,0.58,0.58,72101
2017-07-13,0.58,0.58,198916
2017-07-14,0.57,0.57,902
2017-07-17,0.57,0.57,12333
2017-07-18,0.58,0.58,44104
2017-07-19,0.6,0.6,38543
2017-07-20,0.6,0.6,0
2017-07-21,0.59,0.59,10278
2017-07-24,0.62,0.62,28676
2017-07-25,0.63,0.63,6166
2017-07-26,0.66,0.66,33795
2017-07-27,0.66,0.66,6598
2017-07-28,0.7,0.7,25695
2017-07-31,0.74,0.74,106284
2017-08-01,0.71,0.71,26508
2017-08-02,0.71,0.71,0
2017-08-03,0.71,0.71,25695
2017-08-04,0.69,0.69,51391
2017-08-07,0.69,0.69,0
2017-08-08,0.69,0.69,0
2017-08-09,0.67,0.67,35460
2017-08-10,0.67,0.67,2294
2017-08-11,0.63,0.63,40599
2017-08-14,0.72,0.72,182312
2017-08-15,0.63,0.63,29293
2017-08-16,0.64,0.64,30834
2017-08-17,0.65,0.65,14800
2017-08-18,0.68,0.68,313488
2017-08-21,0.68,0.68,25695
2017-08-22,0.68,0.68,21731
2017-08-23,0.68,0.68,46252
2017-08-24,0.66,0.66,87776
2017-08-25,0.7,0.7,7047
2017-08-28,0.68,0.68,25695
2017-08-29,0.68,0.68,9486
2017-08-30,0.68,0.68,86639
2017-08-31,0.72,0.72,76023
2017-09-01,0.72,0.72,13875
2017-09-04,0.72,0.72,0
2017-09-05,0.72,0.72,0
2017-09-06,0.72,0.72,34946
2017-09-07,0.72,0.72,66808
2017-09-08,0.68,0.68,50363
2017-09-11,0.64,0.64,102783
2017-09-12,0.68,0.68,18967
2017-09-13,0.72,0.72,80318
2017-09-14,0.72,0.72,49349
2017-09-15,0.72,0.72,0
2017-09-18,0.73,0.73,161831
2017-09-19,0.73,0.73,106210
2017-09-20,0.72,0.72,123339
2017-09-21,0.72,0.72,171377
2017-09-22,0.74,0.74,13176
2017-09-25,0.74,0.74,7194
2017-09-26,0.74,0.74,25695
2017-09-27,0.71,0.71,350969
2017-09-28,0.74,0.74,4111
2017-09-29,0.74,0.74,22955
2017-10-01,0.74,0.74,0
2017-10-02,0.74,0.74,0
2017-10-03,0.74,0.74,0
2017-10-04,0.68,0.68,10278
2017-10-05,0.7,0.7,10694
2017-10-08,0.69,0.69,10100
2017-10-09,0.71,0.71,95353
2017-10-10,0.68,0.68,10278
2017-10-11,0.67,0.67,40871
2017-10-12,0.67,0.67,4940
2017-10-15,0.62,0.62,13823
2017-10-16,0.62,0.62,98804
2017-10-17,0.62,0.62,203024
2017-10-18,0.63,0.63,5139
2017-10-19,0.63,0.63,0
2017-10-22,0.62,0.62,145669
2017-10-23,0.6,0.6,33473
2017-10-24,0.6,0.6,25309
2017-10-25,0.59,0.59,88704
2017-10-26,0.58,0.58,4701
2017-10-29,0.63,0.63,25695
2017-10-30,0.63,0.63,122207
2017-10-31,0.65,0.65,18471
2017-11-01,0.63,0.63,47326
2017-11-02,0.65,0.65,70491
2017-11-05,0.64,0.64,68200
2017-11-06,0.64,0.64,53666
2017-11-07,0.64,0.64,11306
2017-11-08,0.66,0.66,52419
2017-11-09,0.66,0.66,118779
2017-11-12,0.66,0.66,10278
2017-11-13,0.64,0.64,38632
2017-11-14,0.64,0.64,7845
2017-11-15,0.62,0.62,151733
2017-11-16,0.62,0.62,22835
2017-11-19,0.62,0.62,10858
2017-11-20,0.62,0.62,51838
2017-11-21,0.62,0.62,63807
2017-11-22,0.6,0.6,30501
2017-11-23,0.61,0.61,36705
2017-11-26,0.59,0.59,48883
2017-11-27,0.59,0.59,90646
2017-11-28,0.63,0.63,162308
2017-11-29,0.64,0.64,119938
2017-11-30,0.64,0.64,87165
2017-12-01,0.68,0.68,1333461
2017-12-03,0.64,0.64,87165
2017-12-04,0.65,0.65,82226
2017-12-05,0.63,0.63,81384
2017-12-06,0.64,0.64,255817
2017-12-07,0.67,0.67,25695
2017-12-10,0.65,0.65,17592
2017-12-11,0.65,0.65,32761
2017-12-12,0.65,0.65,137789
2017-12-13,0.67,0.67,2055
2017-12-14,0.66,0.66,51391
2017-12-17,0.68,0.68,54988
2017-12-18,0.68,0.68,0
2017-12-19,0.68,0.68,60795
2017-12-20,0.65,0.65,179870
2017-12-21,0.65,0.65,42377
2017-12-26,0.68,0.68,14389
2017-12-27,0.67,0.67,117371
2017-12-28,0.68,0.68,2631
2018-01-01,0.69,0.69,13071
2018-01-02,0.68,0.68,20556
2018-01-03,0.69,0.69,47815
2018-01-04,0.75,0.75,40465
2018-01-07,0.75,0.75,0
2018-01-08,0.75,0.75,4111
2018-01-09,0.76,0.76,97130
2018-01-10,0.77,0.77,14241
2018-01-11,0.77,0.77,642
2018-01-14,0.74,0.74,33707
2018-01-15,0.76,0.76,42776
2018-01-16,0.76,0.76,42776
2018-01-17,0.76,0.76,0
2018-01-18,0.76,0.76,0
2018-01-21,0.76,0.76,119119
2018-01-22,0.75,0.75,15417
2018-01-23,0.76,0.76,37131
2018-01-24,0.76,0.76,119145
2018-01-28,0.77,0.77,348128
2018-01-29,0.76,0.76,45490
2018-01-30,0.73,0.73,37150
2018-01-31,0.71,0.71,52194
2018-02-01,0.7,0.7,12729
