date,adjusted_close,close,volume
2015-10-19,5.93,5.93,509581
2015-10-20,6.06,6.06,172293
2015-10-21,6.13,6.13,469743
2015-10-22,6.13,6.13,266503
2015-10-23,6.26,6.26,485279
2015-10-26,6.36,6.36,493327
2015-10-27,6.37,6.37,928859
2015-10-28,6.36,6.36,250607
2015-10-29,6.3,6.3,458404
2015-10-30,6.37,6.37,702401
2015-11-02,6.48,6.48,227237
2015-11-03,6.47,6.47,177172
2015-11-04,6.39,6.39,395374
2015-11-05,6.34,6.34,417948
2015-11-06,6.29,6.29,410921
2015-11-09,6.4,6.4,1154052
2015-11-10,6.42,6.42,378642
2015-11-11,6.44,6.44,241720
2015-11-12,6.39,6.39,592137
2015-11-13,6.33,6.33,173834
2015-11-16,6.26,6.26,110696
2015-11-17,6.34,6.34,405861
2015-11-18,6.23,6.23,189184
2015-11-19,6.21,6.21,212047
2015-11-20,6.3,6.3,551506
2015-11-23,6.33,6.33,459958
2015-11-24,6.27,6.27,456710
2015-11-25,6.19,6.19,333025
2015-11-26,6.23,6.23,184348
2015-11-27,6.4,6.4,221760
2015-11-30,6.55,6.55,840354
2015-12-01,6.75,6.75,423610
2015-12-02,6.69,6.69,690313
2015-12-03,6.73,6.73,502801
2015-12-04,6.55,6.55,492980
2015-12-07,6.49,6.49,338844
2015-12-08,6.62,6.62,261603
2015-12-09,6.69,6.69,676232
2015-12-10,6.69,6.69,208269
2015-12-11,6.7,6.7,205796
2015-12-14,6.74,6.74,186547
2015-12-15,6.82,6.82,310061
2015-12-16,6.87,6.87,381821
2015-12-17,7.01,7.01,711103
2015-12-18,6.94,6.94,267815
2015-12-21,6.87,6.87,119344
2015-12-22,6.96,6.96,218373
2015-12-23,6.88,6.88,100199
2015-12-24,6.82,6.82,65175
2015-12-28,6.82,6.82,0
2015-12-29,7.05,7.05,139836
2015-12-30,7.21,7.21,224475
2015-12-31,7.24,7.24,114497
2016-01-04,7.21,7.21,199361
2016-01-05,6.98,6.98,245289
2016-01-06,6.92,6.92,237861
2016-01-07,6.78,7.87,181820
2016-01-08,6.82,6.82,181820
2016-01-10,6.68,7.75,195071
2016-01-11,6.76,7.84,94875
2016-01-12,6.75,7.83,117925
2016-01-13,6.87,7.97,170133
2016-01-14,6.77,7.86,112456
2016-01-15,6.81,6.81,112456
2016-01-17,6.73,7.81,155889
2016-01-18,6.73,7.81,123772
2016-01-19,6.63,7.7,344564
2016-01-20,6.68,7.75,319984
2016-01-21,6.97,8.09,189011
2016-01-22,7.01,7.01,189011
2016-01-24,6.94,8.05,191194
2016-01-25,6.97,6.97,191194
2016-01-26,6.8,7.89,169298
2016-01-27,6.83,7.93,183112
2016-01-28,6.79,7.88,356497
2016-01-29,6.82,6.82,356497
2016-01-31,6.85,7.95,236726
2016-02-01,6.85,7.95,328873
2016-02-02,6.89,8,151538
2016-02-03,6.94,8.05,312317
2016-02-04,6.98,8.1,118592
2016-02-05,7.01,7.01,118592
2016-02-07,6.9,8.01,77117
2016-02-08,6.83,7.93,722308
2016-02-09,6.81,7.9,473339
2016-02-10,6.87,7.97,117534
2016-02-11,6.89,8,632585
2016-02-12,6.93,6.93,632585
2016-02-14,6.98,8.1,259988
2016-02-15,6.97,8.09,195681
2016-02-16,6.99,8.11,279722
2016-02-17,7.06,8.19,227914
2016-02-18,7.06,8.19,166945
2016-02-19,7.09,7.09,166945
2016-02-21,7.19,8.34,220983
2016-02-22,7.2,8.35,138378
2016-02-23,7.19,8.34,270865
2016-02-24,7.2,8.35,268573
2016-02-25,7.05,8.18,216726
2016-02-26,7.08,7.08,216726
2016-02-28,7.01,8.14,299243
2016-02-29,7.15,8.3,272141
2016-03-01,7.19,8.34,189506
2016-03-02,7.27,8.44,200400
2016-03-03,7.13,8.28,306784
2016-03-04,7.17,7.17,306784
2016-03-06,7.12,8.26,131914
2016-03-07,6.93,8.04,177215
2016-03-08,7.1,8.24,412003
2016-03-09,7.01,8.13,219276
2016-03-10,7.02,8.15,113962
2016-03-11,7.06,7.06,113962
2016-03-13,7.23,8.39,234613
2016-03-14,7.14,8.29,191790
2016-03-15,7.01,8.14,396411
2016-03-16,7.06,8.19,412926
2016-03-17,7.32,8.49,2288174
2016-03-18,7.35,7.35,2288174
2016-03-20,7.3,8.47,253495
2016-03-21,7.13,8.27,219518
2016-03-22,7.15,8.3,245673
2016-03-23,7.43,8.62,289402
2016-03-24,7.46,7.46,289402
2016-03-28,7.41,8.6,177036
2016-03-29,7.51,8.72,175365
2016-03-30,7.66,8.89,347987
2016-03-31,7.58,8.8,509071
2016-04-01,7.62,7.62,509071
2016-04-04,7.61,8.83,448557
2016-04-05,7.43,8.62,512757
2016-04-06,7.6,8.82,308074
2016-04-07,7.63,8.85,253417
2016-04-08,7.57,8.79,115548
2016-04-11,7.58,8.8,96973
2016-04-12,7.58,8.8,171584
2016-04-13,7.61,8.83,421078
2016-04-14,7.52,8.73,174059
2016-04-15,7.66,8.89,233503
2016-04-18,7.61,8.83,323389
2016-04-19,7.56,8.77,209570
2016-04-20,7.59,8.81,229249
