date,adjusted_close,close,volume
2015-10-19,1.87,1.87,6108662
2015-10-20,1.85,1.85,4998168
2015-10-21,1.84,1.84,4612960
2015-10-22,1.85,1.85,5790215
2015-10-23,1.88,1.88,4363057
2015-10-26,1.9,1.9,3960630
2015-10-27,1.96,1.96,10123956
2015-10-28,2.04,2.04,5497607
2015-10-29,2.03,2.03,4496836
2015-10-30,2.02,2.02,3502277
2015-11-02,2,2,2848224
2015-11-03,2,2,4480810
2015-11-04,2.02,2.02,4860114
2015-11-05,1.97,1.97,3873615
2015-11-06,2.03,2.03,3427665
2015-11-09,1.98,1.98,3443919
2015-11-10,1.94,1.94,4697612
2015-11-11,1.92,1.92,3146618
2015-11-12,1.98,1.98,3303104
2015-11-13,1.94,1.94,2852540
2015-11-16,1.89,1.89,2963541
2015-11-17,1.93,1.93,3368413
2015-11-18,1.94,1.94,2052800
2015-11-19,2.01,2.01,3702905
2015-11-20,2.05,2.05,3264224
2015-11-23,2.05,2.05,1956817
2015-11-24,2.05,2.05,3440148
2015-11-25,2.05,2.05,2628099
2015-11-26,2.07,2.07,1772660
2015-11-27,2.06,2.06,2383399
2015-11-30,2.07,2.07,2764700
2015-12-01,2.1,2.1,2852693
2015-12-02,2.06,2.06,4567250
2015-12-03,2.04,2.04,4024740
2015-12-04,2.02,2.02,4168957
2015-12-07,2,2,4000017
2015-12-08,2.02,2.02,3503129
2015-12-09,2.03,2.03,3067196
2015-12-10,2,2,4289634
2015-12-11,1.99,1.99,3373645
2015-12-14,1.94,1.94,3457499
2015-12-15,1.91,1.91,4668545
2015-12-16,1.94,1.94,5819844
2015-12-17,1.97,1.97,4683352
2015-12-18,2.01,2.01,3757365
2015-12-21,2.03,2.03,2620394
2015-12-22,2.07,2.07,6057379
2015-12-23,2.07,2.07,2274398
2015-12-24,2.04,2.04,1176150
2015-12-28,2.04,2.04,0
2015-12-29,2.14,2.14,2205106
2015-12-30,2.17,2.17,2660639
2015-12-31,2.12,2.12,1537327
2016-01-04,2.2,2.2,3566824
2016-01-05,2.18,2.18,3733022
2016-01-06,2.14,2.14,4066351
2016-01-07,2.11,3.99,3803396
2016-01-08,2.11,2.11,3803396
2016-01-10,2.14,4.05,3437628
2016-01-11,2.11,4,2762359
2016-01-12,2.21,4.2,4043449
2016-01-13,2.12,4.01,3608641
2016-01-14,2.14,4.06,3417842
2016-01-15,2.14,2.14,3417842
2016-01-17,2.14,4.06,2628376
2016-01-18,2.17,4.12,3307980
2016-01-19,2.17,4.12,4340075
2016-01-20,2.2,4.17,3682377
2016-01-21,2.21,4.2,1804768
2016-01-22,2.21,2.21,1804768
2016-01-24,2.23,4.23,2450436
2016-01-25,2.23,2.23,2450436
2016-01-26,2.21,4.19,3732197
2016-01-27,2.2,4.18,2098802
2016-01-28,2.25,4.26,2468058
2016-01-29,2.25,2.25,2468058
2016-01-31,2.28,4.32,2854465
2016-02-01,2.22,4.21,2528898
2016-02-02,2.14,4.05,2725813
2016-02-03,2.18,4.13,2360969
2016-02-04,2.17,4.12,5279986
2016-02-05,2.17,2.17,5279986
2016-02-07,2.19,4.16,1762385
2016-02-08,2.21,4.2,3624709
2016-02-09,2.21,4.2,5476636
2016-02-10,2.23,4.22,2038001
2016-02-11,2.21,4.2,4262227
2016-02-12,2.21,2.21,4262227
2016-02-14,2.21,4.19,2201594
2016-02-15,2.24,4.25,2242126
2016-02-16,2.27,4.31,2499206
2016-02-17,2.37,4.49,5870776
2016-02-18,2.35,4.46,2491387
2016-02-19,2.35,2.35,2491387
2016-02-21,2.37,4.49,2840690
2016-02-22,2.33,4.43,3487721
2016-02-23,2.31,4.38,2268616
2016-02-24,2.33,4.43,3121726
2016-02-25,2.29,4.35,5695664
2016-02-26,2.29,2.29,5695664
2016-02-28,2.42,4.59,7723838
2016-02-29,2.47,4.68,4573743
2016-03-01,2.44,4.63,4418776
2016-03-02,2.46,4.66,5420130
2016-03-03,2.43,4.61,2673605
2016-03-04,2.43,2.43,2673605
2016-03-06,2.39,4.53,4798850
2016-03-07,2.39,4.53,2653263
2016-03-08,2.4,4.56,4747087
2016-03-09,2.4,4.56,4713920
2016-03-10,2.4,4.56,3251920
2016-03-11,2.4,2.4,3251920
2016-03-13,2.39,4.54,1300335
2016-03-14,2.36,4.48,2487824
2016-03-15,2.34,4.45,2258586
2016-03-16,2.37,4.5,3136834
2016-03-17,2.36,4.48,1718447
2016-03-18,2.36,2.36,1718447
2016-03-20,2.35,4.46,1167846
2016-03-21,2.37,4.5,1698520
2016-03-22,2.37,4.5,2477820
2016-03-23,2.37,4.5,2357210
2016-03-24,2.37,2.37,2357210
2016-03-28,2.35,4.46,1962079
2016-03-29,2.38,4.52,3900730
2016-03-30,2.38,4.51,3203991
2016-03-31,2.3,4.37,3232016
2016-04-01,2.3,2.3,3232016
2016-04-04,2.33,4.43,2069726
2016-04-05,2.29,4.34,4078142
2016-04-06,2.32,4.4,2428411
2016-04-07,2.29,4.22,2638689
2016-04-08,2.27,4.19,1833457
2016-04-11,2.25,4.14,1410295
2016-04-12,2.28,4.2,2880420
2016-04-13,2.26,4.16,1690936
2016-04-14,2.27,4.19,2176988
2016-04-15,2.32,4.27,2953702
2016-04-18,2.3,4.23,1762557
2016-04-19,2.27,4.18,3175586
2016-04-20,2.25,4.15,3064279
2016-04-21,2.23,4.11,2091215
2016-04-22,2.23,4.11,1812231
2016-04-26,2.24,4.13,3040770
2016-04-27,2.27,4.19,2992316
2016-04-28,2.32,4.28,2057006
2016-04-29,2.33,4.3,1843115
2016-05-02,2.34,4.32,2008722
2016-05-03,2.43,4.47,5079885
2016-05-04,2.46,4.54,2844746
2016-05-05,2.45,4.51,3714846
2016-05-06,2.47,4.55,4860272
2016-05-09,2.47,4.55,2977735
2016-05-10,2.45,4.51,3233612
2016-05-11,2.44,4.49,4410180
2016-05-12,2.43,4.47,2343315
2016-05-13,2.43,4.47,1174478
2016-05-16,2.45,4.52,1398555
2016-05-17,2.44,4.5,1241866
2016-05-18,2.37,4.37,2260748
2016-05-19,2.39,4.4,2670686
2016-05-20,2.43,4.47,1789061
2016-05-23,2.37,4.37,1503122
2016-05-24,2.37,4.36,1903576
2016-05-25,2.4,4.42,2350909
2016-05-26,2.37,4.37,1822637
2016-05-27,2.36,4.34,1964482
2016-05-30,2.38,4.38,1186843
2016-05-31,2.38,4.38,3021910
2016-06-01,2.36,4.34,1594200
2016-06-02,2.3,4.24,2465300
2016-06-03,2.3,4.24,3364324
2016-06-06,2.3,4.23,2832050
2016-06-07,2.31,4.26,2548674
2016-06-08,2.34,4.31,2005249
2016-06-09,2.38,4.38,2579179
2016-06-10,2.38,4.38,2654187
2016-06-14,2.36,4.34,3148528
2016-06-15,2.34,4.32,2469113
2016-06-16,2.37,4.36,2458270
2016-06-17,2.37,4.37,1877802
2016-06-20,2.38,4.38,1707971
2016-06-21,2.41,4.45,1463464
2016-06-22,2.4,4.42,1898651
2016-06-23,2.4,4.43,1016255
2016-06-24,2.32,4.28,3829730
2016-06-27,2.34,4.31,1684449
2016-06-28,2.27,4.18,2600377
2016-06-29,2.32,4.28,3457385
2016-06-30,2.4,4.43,2687139
2016-07-01,2.37,4.37,2437681
2016-07-04,2.38,4.39,1140605
2016-07-05,2.29,4.22,2646371
2016-07-06,2.26,4.16,2649613
2016-07-07,2.26,4.17,1158731
2016-07-08,2.27,4.19,1065670
2016-07-11,2.31,4.25,1040106
2016-07-12,2.3,4.23,1237307
2016-07-13,2.27,4.19,2254131
2016-07-14,2.3,4.24,1681404
2016-07-15,2.3,4.23,1574176
2016-07-18,2.3,4.24,1568943
2016-07-19,2.31,4.25,1835230
2016-07-20,2.35,4.33,2469640
2016-07-21,2.41,4.44,2436603
2016-07-22,2.38,4.39,1248399
2016-07-25,2.41,4.45,2156101
2016-07-26,2.44,4.49,2189940
2016-07-27,2.44,4.5,1796145
2016-07-28,2.48,4.56,2309794
2016-07-29,2.52,4.65,3313532
2016-08-01,2.51,4.63,3200969
2016-08-02,2.51,4.62,4309972
2016-08-03,2.45,4.51,2638605
2016-08-04,2.42,4.46,3359808
2016-08-05,2.45,4.52,1722437
2016-08-08,2.51,4.63,2613512
2016-08-09,2.52,4.65,2204861
2016-08-10,2.54,4.69,2985109
2016-08-11,2.62,4.82,4010489
2016-08-12,2.69,4.95,5011198
2016-08-15,2.75,5.07,3040038
2016-08-16,2.7,4.97,2344867
2016-08-17,2.71,4.99,2291939
2016-08-18,2.7,4.97,2152249
2016-08-19,2.68,4.94,2259987
2016-08-22,2.7,4.97,1482717
2016-08-23,2.73,5.02,2708486
2016-08-24,2.72,5.01,1706426
2016-08-25,2.78,5.13,3528946
2016-08-26,2.76,5.09,2964518
2016-08-29,2.78,5.12,3474763
2016-08-30,2.73,5.03,4280852
2016-08-31,2.8,5.17,7243010
2016-09-01,2.78,5.12,4902943
2016-09-02,2.77,5.1,5211562
2016-09-05,2.78,5.13,4103762
2016-09-06,2.78,5.12,3326638
2016-09-07,2.76,5.09,5193712
2016-09-08,2.71,5,5497563
2016-09-09,2.71,5,3766126
2016-09-12,2.63,4.85,3519590
2016-09-13,2.63,4.84,2394605
2016-09-14,2.66,4.9,6287854
2016-09-15,2.67,4.92,7712627
2016-09-16,2.71,4.99,5318225
2016-09-19,2.66,4.91,592620
2016-09-20,2.66,4.91,3277389
2016-09-21,2.68,4.94,3543549
2016-09-22,2.7,4.98,2505929
2016-09-23,2.7,4.98,2419234
2016-09-26,2.7,4.97,1473803
2016-09-27,2.71,4.99,2859131
2016-09-28,2.7,4.98,3535686
2016-09-29,2.73,5.02,3046817
2016-09-30,2.71,4.99,3001821
2016-10-02,2.77,5.1,1549521
2016-10-03,2.72,5.01,4728400
2016-10-04,2.71,4.99,3075012
2016-10-05,2.71,5,3581079
2016-10-06,2.65,4.89,3315620
2016-10-07,2.65,2.65,3315620
2016-10-09,2.64,4.87,1369920
2016-10-10,2.67,4.92,3383955
2016-10-11,2.68,4.94,1935875
2016-10-12,2.67,4.92,5254361
2016-10-13,2.7,4.97,2338677
2016-10-14,2.7,2.7,2338677
2016-10-16,2.68,4.94,1970186
2016-10-17,2.68,4.94,2373904
2016-10-18,2.71,4.99,3861586
2016-10-19,2.75,5.07,2562427
2016-10-20,2.74,5.04,1786165
2016-10-21,2.74,2.74,1786165
2016-10-23,2.74,5.04,3402234
2016-10-24,2.77,5.1,2040117
2016-10-25,2.67,4.93,4359296
2016-10-26,2.66,4.9,3105646
2016-10-27,2.65,4.89,2907787
2016-10-28,2.65,2.65,2907787
2016-10-30,2.72,4.85,3271338
2016-10-31,2.68,4.77,3750758
2016-11-01,2.66,4.73,3713604
2016-11-02,2.6,4.63,3364618
2016-11-03,2.67,4.75,3823713
2016-11-04,2.67,2.67,3823713
2016-11-06,2.65,4.72,3990753
2016-11-07,2.66,4.73,3502681
2016-11-08,2.55,4.54,4952548
2016-11-09,2.57,4.58,3853920
2016-11-10,2.53,4.51,3620884
2016-11-11,2.53,2.53,3620884
2016-11-13,2.45,4.36,4966163
2016-11-14,2.43,4.32,6474067
2016-11-15,2.39,4.26,6324770
2016-11-16,2.43,4.32,4879659
2016-11-17,2.45,4.37,4602871
2016-11-18,2.45,2.45,4602871
2016-11-20,2.52,4.49,4914007
2016-11-21,2.57,4.58,3538708
2016-11-22,2.58,4.59,3547935
2016-11-23,2.58,4.59,2917646
2016-11-24,2.55,4.54,3470358
2016-11-25,2.55,2.55,3470358
2016-11-27,2.55,4.54,1718504
2016-11-28,2.53,4.51,3752381
2016-11-29,2.56,4.56,5136717
2016-11-30,2.57,4.58,3721089
2016-12-01,2.62,4.67,3956977
2016-12-02,2.62,2.62,3956977
2016-12-04,2.52,4.49,3512835
2016-12-05,2.55,4.54,3309707
2016-12-06,2.55,4.54,3154680
2016-12-07,2.58,4.6,2629245
2016-12-08,2.58,4.59,3330891
2016-12-09,2.58,2.58,3330891
2016-12-11,2.6,4.63,2667568
2016-12-12,2.58,4.59,5167677
2016-12-13,2.63,4.69,3943325
2016-12-14,2.62,4.67,4730242
2016-12-15,2.68,4.77,5627396
2016-12-16,2.68,2.68,5627396
2016-12-18,2.66,4.73,2112665
2016-12-19,2.67,4.76,2620477
2016-12-20,2.74,4.88,2101359
2016-12-21,2.73,4.86,2253243
2016-12-22,2.71,4.82,1854903
2016-12-23,2.71,2.71,1854903
2016-12-27,2.77,4.93,1853410
2016-12-28,2.77,4.94,1179384
2016-12-29,2.77,4.94,1277700
2016-12-30,2.77,2.77,1277700
2017-01-02,2.79,4.96,1867126
2017-01-03,2.74,4.89,2176738
2017-01-04,2.75,4.9,1987942
2017-01-05,2.77,4.93,2243484
2017-01-06,2.77,2.77,2243484
2017-01-08,2.76,4.92,2094612
2017-01-09,2.73,4.86,2036018
2017-01-10,2.71,4.83,2995072
2017-01-11,2.73,4.86,2550640
2017-01-12,2.73,4.87,1518255
2017-01-13,2.73,2.73,1518255
