date,adjusted_close,close,volume
2016-01-07,40.79,48.9,26610
2016-01-10,40.59,48.67,33766
2016-01-11,40.63,48.72,23010
2016-01-12,40.92,49.06,45068
2016-01-13,40.53,48.6,56754
2016-01-14,40.78,48.9,26918
2016-01-17,40.31,48.33,32454
2016-01-18,40.58,48.66,25322
2016-01-19,39.99,47.95,78076
2016-01-20,39.81,47.74,24456
2016-01-21,39.43,47.28,28760
2016-01-24,40.25,48.26,18834
2016-01-26,40.06,48.03,39198
2016-01-27,39.85,47.78,47570
2016-01-28,39.82,47.74,23582
2016-01-31,40.62,48.71,21524
2016-02-01,40.45,48.49,23714
2016-02-02,40,47.96,25992
2016-02-03,39.61,47.49,30204
2016-02-04,39.25,47.06,90196
2016-02-07,39.47,47.33,46392
2016-02-08,39.21,47.01,37684
2016-02-09,38.88,46.62,51102
2016-02-10,38.57,46.24,40430
2016-02-11,38.29,45.92,25802
2016-02-14,38.87,46.61,51760
2016-02-15,39.35,47.18,36930
2016-02-16,39.48,47.34,18722
2016-02-17,39.98,47.94,30914
2016-02-18,39.8,47.72,42332
2016-02-21,39.59,47.47,18844
2016-02-22,39.23,47.04,23036
2016-02-23,38.92,46.67,32756
2016-02-24,39.2,47,22122
2016-02-25,39.28,47.1,22386
2016-02-28,39.47,47.33,17498
2016-02-29,39.34,47.17,17448
2016-03-01,39.92,47.87,30182
2016-03-02,39.79,47.71,67596
2016-03-03,39.5,47.36,22320
2016-03-06,39.34,47.17,24528
2016-03-07,39.22,47.03,94254
2016-03-08,39.08,46.86,23690
2016-03-09,39.09,46.87,38994
2016-03-10,39.21,47.01,39412
2016-03-13,39.11,46.89,12332
2016-03-14,39.44,47.29,23332
2016-03-15,39.7,47.6,19096
2016-03-16,39.29,47.11,44758
2016-03-17,39.24,47.04,29762
2016-03-20,39.34,47.17,23220
2016-03-21,39.58,47.46,29908
2016-03-22,39.19,46.99,184544
2016-03-23,39.55,47.42,19618
2016-03-28,39.39,47.23,18930
2016-03-29,39.41,47.26,37990
2016-03-30,39.4,47.24,37040
2016-03-31,39.12,46.91,37076
2016-04-01,39.77,47.68,580198
2016-04-04,39.25,47.06,22554
2016-04-05,39.29,47.12,23780
2016-04-06,39.21,47.01,21516
2016-04-07,39.34,47.17,26982
2016-04-08,39.42,47.26,15808
2016-04-11,39.45,47.3,26322
2016-04-12,39.14,46.94,30898
2016-04-13,39.4,47.24,31084
2016-04-14,40.01,47.97,34164
2016-04-15,39.75,47.67,19358
2016-04-18,39.61,47.49,18570
2016-04-19,39.6,47.48,16150
2016-04-20,39.77,47.69,53406
2016-04-21,39.94,47.88,29592
2016-04-22,39.81,47.73,52944
2016-04-26,39.84,47.77,28222
2016-04-27,40.15,48.13,43248
2016-04-28,40.02,47.98,26480
2016-04-29,39.77,47.68,22044
2016-05-01,42.46,50.91,661136
2016-05-02,39.74,47.65,12524
2016-05-03,40.12,48.1,25300
2016-05-04,40.02,47.99,19010
2016-05-05,39.88,47.82,28346
2016-05-06,40.22,48.23,23038
2016-05-09,40.63,48.72,26758
2016-05-10,40.87,49,34572
2016-05-11,40.89,49.03,15196
2016-05-12,40.92,49.06,43816
2016-05-13,40.84,48.97,29010
2016-05-16,40.82,48.94,15770
2016-05-17,40.9,49.03,38516
2016-05-18,40.83,48.96,23018
2016-05-19,41.31,49.53,10644
2016-05-20,41.24,49.45,31804
2016-05-23,41.23,49.43,71646
2016-05-24,41.4,49.65,22826
2016-05-25,42.05,50.42,72978
2016-05-26,42.37,50.8,28380
2016-05-27,42.36,50.78,23960
2016-05-30,42.8,51.31,35666
2016-05-31,42.46,50.91,28358
2016-06-01,41.98,50.33,19014
2016-06-02,42.02,50.38,21538
2016-06-03,42.13,50.51,21076
2016-06-06,41.7,49.99,26538
2016-06-07,41.33,49.56,23018
2016-06-08,41.42,49.66,50228
2016-06-09,41.37,49.6,20818
2016-06-10,41.32,49.54,32346
2016-06-14,40.44,48.49,27728
2016-06-15,40.39,48.43,22562
2016-06-16,40.08,48.06,51390
2016-06-17,40.54,48.6,99004
2016-06-20,40.76,48.87,34814
2016-06-21,41.54,48.96,38820
2016-06-22,41.08,48.41,34748
2016-06-23,40.9,48.2,21458
2016-06-24,39.01,45.97,98534
2016-06-27,39.35,46.38,33584
2016-06-28,39.16,46.15,36094
2016-06-29,39.93,47.06,39890
2016-06-30,40.22,47.4,24904
2016-07-01,40.66,47.92,19568
2016-07-04,40.75,48.03,17230
2016-07-05,40.47,47.69,23120
2016-07-06,40.47,47.69,22056
2016-07-07,40.2,47.38,28108
2016-07-08,40.2,47.38,21656
2016-07-11,40.56,47.81,26556
2016-07-12,40.64,47.89,24240
2016-07-13,40.96,48.28,16716
2016-07-14,40.94,48.25,10004
2016-07-15,41.04,48.37,34236
2016-07-18,41.32,48.7,22300
2016-07-19,41.57,48.99,33764
2016-07-20,41.75,49.2,22406
2016-07-21,41.95,49.44,46404
2016-07-22,41.83,49.3,24888
2016-07-25,41.83,49.29,36208
2016-07-26,41.58,49,34256
2016-07-27,41.88,49.35,61804
2016-07-28,41.75,49.2,34444
