date,adjusted_close,close,volume
2016-01-07,5.53,8.65,352098
2016-01-10,5.51,8.62,536937
2016-01-11,5.61,8.77,906297
2016-01-12,5.71,8.93,320202
2016-01-13,5.71,8.93,614257
2016-01-14,5.62,8.79,471949
2016-01-17,5.72,8.95,351341
2016-01-18,5.76,9,444174
2016-01-19,5.8,9.06,349975
2016-01-20,5.84,9.13,450427
2016-01-21,5.92,9.26,230661
2016-01-24,5.84,9.13,252041
2016-01-26,5.91,9.24,353825
2016-01-27,5.82,9.1,445439
2016-01-28,5.67,8.87,686910
2016-01-31,5.76,9,588956
2016-02-01,5.66,8.85,453076
2016-02-02,5.48,8.57,617283
2016-02-03,5.51,8.62,1249639
2016-02-04,5.42,8.47,1105184
2016-02-07,5.34,8.35,508539
2016-02-08,5.07,7.92,742242
2016-02-09,5.07,7.93,845775
2016-02-10,5.26,8.23,597378
2016-02-11,5.36,8.38,876529
2016-02-14,5.32,8.31,695672
2016-02-15,5.44,8.5,438903
2016-02-16,5.6,8.76,475699
2016-02-17,5.65,8.84,473735
2016-02-18,5.83,9.11,509346
2016-02-21,5.97,9.34,683131
2016-02-22,5.43,8.49,2834837
2016-02-23,4.93,7.7,1114258
2016-02-24,4.43,6.92,4207262
2016-02-25,4.37,6.83,2466504
2016-02-28,4.41,6.78,1065527
2016-02-29,4.83,7.43,1708133
2016-03-01,4.95,7.62,808528
2016-03-02,5.02,7.72,444511
2016-03-03,4.88,7.5,1002558
2016-03-06,4.65,7.15,895095
2016-03-07,4.41,6.78,777774
2016-03-08,4.51,6.93,884293
2016-03-09,4.62,7.1,587397
2016-03-10,4.6,7.08,667899
2016-03-13,4.52,6.95,792986
2016-03-14,4.43,6.82,583862
2016-03-15,4.42,6.8,982090
2016-03-16,4.42,6.8,935489
2016-03-17,4.19,6.45,5651170
2016-03-20,4.22,6.49,1126826
2016-03-21,4.23,6.5,1258311
2016-03-22,4.19,6.45,839895
2016-03-23,4.16,6.4,601853
2016-03-28,4.04,6.22,1427119
2016-03-29,3.99,6.13,1066977
2016-03-30,4.25,6.53,939205
2016-03-31,4.47,6.87,1496369
2016-04-01,4.5,6.92,14029985
2016-04-04,4.43,6.82,600154
2016-04-05,4.26,6.55,802548
2016-04-06,4.44,6.83,702776
2016-04-07,4.37,6.72,586769
2016-04-08,4.36,6.7,313554
2016-04-11,4.35,6.69,677676
2016-04-12,4.38,6.74,928410
2016-04-13,4.4,6.77,570498
2016-04-14,4.36,6.7,686282
2016-04-15,4.39,6.76,411011
2016-04-18,4.5,6.92,334289
2016-04-19,4.44,6.83,1053351
2016-04-20,4.46,6.86,723525
2016-04-21,4.49,6.91,699073
2016-04-22,4.47,6.87,976936
2016-04-26,4.52,6.95,893681
2016-04-27,4.47,6.88,571896
2016-04-28,4.52,6.96,369449
2016-04-29,4.5,6.92,631738
2016-05-01,4.55,7,16592486
2016-05-02,4.52,6.95,410043
2016-05-03,4.72,7.26,1096758
