date,adjusted_close,close,volume
2016-01-07,1.76,2.16,204956
2016-01-10,1.79,2.19,102525
2016-01-11,1.74,2.13,212462
2016-01-12,1.66,2.03,1316333
2016-01-13,1.67,2.04,245793
2016-01-14,1.75,2.14,176681
2016-01-17,1.7,2.08,74977
2016-01-18,1.72,2.11,66307
2016-01-19,1.69,2.07,353331
2016-01-20,1.71,2.09,183205
2016-01-21,1.74,2.13,240133
2016-01-24,1.72,2.1,83540
2016-01-26,1.74,2.13,231847
2016-01-27,1.71,2.09,95657
2016-01-28,1.76,2.15,121480
2016-01-31,1.71,2.09,96456
2016-02-01,1.75,2.14,82723
2016-02-02,1.74,2.13,42451
2016-02-03,1.72,2.11,37495
2016-02-04,1.7,2.08,86678
2016-02-07,1.67,2.04,110045
2016-02-08,1.6,1.96,246160
2016-02-09,1.56,1.91,87334
2016-02-10,1.59,1.95,79022
2016-02-11,1.58,1.93,244184
2016-02-14,1.54,1.88,85212
2016-02-15,1.56,1.91,102079
2016-02-16,1.59,1.95,144708
2016-02-17,1.57,1.92,86559
2016-02-18,1.47,1.8,521543
2016-02-21,1.56,1.91,664907
2016-02-22,1.68,2.06,399203
2016-02-23,1.68,2.06,294686
2016-02-24,1.69,2.07,157675
2016-02-25,1.68,2.06,34420
2016-02-28,1.69,2.07,78323
2016-02-29,1.67,2.05,73101
2016-03-01,1.65,2.02,84090
2016-03-02,1.65,2.02,78849
2016-03-03,1.65,2.02,110105
2016-03-06,1.64,2.01,168021
2016-03-07,1.6,1.92,104684
2016-03-08,1.56,1.88,76391
2016-03-09,1.61,1.94,115405
2016-03-10,1.56,1.88,45480
2016-03-13,1.61,1.94,73326
2016-03-14,1.58,1.91,115062
2016-03-15,1.6,1.92,13163
2016-03-16,1.57,1.89,44750
2016-03-17,1.57,1.89,96897
2016-03-20,1.62,1.95,54428
2016-03-21,1.63,1.97,48250
2016-03-22,1.62,1.95,64729
2016-03-23,1.6,1.93,43468
2016-03-28,1.59,1.92,53825
2016-03-29,1.56,1.88,37634
2016-03-30,1.58,1.9,41670
2016-03-31,1.58,1.9,124537
2016-04-01,1.82,2.19,2200426
2016-04-04,1.62,1.95,21255
2016-04-05,1.6,1.93,62163
2016-04-06,1.63,1.97,35084
2016-04-07,1.66,2,53283
2016-04-08,1.73,2.09,192089
2016-04-11,1.81,2.18,188613
2016-04-12,1.86,2.24,124479
2016-04-13,1.78,2.15,99772
2016-04-14,1.82,2.2,60554
2016-04-15,1.84,2.22,77254
2016-04-18,1.85,2.23,180961
2016-04-19,1.87,2.25,160073
2016-04-20,1.91,2.3,420463
2016-04-21,1.91,2.3,69960
2016-04-22,1.88,2.27,131549
2016-04-26,1.89,2.28,27647
2016-04-27,1.9,2.29,52894
2016-04-28,1.85,2.23,54807
2016-04-29,1.82,2.19,62989
2016-05-01,1.67,2.01,1726176
2016-05-02,1.78,2.15,132552
2016-05-03,1.74,2.1,119710
2016-05-04,1.72,2.07,64341
2016-05-05,1.73,2.08,61134
2016-05-06,1.78,2.15,34601
2016-05-09,1.73,2.08,47604
2016-05-10,1.73,2.09,74751
2016-05-11,1.79,2.16,56464
2016-05-12,1.79,2.16,26572
2016-05-13,1.79,2.16,2032
2016-05-16,1.79,2.16,115977
2016-05-17,1.77,2.14,35026
2016-05-18,1.76,2.12,172944
2016-05-19,1.69,2.04,234559
2016-05-20,1.71,2.06,52202
2016-05-23,1.7,2.05,42755
2016-05-24,1.7,2.05,45128
