date,adjusted_close,close,volume
2016-01-07,2.37,3.25,99792
2016-01-10,2.35,3.22,134611
2016-01-11,2.32,3.17,348658
2016-01-12,2.33,3.19,423872
2016-01-13,2.44,3.33,53109
2016-01-14,2.47,3.38,22656
2016-01-17,2.42,3.31,41185
2016-01-18,2.44,3.33,44006
2016-01-19,2.55,3.49,78260
2016-01-20,2.51,3.43,16447
2016-01-21,2.63,3.59,40474
2016-01-24,2.67,3.65,46386
2016-01-26,2.65,3.63,26807
2016-01-27,2.67,3.65,72023
2016-01-28,2.65,3.62,24367
2016-01-31,2.65,3.63,61176
2016-02-01,2.66,3.64,56201
2016-02-02,2.65,3.62,46732
2016-02-03,2.72,3.72,158912
2016-02-04,2.85,3.89,101467
2016-02-07,2.82,3.86,88066
2016-02-08,2.75,3.76,80886
2016-02-09,2.66,3.64,113935
2016-02-10,2.73,3.74,75396
2016-02-11,2.75,3.77,127124
2016-02-14,2.87,3.92,135002
2016-02-15,2.92,3.99,338375
2016-02-16,2.8,3.83,157274
2016-02-17,2.82,3.86,182859
2016-02-18,2.82,3.85,130184
2016-02-21,2.82,3.86,166638
2016-02-22,2.82,3.86,87888
2016-02-23,2.8,3.83,97636
2016-02-24,2.73,3.73,75505
2016-02-25,2.79,3.82,134557
2016-02-28,2.78,3.81,51044
2016-02-29,2.82,3.86,83940
2016-03-01,2.81,3.84,258678
2016-03-02,2.8,3.84,167473
2016-03-03,2.86,3.91,143113
2016-03-06,2.73,3.73,194146
2016-03-07,2.72,3.72,133423
2016-03-08,2.74,3.75,145129
2016-03-09,2.87,3.93,218426
2016-03-10,2.97,4.07,353238
2016-03-13,3.04,4.15,224598
2016-03-14,2.97,4.06,185257
2016-03-15,2.93,4.01,166556
2016-03-16,3.03,4.14,326747
2016-03-17,2.97,4.06,1479958
2016-03-20,2.97,4.06,84555
2016-03-21,3.07,4.2,161960
2016-03-22,3.06,4.18,287371
2016-03-23,2.94,4.03,197712
2016-03-28,3.09,4.23,192287
2016-03-29,3.01,4.13,194470
2016-03-30,3.06,4.14,72672
2016-03-31,3.15,4.27,91281
2016-04-01,3.32,4.49,3262689
2016-04-04,3.09,4.18,171553
2016-04-05,3.05,4.13,73677
2016-04-06,3.09,4.18,193514
2016-04-07,3.06,4.14,119165
2016-04-08,3.1,4.2,108800
2016-04-11,3.14,4.25,139765
2016-04-12,3.13,4.23,95577
2016-04-13,3.1,4.2,96187
2016-04-14,3.14,4.25,105574
2016-04-15,3.15,4.26,428078
2016-04-18,3.21,4.35,292767
2016-04-19,3.19,4.32,163586
2016-04-20,3.18,4.31,89082
2016-04-21,3.18,4.3,250482
2016-04-22,3.18,4.3,109652
2016-04-26,3.29,4.45,165978
2016-04-27,3.33,4.51,297684
2016-04-28,3.33,4.51,206265
2016-04-29,3.32,4.49,64022
2016-05-01,3.29,4.45,3470733
2016-05-02,3.25,4.4,228392
2016-05-03,3.3,4.46,97643
2016-05-04,3.32,4.49,78036
2016-05-05,3.3,4.47,61711
2016-05-06,3.35,4.53,150697
2016-05-09,3.3,4.46,266265
2016-05-10,3.28,4.44,132807
2016-05-11,3.33,4.5,40445
2016-05-12,3.29,4.45,74120
2016-05-13,3.29,4.45,38929
2016-05-16,3.23,4.38,85149
2016-05-17,3.28,4.44,52674
2016-05-18,3.25,4.4,42908
2016-05-19,3.17,4.29,1483620
2016-05-20,3.18,4.31,67921
2016-05-23,3.14,4.25,94755
2016-05-24,3.25,4.41,109668
2016-05-25,3.29,4.45,68851
2016-05-26,3.22,4.36,98106
2016-05-27,3.26,4.41,63898
2016-05-30,3.28,4.44,65697
