date,adjusted_close,close,volume
2016-01-07,1.85,1.85,18486
2016-01-10,1.78,1.78,49144
2016-01-11,1.78,1.78,17710
2016-01-12,1.78,1.78,11984
2016-01-13,1.78,1.78,22157
2016-01-14,1.78,1.78,0
2016-01-17,1.78,1.78,19696
2016-01-18,1.82,1.82,34533
2016-01-19,1.88,1.88,22017
2016-01-20,1.85,1.85,76025
2016-01-21,1.88,1.88,9692
2016-01-24,1.88,1.88,3372
2016-01-26,1.88,1.88,3390
2016-01-27,2.02,2.02,58867
2016-01-28,2.02,2.02,48159
2016-01-31,1.88,1.88,94185
2016-02-01,1.88,1.88,24719
2016-02-02,1.88,1.88,9374
2016-02-03,1.92,1.92,105189
2016-02-04,1.98,1.98,178950
2016-02-07,1.98,1.98,56377
2016-02-08,1.92,1.92,40218
2016-02-09,1.98,1.98,70488
2016-02-10,1.98,1.98,77891
2016-02-11,1.98,1.98,90479
2016-02-14,2.02,2.02,70372
2016-02-15,2.02,2.02,49728
2016-02-16,1.95,1.95,28033
2016-02-17,1.92,1.92,115669
2016-02-18,1.95,1.95,29708
2016-02-21,1.88,1.88,60973
2016-02-22,1.95,1.95,16126
2016-02-23,1.95,1.95,18844
2016-02-24,1.95,1.95,0
2016-02-25,1.88,1.88,5782
2016-02-28,1.95,1.95,28870
2016-02-29,1.88,1.88,575
2016-03-01,1.92,1.92,32035
2016-03-02,1.92,1.92,729
2016-03-03,1.92,1.92,877
2016-03-06,1.92,1.92,1694
2016-03-07,1.92,1.92,1709
2016-03-08,1.92,1.92,0
2016-03-09,1.88,1.88,25719
2016-03-10,1.92,1.92,13135
2016-03-13,1.88,1.88,23046
2016-03-14,1.92,1.92,13979
2016-03-15,1.92,1.92,17718
2016-03-16,1.92,1.92,20104
2016-03-17,1.85,1.85,605
2016-03-20,1.85,1.85,0
2016-03-21,1.85,1.85,4771
2016-03-22,1.82,1.82,34615
2016-03-23,1.92,1.92,26735
2016-03-28,1.88,1.88,2462
2016-03-29,1.92,1.92,317810
2016-03-30,1.92,1.92,420
2016-03-31,1.92,1.92,3443
2016-04-01,1.92,1.92,300613
2016-04-04,1.78,1.78,6326
2016-04-05,1.78,1.78,166
2016-04-06,1.78,1.78,0
2016-04-07,1.82,1.82,3842
2016-04-08,1.78,1.78,4201
2016-04-11,1.82,1.82,302
2016-04-12,1.82,1.82,305
2016-04-13,1.82,1.82,1080
2016-04-14,1.82,1.82,21567
