date,adjusted_close,close,volume
2016-01-07,1.54,2.18,2593
2016-01-10,1.56,2.21,14940
2016-01-11,1.55,2.2,235075
2016-01-12,1.53,2.17,129672
2016-01-13,1.54,2.18,150081
2016-01-14,1.53,2.17,4608
2016-01-17,1.53,2.17,0
2016-01-18,1.59,2.25,3011
2016-01-19,1.53,2.16,19462
2016-01-20,1.55,2.19,9057
2016-01-21,1.6,2.27,2429
2016-01-24,1.5,2.13,625
2016-01-26,1.57,2.22,1999
2016-01-27,1.51,2.14,1934
2016-01-28,1.51,2.14,0
2016-01-31,1.55,2.2,35914
2016-02-01,1.55,2.19,2499
2016-02-02,1.55,2.19,0
2016-02-03,1.55,2.2,11240
2016-02-04,1.58,2.23,3402
2016-02-07,1.58,2.23,0
2016-02-08,1.55,2.2,28009
2016-02-09,1.55,2.2,0
2016-02-10,1.51,2.14,253010
2016-02-11,1.49,2.11,9577
2016-02-14,1.49,2.11,0
2016-02-15,1.53,2.16,1067
2016-02-16,1.51,2.14,4321
2016-02-17,1.52,2.15,5162
2016-02-18,1.48,2.1,332830
2016-02-21,1.5,2.13,259306
2016-02-22,1.53,2.17,15252
2016-02-23,1.54,2.18,5178
2016-02-24,1.55,2.2,10285
2016-02-25,1.65,2.34,6088
2016-02-28,1.57,2.22,3791
2016-02-29,1.68,2.38,2744
2016-03-01,1.64,2.32,36665
2016-03-02,1.65,2.33,9766
2016-03-03,1.65,2.33,0
2016-03-06,1.65,2.33,11431
2016-03-07,1.67,2.36,20861
2016-03-08,1.62,2.3,10850
2016-03-09,1.57,2.22,25317
2016-03-10,1.64,2.32,9978
2016-03-13,1.6,2.27,10145
2016-03-14,1.56,2.21,6929
2016-03-15,1.62,2.3,11307
2016-03-16,1.6,2.27,5886
2016-03-17,1.53,2.16,38107
2016-03-20,1.59,2.25,372850
2016-03-21,1.67,2.36,12642
2016-03-22,1.62,2.3,25622
2016-03-23,1.58,2.24,35106
2016-03-28,1.68,2.38,22199
2016-03-29,1.66,2.29,13950
2016-03-30,1.69,2.33,2925
2016-03-31,1.73,2.39,6390
2016-04-01,1.73,2.39,249333
2016-04-04,1.73,2.39,29669
2016-04-05,1.73,2.39,21049
2016-04-06,1.74,2.4,9476
2016-04-07,1.75,2.42,4260
2016-04-08,1.75,2.42,850
2016-04-11,1.75,2.42,0
2016-04-12,1.75,2.42,52527
2016-04-13,1.75,2.42,7617
2016-04-14,1.79,2.47,2013
2016-04-15,1.75,2.42,5151
2016-04-18,1.75,2.42,0
2016-04-19,1.75,2.42,16114
2016-04-20,1.75,2.42,4980
2016-04-21,1.68,2.32,60365
2016-04-22,1.68,2.32,0
2016-04-26,1.66,2.29,16317
2016-04-27,1.74,2.4,2060
2016-04-28,1.74,2.4,0
2016-04-29,1.73,2.39,10495
2016-05-01,1.76,2.43,391600
2016-05-02,1.75,2.42,13770
2016-05-03,1.75,2.41,29008
2016-05-04,1.74,2.4,24653
2016-05-05,1.75,2.42,29840
2016-05-06,1.8,2.49,69877
2016-05-09,1.8,2.48,25930
2016-05-10,1.8,2.49,10507
2016-05-11,1.85,2.55,6004
2016-05-12,1.83,2.53,23470
2016-05-13,1.85,2.55,6691
2016-05-16,1.85,2.55,1884
2016-05-17,1.91,2.63,15533
2016-05-18,1.89,2.61,1445
2016-05-19,1.83,2.52,731
2016-05-20,1.82,2.51,35460
2016-05-23,1.77,2.45,1406
2016-05-24,1.81,2.5,30912
2016-05-25,1.77,2.45,30458
2016-05-26,1.79,2.47,26152
2016-05-27,1.75,2.41,7769
2016-05-30,1.76,2.43,100
2016-05-31,1.76,2.43,0
2016-06-01,1.81,2.5,50481
2016-06-02,1.83,2.53,12036
2016-06-03,1.83,2.53,0
2016-06-06,1.86,2.57,5515
2016-06-07,1.85,2.56,15408
2016-06-08,1.81,2.5,19781
2016-06-09,1.85,2.55,1405
2016-06-10,1.8,2.49,6903
2016-06-14,1.77,2.45,13867
2016-06-15,1.75,2.41,3321
2016-06-16,1.8,2.49,24401
2016-06-17,1.78,2.46,14279
2016-06-20,1.71,2.36,3351
2016-06-21,1.75,2.41,204
2016-06-22,1.72,2.38,12538
2016-06-23,1.73,2.39,5666
2016-06-24,1.72,2.38,44623
2016-06-27,1.74,2.4,2043
2016-06-28,1.73,2.39,32650
2016-06-29,1.77,2.45,15040
2016-06-30,1.8,2.49,3858
2016-07-01,1.83,2.53,7967
2016-07-04,1.84,2.54,3388
2016-07-05,1.8,2.49,38
2016-07-06,1.8,2.49,21290
2016-07-07,1.8,2.49,0
2016-07-08,1.8,2.49,0
2016-07-11,1.86,2.57,1232
2016-07-12,1.86,2.57,6465
2016-07-13,1.86,2.57,1117
2016-07-14,1.88,2.59,1869
2016-07-15,1.82,2.51,12235
2016-07-18,1.8,2.48,324869
2016-07-19,1.85,2.55,7141
2016-07-20,1.86,2.57,16244
2016-07-21,1.86,2.57,555
2016-07-22,1.88,2.59,1886
2016-07-25,1.91,2.63,24319
2016-07-26,1.92,2.65,20088
2016-07-27,1.91,2.63,7563
2016-07-28,1.92,2.65,96857
2016-07-29,1.91,2.63,1224
2016-08-01,2.06,2.85,16811
2016-08-02,2.15,2.97,3701
2016-08-03,1.93,2.67,44566
2016-08-04,1.9,2.62,5000
2016-08-05,1.93,2.66,10207
2016-08-08,2.03,2.8,18042
2016-08-09,2.02,2.79,187674
2016-08-10,1.99,2.74,16442
2016-08-11,1.99,2.74,14883
2016-08-12,1.98,2.73,6492
2016-08-15,1.93,2.66,15023
2016-08-16,1.96,2.7,17627
2016-08-17,1.96,2.7,1236
2016-08-18,2.01,2.78,514
2016-08-19,2.01,2.77,18459
2016-08-22,2.06,2.85,3190
2016-08-23,2.06,2.85,647
2016-08-24,2,2.76,3856
2016-08-25,2.06,2.85,256
2016-08-26,1.99,2.75,16338
2016-08-29,1.98,2.73,29288
2016-08-30,2.01,2.77,309486
2016-08-31,2.03,2.8,960
2016-09-01,1.96,2.71,3376
2016-09-02,2.02,2.79,208990
2016-09-05,2.04,2.82,43279
2016-09-06,2.06,2.85,575
2016-09-07,2.14,2.96,17690
2016-09-08,2.14,2.95,43810
2016-09-09,2.1,2.9,17419
2016-09-12,2.03,2.8,14509
2016-09-13,2.03,2.8,9679
2016-09-14,1.98,2.73,22858
2016-09-15,1.96,2.7,20690
2016-09-16,2.03,2.8,4941
2016-09-19,1.99,2.75,300
2016-09-20,2.04,2.81,7624
2016-09-21,1.99,2.75,15547
2016-09-22,1.98,2.73,19802
2016-09-23,1.98,2.73,0
2016-09-26,1.96,2.7,91761
2016-09-27,1.92,2.65,85300
2016-09-28,1.88,2.6,38668
2016-09-29,1.87,2.56,23961
2016-09-30,1.87,2.56,0
2016-10-01,1.77,2.42,635202
2016-10-02,1.88,2.57,21982
2016-10-03,1.87,2.56,54552
2016-10-04,1.81,2.48,31457
2016-10-05,1.81,2.47,6222
2016-10-06,1.79,2.45,60353
2016-10-09,1.88,2.57,5732
2016-10-10,1.9,2.6,32713
2016-10-11,1.89,2.59,6049
2016-10-12,1.84,2.51,250
2016-10-13,1.84,2.51,0
2016-10-16,1.9,2.6,5883
2016-10-17,1.81,2.48,70063
2016-10-18,1.81,2.48,19306
2016-10-19,1.81,2.48,15720
2016-10-20,1.78,2.44,35421
2016-10-23,1.8,2.46,18298
2016-10-24,1.78,2.43,20816
2016-10-25,1.76,2.4,172917
2016-10-26,1.78,2.44,4161
2016-10-27,1.78,2.44,36598
2016-10-30,1.77,2.42,16709
2016-10-31,1.76,2.41,17131
2016-11-01,1.83,2.5,26625
2016-11-02,1.81,2.48,9458
2016-11-03,1.79,2.45,13243
2016-11-06,1.79,2.45,0
2016-11-07,1.9,2.6,14487
2016-11-08,1.94,2.65,36115
2016-11-09,1.76,2.4,69027
2016-11-10,1.73,2.36,9390
2016-11-13,1.67,2.28,36158
2016-11-14,1.7,2.33,7030
2016-11-15,1.73,2.36,21578
2016-11-16,1.76,2.4,22108
2016-11-17,1.78,2.43,2112
2016-11-20,1.87,2.56,6709
2016-11-21,1.82,2.49,22881
2016-11-22,1.76,2.41,28965
2016-11-23,1.77,2.42,35840
2016-11-24,1.76,2.4,145141
2016-11-27,1.76,2.4,41747
2016-11-28,1.76,2.4,0
2016-11-29,1.82,2.49,32274
2016-11-30,1.83,2.5,142181
2016-12-01,1.78,2.43,176686
2016-12-04,1.8,2.46,6758
2016-12-05,1.82,2.49,21503
2016-12-06,1.81,2.47,50165
2016-12-07,1.88,2.57,6949
2016-12-08,1.83,2.5,8986
2016-12-11,1.83,2.5,0
2016-12-12,1.79,2.45,5000
2016-12-13,1.83,2.5,39464
2016-12-14,1.78,2.44,29173
2016-12-15,1.79,2.45,767038
2016-12-18,1.79,2.45,25148
2016-12-19,1.77,2.42,4641
2016-12-20,1.77,2.42,0
2016-12-21,1.76,2.41,9308
2016-12-22,1.77,2.42,7668
2016-12-27,1.78,2.44,25191
2016-12-28,1.79,2.45,2799
2016-12-29,1.83,2.5,16000
2017-01-01,1.89,2.59,381565
2017-01-02,1.83,2.5,2000
2017-01-03,1.81,2.48,133183
2017-01-04,1.84,2.51,29348
2017-01-05,1.84,2.51,0
2017-01-08,1.83,2.5,15048
2017-01-09,1.9,2.6,35035
2017-01-10,1.9,2.6,6530
2017-01-11,1.9,2.6,0
2017-01-12,1.9,2.6,0
2017-01-15,1.88,2.57,1405
2017-01-16,1.88,2.57,3684
2017-01-17,1.86,2.55,68681
2017-01-18,1.86,2.55,0
2017-01-19,1.87,2.56,29770
2017-01-22,1.86,2.55,7900
2017-01-23,1.9,2.6,8902
2017-01-24,1.94,2.65,16876
2017-01-26,1.92,2.63,9071
2017-01-29,1.97,2.69,9048
2017-01-30,1.89,2.59,5084
2017-01-31,1.84,2.52,940
2017-02-01,1.84,2.52,12628
2017-02-02,1.86,2.54,57579
2017-02-05,1.9,2.6,14510
2017-02-06,1.87,2.56,3586
2017-02-07,1.87,2.56,18079
2017-02-08,1.9,2.6,2078
2017-02-09,1.87,2.56,10000
2017-02-12,1.83,2.5,23236
2017-02-13,1.83,2.5,0
2017-02-14,1.83,2.5,0
2017-02-15,1.84,2.52,58358
2017-02-16,1.77,2.42,15958
2017-02-19,1.78,2.44,878
2017-02-20,1.8,2.46,2026
2017-02-21,1.84,2.51,500
2017-02-22,1.79,2.45,30034
2017-02-23,1.86,2.55,61033
2017-02-26,1.85,2.53,60017
2017-02-27,1.86,2.55,23916
2017-02-28,1.86,2.55,34014
2017-03-01,1.88,2.57,8163
2017-03-02,1.86,2.54,37349
2017-03-05,1.84,2.52,8849
2017-03-06,1.86,2.54,17505
2017-03-07,1.89,2.58,10872
2017-03-08,1.86,2.55,31107
2017-03-09,1.85,2.53,8860
2017-03-12,1.83,2.5,12987
2017-03-13,1.89,2.59,22207
2017-03-14,1.85,2.53,11123
2017-03-15,1.87,2.56,4752
2017-03-16,1.86,2.55,56905
2017-03-19,1.89,2.58,21469
2017-03-20,1.86,2.55,6243
2017-03-21,1.85,2.53,15266
2017-03-22,1.85,2.53,0
2017-03-23,1.92,2.63,9981
2017-03-26,1.92,2.63,101164
2017-03-27,1.92,2.63,10004
2017-03-28,1.92,2.63,26673
2017-03-29,1.91,2.59,9746
2017-03-30,1.91,2.59,29929
2017-04-01,1.88,2.55,238773
2017-04-03,1.9,2.58,36205
2017-04-04,1.96,2.65,22016
2017-04-05,1.92,2.6,26061
2017-04-06,2,2.71,405
2017-04-07,2,2.71,11951
