date,adjusted_close,close,volume
2015-10-19,0.64,0.64,811636
2015-10-20,0.63,0.63,1227243
2015-10-21,0.63,0.63,1462823
2015-10-22,0.6,0.6,1999972
2015-10-23,0.62,0.62,1448336
2015-10-26,0.61,0.61,1027789
2015-10-27,0.61,0.61,886261
2015-10-28,0.59,0.59,1735962
2015-10-29,0.59,0.59,1630404
2015-10-30,0.61,0.61,1971453
2015-11-02,0.6,0.6,971086
2015-11-03,0.61,0.61,1099795
2015-11-04,0.63,0.63,3320059
2015-11-05,0.63,0.63,1918110
2015-11-06,0.63,0.63,3289329
2015-11-09,0.61,0.61,2243373
2015-11-10,0.61,0.61,3219779
2015-11-11,0.62,0.62,2684201
2015-11-12,0.62,0.62,1967488
2015-11-13,0.59,0.59,1723397
2015-11-16,0.6,0.6,2660190
2015-11-17,0.63,0.63,1649127
2015-11-18,0.63,0.63,6372377
2015-11-19,0.66,0.66,4227750
2015-11-20,0.66,0.66,1738071
2015-11-23,0.65,0.65,2070694
2015-11-24,0.63,0.63,3475105
2015-11-25,0.64,0.64,2202384
2015-11-26,0.64,0.64,2666901
2015-11-27,0.64,0.64,1754413
2015-11-30,0.66,0.66,5366593
2015-12-01,0.71,0.71,6423898
2015-12-02,0.7,0.7,7272728
2015-12-03,0.71,0.71,5888842
2015-12-04,0.7,0.7,2599843
2015-12-07,0.71,0.71,3397126
2015-12-08,0.73,0.73,3880574
2015-12-09,0.71,0.71,1888287
2015-12-10,0.71,0.71,2382194
2015-12-11,0.7,0.7,2270864
2015-12-14,0.69,0.69,2573857
2015-12-15,0.69,0.69,2655592
2015-12-16,0.68,0.68,2546896
2015-12-17,0.69,0.69,4205052
2015-12-18,0.7,0.7,6915365
2015-12-21,0.71,0.71,2044378
2015-12-22,0.71,0.71,2546734
2015-12-23,0.72,0.72,1334581
2015-12-24,0.72,0.72,607686
2015-12-28,0.72,0.72,0
2015-12-29,0.73,0.73,2579506
2015-12-30,0.75,0.75,1716486
2015-12-31,0.75,0.75,2080211
2016-01-04,0.75,0.75,1975473
2016-01-05,0.76,0.76,3403379
2016-01-06,0.73,0.73,2091872
2016-01-07,0.71,1.79,3255326
2016-01-08,0.71,0.71,3255326
2016-01-10,0.68,1.71,2709261
2016-01-11,0.68,1.71,2249941
2016-01-12,0.68,1.72,2720060
2016-01-13,0.67,1.68,2194311
2016-01-14,0.66,1.65,1417547
2016-01-15,0.66,0.66,1417547
2016-01-17,0.65,1.63,1692554
2016-01-18,0.67,1.69,2195711
2016-01-19,0.67,1.68,2404597
2016-01-20,0.67,1.68,1683546
2016-01-21,0.67,1.68,1409481
2016-01-22,0.67,0.67,1409481
2016-01-24,0.68,1.71,1540512
2016-01-25,0.68,0.68,1540512
2016-01-26,0.67,1.68,1935496
2016-01-27,0.67,1.68,1754718
2016-01-28,0.65,1.65,2144713
2016-01-29,0.65,0.65,2144713
2016-01-31,0.64,1.62,1748327
2016-02-01,0.6,1.52,2188263
2016-02-02,0.58,1.47,2870557
2016-02-03,0.59,1.5,2508176
2016-02-04,0.56,1.42,10991622
2016-02-05,0.56,0.56,10991622
2016-02-07,0.56,1.4,2180383
2016-02-08,0.53,1.34,2722129
2016-02-09,0.52,1.31,3317547
2016-02-10,0.53,1.34,1929646
2016-02-11,0.53,1.34,6337164
2016-02-12,0.53,0.53,6337164
2016-02-14,0.54,1.36,1817895
2016-02-15,0.55,1.38,1582203
2016-02-16,0.55,1.39,8823719
2016-02-17,0.57,1.44,1732041
2016-02-18,0.56,1.41,1826003
2016-02-19,0.56,0.56,1826003
2016-02-21,0.55,1.39,1183260
2016-02-22,0.57,1.44,2998863
2016-02-23,0.57,1.45,2834639
2016-02-24,0.6,1.52,2075075
2016-02-25,0.59,1.49,3923316
2016-02-26,0.59,0.59,3923316
2016-02-28,0.59,1.5,7120309
2016-02-29,0.6,1.5,5465082
2016-03-01,0.61,1.46,4580579
2016-03-02,0.63,1.51,3844746
2016-03-03,0.66,1.59,4846997
2016-03-04,0.66,0.66,4846997
2016-03-06,0.65,1.55,4644300
2016-03-07,0.64,1.53,4220075
2016-03-08,0.64,1.54,2568771
2016-03-09,0.65,1.54,2147992
2016-03-10,0.64,1.54,2350379
2016-03-11,0.64,0.64,2350379
2016-03-13,0.66,1.58,2559495
2016-03-14,0.65,1.55,2847336
2016-03-15,0.66,1.58,1668774
2016-03-16,0.66,1.57,3871595
2016-03-17,0.67,1.61,5861395
2016-03-18,0.67,0.67,5861395
2016-03-20,0.67,1.61,2377395
2016-03-21,0.68,1.62,2055981
2016-03-22,0.65,1.56,6552776
2016-03-23,0.65,1.55,3162868
2016-03-24,0.65,0.65,3162868
2016-03-28,0.64,1.53,3290649
2016-03-29,0.64,1.52,2886216
2016-03-30,0.65,1.56,810345
2016-03-31,0.63,1.5,3740718
2016-04-01,0.63,0.63,3740718
2016-04-04,0.64,1.52,1085202
2016-04-05,0.49,1.16,14262310
2016-04-06,0.5,1.18,15339019
2016-04-07,0.47,1.13,6811335
2016-04-08,0.46,1.11,6650011
2016-04-11,0.46,1.1,8957380
2016-04-12,0.47,1.12,4043539
2016-04-13,0.46,1.1,4313918
2016-04-14,0.48,1.15,2495859
2016-04-15,0.49,1.16,1454093
2016-04-18,0.47,1.13,3557859
2016-04-19,0.49,1.16,4208881
2016-04-20,0.47,1.12,3098647
2016-04-21,0.46,1.11,2148855
2016-04-22,0.47,1.12,14606643
2016-04-26,0.47,1.12,2001961
2016-04-27,0.46,1.11,4091344
2016-04-28,0.47,1.12,2549317
2016-04-29,0.47,1.13,11607336
2016-05-02,0.49,1.17,7358702
2016-05-03,0.5,1.2,2522653
2016-05-04,0.52,1.24,2306641
2016-05-05,0.51,1.21,2109840
2016-05-06,0.51,1.22,3599194
2016-05-09,0.53,1.26,2362259
2016-05-10,0.5,1.21,2517834
2016-05-11,0.5,1.2,2235866
2016-05-12,0.5,1.2,5967276
2016-05-13,0.51,1.21,2466136
2016-05-16,0.52,1.25,3875920
2016-05-17,0.53,1.27,2450766
2016-05-18,0.52,1.25,1816682
2016-05-19,0.51,1.22,2368917
2016-05-20,0.51,1.22,2017902
2016-05-23,0.51,1.22,2043526
2016-05-24,0.49,1.17,3514777
2016-05-25,0.49,1.17,2963205
2016-05-26,0.5,1.2,1549624
2016-05-27,0.5,1.18,1993741
2016-05-30,0.5,1.2,3905195
2016-05-31,0.51,1.22,2374835
2016-06-01,0.5,1.2,1220434
2016-06-02,0.49,1.17,1967838
2016-06-03,0.49,1.17,1065450
2016-06-06,0.5,1.18,895308
2016-06-07,0.48,1.15,939027
2016-06-08,0.48,1.15,2239078
2016-06-09,0.48,1.15,1415399
2016-06-10,0.48,1.15,1363846
2016-06-14,0.47,1.12,2127704
2016-06-15,0.46,1.1,3620285
2016-06-16,0.45,1.07,6136423
2016-06-17,0.46,1.1,3497885
2016-06-20,0.46,1.11,2410824
2016-06-21,0.45,1.08,2503856
2016-06-22,0.45,1.07,2081369
2016-06-23,0.45,1.07,2180047
2016-06-24,0.44,1.05,3592841
2016-06-27,0.43,1.03,2388275
2016-06-28,0.43,1.02,3105531
2016-06-29,0.44,1.04,1584978
2016-06-30,0.44,1.05,2591358
2016-07-01,0.44,1.04,1400218
2016-07-04,0.44,1.05,1583692
2016-07-05,0.43,1.03,844125
2016-07-06,0.44,1.04,3698160
2016-07-07,0.44,1.04,5075509
2016-07-08,0.44,1.04,1087037
2016-07-11,0.44,1.06,2270575
2016-07-12,0.46,1.1,4172781
2016-07-13,0.48,1.14,1641180
2016-07-14,0.47,1.12,488952
2016-07-15,0.48,1.14,1218202
2016-07-18,0.47,1.13,802530
2016-07-19,0.47,1.13,1272385
2016-07-20,0.47,1.13,2720952
2016-07-21,0.47,1.13,2329732
2016-07-22,0.46,1.1,1395030
2016-07-25,0.46,1.1,2086970
2016-07-26,0.45,1.07,2661975
2016-07-27,0.45,1.07,1147770
2016-07-28,0.45,1.08,1124900
2016-07-29,0.46,1.1,2730249
2016-08-01,0.45,1.09,1051701
2016-08-02,0.39,0.93,21421063
2016-08-03,0.39,0.94,7604458
2016-08-04,0.4,0.95,22878990
2016-08-05,0.41,0.99,3237539
2016-08-08,0.42,1,1604548
2016-08-09,0.42,1.01,1741429
2016-08-10,0.42,1.01,1855557
2016-08-11,0.43,1.02,1590630
