date,adjusted_close,close,volume
2016-01-07,2.35,2.35,379272
2016-01-10,2.3,2.3,150916
2016-01-11,2.2,2.2,458312
2016-01-12,2.2,2.2,646765
2016-01-13,2.15,2.15,518200
2016-01-14,2.25,2.25,749336
2016-01-17,2.25,2.25,239363
2016-01-18,2.15,2.15,253244
2016-01-19,2.05,2.05,340524
2016-01-20,2.05,2.05,499584
2016-01-21,2.05,2.05,399475
2016-01-24,2.01,2.01,282501
2016-01-26,2.05,2.05,284038
2016-01-27,2.05,2.05,300083
2016-01-28,2.05,2.05,321017
2016-01-31,2.1,2.1,226798
2016-02-01,2.1,2.1,159660
2016-02-02,2.1,2.1,189871
2016-02-03,2.05,2.05,137620
2016-02-04,2.05,2.05,86373
2016-02-07,2.05,2.05,259335
2016-02-08,1.91,1.91,427604
2016-02-09,1.81,1.81,577096
2016-02-10,1.86,1.86,115365
2016-02-11,1.71,1.71,710633
2016-02-14,1.81,1.81,464089
2016-02-15,1.91,1.91,203882
2016-02-16,1.76,1.76,430631
2016-02-17,1.96,1.96,755568
2016-02-18,1.96,1.96,459199
2016-02-21,1.86,1.86,204188
2016-02-22,1.96,1.96,140311
2016-02-23,1.86,1.86,386085
2016-02-24,1.86,1.86,358053
2016-02-25,1.86,1.86,351993
2016-02-28,1.81,1.81,394079
2016-02-29,1.81,1.81,312608
2016-03-01,1.81,1.81,290521
2016-03-02,1.81,1.81,180777
2016-03-03,1.91,1.91,432683
2016-03-06,1.96,1.96,410247
2016-03-07,1.91,1.91,1013767
2016-03-08,2.15,2.15,1129167
2016-03-09,2.15,2.15,665083
2016-03-10,2.05,2.05,691715
2016-03-13,1.96,1.96,365035
2016-03-14,2.05,2.05,165024
2016-03-15,2.01,2.01,182241
2016-03-16,2.1,2.1,429392
2016-03-17,2.15,2.15,1002506
2016-03-20,2.3,2.3,634152
2016-03-21,2.4,2.4,1022446
2016-03-22,2.45,2.45,1044597
2016-03-23,2.45,2.45,428930
2016-03-28,2.54,2.54,526208
2016-03-29,2.45,2.45,717991
2016-03-30,2.35,2.35,835816
2016-03-31,2.25,2.25,188740
2016-04-01,2.59,2.59,10532491
2016-04-04,2.25,2.25,189298
2016-04-05,2.25,2.25,599392
2016-04-06,2.35,2.35,641796
2016-04-07,2.35,2.35,737519
2016-04-08,2.35,2.35,332318
2016-04-11,2.5,2.5,645885
2016-04-12,2.5,2.5,764022
2016-04-13,2.59,2.59,1494765
2016-04-14,2.64,2.64,538565
2016-04-15,2.59,2.59,746322
2016-04-18,2.45,2.45,408271
2016-04-19,2.54,2.54,583296
2016-04-20,2.45,2.45,579158
2016-04-21,2.45,2.45,577304
2016-04-22,2.4,2.4,221355
2016-04-26,2.35,2.35,234664
2016-04-27,2.4,2.4,295667
2016-04-28,2.5,2.5,289781
2016-04-29,2.59,2.59,464373
2016-05-01,2.15,2.15,6554713
2016-05-02,2.54,2.54,458054
2016-05-03,2.45,2.45,286403
2016-05-04,2.4,2.4,264431
2016-05-05,2.35,2.35,242363
2016-05-06,2.3,2.3,295022
2016-05-09,2.35,2.35,152795
2016-05-10,2.25,2.25,304679
2016-05-11,2.3,2.3,388848
2016-05-12,2.3,2.3,188681
2016-05-13,2.25,2.25,342481
2016-05-16,2.2,2.2,385658
2016-05-17,2.25,2.25,133020
2016-05-18,2.2,2.2,136345
2016-05-19,2.15,2.15,226813
2016-05-20,2.25,2.25,203441
2016-05-23,2.25,2.25,326895
2016-05-24,2.2,2.2,162556
2016-05-25,2.2,2.2,913315
2016-05-26,2.25,2.25,201513
2016-05-27,2.25,2.25,284023
2016-05-30,2.2,2.2,166039
2016-05-31,2.15,2.15,491338
2016-06-01,2.1,2.1,223402
2016-06-02,2.05,2.05,446564
2016-06-03,2.2,2.2,340188
2016-06-06,2.1,2.1,736553
2016-06-07,2.1,2.1,312896
2016-06-08,2.05,2.05,257186
2016-06-09,2.05,2.05,260902
2016-06-10,2.15,2.15,272545
2016-06-14,2.01,2.01,334222
2016-06-15,2.01,2.01,174045
2016-06-16,1.96,1.96,604457
2016-06-17,1.86,1.86,382031
2016-06-20,1.86,1.86,292442
2016-06-21,1.96,1.96,620601
2016-06-22,1.91,1.91,230808
2016-06-23,1.86,1.86,743165
