date,adjusted_close,close,volume
2015-10-19,10.64,10.64,610008
2015-10-20,10.59,10.59,1528262
2015-10-21,10.44,10.44,1363471
2015-10-22,10.36,10.36,1345641
2015-10-23,10.65,10.65,1771669
2015-10-26,10.65,10.65,682241
2015-10-27,10.62,10.62,701768
2015-10-28,10.55,10.55,616508
2015-10-29,10.4,10.4,1208570
2015-10-30,10.57,10.57,901941
2015-11-02,10.72,10.72,912936
2015-11-03,10.92,10.92,1534094
2015-11-04,11.14,11.14,1653571
2015-11-05,11,11,1502079
2015-11-06,11.11,11.11,817412
2015-11-09,11,11,726062
2015-11-10,11,11,1559589
2015-11-11,11.09,11.09,1093819
2015-11-12,11.17,11.17,1453725
2015-11-13,11.21,11.21,1440867
2015-11-16,11.09,11.09,1089490
2015-11-17,11.32,11.32,935018
2015-11-18,11.35,11.35,876099
2015-11-19,11.64,11.64,2154600
2015-11-20,11.68,11.68,1296502
2015-11-23,11.93,11.93,1632329
2015-11-24,11.86,11.86,1448149
2015-11-25,11.82,11.82,2432849
2015-11-26,11.87,11.87,725844
2015-11-27,11.42,11.42,2085849
2015-11-30,11.43,11.43,1617820
2015-12-01,11.73,11.73,958057
2015-12-02,11.65,11.65,879566
2015-12-03,11.61,11.61,848958
2015-12-04,11.42,11.42,1269440
2015-12-07,11.59,11.59,1363542
2015-12-08,11.53,11.53,1013505
2015-12-09,11.58,11.58,1081622
2015-12-10,11.54,11.54,1152176
2015-12-11,11.52,11.52,900605
2015-12-14,11.47,11.47,1149454
2015-12-15,11.56,11.56,1224393
2015-12-16,11.78,11.78,1294523
2015-12-17,12.16,12.16,1630380
2015-12-18,11.94,11.94,1651076
2015-12-21,11.9,11.9,748887
2015-12-22,12.12,12.12,1200504
2015-12-23,12.16,12.16,714382
2015-12-24,12.21,12.21,238996
2015-12-28,12.21,12.21,0
2015-12-29,12.4,12.4,765215
2015-12-30,12.58,12.58,653642
2015-12-31,12.67,12.67,724427
2016-01-04,12.37,12.37,1365567
2016-01-05,12.23,12.23,1064231
2016-01-06,12,12,858736
2016-01-07,11.46,13.91,1288548
2016-01-08,11.46,11.46,1288548
2016-01-10,11.51,13.98,1102783
2016-01-11,11.29,13.71,1584839
2016-01-12,11.48,13.94,1022941
2016-01-13,11.31,13.73,1234070
2016-01-14,11.52,13.99,1283939
2016-01-15,11.52,11.52,1283939
2016-01-17,11.31,13.73,1365960
2016-01-18,11.45,13.9,820374
2016-01-19,11.53,14,1795760
2016-01-20,11.51,13.97,1408730
2016-01-21,11.61,14.1,936265
2016-01-22,11.61,11.61,936265
2016-01-24,11.93,14.49,707211
2016-01-25,11.93,11.93,707211
2016-01-26,11.8,14.33,1010954
2016-01-27,11.86,14.4,940171
2016-01-28,11.93,14.48,1944555
2016-01-29,11.93,11.93,1944555
2016-01-31,12.17,14.77,1530840
2016-02-01,11.97,14.53,1365910
2016-02-02,11.75,14.26,1055977
2016-02-03,11.37,13.81,1947380
2016-02-04,11.27,13.68,1046700
2016-02-05,11.27,11.27,1046700
2016-02-07,11.09,13.47,1030767
2016-02-08,10.63,12.91,1525400
2016-02-09,10.34,12.55,1511046
2016-02-10,10.42,12.65,981885
2016-02-11,10.19,12.37,1639022
2016-02-12,10.19,10.19,1639022
2016-02-14,10.26,12.46,1117698
2016-02-15,10.57,12.83,1171738
2016-02-16,10.91,13.24,1426225
2016-02-17,11.2,13.6,1431851
2016-02-18,11.07,13.44,1017037
2016-02-19,11.07,11.07,1017037
2016-02-21,11.21,13.61,725216
2016-02-22,11.32,13.74,1254596
2016-02-23,10.98,13.33,1445165
2016-02-24,11.84,14.38,4789436
2016-02-25,12.63,15.33,3952573
2016-02-26,12.63,12.63,3952573
2016-02-28,12.78,15.52,2391271
2016-02-29,13.06,15.86,2793506
2016-03-01,12.84,15.59,2196496
2016-03-02,13.26,16.1,2329283
2016-03-03,13.04,15.83,1505747
2016-03-04,13.04,13.04,1505747
2016-03-06,13.06,15.85,1633034
2016-03-07,13.11,15.92,1763611
2016-03-08,13.38,16.24,1191067
2016-03-09,13.32,16.17,1708524
2016-03-10,13.34,16.19,795133
2016-03-11,13.34,13.34,795133
2016-03-13,13.44,16.32,657463
2016-03-14,13.06,15.86,1368218
2016-03-15,12.92,15.68,989152
2016-03-16,12.93,15.7,1816205
2016-03-17,12.66,15.37,1532642
2016-03-18,12.66,12.66,1532642
2016-03-20,12.6,15.3,1189735
2016-03-21,12.77,15.5,1030376
2016-03-22,12.79,15.53,903559
2016-03-23,12.94,15.71,1281798
2016-03-24,12.94,12.94,1281798
2016-03-28,12.79,15.53,816891
2016-03-29,13.05,15.84,884062
2016-03-30,13.33,16.18,1163151
2016-03-31,13.23,16.06,1117514
2016-04-01,13.23,13.23,1117514
2016-04-04,13.1,15.91,724937
2016-04-05,12.93,15.49,1371648
2016-04-06,13.11,15.71,841830
2016-04-07,13.05,15.63,547536
2016-04-08,12.94,15.5,561125
2016-04-11,12.91,15.47,368082
2016-04-12,12.85,15.4,485332
2016-04-13,12.8,15.34,858958
2016-04-14,12.69,15.2,1448350
2016-04-15,12.97,15.54,944674
2016-04-18,13.07,15.66,743582
2016-04-19,13.21,15.83,1152080
2016-04-20,13.48,16.15,914930
2016-04-21,13.69,16.4,1094849
2016-04-22,13.53,16.21,1353647
2016-04-26,13.44,16.1,680454
2016-04-27,13.28,15.91,853128
2016-04-28,13.61,16.31,766094
2016-04-29,13.66,16.37,649146
2016-05-02,13.77,16.5,656842
2016-05-03,14.02,16.8,1049385
2016-05-04,13.99,16.76,823683
2016-05-05,14.05,16.83,718010
2016-05-06,14.17,16.98,720150
2016-05-09,14.32,17.16,703225
2016-05-10,13.81,16.54,1985940
2016-05-11,13.72,16.44,1252235
2016-05-12,13.63,16.33,1309440
2016-05-13,13.64,16.34,1010792
2016-05-16,13.6,16.29,1064654
2016-05-17,13.68,16.39,1279694
2016-05-18,13.39,16.04,1017620
2016-05-19,13.4,16.06,942812
2016-05-20,13.44,16.1,1269289
2016-05-23,13.4,16.06,883382
2016-05-24,13.09,15.68,1253544
2016-05-25,13.4,16.05,1054170
2016-05-26,13.37,16.02,845537
2016-05-27,13.43,16.09,740907
2016-05-30,13.49,16.16,426283
2016-05-31,13.61,16.3,1449305
2016-06-01,13.52,16.2,686684
2016-06-02,13.08,15.67,1348863
2016-06-03,13.21,15.83,567034
2016-06-06,13.15,15.75,691094
2016-06-07,13.1,15.7,655241
2016-06-08,12.97,15.54,1169405
2016-06-09,13.08,15.67,750187
2016-06-10,13.15,15.76,650957
2016-06-14,12.92,15.48,1115137
2016-06-15,12.85,15.39,1313090
