date,adjusted_close,close,volume
2016-01-07,0.38,0.38,77844
2016-01-10,0.37,0.37,9402
2016-01-11,0.4,0.4,13100
2016-01-12,0.38,0.38,5199
2016-01-13,0.38,0.38,50498
2016-01-14,0.38,0.38,40233
2016-01-17,0.36,0.36,123459
2016-01-18,0.35,0.35,26710
2016-01-19,0.36,0.36,51255
2016-01-20,0.35,0.35,71914
2016-01-21,0.35,0.35,39976
2016-01-24,0.36,0.36,198695
2016-01-26,0.38,0.38,10000
2016-01-27,0.37,0.37,48585
2016-01-28,0.38,0.38,40520
2016-01-31,0.37,0.37,17807
2016-02-01,0.35,0.35,23976
2016-02-02,0.36,0.36,52576
2016-02-03,0.38,0.38,17050
2016-02-04,0.37,0.37,35984
2016-02-07,0.35,0.35,104837
2016-02-08,0.34,0.34,191024
2016-02-09,0.34,0.34,105643
2016-02-10,0.34,0.34,288200
2016-02-11,0.35,0.35,116000
2016-02-14,0.32,0.32,34792
2016-02-15,0.35,0.35,104466
2016-02-16,0.32,0.32,157000
2016-02-17,0.32,0.32,137159
2016-02-18,0.31,0.31,205245
2016-02-21,0.34,0.34,22255
2016-02-22,0.34,0.34,27226
2016-02-23,0.34,0.34,134131
2016-02-24,0.33,0.33,248173
2016-02-25,0.32,0.32,116198
2016-02-28,0.33,0.33,58170
2016-02-29,0.32,0.32,36286
2016-03-01,0.32,0.32,36158
2016-03-02,0.31,0.31,145752
2016-03-03,0.33,0.33,58034
2016-03-06,0.34,0.34,75497
2016-03-07,0.35,0.35,160294
2016-03-08,0.44,0.44,346799
2016-03-09,0.44,0.44,205981
2016-03-10,0.44,0.44,95118
2016-03-13,0.46,0.46,262328
2016-03-14,0.46,0.46,104558
2016-03-15,0.47,0.47,59543
2016-03-16,0.47,0.47,145732
2016-03-17,0.47,0.47,122659
2016-03-20,0.47,0.47,81263
2016-03-21,0.47,0.47,115095
2016-03-22,0.54,0.54,408016
2016-03-23,0.47,0.47,584772
2016-03-28,0.5,0.5,43567
2016-03-29,0.5,0.5,186399
2016-03-30,0.53,0.53,28041
2016-03-31,0.51,0.51,120771
2016-04-01,0.37,0.37,9831230
2016-04-04,0.53,0.53,36085
2016-04-05,0.53,0.53,120184
2016-04-06,0.52,0.52,39258
2016-04-07,0.52,0.52,75786
2016-04-08,0.55,0.55,87438
2016-04-11,0.64,0.64,785209
2016-04-12,0.69,0.69,534891
2016-04-13,0.64,0.64,399952
2016-04-14,0.64,0.64,0
2016-04-15,0.64,0.64,0
2016-04-18,0.34,0.34,2960826
2016-04-19,0.33,0.33,1721813
2016-04-20,0.38,0.38,1137967
2016-04-21,0.37,0.37,653558
2016-04-22,0.34,0.34,175786
2016-04-26,0.34,0.34,287490
2016-04-27,0.34,0.34,367568
2016-04-28,0.38,0.38,196423
2016-04-29,0.37,0.37,130225
2016-05-01,0.34,0.34,3127896
2016-05-02,0.34,0.34,189197
2016-05-03,0.34,0.34,367868
2016-05-04,0.32,0.32,327388
2016-05-05,0.34,0.34,252294
2016-05-06,0.34,0.34,125457
2016-05-09,0.34,0.34,93594
2016-05-10,0.36,0.36,187787
2016-05-11,0.35,0.35,55347
2016-05-12,0.37,0.37,302333
2016-05-13,0.35,0.35,216874
2016-05-16,0.35,0.35,31366
2016-05-17,0.36,0.36,40388
2016-05-18,0.37,0.37,159231
2016-05-19,0.35,0.35,129329
2016-05-20,0.35,0.35,220758
2016-05-23,0.34,0.34,84870
2016-05-24,0.34,0.34,55951
2016-05-25,0.34,0.34,90253
2016-05-26,0.34,0.34,45040
2016-05-27,0.34,0.34,55957
2016-05-30,0.35,0.35,71709
2016-05-31,0.34,0.34,24905
2016-06-01,0.34,0.34,39821
2016-06-02,0.33,0.33,84525
2016-06-03,0.32,0.32,72466
2016-06-06,0.33,0.33,63380
2016-06-07,0.33,0.33,18575
2016-06-08,0.33,0.33,58459
2016-06-09,0.34,0.34,80797
2016-06-10,0.35,0.35,241339
2016-06-14,0.33,0.33,28268
2016-06-15,0.34,0.34,55323
2016-06-16,0.33,0.33,67801
2016-06-17,0.34,0.34,12268
2016-06-20,0.33,0.33,58944
2016-06-21,0.32,0.32,26566
2016-06-22,0.32,0.32,122881
2016-06-23,0.31,0.31,185437
2016-06-24,0.31,0.31,211507
2016-06-27,0.31,0.31,75831
2016-06-28,0.32,0.32,66268
2016-06-29,0.31,0.31,77654
2016-06-30,0.31,0.31,214723
2016-07-01,0.33,0.33,180984
2016-07-04,0.33,0.33,11815
2016-07-05,0.34,0.34,11935
2016-07-06,0.34,0.34,33418
2016-07-07,0.32,0.32,59973
2016-07-08,0.34,0.34,5984
2016-07-11,0.31,0.31,141046
2016-07-12,0.31,0.31,193535
2016-07-13,0.31,0.31,267849
2016-07-14,0.29,0.29,803361
2016-07-15,0.29,0.29,1015955
2016-07-18,0.3,0.3,667751
2016-07-19,0.29,0.29,320004
2016-07-20,0.3,0.3,322615
2016-07-21,0.29,0.29,50508
2016-07-22,0.3,0.3,2000
