date,adjusted_close,close,volume
2018-10-21,1.68,1.68,610164
2018-10-22,1.77,1.77,214206
2018-10-23,1.82,1.82,80909
2018-10-24,1.77,1.77,67226
2018-10-25,1.67,1.67,117748
2018-10-28,1.67,1.67,7624
2018-10-29,1.62,1.62,70500
2018-10-30,1.61,1.61,11741
2018-10-31,1.62,1.62,864
2018-11-01,1.52,1.52,13225
2018-11-04,1.63,1.63,51845
2018-11-05,1.63,1.63,0
2018-11-06,1.63,1.63,0
2018-11-07,1.67,1.67,25414
2018-11-08,1.67,1.67,0
2018-11-11,1.67,1.67,0
2018-11-12,1.62,1.62,56331
2018-11-13,1.57,1.57,165319
2018-11-14,1.52,1.52,85206
2018-11-15,1.57,1.57,45745
2018-11-18,1.51,1.51,141508
2018-11-19,1.48,1.48,54252
2018-11-20,1.48,1.48,0
2018-11-21,1.48,1.48,0
2018-11-22,1.48,1.48,0
2018-11-25,1.48,1.48,0
2018-11-26,1.48,1.48,63821
2018-11-27,1.47,1.47,13723
2018-11-28,1.44,1.44,205192
2018-11-29,1.44,1.44,23861
2018-12-02,1.43,1.43,20941
2018-12-03,1.38,1.38,46762
2018-12-04,1.36,1.36,10020
2018-12-05,1.36,1.36,0
2018-12-06,1.36,1.36,0
2018-12-09,1.28,1.28,18552
2018-12-10,1.28,1.28,50828
2018-12-11,1.28,1.28,0
2018-12-12,1.28,1.28,1016
2018-12-13,1.23,1.23,2134
2018-12-16,1.23,1.23,0
2018-12-17,1.23,1.23,9657
2018-12-18,1.23,1.23,0
2018-12-19,1.23,1.23,10908
2018-12-20,1.23,1.23,0
2018-12-23,1.18,1.18,3253
2018-12-24,1.33,1.33,28667
2018-12-26,1.33,1.33,25414
2018-12-27,1.33,1.33,0
2018-12-30,1.33,1.33,0
2018-12-31,1.19,1.19,1346
2019-01-01,1.33,1.33,0
2019-01-02,1.33,1.33,0
2019-01-03,1.19,1.19,1346
2019-01-06,1.19,1.19,304
2019-01-07,1.19,1.19,0
2019-01-08,1.19,1.19,0
2019-01-09,1.18,1.18,20687
2019-01-10,1.18,1.18,0
2019-01-13,1.18,1.18,0
2019-01-14,1.28,1.28,25944
2019-01-15,1.28,1.28,0
2019-01-16,1.28,1.28,0
2019-01-17,1.28,1.28,0
2019-01-20,1.28,1.28,0
2019-01-21,1.33,1.33,18298
2019-01-22,1.38,1.38,7624
2019-01-23,1.33,1.33,1270
2019-01-24,1.33,1.33,151316
2019-01-28,1.33,1.33,0
2019-01-29,1.38,1.38,1016
2019-01-30,1.38,1.38,0
2019-01-31,1.38,1.38,66077
2019-02-03,1.33,1.33,18203
2019-02-04,1.31,1.31,7990
2019-02-05,1.31,1.31,0
2019-02-06,1.28,1.28,74718
2019-02-07,1.31,1.31,58330
2019-02-10,1.28,1.28,8523
2019-02-11,1.33,1.33,54676
2019-02-12,1.43,1.43,362185
2019-02-13,1.37,1.37,160434
2019-02-14,1.33,1.33,133973
2019-02-17,1.33,1.33,71304
2019-02-18,1.31,1.31,46936
2019-02-19,1.27,1.27,63160
2019-02-20,1.27,1.27,10252
2019-02-21,1.3,1.3,28668
2019-02-24,1.31,1.31,128693
2019-02-25,1.33,1.33,79290
2019-02-26,1.33,1.33,44546
2019-02-27,1.32,1.32,84666
2019-02-28,1.31,1.31,14443
2019-03-03,1.31,1.31,4523
2019-03-04,1.32,1.32,18186
2019-03-05,1.35,1.35,46271
2019-03-06,1.39,1.39,54893
2019-03-07,1.36,1.36,39108
2019-03-10,1.33,1.33,90421
2019-03-11,1.33,1.33,59872
2019-03-12,1.34,1.34,80323
2019-03-13,1.33,1.33,41312
2019-03-14,1.34,1.34,20706
2019-03-17,1.34,1.34,15527
2019-03-18,1.32,1.32,4749
2019-03-19,1.3,1.3,13409
2019-03-20,1.27,1.27,61698
2019-03-21,1.23,1.23,70101
2019-03-24,1.2,1.2,12245
2019-03-25,1.23,1.23,37454
2019-03-26,1.23,1.23,37454
2019-03-27,1.23,1.23,0
2019-03-28,1.2,1.2,103065
2019-03-31,1.16,1.16,43173
2019-04-01,1.16,1.16,76418
2019-04-02,1.2,1.2,14232
2019-04-03,1.23,1.23,83608
2019-04-04,1.23,1.23,8042
2019-04-08,1.24,1.24,18582
2019-04-09,1.26,1.26,14259
2019-04-10,1.36,1.36,11182
2019-04-11,1.38,1.38,52207
2019-04-12,1.38,1.38,32697
2019-04-15,1.43,1.43,19291
2019-04-16,1.43,1.43,0
2019-04-17,1.34,1.34,11698
2019-04-18,1.35,1.35,27913
2019-04-22,1.43,1.43,42119
2019-04-23,1.38,1.38,9479
2019-04-24,1.38,1.38,19874
2019-04-26,1.43,1.43,12766
2019-04-29,1.57,1.57,110223
2019-04-30,1.57,1.57,79288
2019-05-01,1.52,1.52,383210
2019-05-02,1.57,1.57,139913
2019-05-03,1.57,1.57,117590
2019-05-06,1.51,1.51,40679
2019-05-07,1.51,1.51,2315
2019-05-08,1.49,1.49,16155
2019-05-09,1.47,1.47,3885
2019-05-10,1.41,1.41,57610
2019-05-13,1.4,1.4,25654
2019-05-14,1.4,1.4,40959
2019-05-15,1.38,1.38,13874
2019-05-16,1.41,1.41,9520
2019-05-17,1.38,1.38,30755
2019-05-20,1.38,1.38,34236
2019-05-21,1.42,1.42,50650
2019-05-22,1.37,1.37,32606
2019-05-23,1.33,1.33,27668
2019-05-24,1.28,1.28,55669
2019-05-27,1.33,1.33,30772
2019-05-28,1.41,1.41,280514
2019-05-29,1.38,1.38,109217
2019-05-30,1.54,1.54,118217
2019-05-31,1.66,1.66,352238
2019-06-03,1.62,1.62,177207
2019-06-04,1.48,1.48,449493
2019-06-05,1.48,1.48,27587
2019-06-06,1.48,1.48,67585
2019-06-07,1.51,1.51,66438
2019-06-10,1.51,1.51,276688
2019-06-11,1.52,1.52,43825
2019-06-12,1.48,1.48,31930
2019-06-13,1.51,1.51,114756
2019-06-14,1.51,1.51,86177
2019-06-17,1.51,1.51,109826
2019-06-18,1.48,1.48,82745
2019-06-19,1.48,1.48,118388
2019-06-20,1.48,1.48,64121
2019-06-21,1.52,1.52,38500
2019-06-24,1.49,1.49,30177
2019-06-25,1.53,1.53,272252
2019-06-26,1.53,1.53,145226
2019-06-27,1.55,1.55,155473
2019-06-28,1.68,1.68,177111
2019-07-01,1.83,1.83,305422
2019-07-02,1.81,1.81,99683
2019-07-03,1.85,1.85,102121
2019-07-04,2.11,2.11,220001
2019-07-05,2.07,2.07,133807
2019-07-08,1.96,1.96,130282
2019-07-09,2,2,67776
2019-07-10,2.03,2.03,89334
2019-07-11,2.07,2.07,241942
2019-07-12,2.06,2.06,95845
2019-07-15,2.03,2.03,85000
2019-07-16,1.93,1.93,104239
2019-07-17,1.94,1.94,20836
2019-07-18,1.91,1.91,17882
2019-07-19,1.9,1.9,71416
2019-07-22,1.89,1.89,19622
2019-07-23,1.87,1.87,79517
2019-07-24,1.94,1.94,179068
2019-07-25,1.91,1.91,70223
2019-07-26,1.97,1.97,83731
2019-07-29,1.97,1.97,128351
2019-07-30,2.06,2.06,125481
2019-07-31,2.05,2.05,35517
2019-08-01,1.97,1.97,70202
2019-08-02,1.91,1.91,46496
2019-08-05,1.95,1.95,75178
2019-08-06,1.82,1.82,489346
2019-08-07,1.86,1.86,189093
2019-08-08,1.93,1.93,19056
2019-08-09,1.97,1.97,31835
2019-08-12,1.99,1.99,53570
2019-08-13,2.04,2.04,34290
2019-08-14,2.03,2.03,15989
2019-08-15,1.89,1.89,190631
2019-08-16,1.91,1.91,33929
2019-08-19,1.91,1.91,18225
2019-08-20,1.89,1.89,23812
2019-08-21,1.84,1.84,43437
2019-08-22,1.83,1.83,4588
2019-08-23,1.89,1.89,3412
2019-08-26,1.82,1.82,40107
2019-08-27,1.9,1.9,20135
2019-08-28,1.9,1.9,37986
2019-08-29,1.94,1.94,64907
2019-08-30,1.9,1.9,27465
2019-09-02,1.89,1.89,25188
2019-09-03,1.89,1.89,22981
2019-09-04,1.85,1.85,437154
2019-09-05,1.82,1.82,45564
2019-09-06,1.79,1.79,113847
2019-09-09,1.77,1.77,55513
2019-09-10,1.77,1.77,11497
2019-09-11,1.75,1.75,69368
2019-09-12,1.67,1.67,84821
2019-09-13,1.7,1.7,83097
2019-09-16,1.72,1.72,12846
2019-09-17,1.71,1.71,17077
2019-09-18,1.74,1.74,47649
2019-09-19,1.74,1.74,20975
2019-09-20,1.87,1.87,32149
2019-09-23,1.86,1.86,20858
2019-09-24,1.84,1.84,32428
2019-09-25,1.78,1.78,18457
2019-09-26,1.76,1.76,28305
2019-09-27,1.77,1.77,4374
2019-09-30,1.74,1.74,25124
2019-10-01,1.78,1.78,15274
2019-10-02,1.78,1.78,522
2019-10-03,1.78,1.78,10165
2019-10-04,1.71,1.71,16447
