date,adjusted_close,close,volume
2015-10-19,0.06,0.06,11155082
2015-10-20,0.06,0.06,11203243
2015-10-21,0.06,0.06,16135764
2015-10-22,0.06,0.06,11227571
2015-10-23,0.07,0.07,34595681
2015-10-26,0.07,0.07,15221564
2015-10-27,0.07,0.07,18917308
2015-10-28,0.07,0.07,9601652
2015-10-29,0.06,0.06,32216890
2015-10-30,0.06,0.06,43543339
2015-11-02,0.06,0.06,49611529
2015-11-03,0.06,0.06,21341984
2015-11-04,0.06,0.06,40738243
2015-11-05,0.06,0.06,29780139
2015-11-06,0.06,0.06,33725506
2015-11-09,0.06,0.06,22213718
2015-11-10,0.06,0.06,37644344
2015-11-11,0.06,0.06,12548823
2015-11-12,0.06,0.06,19983531
2015-11-13,0.06,0.06,23919171
2015-11-16,0.06,0.06,29709223
2015-11-17,0.06,0.06,41090590
2015-11-18,0.06,0.06,34369367
2015-11-19,0.06,0.06,37447793
2015-11-20,0.06,0.06,33215152
2015-11-23,0.06,0.06,15906370
2015-11-24,0.06,0.06,25513037
2015-11-25,0.06,0.06,20297216
2015-11-26,0.06,0.06,19305534
2015-11-27,0.06,0.06,11579498
2015-11-30,0.06,0.06,29002098
2015-12-01,0.06,0.06,38025672
2015-12-02,0.06,0.06,20189306
2015-12-03,0.06,0.06,25299626
2015-12-04,0.06,0.06,34951596
2015-12-07,0.06,0.06,14632385
2015-12-08,0.06,0.06,32775966
2015-12-09,0.06,0.06,45846162
2015-12-10,0.06,0.06,33831318
2015-12-11,0.06,0.06,25874092
2015-12-14,0.06,0.06,52084041
2015-12-15,0.06,0.06,46789084
2015-12-16,0.06,0.06,34295356
2015-12-17,0.06,0.06,34148806
2015-12-18,0.06,0.06,31970665
2015-12-21,0.06,0.06,15902094
2015-12-22,0.06,0.06,17455849
2015-12-23,0.06,0.06,8753633
2015-12-24,0.06,0.06,4898296
2015-12-28,0.06,0.06,0
2015-12-29,0.06,0.06,19800046
2015-12-30,0.06,0.06,9790344
2015-12-31,0.06,0.06,15187155
2016-01-04,0.06,0.06,15668808
2016-01-05,0.06,0.06,18950809
2016-01-06,0.06,0.06,20463249
2016-01-07,0.06,0.6,25130335
2016-01-08,0.06,0.06,25130335
2016-01-10,0.06,0.6,30081231
2016-01-11,0.06,0.61,28991780
2016-01-12,0.06,0.62,20098287
2016-01-13,0.06,0.61,22615541
2016-01-14,0.06,0.59,20335598
2016-01-15,0.06,0.06,20335598
2016-01-17,0.06,0.59,25704307
2016-01-18,0.06,0.61,22412713
2016-01-19,0.06,0.61,34613354
2016-01-20,0.06,0.61,17801336
2016-01-21,0.06,0.62,12408824
2016-01-22,0.06,0.06,12408824
2016-01-24,0.06,0.63,16261524
2016-01-25,0.06,0.06,16261524
2016-01-26,0.06,0.63,24834309
2016-01-27,0.06,0.63,29255236
2016-01-28,0.06,0.62,27570624
2016-01-29,0.06,0.06,27570624
2016-01-31,0.06,0.63,22246605
2016-02-01,0.06,0.63,17104329
2016-02-02,0.06,0.61,22292994
2016-02-03,0.06,0.59,60134280
2016-02-04,0.06,0.58,46266309
2016-02-05,0.06,0.06,46266309
2016-02-07,0.06,0.58,23114735
2016-02-08,0.07,0.56,45321326
2016-02-09,0.07,0.56,28721515
2016-02-10,0.07,0.56,36182848
2016-02-11,0.07,0.56,35968137
2016-02-12,0.07,0.07,35968137
2016-02-14,0.07,0.57,22626796
2016-02-15,0.07,0.57,23138605
2016-02-16,0.07,0.56,30489664
2016-02-17,0.07,0.57,26334372
2016-02-18,0.07,0.57,21484163
2016-02-19,0.07,0.07,21484163
2016-02-21,0.07,0.58,18346874
2016-02-22,0.07,0.58,18326578
2016-02-23,0.07,0.59,32549955
2016-02-24,0.07,0.58,32469593
2016-02-25,0.07,0.58,11486943
2016-02-26,0.07,0.07,11486943
2016-02-28,0.07,0.58,16482536
2016-02-29,0.07,0.58,21218868
2016-03-01,0.07,0.59,22901183
2016-03-02,0.07,0.58,34982903
2016-03-03,0.07,0.57,27736724
2016-03-04,0.07,0.07,27736724
2016-03-06,0.07,0.56,42657315
2016-03-07,0.07,0.56,43025726
2016-03-08,0.07,0.56,47946637
2016-03-09,0.07,0.55,23912347
