date,adjusted_close,close,volume
2024-04-29,1.53,1.7,4672716
2024-04-30,1.51,1.68,1410969
2024-05-01,1.52,1.69,739003
2024-05-02,1.53,1.7,732245
2024-05-03,1.44,1.6,380611
2024-05-06,1.41,1.57,361723
2024-05-07,1.42,1.58,328221
2024-05-08,1.44,1.6,443707
2024-05-09,1.5,1.67,442435
2024-05-10,1.5,1.67,619215
2024-05-13,1.5,1.67,142042
2024-05-14,1.46,1.6,78755
2024-05-15,1.45,1.59,176047
2024-05-16,1.46,1.6,357203
2024-05-17,1.44,1.58,354914
2024-05-20,1.46,1.6,202244
2024-05-21,1.44,1.58,170272
2024-05-22,1.46,1.6,201812
2024-05-23,1.41,1.55,199751
2024-05-24,1.36,1.49,201121
2024-05-27,1.35,1.48,799220
2024-05-28,1.35,1.48,258144
2024-05-29,1.42,1.56,128875
2024-05-30,1.34,1.47,100302
2024-05-31,1.35,1.48,101516
2024-06-03,1.35,1.48,44176
2024-06-04,1.32,1.45,292900
2024-06-05,1.37,1.5,249272
2024-06-06,1.41,1.54,204387
2024-06-07,1.41,1.55,95068
2024-06-11,1.35,1.48,43879
2024-06-12,1.41,1.54,168784
2024-06-13,1.38,1.51,68498
2024-06-14,1.37,1.5,106174
2024-06-17,1.32,1.45,404059
2024-06-18,1.38,1.51,456718
2024-06-19,1.36,1.49,34707
2024-06-20,1.36,1.49,361237
2024-06-21,1.38,1.51,177783
2024-06-24,1.37,1.5,152926
2024-06-25,1.34,1.47,473126
2024-06-26,1.37,1.5,71474
2024-06-27,1.37,1.5,127685
2024-06-28,1.38,1.51,91017
2024-07-01,1.38,1.51,95383
2024-07-02,1.38,1.51,186325
2024-07-03,1.38,1.51,62350
2024-07-04,1.37,1.5,111033
2024-07-05,1.35,1.48,43498
2024-07-08,1.37,1.5,4955
2024-07-09,1.38,1.51,90786
2024-07-10,1.37,1.5,200323
2024-07-11,1.47,1.61,571465
2024-07-12,1.43,1.57,585589
2024-07-15,1.5,1.64,232622
2024-07-16,1.49,1.63,693112
2024-07-17,1.52,1.66,691472
2024-07-18,1.56,1.71,161867
2024-07-19,1.56,1.71,444315
2024-07-22,1.52,1.67,253969
2024-07-23,1.59,1.74,226187
2024-07-24,1.58,1.73,255375
2024-07-25,1.56,1.71,278324
2024-07-26,1.55,1.7,85687
2024-07-29,1.5,1.64,66546
2024-07-30,1.52,1.66,174483
2024-07-31,1.55,1.7,237473
2024-08-01,1.49,1.63,119414
2024-08-02,1.51,1.65,297448
2024-08-05,1.42,1.56,63451
