date,adjusted_close,close,volume
2015-10-19,7.79,7.79,960046
2015-10-20,7.73,7.73,1421374
2015-10-21,7.63,7.63,3018592
2015-10-22,7.61,7.61,1049849
2015-10-23,7.69,7.69,3403990
2015-10-26,7.83,7.83,1151788
2015-10-27,7.94,7.94,2064823
2015-10-28,8.06,8.06,1923117
2015-10-29,7.87,7.87,968174
2015-10-30,8.03,8.03,1323156
2015-11-02,8,8,888289
2015-11-03,8.08,8.08,1327637
2015-11-04,7.99,7.99,1708498
2015-11-05,7.92,7.92,2336734
2015-11-06,8.02,8.02,1651873
2015-11-09,7.95,7.95,1552520
2015-11-10,7.85,7.85,1619378
2015-11-11,7.85,7.85,0
2015-11-12,7.55,7.55,5057715
2015-11-13,7.46,7.46,3327717
2015-11-16,7.41,7.41,2633251
2015-11-17,7.6,7.6,4013920
2015-11-18,7.42,7.42,2189693
2015-11-19,7.55,7.55,2113689
2015-11-20,7.47,7.47,2024502
2015-11-23,7.55,7.55,1704839
2015-11-24,7.63,7.63,2593925
2015-11-25,7.55,7.55,1675878
2015-11-26,7.55,7.55,1490341
2015-11-27,7.53,7.53,1059913
2015-11-30,7.5,7.5,2980580
2015-12-01,7.66,7.66,1584934
2015-12-02,7.72,7.72,743068
2015-12-03,7.8,7.8,1311184
2015-12-04,7.71,7.71,2299043
2015-12-07,7.58,7.58,1609496
2015-12-08,7.46,7.46,1622356
2015-12-09,7.36,7.36,1498907
2015-12-10,7.24,7.24,1746420
2015-12-11,7.19,7.19,1525680
2015-12-14,7.03,7.03,1265148
2015-12-15,7.09,7.09,1594370
2015-12-16,7.2,7.2,1303876
2015-12-17,7.31,7.31,1564533
2015-12-18,7.39,7.39,1797499
2015-12-21,7.2,7.2,1016600
2015-12-22,7.2,7.2,935901
2015-12-23,7.23,7.23,634473
2015-12-24,7.09,7.09,569419
2015-12-28,7.09,7.09,0
2015-12-29,7.24,7.24,1047456
2015-12-30,7.21,7.21,675834
2015-12-31,7.18,7.18,474751
2016-01-04,7.12,7.12,920195
2016-01-05,6.98,6.98,1479386
2016-01-06,6.84,6.84,2102208
2016-01-07,6.73,8.85,1545387
2016-01-08,6.73,6.73,1545387
2016-01-10,6.6,8.69,1832247
2016-01-11,6.79,8.93,2161902
2016-01-12,6.95,9.15,1268718
2016-01-13,6.86,9.03,1915440
2016-01-14,6.9,9.08,1916030
2016-01-15,6.9,6.9,1916030
2016-01-17,6.87,9.03,1397751
2016-01-18,7,9.21,1427334
2016-01-19,7,9.22,1497657
2016-01-20,7.12,9.37,1187572
2016-01-21,7.31,9.62,1709826
2016-01-22,7.31,7.31,1709826
2016-01-24,7.27,9.57,1442729
2016-01-25,7.27,7.27,1442729
2016-01-26,7.1,9.34,1584637
2016-01-27,7.17,9.44,1284088
2016-01-28,7.29,9.6,1371600
2016-01-29,7.29,7.29,1371600
2016-01-31,7.35,9.67,2156239
2016-02-01,7.34,9.66,1306945
2016-02-02,7.33,9.65,1188575
2016-02-03,7.36,9.68,2584993
2016-02-04,7.37,9.69,2028840
2016-02-05,7.37,7.37,2028840
2016-02-07,7.34,9.66,817968
2016-02-08,7.27,9.57,2046618
2016-02-09,7.08,9.32,1759699
2016-02-10,7.24,9.53,806909
2016-02-11,7.13,9.39,1101854
2016-02-12,7.13,7.13,1101854
2016-02-14,7.15,9.41,893903
2016-02-15,7.23,9.51,1033004
2016-02-16,7.17,9.44,991813
2016-02-17,7.34,9.66,866593
2016-02-18,7.33,9.65,1006206
2016-02-19,7.33,7.33,1006206
2016-02-21,7.46,9.82,1041021
2016-02-22,7.37,9.69,1524681
2016-02-23,7.34,9.66,1633892
2016-02-24,7.33,9.65,1107853
2016-02-25,7.45,9.8,1037281
2016-02-26,7.45,7.45,1037281
2016-02-28,7.62,10.03,2982947
2016-02-29,7.59,9.99,1814193
2016-03-01,7.7,10.13,1747810
2016-03-02,7.72,10.16,1143743
2016-03-03,7.58,9.98,2132383
2016-03-04,7.58,7.58,2132383
2016-03-06,7.62,10.03,795908
2016-03-07,7.44,9.79,2224764
2016-03-08,7.56,9.95,1488518
2016-03-09,7.61,10.01,1154112
2016-03-10,7.55,9.94,1046349
2016-03-11,7.55,7.55,1046349
2016-03-13,7.47,9.83,1036068
2016-03-14,7.37,9.7,1251290
2016-03-15,7.53,9.91,1270671
2016-03-16,7.61,10.02,1625383
2016-03-17,7.61,10.01,1423283
2016-03-18,7.61,7.61,1423283
2016-03-20,7.51,9.88,951934
2016-03-21,8.05,10.59,3426039
2016-03-22,8.17,10.75,4343370
2016-03-23,8.31,10.94,1998321
2016-03-24,8.31,8.31,1998321
2016-03-28,8.33,10.96,1849861
2016-03-29,8.16,10.73,2058679
2016-03-30,8.23,10.83,1450942
2016-03-31,8.16,10.73,1553517
2016-04-01,8.16,8.16,1553517
2016-04-04,8.24,10.84,1029395
2016-04-05,8.11,10.68,1496033
2016-04-06,8.19,10.78,2287638
2016-04-07,8.11,10.67,1163135
2016-04-08,8.13,10.7,635256
2016-04-11,8.08,10.63,754833
2016-04-12,8.08,10.63,1173586
2016-04-13,8.04,10.58,1095401
2016-04-14,7.94,10.45,1143776
2016-04-15,8.08,10.63,923906
2016-04-18,7.95,10.4,1195117
2016-04-19,8.01,10.47,1481108
2016-04-20,7.95,10.39,977701
2016-04-21,7.86,10.28,1363002
2016-04-22,7.77,10.16,1736903
2016-04-26,7.98,10.44,1815039
2016-04-27,7.94,10.38,1531001
2016-04-28,7.89,10.31,1001629
2016-04-29,7.82,10.23,953597
2016-05-02,8.09,10.58,1198763
2016-05-03,8.17,10.68,1290322
2016-05-04,8.14,10.65,1001364
2016-05-05,8.11,10.6,1073955
2016-05-06,8.17,10.69,928375
2016-05-09,8.21,10.73,1050300
2016-05-10,8.33,10.9,1390209
2016-05-11,8.44,11.04,1357208
2016-05-12,8.49,11.1,915190
2016-05-13,8.5,11.11,1583635
2016-05-16,8.48,11.09,1253950
2016-05-17,8.51,11.13,1148212
2016-05-18,8.51,11.13,2117184
2016-05-19,8.45,11.05,1139982
2016-05-20,8.6,11.25,928428
2016-05-23,8.68,11.35,1168171
2016-05-24,8.79,11.5,1244162
2016-05-25,8.96,11.71,1358629
2016-05-26,8.85,11.57,1723967
2016-05-27,9.02,11.79,1296490
2016-05-30,8.95,11.7,891279
2016-05-31,9,11.77,5884411
2016-06-01,8.92,11.66,1515033
2016-06-02,8.85,11.57,1510791
2016-06-03,8.96,11.71,1459067
2016-06-06,8.98,11.75,1415949
2016-06-07,8.84,11.56,1440618
2016-06-08,8.82,11.54,1807717
2016-06-09,8.74,11.43,1136851
2016-06-10,8.75,11.44,1079364
2016-06-14,8.68,11.35,1477437
2016-06-15,8.68,11.35,1258185
2016-06-16,8.64,11.3,1265117
2016-06-17,8.59,11.23,1836228
2016-06-20,8.51,11.13,1379387
2016-06-21,8.55,11.18,1914496
2016-06-22,8.57,11.2,1612696
2016-06-23,8.48,11.09,1054372
2016-06-24,8.33,10.89,1917073
2016-06-27,8.58,11.22,1699140
2016-06-28,8.42,11.01,1942656
2016-06-29,8.55,11.18,1585993
2016-06-30,8.69,11.36,1595788
2016-07-01,8.72,11.4,835166
2016-07-04,8.74,11.43,831344
2016-07-05,8.74,11.42,785482
2016-07-06,8.66,11.32,1497618
2016-07-07,8.66,11.33,901702
2016-07-08,8.66,11.32,578578
2016-07-11,8.79,11.49,656548
2016-07-12,8.73,11.41,876977
2016-07-13,8.73,11.41,718020
2016-07-14,8.8,11.51,1139501
2016-07-15,8.75,11.44,749371
2016-07-18,8.86,11.58,686360
2016-07-19,8.88,11.61,1172471
2016-07-20,9.04,11.82,906321
2016-07-21,9.08,11.87,1126917
2016-07-22,8.9,11.64,1173872
2016-07-25,9.01,11.78,945329
2016-07-26,9.17,11.99,1533553
2016-07-27,9.15,11.97,1017788
2016-07-28,9.28,12.14,1114020
2016-07-29,9.37,12.25,1526508
2016-08-01,9.19,12.01,1093400
2016-08-02,9.16,11.98,1010262
2016-08-03,9.26,12.11,1288175
2016-08-04,9.31,12.18,1500710
2016-08-05,9.2,12.02,883176
2016-08-08,9.33,12.2,667117
2016-08-09,9.23,12.06,1111855
2016-08-10,9.2,12.03,626604
2016-08-11,9.3,12.16,649534
2016-08-12,9.24,12.08,799064
2016-08-15,9.22,12.05,761701
2016-08-16,9.13,11.94,630223
2016-08-17,9.01,11.79,1037882
2016-08-18,9.12,11.92,1533269
2016-08-19,9.1,11.9,571296
2016-08-22,9.09,11.89,1254297
2016-08-23,9.23,12.07,692811
2016-08-24,9.11,11.91,825371
2016-08-25,9.02,11.79,558331
2016-08-26,9.06,11.85,704252
2016-08-29,8.93,11.68,625005
2016-08-30,8.79,11.49,853373
2016-08-31,8.9,11.64,1452590
2016-09-01,9.14,11.95,2074005
2016-09-02,9,11.77,1123696
2016-09-05,9.04,11.81,605362
2016-09-06,8.88,11.61,748117
2016-09-07,8.85,11.57,1534895
2016-09-08,8.87,11.6,951289
2016-09-09,8.69,11.36,848131
2016-09-12,8.49,11.1,986452
2016-09-13,8.43,11.02,1400189
2016-09-14,8.6,11.25,1980706
2016-09-15,8.52,11.14,1449336
2016-09-16,8.65,11.31,1255824
2016-09-19,8.64,11.3,195831
2016-09-20,6.78,8.86,11378727
2016-09-21,6.3,8.24,13457070
2016-09-22,6.52,8.52,5493727
2016-09-23,6.68,8.73,4620024
2016-09-26,6.52,8.53,3325655
2016-09-27,6.38,8.34,3831479
2016-09-28,6.33,8.28,2893905
2016-09-29,6.34,8.29,2837715
2016-09-30,6.3,8.23,2090362
2016-10-02,6.22,8.13,2411218
2016-10-03,6.05,7.91,4014200
2016-10-04,5.92,7.74,6985171
2016-10-05,6,7.84,6371362
2016-10-06,5.93,7.75,3829246
2016-10-07,5.93,5.93,3829246
2016-10-09,5.81,7.6,4281926
2016-10-10,5.79,7.56,3137760
2016-10-11,5.73,7.5,2975517
2016-10-12,5.71,7.47,2997948
2016-10-13,5.68,7.42,2082869
2016-10-14,5.68,5.68,2082869
2016-10-16,5.51,7.13,3359552
2016-10-17,5.56,7.19,1861429
2016-10-18,5.63,7.29,2106011
2016-10-19,5.55,7.18,2119816
2016-10-20,5.55,7.18,1603305
2016-10-21,5.55,5.55,1603305
2016-10-23,5.49,7.11,2137175
2016-10-24,5.5,7.12,1559922
2016-10-25,5.33,6.9,1894426
2016-10-26,5.35,6.92,3458210
2016-10-27,5.33,6.9,2029105
2016-10-28,5.33,5.33,2029105
2016-10-30,5.58,7.22,3137512
2016-10-31,5.43,7.03,3622488
2016-11-01,5.27,6.82,3081902
2016-11-02,5.3,6.87,4661214
2016-11-03,5.3,6.87,1218334
2016-11-04,5.3,5.3,1218334
2016-11-06,5.31,6.88,1320198
2016-11-07,5.35,6.92,1555900
