date,adjusted_close,close,volume
2023-01-08,1.14,1.14,1837839
2023-01-09,0.99,0.99,1926547
2023-01-10,0.97,0.97,1245058
2023-01-11,1.07,1.07,612797
2023-01-12,1.17,1.17,1009805
2023-01-15,1.14,1.14,399953
2023-01-16,1.15,1.15,419608
2023-01-17,1.11,1.11,275177
2023-01-18,1.08,1.08,361928
2023-01-19,1.06,1.06,370868
2023-01-22,1.01,1.01,576848
2023-01-23,1.01,1.01,531437
2023-01-24,1.04,1.04,315284
2023-01-26,1.03,1.03,158184
2023-01-29,0.99,0.99,654103
2023-01-30,0.96,0.96,583904
2023-01-31,0.96,0.96,210086
2023-02-01,0.95,0.95,414275
2023-02-02,0.99,0.99,190425
2023-02-05,0.96,0.96,138199
2023-02-06,0.98,0.98,241965
2023-02-07,0.96,0.96,144465
2023-02-08,0.99,0.99,140315
2023-02-09,0.95,0.95,237560
2023-02-12,0.98,0.98,270465
2023-02-13,0.97,0.97,92638
2023-02-14,0.99,0.99,269801
2023-02-15,0.99,0.99,52476
2023-02-16,0.98,0.98,303942
2023-02-19,0.97,0.97,59180
2023-02-20,0.97,0.97,37923
2023-02-21,0.96,0.96,97106
2023-02-22,0.91,0.91,229280
2023-02-23,0.98,0.98,354737
2023-02-26,0.88,0.88,162066
2023-02-27,0.88,0.88,36273
2023-02-28,0.88,0.88,56617
2023-03-01,0.9,0.9,76983
2023-03-02,0.87,0.87,132388
2023-03-05,0.87,0.87,46893
2023-03-06,0.87,0.87,17542
2023-03-07,0.88,0.88,40867
2023-03-08,0.86,0.86,21841
2023-03-09,0.82,0.82,134257
2023-03-12,0.74,0.74,79650
2023-03-13,0.67,0.67,191466
2023-03-14,0.67,0.67,218642
2023-03-15,0.69,0.69,456230
2023-03-16,0.69,0.69,35960
2023-03-19,0.8,0.8,425938
2023-03-20,0.8,0.8,226119
2023-03-21,0.81,0.81,83312
2023-03-22,0.8,0.8,80581
2023-03-23,0.76,0.76,31071
2023-03-26,0.76,0.76,0
2023-03-27,0.8,0.8,115211
2023-03-28,0.76,0.76,101580
2023-03-29,0.77,0.77,40871
2023-03-30,0.77,0.77,89596
2023-04-03,0.79,0.79,104407
2023-04-04,0.79,0.79,169173
2023-04-05,0.79,0.79,328119
2023-04-06,0.8,0.8,78136
2023-04-10,0.82,0.82,614565
2023-04-11,0.8,0.8,224637
2023-04-12,0.78,0.78,74923
2023-04-13,0.8,0.8,151675
2023-04-14,0.82,0.82,163330
2023-04-17,0.83,0.83,174992
2023-04-18,0.82,0.82,122355
2023-04-19,0.89,0.89,156351
2023-04-20,0.89,0.89,173926
2023-04-21,0.9,0.9,174971
2023-04-24,0.88,0.88,196074
2023-04-26,0.89,0.89,207895
2023-04-27,0.88,0.88,36673
2023-04-28,0.89,0.89,38038
2023-05-01,0.89,0.89,249086
2023-05-02,0.89,0.89,64512
2023-05-03,0.89,0.89,155838
2023-05-04,0.92,0.92,181888
2023-05-05,0.9,0.9,115479
2023-05-08,0.9,0.9,173766
2023-05-09,0.88,0.88,284069
2023-05-10,0.88,0.88,79685
2023-05-11,0.84,0.84,109329
2023-05-12,0.82,0.82,72517
2023-05-15,0.85,0.85,51178
2023-05-16,0.78,0.78,646404
2023-05-17,0.76,0.76,117846
2023-05-18,0.77,0.77,156105
2023-05-19,0.79,0.79,3492
2023-05-22,0.76,0.76,54208
2023-05-23,0.75,0.75,103447
2023-05-24,0.76,0.76,25910
2023-05-25,0.75,0.75,52232
2023-05-26,0.73,0.73,91720
2023-05-29,0.75,0.75,49532
