date,adjusted_close,close,volume
2016-12-05,1.67,1.72,5047621
2016-12-06,1.62,1.67,4729991
2016-12-07,1.61,1.65,2316553
2016-12-08,1.65,1.7,2657939
2016-12-11,1.58,1.63,1092147
2016-12-12,1.58,1.63,1961628
2016-12-13,1.58,1.63,648634
2016-12-14,1.52,1.56,657896
2016-12-15,1.38,1.42,1991241
2016-12-18,1.37,1.41,1196397
2016-12-19,1.39,1.43,1446471
2016-12-20,1.43,1.47,955795
2016-12-21,1.4,1.45,636940
2016-12-22,1.4,1.44,476966
2016-12-26,1.6,1.65,2180501
2016-12-27,1.43,1.48,677394
2016-12-28,1.44,1.48,1117983
2016-12-29,1.6,1.65,385124
2017-01-02,1.61,1.66,395876
2017-01-03,1.67,1.72,486591
2017-01-04,1.85,1.9,1020429
2017-01-05,1.83,1.88,1377367
2017-01-08,1.81,1.86,886923
2017-01-09,1.87,1.92,635838
2017-01-10,1.87,1.92,699106
2017-01-11,1.87,1.93,295800
2017-01-12,1.87,1.92,468538
2017-01-15,1.87,1.92,541658
2017-01-16,1.95,2.01,8885600
2017-01-17,1.88,1.94,1117539
2017-01-18,1.81,1.87,604858
2017-01-19,1.87,1.92,482076
2017-01-22,1.85,1.9,705626
2017-01-23,1.88,1.94,444313
2017-01-24,1.87,1.93,991037
2017-01-26,1.89,1.95,1958225
2017-01-29,1.91,1.97,679678
2017-01-30,1.93,1.99,417860
2017-01-31,1.96,2.02,1095323
2017-02-01,1.93,1.99,2127592
2017-02-02,1.94,2,855254
2017-02-05,1.94,2,1088143
2017-02-06,2.19,2.25,2808970
2017-02-07,2.25,2.32,3538782
2017-02-08,2.27,2.34,2161204
2017-02-09,2.28,2.35,676899
2017-02-12,2.31,2.38,797286
2017-02-13,2.4,2.47,1051595
2017-02-14,2.5,2.57,2390516
2017-02-15,2.43,2.5,13747734
2017-02-16,2.46,2.53,1476597
2017-02-19,2.47,2.54,1031609
2017-02-20,2.49,2.56,973414
2017-02-21,2.37,2.44,1122525
2017-02-22,2.46,2.53,923854
2017-02-23,2.47,2.54,560472
2017-02-26,2.5,2.57,666880
2017-02-27,2.36,2.43,1222799
2017-02-28,2.38,2.45,767757
2017-03-01,2.42,2.49,778836
2017-03-02,2.36,2.43,977958
2017-03-05,2.34,2.41,678672
2017-03-06,2.31,2.38,588470
2017-03-07,2.29,2.36,1129232
2017-03-08,2.22,2.29,627061
2017-03-09,2.17,2.23,902801
2017-03-12,2.37,2.44,4286790
2017-03-13,2.52,2.59,6367051
2017-03-14,2.52,2.59,6812630
2017-03-15,2.48,2.55,28528819
2017-03-16,2.36,2.43,36288164
2017-03-19,2.3,2.37,390409
2017-03-20,2.28,2.35,1093537
2017-03-21,2.37,2.44,1829129
2017-03-22,2.27,2.34,710298
2017-03-23,2.25,2.32,1139903
2017-03-26,2.27,2.34,564828
2017-03-27,2.35,2.42,577424
2017-03-28,2.26,2.33,739341
2017-03-29,2.32,2.39,1048149
2017-03-30,2.29,2.36,630286
2017-04-03,2.24,2.31,1183271
2017-04-04,2.28,2.35,119304
2017-04-05,2.31,2.38,406418
2017-04-06,2.29,2.36,354411
2017-04-07,2.3,2.37,2712194
2017-04-10,2.23,2.3,771885
2017-04-11,2.19,2.25,938667
2017-04-12,2.23,2.3,747279
2017-04-13,2.13,2.19,1070545
2017-04-17,1.99,2.05,5009537
2017-04-18,2.02,2.08,2637983
2017-04-19,2.09,2.15,677662
2017-04-20,1.98,2.04,705487
2017-04-21,1.99,2.05,988405
2017-04-24,1.96,2.02,360859
2017-04-26,1.8,1.85,4099534
2017-04-27,1.83,1.88,768560
2017-04-28,1.88,1.94,532451
2017-05-01,1.81,1.86,571663
2017-05-02,1.85,1.9,1667419
2017-05-03,1.79,1.84,389195
2017-05-04,1.77,1.82,1398341
2017-05-05,1.73,1.78,1057307
2017-05-08,1.69,1.74,1369001
2017-05-09,1.64,1.68,1576186
2017-05-10,1.71,1.76,1094111
2017-05-11,1.71,1.76,488880
2017-05-12,1.86,1.91,1001334
2017-05-15,1.99,2.05,1310826
2017-05-16,2.01,2.07,1673646
2017-05-17,2.02,2.08,1676091
2017-05-18,2.04,2.1,1078892
2017-05-19,1.93,1.99,597124
2017-05-22,1.98,2.04,625236
2017-05-23,2.04,2.1,643297
2017-05-24,1.87,1.92,3014931
2017-05-25,1.94,2,753108
2017-05-26,1.87,1.93,733770
2017-05-29,1.87,1.93,400898
2017-05-30,1.96,2.02,672004
2017-05-31,1.89,1.95,1229122
2017-06-01,1.85,1.9,731021
2017-06-02,1.82,1.87,1225863
2017-06-05,1.85,1.9,716228
2017-06-06,1.8,1.85,1683975
2017-06-07,1.88,1.94,1965058
2017-06-08,1.81,1.87,2277165
2017-06-09,1.88,1.94,1544285
2017-06-12,1.94,2,21983203
2017-06-13,1.93,1.99,2419943
2017-06-14,1.96,2.02,928022
2017-06-15,1.94,2,1666005
2017-06-16,1.94,2,16969233
2017-06-19,1.94,2,1027582
2017-06-20,1.84,1.89,1330518
2017-06-21,1.78,1.84,912689
2017-06-22,1.79,1.85,1074487
2017-06-23,1.81,1.86,1517675
2017-06-26,1.85,1.9,1050550
2017-06-27,1.85,1.9,931378
2017-06-28,1.8,1.85,758754
2017-06-29,1.8,1.85,784788
2017-06-30,1.79,1.84,1475915
2017-07-03,1.76,1.81,375294
2017-07-04,1.73,1.78,420884
2017-07-05,1.71,1.76,693777
2017-07-06,1.72,1.77,530687
2017-07-07,1.68,1.73,824813
2017-07-10,1.65,1.7,505290
2017-07-11,1.64,1.68,650778
2017-07-12,1.63,1.68,935265
2017-07-13,1.65,1.7,893683
2017-07-14,1.62,1.66,562762
2017-07-17,1.58,1.63,626812
2017-07-18,1.51,1.55,2128619
2017-07-19,1.55,1.6,1559809
2017-07-20,1.53,1.57,663187
2017-07-21,1.51,1.55,782344
2017-07-24,1.51,1.55,968364
2017-07-25,1.55,1.6,799153
2017-07-26,1.51,1.55,705380
2017-07-27,1.56,1.61,681847
2017-07-28,1.5,1.54,633550
2017-07-31,1.53,1.58,666744
2017-08-01,1.42,1.47,1127018
2017-08-02,1.49,1.53,564616
2017-08-03,1.49,1.53,889926
2017-08-04,1.48,1.52,526842
2017-08-07,1.45,1.5,878023
2017-08-08,1.5,1.54,706926
2017-08-09,1.51,1.55,1025217
2017-08-10,1.55,1.6,1472886
2017-08-11,1.67,1.72,936575
2017-08-14,1.67,1.72,703886
2017-08-15,1.62,1.67,550846
2017-08-16,1.61,1.65,829014
2017-08-17,1.62,1.66,316525
2017-08-18,1.59,1.63,286824
2017-08-21,1.61,1.66,185019
2017-08-22,1.61,1.66,279367
2017-08-23,1.65,1.7,196496
2017-08-24,1.61,1.66,655188
2017-08-25,1.58,1.63,210856
2017-08-28,1.56,1.61,160518
2017-08-29,1.65,1.7,625944
2017-08-30,1.6,1.65,530469
2017-08-31,1.75,1.8,1923242
2017-09-01,1.87,1.92,1307446
2017-09-04,1.9,1.96,937904
2017-09-05,1.87,1.93,809095
2017-09-06,1.92,1.98,997065
2017-09-07,1.96,2.02,877148
2017-09-08,1.94,2,2069810
2017-09-11,2.01,2.07,1233779
2017-09-12,1.91,1.97,1212218
2017-09-13,1.9,1.96,1095038
2017-09-14,1.84,1.89,790599
2017-09-15,1.91,1.97,11308784
2017-09-18,1.87,1.93,695426
2017-09-19,1.94,2,893156
2017-09-20,1.9,1.96,678716
2017-09-21,1.92,1.98,753130
2017-09-22,1.9,1.96,844791
2017-09-25,1.91,1.97,564372
2017-09-26,1.97,2.03,1248074
2017-09-27,2,2.06,1172431
2017-09-28,1.93,1.99,1060706
2017-09-29,1.9,1.96,568200
2017-10-01,1.88,1.94,426676
2017-10-02,1.82,1.88,603678
2017-10-03,1.76,1.82,1047607
2017-10-04,1.85,1.9,714059
2017-10-05,1.85,1.9,228624
2017-10-08,1.84,1.89,381793
2017-10-09,1.84,1.89,1184442
2017-10-10,1.84,1.89,634610
2017-10-11,1.85,1.9,872007
2017-10-12,1.85,1.9,594975
2017-10-15,1.85,1.9,382382
2017-10-16,1.84,1.89,730438
2017-10-17,1.85,1.9,581564
2017-10-18,1.85,1.9,467477
2017-10-19,1.82,1.88,284177
2017-10-22,1.81,1.87,329318
2017-10-23,1.84,1.89,301822
2017-10-24,1.79,1.85,198465
2017-10-25,1.81,1.86,322954
2017-10-26,1.84,1.89,599254
2017-10-29,1.83,1.88,365055
2017-10-30,1.82,1.88,1049976
2017-10-31,1.86,1.91,590026
2017-11-01,1.82,1.87,401397
2017-11-02,1.72,1.77,1065211
2017-11-05,1.74,1.79,362938
2017-11-06,1.76,1.82,234548
2017-11-07,1.77,1.82,315596
2017-11-08,1.76,1.81,509063
2017-11-09,1.79,1.84,220380
2017-11-12,1.76,1.81,521913
2017-11-13,1.79,1.84,482446
2017-11-14,1.78,1.83,589628
2017-11-15,1.78,1.84,388426
2017-11-16,1.83,1.88,393208
2017-11-19,1.82,1.87,450391
2017-11-20,1.82,1.87,276833
2017-11-21,1.77,1.82,372721
2017-11-22,1.78,1.83,134209
2017-11-23,1.77,1.83,295100
2017-11-26,1.75,1.8,243380
2017-11-27,1.77,1.82,181306
2017-11-28,1.75,1.8,364881
2017-11-29,1.83,1.88,507644
2017-11-30,1.82,1.88,1169195
2017-12-03,1.76,1.81,951923
2017-12-04,1.71,1.76,937622
2017-12-05,1.59,1.64,986493
2017-12-06,1.54,1.59,1587193
2017-12-07,1.56,1.61,2512680
2017-12-10,1.58,1.63,1283408
2017-12-11,1.61,1.66,1348572
2017-12-12,1.57,1.62,324013
2017-12-13,1.57,1.62,763089
2017-12-14,1.57,1.62,1131014
2017-12-17,1.52,1.56,1252843
2017-12-18,1.53,1.58,860743
2017-12-19,1.48,1.52,1065639
2017-12-20,1.5,1.54,1315630
2017-12-21,1.6,1.65,1939712
2017-12-25,1.72,1.77,1551224
2017-12-26,1.7,1.75,864830
2017-12-27,1.74,1.79,429765
2017-12-28,1.72,1.77,256629
2018-01-01,1.74,1.79,141811
2018-01-02,1.77,1.82,788166
2018-01-03,1.73,1.78,709113
2018-01-04,1.74,1.79,648453
2018-01-07,1.71,1.76,220372
2018-01-08,1.68,1.73,976296
2018-01-09,1.65,1.7,357393
2018-01-10,1.65,1.7,455858
2018-01-11,1.64,1.69,925016
2018-01-14,1.75,1.8,1127996
2018-01-15,1.71,1.76,135811
2018-01-16,1.68,1.73,505705
2018-01-17,1.64,1.69,663780
2018-01-18,1.61,1.65,507833
2018-01-21,1.56,1.61,377455
2018-01-22,1.55,1.6,581068
2018-01-23,1.61,1.66,542479
2018-01-24,1.62,1.66,722990
2018-01-28,1.51,1.55,658798
2018-01-29,1.55,1.6,1049201
2018-01-30,1.53,1.57,502513
2018-01-31,1.5,1.54,911155
2018-02-01,1.57,1.62,2387301
2018-02-04,1.5,1.54,650872
2018-02-05,1.56,1.61,877249
2018-02-06,1.54,1.59,422592
2018-02-07,1.55,1.6,507516
2018-02-08,1.52,1.56,716024
2018-02-11,1.48,1.52,785441
2018-02-12,1.48,1.52,1068214
2018-02-13,1.5,1.54,322824
2018-02-14,1.49,1.53,381132
2018-02-15,1.5,1.54,1107935
2018-02-18,1.48,1.52,528966
2018-02-19,1.44,1.48,586587
2018-02-20,1.43,1.48,551065
2018-02-21,1.45,1.49,349482
2018-02-22,1.48,1.52,534024
2018-02-25,1.47,1.51,290550
2018-02-26,1.57,1.62,1290384
2018-02-27,1.55,1.6,882087
2018-02-28,1.51,1.55,477777
2018-03-01,1.55,1.6,442158
2018-03-04,1.46,1.5,426583
2018-03-05,1.49,1.53,1239834
2018-03-06,1.52,1.56,1208830
2018-03-07,1.55,1.6,1241890
2018-03-08,1.48,1.52,940365
2018-03-11,1.43,1.47,1004114
2018-03-12,1.44,1.49,710319
2018-03-13,1.47,1.51,493536
2018-03-14,1.45,1.49,695151
2018-03-15,1.44,1.48,2167473
2018-03-18,1.48,1.52,755265
2018-03-19,1.51,1.55,727712
2018-03-20,1.55,1.6,948193
2018-03-21,1.53,1.58,433692
2018-03-22,1.52,1.57,459296
2018-03-25,1.6,1.64,881922
