date,adjusted_close,close,volume
2016-01-07,3.23,4.19,4063592
2016-01-10,3.17,4.11,2280617
2016-01-11,3.02,3.91,2348774
2016-01-12,3.16,4.09,1523302
2016-01-13,3.08,3.99,1871381
2016-01-14,3.1,4.02,1648853
2016-01-17,3.01,3.9,1211766
2016-01-18,2.92,3.78,2105263
2016-01-19,2.66,3.44,2310546
2016-01-20,2.64,3.41,2981312
2016-01-21,2.61,3.39,3181868
2016-01-24,2.71,3.51,2865891
2016-01-26,2.48,3.22,3312714
2016-01-27,2.41,3.12,3000231
2016-01-28,2.46,3.19,5461336
2016-01-31,2.59,3.36,2604001
2016-02-01,2.46,3.19,2580064
2016-02-02,2.33,3.02,2093733
2016-02-03,2.5,3.24,2704079
2016-02-04,2.43,3.14,1791573
2016-02-07,2.54,3.29,2444191
2016-02-08,2.4,3.11,2609204
2016-02-09,2.46,3.19,3549136
2016-02-10,2.39,3.1,2534033
2016-02-11,2.29,2.96,3077645
2016-02-14,2.26,2.93,4131703
2016-02-15,2.56,3.32,3616813
2016-02-16,2.59,3.36,4810692
2016-02-17,2.83,3.67,2588838
2016-02-18,2.69,3.49,2234590
2016-02-21,2.88,3.73,1901771
2016-02-22,3.06,3.96,3888938
2016-02-23,2.66,3.44,4802545
2016-02-24,2.9,3.75,3406047
2016-02-25,2.8,3.63,3452281
2016-02-28,3.05,3.95,3002475
2016-02-29,3.12,4.05,3653385
2016-03-01,3.67,4.75,5059842
2016-03-02,3.88,5.02,5143935
2016-03-03,4.3,5.57,3856989
2016-03-06,4.76,6.16,4718204
2016-03-07,4.31,5.58,4868524
2016-03-08,3.92,5.08,4694520
2016-03-09,4,5.18,3406059
2016-03-10,3.77,4.88,4341699
2016-03-13,3.96,5.13,2895835
2016-03-14,3.74,4.84,2709287
2016-03-15,3.85,4.99,2458263
2016-03-16,4.09,5.3,3361302
2016-03-17,4.07,5.27,11538152
2016-03-20,3.9,5.05,1753479
2016-03-21,4.11,5.32,2542666
2016-03-22,4.02,5.2,1913569
2016-03-23,4.1,5.31,3089620
2016-03-28,4.11,5.32,2669569
2016-03-29,4.07,5.27,2033291
2016-03-30,3.91,5.06,3707674
2016-03-31,3.73,4.84,2920857
2016-04-01,5.08,6.58,53942841
2016-04-04,3.63,4.7,2754103
2016-04-05,3.57,4.63,3180017
2016-04-06,3.76,4.86,2548906
2016-04-07,3.94,5.11,2338498
2016-04-08,3.85,4.99,2724321
2016-04-11,4.05,5.25,1752376
2016-04-12,4.1,5.31,1894125
2016-04-13,4.53,5.86,4467902
2016-04-14,4.8,6.22,3679722
2016-04-15,4.58,5.94,3299289
2016-04-18,4.26,5.51,2942061
2016-04-19,4.55,5.89,2014070
2016-04-20,4.68,6.06,1938353
2016-04-21,5.14,6.65,3215547
2016-04-22,4.8,6.22,3679171
2016-04-26,4.74,6.13,2890770
2016-04-27,4.78,6.19,2025474
2016-04-28,5.01,6.49,1851703
2016-04-29,5.08,6.58,1825576
2016-05-01,4.82,6.24,53244711
2016-05-02,5.08,6.59,1070622
2016-05-03,4.99,6.46,2487337
2016-05-04,4.26,5.51,4796696
2016-05-05,4.34,5.62,3054296
2016-05-06,4.17,5.4,2977787
2016-05-09,4.13,5.34,2183370
2016-05-10,3.91,5.06,3139902
2016-05-11,4.01,5.19,2656993
2016-05-12,4.19,5.43,3111841
2016-05-13,4.18,5.42,1862841
2016-05-16,4.19,5.43,2053623
2016-05-17,4.32,5.6,2323288
2016-05-18,4.43,5.74,2387949
2016-05-19,4.25,5.5,2389880
2016-05-20,4.36,5.64,1443967
2016-05-23,4.2,5.44,1516502
2016-05-24,4.11,5.32,1308730
2016-05-25,4.42,5.73,2043359
2016-05-26,4.63,5.99,3615544
2016-05-27,4.66,6.04,2552712
2016-05-30,4.81,6.23,1812201
2016-05-31,4.82,6.24,2455271
2016-06-01,5.03,6.51,3633602
2016-06-02,5.04,6.53,2538982
2016-06-03,5.23,6.77,2355718
2016-06-06,5.23,6.77,2201421
2016-06-07,5.4,7,2267256
2016-06-08,5.7,7.38,2889376
2016-06-09,5.77,7.48,3609605
2016-06-10,5.56,7.2,2696140
2016-06-14,5.33,6.91,2572260
2016-06-15,5.45,7.06,2161924
2016-06-16,5.15,6.67,3050344
2016-06-17,5.09,6.59,3418449
2016-06-20,5.59,7.23,2213305
2016-06-21,5.57,7.22,1912494
2016-06-22,5.63,7.29,1206365
2016-06-23,5.56,7.21,1238078
2016-06-24,5.22,6.75,3622297
2016-06-27,5.1,6.6,2096149
2016-06-28,4.95,6.42,2173008
2016-06-29,5.06,6.55,2108837
2016-06-30,5.23,6.77,2787480
2016-07-01,5.22,6.75,1534744
2016-07-04,5.45,7.06,1406745
2016-07-05,5.43,7.04,2149014
2016-07-06,5.31,6.88,1853183
2016-07-07,5.22,6.75,2271085
2016-07-08,5.35,6.92,1749701
2016-07-11,5.4,7,1238334
2016-07-12,5.48,7.1,1539453
2016-07-13,5.71,7.39,1710253
2016-07-14,5.56,7.2,1661426
2016-07-15,5.6,7.25,1128856
2016-07-18,5.72,7.41,1100254
2016-07-19,5.6,7.25,1592923
2016-07-20,5.56,7.21,1294417
2016-07-21,5.69,7.38,1343246
2016-07-22,5.85,7.57,2061667
2016-07-25,5.69,7.37,1662219
2016-07-26,5.52,7.15,2817301
2016-07-27,5.43,7.03,2446705
2016-07-28,5.39,6.98,2431673
2016-07-29,5.36,6.94,2919751
2016-08-01,5.51,7.14,1661966
2016-08-02,5.24,6.79,1962488
2016-08-03,5.03,6.51,2572811
2016-08-04,5.23,6.77,1915466
2016-08-05,5.45,7.06,2109569
2016-08-08,5.56,7.2,1084123
2016-08-09,5.63,7.29,1726554
2016-08-10,5.61,7.26,1630656
2016-08-11,5.56,7.21,1598785
2016-08-12,5.65,7.32,1540804
2016-08-15,5.58,7.22,695057
2016-08-16,5.68,7.36,1291633
2016-08-17,5.75,7.44,1095708
2016-08-18,6.31,8.18,3291348
2016-08-19,6.68,8.65,3058124
2016-08-22,6.68,8.65,3092631
2016-08-23,6.3,8.17,3523205
2016-08-24,6.14,7.95,4052570
2016-08-25,5.79,7.5,3096682
2016-08-26,5.76,7.46,2374769
2016-08-29,5.88,7.61,2471438
2016-08-30,6.12,7.92,2196109
2016-08-31,5.93,7.68,3042988
2016-09-01,5.78,7.49,1864106
2016-09-02,5.8,7.51,1341638
2016-09-05,5.89,7.63,1067769
2016-09-06,6.04,7.82,1157576
2016-09-07,6.06,7.85,1293049
2016-09-08,6.09,7.88,1740649
2016-09-09,6.08,7.87,1734484
2016-09-12,5.71,7.39,2868474
2016-09-13,5.56,7.21,2468008
