date,adjusted_close,close,volume
2016-04-11,3.82,3.89,3373476
2016-04-12,3.77,3.84,752563
2016-04-13,3.98,4.05,2138748
2016-04-14,3.96,4.03,771655
2016-04-15,3.94,4.01,243624
2016-04-18,3.83,3.9,748362
2016-04-19,3.88,3.95,271552
2016-04-20,3.88,3.95,169215
2016-04-21,3.97,4.04,207837
2016-04-22,3.93,4,154987
2016-04-26,3.93,4,188855
2016-04-27,3.94,4.01,114500
2016-04-28,3.95,4.02,140712
2016-04-29,3.97,4.04,147110
2016-05-01,4.29,4.37,5153423
2016-05-02,4.03,4.1,248448
2016-05-03,4.17,4.25,129435
2016-05-04,4.22,4.3,81987
2016-05-05,4.22,4.3,78140
2016-05-06,4.29,4.37,136896
2016-05-09,4.48,4.56,126378
2016-05-10,4.65,4.73,284422
2016-05-11,4.68,4.77,480412
2016-05-12,4.63,4.71,238759
2016-05-13,4.51,4.59,141771
2016-05-16,4.42,4.5,175985
2016-05-17,4.21,4.29,199546
2016-05-18,4.47,4.55,236764
2016-05-19,4.5,4.58,308198
2016-05-20,4.42,4.5,158237
2016-05-23,4.37,4.45,1011892
2016-05-24,4.32,4.4,556069
2016-05-25,4.3,4.38,240727
2016-05-26,4.32,4.4,82081
2016-05-27,4.27,4.35,104502
2016-05-30,4.27,4.35,115770
2016-05-31,4.29,4.37,17004
2016-06-01,4.3,4.38,177735
2016-06-02,4.31,4.39,11855
2016-06-03,4.32,4.4,50560
2016-06-06,4.33,4.41,14957
2016-06-07,4.28,4.36,118403
2016-06-08,4.28,4.36,45895
2016-06-09,4.3,4.38,19898
2016-06-10,4.28,4.36,123270
2016-06-14,4.19,4.27,110578
2016-06-15,4.19,4.27,137159
2016-06-16,4.07,4.14,150949
2016-06-17,4.02,4.09,248887
2016-06-20,4.1,4.18,65927
2016-06-21,4.1,4.18,75415
2016-06-22,4.12,4.2,427854
2016-06-23,4.37,4.45,123514
2016-06-24,4.36,4.44,128106
2016-06-27,4.32,4.4,85317
2016-06-28,4.24,4.32,107744
2016-06-29,4.32,4.4,78865
2016-06-30,4.35,4.43,95654
2016-07-01,4.46,4.54,141066
2016-07-04,4.62,4.7,330582
2016-07-05,4.71,4.8,506224
2016-07-06,4.81,4.9,92846
2016-07-07,4.76,4.85,559762
2016-07-08,4.76,4.85,166304
2016-07-11,4.85,4.94,305898
2016-07-12,5.05,5.14,248290
2016-07-13,5.07,5.16,126643
2016-07-14,5.23,5.33,248324
2016-07-15,4.98,5.07,169722
2016-07-18,5.03,5.12,66436
2016-07-19,5.06,5.15,81842
2016-07-20,5.31,5.41,517786
2016-07-21,5.27,5.37,92599
2016-07-22,5.32,5.42,102640
2016-07-25,5.26,5.36,104026
2016-07-26,5.23,5.33,41581
2016-07-27,5.19,5.28,36399
2016-07-28,5.19,5.28,380842
2016-07-29,5.2,5.3,74905
2016-08-01,5.19,5.28,57171
2016-08-02,5.14,5.23,362461
2016-08-03,5,5.09,69319
2016-08-04,5.1,5.19,32882
2016-08-05,5.03,5.12,81437
2016-08-08,5.06,5.15,81463
2016-08-09,5.11,5.2,130239
2016-08-10,5.02,5.11,99273
2016-08-11,4.96,5.05,201548
2016-08-12,4.95,5.04,191416
2016-08-15,4.79,4.88,179359
