date,adjusted_close,close,volume
2016-01-07,0.14,0.19,0
2016-01-10,0.14,0.19,0
2016-01-11,0.14,0.19,0
2016-01-12,0.14,0.19,0
2016-01-13,0.14,0.19,0
2016-01-14,0.13,0.17,150000
2016-01-17,0.14,0.19,9000
2016-01-18,0.13,0.18,10000
2016-01-19,0.13,0.18,0
2016-01-20,0.13,0.18,9000
2016-01-21,0.13,0.18,0
2016-01-24,0.13,0.18,0
2016-01-26,0.13,0.18,0
2016-01-27,0.13,0.18,1600
2016-01-28,0.13,0.18,0
2016-01-31,0.15,0.2,217000
2016-02-01,0.16,0.21,295384
2016-02-02,0.16,0.21,104616
2016-02-03,0.16,0.21,0
2016-02-04,0.16,0.21,0
2016-02-07,0.16,0.21,16000
2016-02-08,0.16,0.21,0
2016-02-09,0.15,0.19,35000
2016-02-10,0.15,0.19,0
2016-02-11,0.13,0.17,154384
2016-02-14,0.13,0.18,440008
2016-02-15,0.14,0.19,714997
2016-02-16,0.15,0.19,51500
2016-02-17,0.14,0.19,150000
2016-02-18,0.14,0.19,0
2016-02-21,0.14,0.19,0
2016-02-22,0.15,0.19,50000
2016-02-23,0.13,0.17,207000
2016-02-24,0.13,0.17,0
2016-02-25,0.13,0.17,0
2016-02-28,0.14,0.18,4000
2016-02-29,0.14,0.18,0
2016-03-01,0.14,0.18,0
2016-03-02,0.12,0.17,346823
2016-03-03,0.12,0.16,1433321
2016-03-06,0.12,0.17,214661
2016-03-07,0.13,0.17,5000
2016-03-08,0.13,0.17,6000
2016-03-09,0.12,0.17,0
2016-03-10,0.12,0.17,0
2016-03-13,0.12,0.17,0
2016-03-14,0.13,0.17,111161
2016-03-15,0.14,0.18,25000
2016-03-16,0.14,0.18,75000
2016-03-17,0.14,0.18,282467
2016-03-20,0.14,0.18,8400
2016-03-21,0.14,0.18,0
2016-03-22,0.12,0.17,4428
2016-03-23,0.12,0.16,20000
2016-03-28,0.12,0.16,171150
2016-03-29,0.12,0.16,0
2016-03-30,0.12,0.16,0
2016-03-31,0.12,0.17,50000
2016-04-01,0.13,0.17,338343
2016-04-04,0.12,0.17,6300
2016-04-05,0.13,0.17,101550
2016-04-06,0.13,0.17,103906
2016-04-07,0.13,0.17,2858
2016-04-08,0.13,0.17,3793
2016-04-11,0.13,0.17,0
2016-04-12,0.13,0.17,0
2016-04-13,0.13,0.17,0
2016-04-14,0.13,0.17,0
2016-04-15,0.13,0.17,0
2016-04-18,0.13,0.17,5698
2016-04-19,0.12,0.16,6453
2016-04-20,0.12,0.16,0
2016-04-21,0.13,0.17,25000
2016-04-22,0.13,0.17,0
2016-04-26,0.14,0.18,10000
2016-04-27,0.14,0.18,4166
2016-04-28,0.13,0.17,14285
2016-04-29,0.13,0.17,4334
