cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason
7,2026-04-13T11:40:30.359275+00:00,ETHUSDT,short,10000.0,2185.34,2186.29,-4.3471,0.0,6,0.09999999999999999,normal,normal
11,2026-04-13T11:41:53.857325+00:00,ADAUSDT,long,20000.0,0.2382,0.2383,8.3963,0.0,10,0.19999999999999998,normal,normal
11,2026-04-13T11:41:53.857354+00:00,ETHUSDT,short,10468.3962,2186.29,2185.85,2.1068,0.0,4,0.1046839616960973,normal,normal
20,2026-04-13T11:44:26.234390+00:00,ETHUSDT,long,15473.0752,2185.85,2188.59,19.3958,0.0,9,0.15473075210924653,high_vol,normal
21,2026-04-13T11:44:43.817866+00:00,ADAUSDT,long,14526.9248,0.2383,0.2384,6.0961,0.0,10,0.1452692478907535,high_vol,normal
26,2026-04-13T11:46:00.249796+00:00,ETHUSDT,short,25000.0,2188.59,2190.31,-19.6474,0.0,6,0.25,normal,normal
32,2026-04-13T11:47:42.888962+00:00,ADAUSDT,long,16893.812,0.2386,0.2385,-7.0804,0.0,6,0.1689381197429231,normal,normal
36,2026-04-13T11:48:49.192330+00:00,ETHUSDT,short,8106.188,2190.31,2189.97,1.2583,0.0,10,0.0810618802570769,normal,normal
42,2026-04-13T11:50:30.717153+00:00,ADAUSDT,long,17402.2333,0.2385,0.2385,0.0,0.0,10,0.17402233286605115,normal,normal
46,2026-04-13T11:51:32.956178+00:00,ETHUSDT,short,7589.1563,2189.97,2188.28,5.8566,0.0,10,0.07589156277181792,crisis,normal
48,2026-04-13T11:52:02.884620+00:00,ADAUSDT,long,16987.9458,0.2385,0.2384,-7.1228,0.0,6,0.16987945789491327,crisis,normal
66,2026-04-13T11:57:06.317028+00:00,ETHUSDT,short,25000.0,2189.26,2188.35,10.3916,0.0,10,0.25,normal,normal
71,2026-04-13T11:58:23.795420+00:00,ADAUSDT,long,17213.5922,0.2384,0.2383,-7.2205,0.0,6,0.17213592233009709,normal,normal
77,2026-04-13T12:00:01.870807+00:00,ETHUSDT,short,7796.9516,2188.35,2187.32,3.6698,0.0,10,0.07796951604291054,normal,normal
77,2026-04-13T12:00:01.870820+00:00,ADAUSDT,long,11342.8177,0.2383,0.2382,-4.7599,0.0,6,0.11342817693448755,normal,normal
83,2026-04-13T12:01:32.206738+00:00,ADAUSDT,long,16574.2326,0.2382,0.2381,-6.9581,0.0,6,0.16574232583252627,crisis,normal
87,2026-04-13T12:02:37.709743+00:00,ETHUSDT,short,8425.7674,2187.32,2184.3,11.6333,0.0,10,0.08425767416747373,crisis,normal
93,2026-04-13T12:04:14.013047+00:00,ETHUSDT,short,8220.339,2184.3,2185.64,-5.0429,0.0,6,0.08220338983050848,high_vol,normal
95,2026-04-13T12:04:42.903987+00:00,ADAUSDT,long,16816.3305,0.2379,0.2383,28.2746,0.0,10,0.16816330536336424,high_vol,normal
106,2026-04-13T12:07:33.296434+00:00,ETHUSDT,short,25000.0,2185.64,2185.86,-2.5164,0.0,10,0.25,normal,normal
112,2026-04-13T12:09:11.211848+00:00,ETHUSDT,short,8033.5702,2185.86,2186.67,-2.9769,0.0,6,0.08033570203381525,normal,normal
114,2026-04-13T12:09:46.324929+00:00,ADAUSDT,long,16893.3517,0.2383,0.2385,14.1782,0.0,10,0.16893351664538936,normal,normal
118,2026-04-13T12:10:47.603015+00:00,ETHUSDT,short,7963.488,2186.67,2187.79,-4.0789,0.0,6,0.07963487951512781,normal,normal
