cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-05-28T06:36:34.515507+00:00,ETHUSDT,short,15000.0,1814.67,1832.71,-149.118,0.0,3,0.15,normal,normal,-267.156,114.6489,,0.5582,-0.5582
8,2026-05-28T06:37:09.961590+00:00,ETHUSDT,short,15000.0,1855.54,1900.95,-367.0899,0.0,2,0.15,normal,normal,-367.0899,0.0,,1.0,-1.0
9,2026-05-28T06:37:21.190418+00:00,NEARUSDT,long,7500.0,1.332,1.446,641.8919,0.0,7,0.075,crisis,normal,0.0,1711.7117,0.375,,0.375
11,2026-05-28T06:38:01.006042+00:00,ETHUSDT,short,15000.0,1900.95,2121.32,-1738.8937,0.0,3,0.15,crisis,normal,-1738.8937,123.7276,,1.0,-1.0
12,2026-05-28T06:38:12.900261+00:00,ADAUSDT,long,7500.0,0.293,0.3859,2377.9863,0.0,10,0.075,crisis,normal,0.0,2377.9863,1.0,,1.0
14,2026-05-28T06:38:36.740759+00:00,ARBUSDT,long,5000.0,0.9901,1.1558,836.7842,0.0,10,0.049999999999999996,crisis,normal,0.0,1101.9089,0.7594,,0.7594
15,2026-05-28T06:38:48.667878+00:00,ADAUSDT,long,5000.0,0.3859,0.3568,-377.0407,0.0,3,0.049999999999999996,crisis,normal,-377.0407,0.0,,1.0,-1.0
15,2026-05-28T06:38:48.667959+00:00,NEARUSDT,long,5000.0,1.553,1.59,119.1243,0.0,3,0.049999999999999996,crisis,normal,0.0,476.4971,0.25,,0.25
15,2026-05-28T06:38:48.667977+00:00,ARBUSDT,long,10000.0,1.1558,1.1149,-353.8675,0.0,1,0.09999999999999999,crisis,normal,-353.8675,0.0,,1.0,-1.0
17,2026-05-28T06:39:12.775094+00:00,ETHUSDT,short,15000.0,2077.72,2058.48,138.9023,0.0,5,0.15,normal,normal,0.0,709.8887,0.1957,,0.1957
19,2026-05-28T06:39:36.658822+00:00,ADAUSDT,long,12500.0,0.3579,0.3671,321.3188,0.0,3,0.125,crisis,normal,0.0,729.9525,0.4402,,0.4402
23,2026-05-28T06:40:36.258258+00:00,NEARUSDT,long,12500.0,1.538,1.75,1723.0169,0.0,7,0.125,crisis,normal,0.0,3730.4941,0.4619,,0.4619
34,2026-05-28T06:42:59.805362+00:00,ARBUSDT,short,25000.0,1.0666,1.1105,-1028.9706,0.0,7,0.25,normal,normal,-1028.9706,1411.0257,,1.0,-1.0
38,2026-05-28T06:43:45.684039+00:00,ETHUSDT,long,10000.0,2243.37,2232.7,-47.5624,0.0,2,0.1,normal,normal,-47.5624,222.7007,,1.0,-1.0
42,2026-05-28T06:44:46.164081+00:00,ARBUSDT,short,6251.359,1.1661,1.1558,55.2174,0.0,2,0.06251358991085018,normal,normal,0.0,144.2085,0.3829,,0.3829
43,2026-05-28T06:44:57.202244+00:00,NEARUSDT,long,15000.0,2.149,2.24,635.1792,0.0,7,0.15,normal,normal,0.0,2582.5966,0.2459,,0.2459
43,2026-05-28T06:44:57.202261+00:00,ETHUSDT,long,9059.6509,2232.7,2225.12,-30.7574,0.0,5,0.09059650853756808,normal,normal,-30.7574,511.3527,,1.0,-1.0
43,2026-05-28T06:44:57.202270+00:00,ADAUSDT,long,9374.3205,0.5454,0.5507,91.0963,0.0,3,0.09374320504457491,normal,normal,0.0,849.0859,0.1073,,0.1073
44,2026-05-28T06:45:08.769217+00:00,ARBUSDT,short,8321.263,1.1558,1.2521,-693.3186,0.0,2,0.08321263035921204,normal,normal,-693.3186,436.2939,,1.0,-1.0
45,2026-05-28T06:45:20.655418+00:00,ETHUSDT,short,6246.6051,2203.46,2260.16,-160.7393,0.0,1,0.06246605105920695,normal,normal,-160.7393,0.0,,1.0,-1.0
47,2026-05-28T06:45:44.510253+00:00,ADAUSDT,long,9376.6974,0.5784,0.6004,356.6517,0.0,3,0.09376697447039653,normal,normal,0.0,1444.4394,0.2469,,0.2469
47,2026-05-28T06:45:44.510278+00:00,NEARUSDT,long,9376.6974,2.305,2.191,-463.7499,0.0,3,0.09376697447039653,normal,normal,-463.7499,93.5636,,1.0,-1.0
49,2026-05-28T06:46:11.336212+00:00,ADAUSDT,long,10942.4327,0.6078,0.5804,-493.2916,0.0,1,0.10942432697999466,normal,normal,-493.2916,0.0,,1.0,-1.0
49,2026-05-28T06:46:11.336246+00:00,NEARUSDT,long,7003.8354,2.39,2.266,-363.3789,0.0,1,0.07003835414933697,normal,normal,-363.3789,0.0,,1.0,-1.0
51,2026-05-28T06:46:55.263446+00:00,ADAUSDT,long,21193.9711,0.6021,0.5761,-915.2022,0.0,1,0.21193971059058,normal,normal,-915.2022,0.0,,1.0,-1.0
54,2026-05-28T06:47:29.429224+00:00,ETHUSDT,short,6169.6921,2315.32,2324.54,-24.5688,0.0,8,0.06169692142681798,normal,normal,-24.5688,366.1599,,1.0,-1.0
56,2026-05-28T06:47:51.873493+00:00,ADAUSDT,long,13008.2821,0.5894,0.5919,55.176,0.0,4,0.1300828213283514,normal,normal,0.0,1008.6164,0.0547,,0.0547
58,2026-05-28T06:48:14.929957+00:00,ARBUSDT,long,6819.3478,1.354,1.3261,-140.5168,0.0,2,0.06819347838051877,normal,normal,-140.5168,168.7209,,1.0,-1.0
59,2026-05-28T06:48:27.208106+00:00,ETHUSDT,short,9277.7163,2324.54,2378.35,-214.7668,0.0,5,0.09277716276640523,normal,normal,-214.7668,373.8163,,1.0,-1.0
62,2026-05-28T06:49:03.356652+00:00,NEARUSDT,long,7894.4193,2.845,3.676,2305.8919,0.0,10,0.07894419317898527,normal,normal,0.0,4040.1668,0.5707,,0.5707
64,2026-05-28T06:49:26.670532+00:00,ETHUSDT,short,7300.2492,2344.15,2352.04,-24.5714,0.0,4,0.07300249222890776,normal,normal,-24.5714,193.955,,1.0,-1.0
64,2026-05-28T06:49:26.670549+00:00,ADAUSDT,short,7216.5657,0.6158,0.6232,-86.7207,0.0,4,0.07216565739089319,normal,normal,-86.7207,255.4744,,1.0,-1.0
66,2026-05-28T06:49:50.030716+00:00,NEARUSDT,long,6857.0192,3.676,3.771,177.2081,0.0,4,0.0685701918729209,crisis,normal,-48.499,460.741,0.3846,,0.3846
68,2026-05-28T06:50:13.101883+00:00,ARBUSDT,long,7658.7645,1.3261,1.952,3614.826,0.0,10,0.07658764513479115,crisis,normal,0.0,3915.147,0.9233,,0.9233
69,2026-05-28T06:50:24.686475+00:00,NEARUSDT,long,6032.4358,3.552,3.479,-123.9774,0.0,1,0.060324357777351206,crisis,normal,-123.9774,0.0,,1.0,-1.0
69,2026-05-28T06:50:24.686535+00:00,ARBUSDT,long,9462.5276,1.952,1.7519,-970.006,0.0,1,0.09462527646119263,crisis,normal,-970.006,0.0,,1.0,-1.0
73,2026-05-28T06:51:14.703666+00:00,ADAUSDT,short,6111.0359,0.6232,0.566,560.8974,0.0,9,0.061110359474082915,crisis,normal,0.0,1262.0191,0.4444,,0.4444
75,2026-05-28T06:51:37.424605+00:00,ETHUSDT,long,6475.7885,2618.01,2522.54,-236.1502,0.0,1,0.06475788491041828,crisis,normal,-236.1502,0.0,,1.0,-1.0
