cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-05-29T10:57:16.701757+00:00,ADAUSDT,long,20000.0,0.295,0.2818,-894.9153,0.0,1,0.19999999999999998,normal,normal,-894.9153,0.0,,1.0,-1.0
6,2026-05-29T10:57:52.176622+00:00,ADAUSDT,long,21373.8716,0.2858,0.2735,-919.8692,0.0,2,0.21373871640137773,crisis,normal,-919.8692,0.0,,1.0,-1.0
11,2026-05-29T10:59:05.677470+00:00,ADAUSDT,long,17942.3564,0.2717,0.2623,-620.7514,0.0,1,0.17942356447034338,crisis,normal,-620.7514,0.0,,1.0,-1.0
13,2026-05-29T10:59:29.184820+00:00,ARBUSDT,short,9067.2508,0.0946,0.1008,-594.2596,0.0,3,0.09067250811793275,crisis,normal,-594.2596,239.6208,,1.0,-1.0
15,2026-05-29T10:59:52.322797+00:00,NEARUSDT,long,22500.0,1.127,1.094,-658.8287,0.0,1,0.22499999999999998,crisis,normal,-658.8287,0.0,,1.0,-1.0
22,2026-05-29T11:01:25.332706+00:00,NEARUSDT,long,19983.4972,1.172,1.227,937.7921,0.0,6,0.1998349721766036,normal,normal,-375.1168,3205.5439,0.2926,,0.2926
31,2026-05-29T11:03:21.591606+00:00,ADAUSDT,short,25000.0,0.2621,0.2702,-772.6059,0.0,5,0.25,high_vol,normal,-772.6059,0.0,,1.0,-1.0
39,2026-05-29T11:04:53.184006+00:00,ARBUSDT,short,7008.418,0.0963,0.0975,-87.3323,0.0,2,0.07008417961074687,normal,normal,-87.3323,276.5523,,1.0,-1.0
40,2026-05-29T11:05:17.350118+00:00,NEARUSDT,long,7196.6328,1.281,1.292,61.7978,0.0,3,0.07196632815570127,normal,normal,-39.3259,168.5394,0.3667,,0.3667
41,2026-05-29T11:05:29.285538+00:00,ADAUSDT,short,25000.0,0.2904,0.2705,1713.1543,0.0,9,0.25,normal,normal,0.0,3426.3085,0.5,,0.5
42,2026-05-29T11:05:40.684384+00:00,ETHUSDT,long,10794.9492,2084.87,2060.43,-126.5444,0.0,5,0.1079494922335519,normal,normal,-160.4069,435.7082,,0.7889,-0.7889
47,2026-05-29T11:06:37.822225+00:00,NEARUSDT,short,12500.0,1.18,1.189,-95.339,0.0,4,0.125,normal,normal,-95.339,190.678,,1.0,-1.0
48,2026-05-29T11:06:49.862254+00:00,ARBUSDT,short,9828.452,0.0975,0.0944,312.4944,0.0,9,0.09828452004295957,normal,normal,-131.046,917.3222,0.3407,,0.3407
48,2026-05-29T11:06:49.862272+00:00,ADAUSDT,short,8333.3333,0.2418,0.2484,-227.4607,0.0,1,0.08333333333333333,normal,normal,-227.4607,0.0,,1.0,-1.0
50,2026-05-29T11:07:29.339617+00:00,NEARUSDT,short,8333.3333,1.189,1.209,-140.1738,0.0,3,0.08333333333333333,high_vol,normal,-140.1738,189.2347,,1.0,-1.0
59,2026-05-29T11:09:25.371766+00:00,ETHUSDT,long,14379.0037,2057.17,2191.65,939.975,0.0,10,0.14379003669382423,normal,normal,-23.3456,1592.3937,0.5903,,0.5903
62,2026-05-29T11:10:00.829075+00:00,ETHUSDT,long,5333.1253,2386.68,2048.72,-755.1842,0.0,1,0.05333125294302794,crisis,normal,-755.1842,0.0,,1.0,-1.0
62,2026-05-29T11:10:00.829105+00:00,NEARUSDT,long,7675.592,1.426,1.024,-2163.8064,0.0,1,0.0767559195695776,crisis,normal,-2163.8064,0.0,,1.0,-1.0
64,2026-05-29T11:10:24.299583+00:00,ARBUSDT,long,7675.592,0.1132,0.1146,94.9278,0.0,3,0.0767559195695776,crisis,normal,0.0,494.9808,0.1918,,0.1918
67,2026-05-29T11:10:59.427150+00:00,ADAUSDT,long,16628.3536,0.2858,0.2735,-715.6359,0.0,2,0.16628353565410217,crisis,normal,-715.6359,0.0,,1.0,-1.0
71,2026-05-29T11:11:48.129999+00:00,ADAUSDT,long,15863.2451,0.2735,0.2717,-104.4016,0.0,4,0.1586324514390738,crisis,normal,-104.4016,661.2102,,1.0,-1.0
72,2026-05-29T11:12:02.920677+00:00,ADAUSDT,long,13880.0123,0.2717,0.2623,-480.2065,0.0,1,0.138800122690476,crisis,normal,-480.2065,0.0,,1.0,-1.0
74,2026-05-29T11:12:26.177759+00:00,ARBUSDT,short,7851.8535,0.097,0.1008,-307.5984,0.0,5,0.07851853531754423,crisis,normal,-307.5984,396.64,,1.0,-1.0
76,2026-05-29T11:12:49.841601+00:00,ADAUSDT,long,5658.3931,0.2587,0.2776,413.3886,0.0,3,0.056583931240965626,crisis,normal,0.0,839.9006,0.4922,,0.4922
79,2026-05-29T11:13:23.625261+00:00,ARBUSDT,short,7989.6506,0.1001,0.1018,-135.6884,0.0,4,0.07989650603548665,normal,normal,-135.6884,47.89,,1.0,-1.0
83,2026-05-29T11:14:09.965674+00:00,NEARUSDT,long,5658.3931,0.967,1.227,1521.388,0.0,10,0.056583931240965626,normal,normal,0.0,2299.6365,0.6616,,0.6616
