cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-05-30T02:52:48.439382+00:00,ADAUSDT,long,20000.0,0.295,0.2818,-894.9153,0.0,1,0.19999999999999998,normal,normal,-894.9153,0.0,,1.0,-1.0
6,2026-05-30T02:53:23.535619+00:00,ADAUSDT,long,21373.8716,0.2858,0.2735,-919.8692,0.0,2,0.21373871640137773,crisis,normal,-919.8692,0.0,,1.0,-1.0
11,2026-05-30T02:54:40.253155+00:00,ADAUSDT,long,18008.9599,0.2717,0.2623,-623.0557,0.0,1,0.18008959916517384,crisis,normal,-623.0557,0.0,,1.0,-1.0
13,2026-05-30T02:55:03.828663+00:00,ARBUSDT,short,8989.5468,0.0946,0.1008,-589.1669,0.0,3,0.08989546764063051,crisis,normal,-589.1669,237.5673,,1.0,-1.0
15,2026-05-30T02:55:27.290840+00:00,NEARUSDT,long,22500.0,1.127,1.094,-658.8287,0.0,1,0.22499999999999998,crisis,normal,-658.8287,0.0,,1.0,-1.0
22,2026-05-30T02:57:00.175240+00:00,NEARUSDT,long,20006.3233,1.172,1.227,938.8633,0.0,6,0.20006323329696404,normal,normal,-375.5453,3209.2054,0.2926,,0.2926
31,2026-05-30T02:58:57.831476+00:00,ADAUSDT,short,25000.0,0.2621,0.2702,-772.6059,0.0,5,0.25,high_vol,normal,-772.6059,0.0,,1.0,-1.0
39,2026-05-30T03:00:30.940107+00:00,ARBUSDT,short,6945.2188,0.0963,0.0975,-86.5448,0.0,2,0.06945218773875159,normal,normal,-86.5448,274.0585,,1.0,-1.0
40,2026-05-30T03:00:53.859194+00:00,NEARUSDT,long,7221.9125,1.281,1.292,62.0149,0.0,3,0.07221912490449937,normal,normal,-39.464,169.1314,0.3667,,0.3667
41,2026-05-30T03:01:05.399511+00:00,ADAUSDT,short,25000.0,0.2904,0.2705,1713.1543,0.0,9,0.25,normal,normal,0.0,3426.3085,0.5,,0.5
42,2026-05-30T03:01:17.426759+00:00,ETHUSDT,long,10832.8687,2084.87,2060.43,-126.9889,0.0,5,0.10832868735674905,normal,normal,-160.9704,437.2387,,0.7889,-0.7889
47,2026-05-30T03:02:15.171119+00:00,NEARUSDT,short,12500.0,1.18,1.189,-95.339,0.0,4,0.125,normal,normal,-95.339,190.678,,1.0,-1.0
48,2026-05-30T03:02:28.873198+00:00,ARBUSDT,short,9753.6202,0.0975,0.0944,310.1151,0.0,9,0.09753620244348356,normal,normal,-130.0483,910.3379,0.3407,,0.3407
48,2026-05-30T03:02:28.873289+00:00,ADAUSDT,short,8333.3333,0.2418,0.2484,-227.4607,0.0,1,0.08333333333333333,normal,normal,-227.4607,0.0,,1.0,-1.0
50,2026-05-30T03:03:05.576101+00:00,NEARUSDT,short,8333.3333,1.189,1.209,-140.1738,0.0,3,0.08333333333333333,high_vol,normal,-140.1738,189.2347,,1.0,-1.0
59,2026-05-30T03:05:04.121403+00:00,ETHUSDT,long,14454.5341,2057.17,2191.65,944.9126,0.0,10,0.14454534146038064,normal,normal,-23.4682,1600.7583,0.5903,,0.5903
62,2026-05-30T03:05:38.826002+00:00,ETHUSDT,long,5562.3192,2386.68,2048.72,-787.6386,0.0,1,0.05562319168066999,crisis,normal,-787.6386,0.0,,1.0,-1.0
62,2026-05-30T03:05:38.826032+00:00,NEARUSDT,long,7524.0439,1.426,1.024,-2121.0839,0.0,1,0.07524043896557508,crisis,normal,-2121.0839,0.0,,1.0,-1.0
64,2026-05-30T03:06:02.026815+00:00,ARBUSDT,long,7524.0439,0.1132,0.1146,93.0535,0.0,3,0.07524043896557508,crisis,normal,0.0,485.2078,0.1918,,0.1918
