cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-05-30T09:23:13.536805+00:00,ETHUSDT,short,15000.0,1814.67,1832.71,-149.118,0.0,3,0.15,normal,normal,-267.156,114.6489,,0.5582,-0.5582
8,2026-05-30T09:23:52.836150+00:00,ETHUSDT,short,15000.0,1855.54,1900.95,-367.0899,0.0,2,0.15,normal,normal,-367.0899,0.0,,1.0,-1.0
9,2026-05-30T09:24:06.038519+00:00,NEARUSDT,long,7500.0,1.332,1.446,641.8919,0.0,7,0.075,crisis,normal,0.0,1711.7117,0.375,,0.375
11,2026-05-30T09:24:45.051836+00:00,ETHUSDT,short,15000.0,1900.95,2121.32,-1738.8937,0.0,3,0.15,crisis,normal,-1738.8937,123.7276,,1.0,-1.0
12,2026-05-30T09:24:56.484896+00:00,ADAUSDT,long,7500.0,0.293,0.3859,2377.9863,0.0,10,0.075,crisis,normal,0.0,2377.9863,1.0,,1.0
14,2026-05-30T09:25:20.544989+00:00,ARBUSDT,long,5000.0,0.9901,1.1558,836.7842,0.0,10,0.049999999999999996,crisis,normal,0.0,1101.9089,0.7594,,0.7594
15,2026-05-30T09:25:33.130871+00:00,ADAUSDT,long,6666.6667,0.3859,0.3568,-502.7209,0.0,3,0.06666666666666667,crisis,normal,-502.7209,0.0,,1.0,-1.0
15,2026-05-30T09:25:33.130894+00:00,NEARUSDT,long,6666.6667,1.553,1.59,158.8324,0.0,3,0.06666666666666667,crisis,normal,0.0,635.3295,0.25,,0.25
15,2026-05-30T09:25:33.130904+00:00,ARBUSDT,long,10000.0,1.1558,1.1149,-353.8675,0.0,1,0.09999999999999999,crisis,normal,-353.8675,0.0,,1.0,-1.0
17,2026-05-30T09:25:57.776601+00:00,ETHUSDT,short,10000.0,2077.72,2058.48,92.6015,0.0,5,0.09999999999999999,normal,normal,0.0,473.2591,0.1957,,0.1957
19,2026-05-30T09:26:24.247599+00:00,ADAUSDT,long,12500.0,0.3579,0.3671,321.3188,0.0,3,0.125,crisis,normal,0.0,729.9525,0.4402,,0.4402
23,2026-05-30T09:27:50.746536+00:00,NEARUSDT,long,12500.0,1.538,1.75,1723.0169,0.0,7,0.125,crisis,normal,0.0,3730.4941,0.4619,,0.4619
34,2026-05-30T09:30:14.061664+00:00,ARBUSDT,short,25000.0,1.0666,1.1105,-1028.9706,0.0,7,0.25,normal,normal,-1028.9706,1411.0257,,1.0,-1.0
38,2026-05-30T09:31:07.247502+00:00,ETHUSDT,long,10000.0,2243.37,2232.7,-47.5624,0.0,2,0.1,normal,normal,-47.5624,222.7007,,1.0,-1.0
42,2026-05-30T09:32:12.013961+00:00,ARBUSDT,short,8088.3413,1.1661,1.1558,71.4432,0.0,2,0.08088341259547487,normal,normal,0.0,186.5847,0.3829,,0.3829
43,2026-05-30T09:32:26.202563+00:00,NEARUSDT,long,15000.0,2.149,2.24,635.1792,0.0,7,0.15,normal,normal,0.0,2582.5966,0.2459,,0.2459
43,2026-05-30T09:32:26.202632+00:00,ETHUSDT,long,10000.0,2232.7,2225.12,-33.9499,0.0,5,0.1,normal,normal,-33.9499,564.4287,,1.0,-1.0
43,2026-05-30T09:32:26.202675+00:00,ADAUSDT,long,5637.2196,0.5454,0.5507,54.7805,0.0,3,0.05637219580150838,normal,normal,0.0,510.5952,0.1073,,0.1073
45,2026-05-30T09:32:51.537771+00:00,ETHUSDT,short,6041.4723,2203.46,2260.16,-155.4607,0.0,1,0.060414723398148816,normal,normal,-155.4607,0.0,,1.0,-1.0
47,2026-05-30T09:33:17.759365+00:00,ADAUSDT,long,9479.2638,0.5784,0.6004,360.5529,0.0,3,0.09479263830092559,normal,normal,0.0,1460.2393,0.2469,,0.2469
47,2026-05-30T09:33:17.759410+00:00,NEARUSDT,long,9479.2638,2.305,2.191,-468.8226,0.0,3,0.09479263830092559,normal,normal,-468.8226,94.587,,1.0,-1.0
49,2026-05-30T09:33:44.763851+00:00,ADAUSDT,long,11771.8987,0.6078,0.5804,-530.6845,0.0,1,0.11771898696228163,normal,normal,-530.6845,0.0,,1.0,-1.0
49,2026-05-30T09:33:44.763872+00:00,NEARUSDT,long,6735.9465,2.39,2.266,-349.4801,0.0,1,0.06735946520814887,normal,normal,-349.4801,0.0,,1.0,-1.0
51,2026-05-30T09:34:31.710989+00:00,ADAUSDT,long,20874.842,0.6021,0.5761,-901.4215,0.0,1,0.2087484196413084,normal,normal,-901.4215,0.0,,1.0,-1.0
54,2026-05-30T09:35:11.780897+00:00,ETHUSDT,short,6058.7559,2315.32,2324.54,-24.127,0.0,8,0.060587559258727185,normal,normal,-24.127,359.5761,,1.0,-1.0
