cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-05-31T09:44:57.932762+00:00,ADAUSDT,short,15000.0,1.051,1.096,-642.2455,0.0,1,0.15,normal,normal,-642.2455,0.0,,1.0,-1.0
6,2026-05-31T09:45:33.194013+00:00,NEARUSDT,short,15000.0,11.12,12.984,-2514.3885,0.0,4,0.15,crisis,normal,-2514.3885,346.6727,,1.0,-1.0
13,2026-05-31T09:47:10.807928+00:00,ETHUSDT,long,22860.8891,2680.67,2927.54,2105.3198,0.0,9,0.22860889069497037,crisis,normal,0.0,4803.595,0.4383,,0.4383
27,2026-05-31T09:50:08.202071+00:00,ETHUSDT,short,8333.3333,2579.71,2768.49,-609.8231,0.0,2,0.08333333333333333,normal,normal,-609.8231,0.0,,1.0,-1.0
27,2026-05-31T09:50:08.202089+00:00,ADAUSDT,short,8333.3333,0.866,0.898,-307.9292,0.0,2,0.08333333333333333,normal,normal,-307.9292,125.0962,,1.0,-1.0
27,2026-05-31T09:50:08.202098+00:00,NEARUSDT,short,8333.3333,8.556,8.935,-369.1367,0.0,2,0.08333333333333333,normal,normal,-369.1367,66.2303,,1.0,-1.0
34,2026-05-31T09:51:42.742337+00:00,ETHUSDT,long,15002.6317,2616.79,2622.1,30.4434,0.0,5,0.1500263165589637,crisis,normal,0.0,2061.3218,0.0148,,0.0148
34,2026-05-31T09:51:42.742367+00:00,NEARUSDT,long,14062.6668,11.035,10.428,-773.5423,0.0,1,0.14062666780061842,crisis,normal,-773.5423,0.0,,1.0,-1.0
36,2026-05-31T09:52:06.628847+00:00,NEARUSDT,long,15206.4135,10.505,10.094,-594.9392,0.0,1,0.15206413487354503,normal,normal,-594.9392,0.0,,1.0,-1.0
39,2026-05-31T09:52:40.775198+00:00,ADAUSDT,short,10937.3332,0.903,0.849,654.0598,0.0,6,0.10937333219938158,crisis,normal,0.0,1332.344,0.4909,,0.4909
43,2026-05-31T09:53:42.198807+00:00,NEARUSDT,long,17140.8591,10.327,9.85,-791.7294,0.0,1,0.17140859104262818,crisis,normal,-791.7294,0.0,,1.0,-1.0
46,2026-05-31T09:54:17.773367+00:00,ADAUSDT,short,7859.1409,0.789,0.838,-488.0835,0.0,4,0.07859140895737182,crisis,normal,-488.0835,29.8827,,1.0,-1.0
49,2026-05-31T09:54:55.666934+00:00,ADAUSDT,short,10088.76,0.838,0.903,-782.541,0.0,3,0.10088759996484753,normal,normal,-782.541,36.1173,,1.0,-1.0
50,2026-05-31T09:55:20.173012+00:00,NEARUSDT,long,17551.7816,10.13,10.653,906.1779,0.0,6,0.17551781606391492,normal,normal,-29.4551,2122.5007,0.4269,,0.4269
50,2026-05-31T09:55:20.173116+00:00,ETHUSDT,long,6196.9642,2938.92,2861.38,-163.4997,0.0,2,0.061969641550841253,normal,normal,-163.4997,25.1343,,1.0,-1.0
76,2026-05-31T10:00:39.686479+00:00,NEARUSDT,long,22781.3331,16.384,16.032,-489.4427,0.0,1,0.22781333097810036,normal,normal,-489.4427,0.0,,1.0,-1.0
80,2026-05-31T10:01:26.515531+00:00,ADAUSDT,short,25000.0,1.045,0.952,2224.8804,0.0,10,0.25,normal,normal,0.0,3133.9713,0.7099,,0.7099
81,2026-05-31T10:01:37.598583+00:00,NEARUSDT,long,22418.585,15.934,16.654,1013.015,0.0,4,0.2241858498968452,normal,normal,-354.5553,2086.5295,0.4855,,0.4855
