cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-05-31T22:54:49.609897+00:00,ADAUSDT,short,15000.0,1.051,1.096,-642.2455,0.0,1,0.15,normal,normal,-642.2455,0.0,,1.0,-1.0
6,2026-05-31T22:55:24.746291+00:00,NEARUSDT,short,15000.0,11.12,12.984,-2514.3885,0.0,4,0.15,crisis,normal,-2514.3885,346.6727,,1.0,-1.0
13,2026-05-31T22:57:02.500358+00:00,ETHUSDT,long,22860.8891,2680.67,2927.54,2105.3198,0.0,9,0.22860889069497037,crisis,normal,0.0,4803.595,0.4383,,0.4383
34,2026-05-31T23:01:29.905433+00:00,ETHUSDT,long,6250.9139,2616.79,2622.1,12.6844,0.0,5,0.06250913876297705,crisis,normal,0.0,858.859,0.0148,,0.0148
34,2026-05-31T23:01:29.905461+00:00,NEARUSDT,long,7248.7828,11.035,10.428,-398.7323,0.0,1,0.07248782796913651,crisis,normal,-398.7323,0.0,,1.0,-1.0
36,2026-05-31T23:01:53.155503+00:00,NEARUSDT,long,7854.1132,10.505,10.094,-307.2861,0.0,1,0.07854113164803983,normal,normal,-307.2861,0.0,,1.0,-1.0
39,2026-05-31T23:02:28.159844+00:00,ADAUSDT,short,5251.2172,0.903,0.849,314.0263,0.0,6,0.052512172030863495,crisis,normal,0.0,639.6832,0.4909,,0.4909
43,2026-05-31T23:03:25.812736+00:00,NEARUSDT,long,8365.0333,10.327,9.85,-386.3775,0.0,1,0.08365033331281363,crisis,normal,-386.3775,0.0,,1.0,-1.0
49,2026-05-31T23:04:36.398987+00:00,ADAUSDT,short,6303.497,0.851,0.903,-385.1726,0.0,1,0.06303496963932988,normal,normal,-385.1726,0.0,,1.0,-1.0
50,2026-05-31T23:05:00.985052+00:00,NEARUSDT,long,8320.7999,10.13,10.653,429.5931,0.0,6,0.08320799856957037,normal,normal,-13.9638,1006.2172,0.4269,,0.4269
76,2026-05-31T23:10:14.906595+00:00,NEARUSDT,long,11357.2676,16.384,16.032,-244.0038,0.0,1,0.11357267600388965,normal,normal,-244.0038,0.0,,1.0,-1.0
80,2026-05-31T23:11:00.466513+00:00,ADAUSDT,short,12500.0,1.045,0.952,1112.4402,0.0,10,0.125,normal,normal,0.0,1566.9856,0.7099,,0.7099
81,2026-05-31T23:11:12.263001+00:00,NEARUSDT,long,11141.5425,15.934,16.654,503.4461,0.0,4,0.11141542452768019,normal,normal,-176.2061,1036.9592,0.4855,,0.4855
82,2026-05-31T23:11:23.265101+00:00,NEARUSDT,long,7654.6752,16.654,15.64,-466.0647,0.0,1,0.07654675231621855,normal,normal,-466.0647,0.0,,1.0,-1.0
85,2026-05-31T23:11:58.000912+00:00,NEARUSDT,long,7424.7393,15.569,15.006,-268.4905,0.0,2,0.07424739286880828,normal,normal,-268.4905,0.0,,1.0,-1.0
86,2026-05-31T23:12:09.774939+00:00,ADAUSDT,short,5075.2607,0.906,0.8974,48.1758,0.0,3,0.05075260713119172,normal,normal,0.0,112.0367,0.43,,0.43
89,2026-05-31T23:12:44.860599+00:00,ADAUSDT,short,6250.0,0.8259,0.8432,-130.9178,0.0,2,0.0625,normal,normal,-130.9178,0.0,,1.0,-1.0
90,2026-05-31T23:12:55.806588+00:00,ETHUSDT,long,7167.8249,2936.93,2817.13,-292.382,0.0,1,0.0716782489284674,normal,normal,-292.382,0.0,,1.0,-1.0
92,2026-05-31T23:13:19.106972+00:00,NEARUSDT,short,6250.0,12.685,11.837,417.8163,0.0,5,0.0625,normal,normal,-95.5853,1157.3709,0.361,,0.361
94,2026-05-31T23:13:42.277649+00:00,ETHUSDT,long,8334.5478,2726.66,2781.7,168.2401,0.0,3,0.08334547750898669,normal,normal,0.0,397.0026,0.4238,,0.4238
96,2026-05-31T23:14:05.501876+00:00,ETHUSDT,long,9371.2378,2940.64,2747.97,-614.0012,0.0,1,0.09371237824231148,crisis,normal,-614.0012,0.0,,1.0,-1.0
124,2026-05-31T23:19:25.731575+00:00,NEARUSDT,short,5294.1559,5.343,5.603,-257.6232,0.0,1,0.05294155860239557,normal,normal,-257.6232,0.0,,1.0,-1.0
125,2026-05-31T23:19:37.526072+00:00,ADAUSDT,long,7205.8441,0.5516,0.56,109.7337,0.0,2,0.07205844139760442,normal,normal,0.0,463.7554,0.2366,,0.2366
132,2026-05-31T23:20:55.288259+00:00,ADAUSDT,long,11051.6615,0.56,0.5744,284.1856,0.0,7,0.11051661510645412,high_vol,normal,0.0,1594.5969,0.1782,,0.1782
137,2026-05-31T23:21:51.466707+00:00,NEARUSDT,short,6250.0,3.695,3.813,-199.594,0.0,3,0.0625,normal,normal,-199.594,532.8146,,1.0,-1.0
144,2026-05-31T23:23:09.379511+00:00,ETHUSDT,short,6250.0,1434.84,1050.19,1675.4917,0.0,10,0.0625,crisis,normal,0.0,1915.3268,0.8748,,0.8748
153,2026-05-31T23:24:55.561158+00:00,ETHUSDT,short,6642.4007,1242.36,2601.68,-7267.7389,0.0,6,0.06642400709674447,normal,normal,-7267.7389,916.1397,,1.0,-1.0
165,2026-05-31T23:27:15.813665+00:00,ETHUSDT,long,9351.6825,2680.67,2927.54,861.2212,0.0,9,0.093516825164594,normal,normal,0.0,1965.0021,0.4383,,0.4383
169,2026-05-31T23:28:00.796458+00:00,NEARUSDT,short,6232.2223,10.793,11.51,-414.0187,0.0,3,0.06232222303260156,normal,normal,-414.0187,238.4794,,1.0,-1.0
