cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-06-01T06:37:17.661656+00:00,ADAUSDT,short,15000.0,1.051,1.096,-642.2455,0.0,1,0.15,normal,normal,-642.2455,0.0,,1.0,-1.0
6,2026-06-01T06:37:54.348130+00:00,NEARUSDT,short,15000.0,11.12,12.984,-2514.3885,0.0,4,0.15,crisis,normal,-2514.3885,346.6727,,1.0,-1.0
13,2026-06-01T06:39:28.518817+00:00,ETHUSDT,long,22860.8891,2680.67,2927.54,2105.3198,0.0,9,0.22860889069497037,crisis,normal,0.0,4803.595,0.4383,,0.4383
27,2026-06-01T06:42:27.819092+00:00,ETHUSDT,short,8333.3333,2579.71,2768.49,-609.8231,0.0,2,0.08333333333333333,normal,normal,-609.8231,0.0,,1.0,-1.0
27,2026-06-01T06:42:27.819119+00:00,ADAUSDT,short,8333.3333,0.866,0.898,-307.9292,0.0,2,0.08333333333333333,normal,normal,-307.9292,125.0962,,1.0,-1.0
27,2026-06-01T06:42:27.819131+00:00,NEARUSDT,short,8333.3333,8.556,8.935,-369.1367,0.0,2,0.08333333333333333,normal,normal,-369.1367,66.2303,,1.0,-1.0
30,2026-06-01T06:43:18.914031+00:00,ADAUSDT,short,6240.4092,0.856,0.962,-772.761,0.0,1,0.06240409207161125,crisis,normal,-772.761,0.0,,1.0,-1.0
30,2026-06-01T06:43:18.914081+00:00,NEARUSDT,short,6240.4092,8.508,9.759,-917.5778,0.0,1,0.06240409207161125,crisis,normal,-917.5778,0.0,,1.0,-1.0
34,2026-06-01T06:44:05.417625+00:00,ETHUSDT,long,12519.1816,2616.79,2622.1,25.404,0.0,5,0.1251918158567775,crisis,normal,0.0,1720.1023,0.0148,,0.0148
34,2026-06-01T06:44:05.417653+00:00,NEARUSDT,long,7970.9298,11.035,10.428,-438.4553,0.0,1,0.07970929779884275,crisis,normal,-438.4553,0.0,,1.0,-1.0
36,2026-06-01T06:44:28.226687+00:00,NEARUSDT,long,15277.9388,10.505,10.094,-597.7375,0.0,1,0.15277938838350227,normal,normal,-597.7375,0.0,,1.0,-1.0
39,2026-06-01T06:45:03.075466+00:00,ADAUSDT,short,11715.117,0.903,0.849,700.5718,0.0,6,0.11715117033526207,crisis,normal,0.0,1427.0907,0.4909,,0.4909
43,2026-06-01T06:46:02.930294+00:00,NEARUSDT,long,16122.444,10.327,9.85,-744.6892,0.0,1,0.16122443964733357,crisis,normal,-744.6892,0.0,,1.0,-1.0
46,2026-06-01T06:46:37.686483+00:00,ADAUSDT,short,8877.556,0.789,0.838,-551.3311,0.0,4,0.0887755603526664,crisis,normal,-551.3311,33.755,,1.0,-1.0
49,2026-06-01T06:47:15.689935+00:00,ADAUSDT,short,8401.6894,0.838,0.903,-651.6823,0.0,3,0.084016893706362,normal,normal,-651.6823,30.0776,,1.0,-1.0
50,2026-06-01T06:47:41.394528+00:00,NEARUSDT,long,16798.6096,10.13,10.653,867.2925,0.0,6,0.1679860958862697,normal,normal,-28.1912,2031.4212,0.4269,,0.4269
50,2026-06-01T06:47:41.394572+00:00,ETHUSDT,long,6205.2135,2938.92,2861.38,-163.7174,0.0,2,0.06205213512723019,normal,normal,-163.7174,25.1678,,1.0,-1.0
55,2026-06-01T06:48:53.951999+00:00,ADAUSDT,long,8333.3333,1.108,1.096,-90.2527,0.0,2,0.08333333333333333,normal,normal,-90.2527,172.9844,,1.0,-1.0
55,2026-06-01T06:48:53.952027+00:00,NEARUSDT,long,8333.3333,12.493,12.221,-181.4349,0.0,2,0.08333333333333333,normal,normal,-181.4349,268.8172,,1.0,-1.0
63,2026-06-01T06:50:27.467035+00:00,ETHUSDT,long,8333.3333,3036.0,3443.77,1119.2633,0.0,10,0.08333333333333333,high_vol,normal,0.0,1150.6643,0.9727,,0.9727
