cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-06-01T04:33:11.348073+00:00,ADAUSDT,long,20000.0,0.295,0.2818,-894.9153,0.0,1,0.19999999999999998,normal,normal,-894.9153,0.0,,1.0,-1.0
6,2026-06-01T04:33:45.845725+00:00,ADAUSDT,long,21373.8716,0.2858,0.2735,-919.8692,0.0,2,0.21373871640137773,crisis,normal,-919.8692,0.0,,1.0,-1.0
11,2026-06-01T04:34:56.329833+00:00,ADAUSDT,long,18025.0414,0.2717,0.2623,-623.612,0.0,1,0.18025041367011987,crisis,normal,-623.612,0.0,,1.0,-1.0
13,2026-06-01T04:35:19.844936+00:00,ARBUSDT,short,8970.7851,0.0946,0.1008,-587.9373,0.0,3,0.08970785071819347,crisis,normal,-587.9373,237.0715,,1.0,-1.0
15,2026-06-01T04:35:43.916237+00:00,NEARUSDT,long,22500.0,1.127,1.094,-658.8287,0.0,1,0.22499999999999998,crisis,normal,-658.8287,0.0,,1.0,-1.0
17,2026-06-01T04:36:06.117763+00:00,ADAUSDT,long,7142.8571,0.281,0.2735,-190.6457,0.0,1,0.07142857142857144,crisis,normal,-190.6457,0.0,,1.0,-1.0
22,2026-06-01T04:37:19.973454+00:00,NEARUSDT,long,10714.2857,1.172,1.227,502.8035,0.0,6,0.10714285714285715,normal,normal,-201.1214,1718.6738,0.2926,,0.2926
31,2026-06-01T04:39:13.859004+00:00,ADAUSDT,short,25000.0,0.2621,0.2702,-772.6059,0.0,5,0.25,high_vol,normal,-772.6059,0.0,,1.0,-1.0
39,2026-06-01T04:40:47.548700+00:00,ARBUSDT,short,7010.1702,0.0963,0.0975,-87.3541,0.0,2,0.07010170195101702,normal,normal,-87.3541,276.6215,,1.0,-1.0
40,2026-06-01T04:41:11.347106+00:00,NEARUSDT,long,7195.9319,1.281,1.292,61.7918,0.0,3,0.0719593192195932,normal,normal,-39.322,168.523,0.3667,,0.3667
41,2026-06-01T04:41:22.312471+00:00,ADAUSDT,short,25000.0,0.2904,0.2705,1713.1543,0.0,9,0.25,normal,normal,0.0,3426.3085,0.5,,0.5
42,2026-06-01T04:41:34.332887+00:00,ETHUSDT,long,10793.8979,2084.87,2060.43,-126.532,0.0,5,0.1079389788293898,normal,normal,-160.3913,435.6658,,0.7889,-0.7889
47,2026-06-01T04:42:32.101735+00:00,NEARUSDT,short,16821.1336,1.164,1.189,-361.2786,0.0,2,0.16821133565805843,normal,normal,-361.2786,28.9023,,1.0,-1.0
48,2026-06-01T04:42:44.334342+00:00,ARBUSDT,short,10935.6015,0.0975,0.0944,347.696,0.0,9,0.10935601458080195,normal,normal,-145.808,1020.6561,0.3407,,0.3407
48,2026-06-01T04:42:44.334359+00:00,ADAUSDT,short,8333.3333,0.2418,0.2484,-227.4607,0.0,1,0.08333333333333333,normal,normal,-227.4607,0.0,,1.0,-1.0
49,2026-06-01T04:42:58.012492+00:00,ETHUSDT,long,16834.4871,1992.75,2057.17,544.2116,0.0,6,0.1683448709880428,normal,normal,-68.5122,1246.9052,0.4364,,0.4364
50,2026-06-01T04:43:22.750002+00:00,NEARUSDT,short,8333.3333,1.189,1.209,-140.1738,0.0,3,0.08333333333333333,high_vol,normal,-140.1738,189.2347,,1.0,-1.0
59,2026-06-01T04:45:20.447461+00:00,ETHUSDT,long,16748.2551,2057.17,2191.65,1094.8562,0.0,10,0.16748255137650253,normal,normal,-27.1923,1854.775,0.5903,,0.5903
62,2026-06-01T04:45:55.650616+00:00,ETHUSDT,long,5605.8479,2386.68,2048.72,-793.8024,0.0,1,0.05605847896596795,crisis,normal,-793.8024,0.0,,1.0,-1.0
