cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-06-01T07:18:13.173291+00:00,ADAUSDT,short,15000.0,1.051,1.096,-642.2455,0.0,1,0.15,normal,normal,-642.2455,0.0,,1.0,-1.0
6,2026-06-01T07:18:47.969625+00:00,NEARUSDT,short,15000.0,11.12,12.984,-2514.3885,0.0,4,0.15,crisis,normal,-2514.3885,346.6727,,1.0,-1.0
13,2026-06-01T07:20:22.462302+00:00,ETHUSDT,long,22860.8891,2680.67,2927.54,2105.3198,0.0,9,0.22860889069497037,crisis,normal,0.0,4803.595,0.4383,,0.4383
27,2026-06-01T07:23:17.115108+00:00,ETHUSDT,short,8333.3333,2579.71,2768.49,-609.8231,0.0,2,0.08333333333333333,normal,normal,-609.8231,0.0,,1.0,-1.0
27,2026-06-01T07:23:17.115133+00:00,ADAUSDT,short,8333.3333,0.866,0.898,-307.9292,0.0,2,0.08333333333333333,normal,normal,-307.9292,125.0962,,1.0,-1.0
27,2026-06-01T07:23:17.115142+00:00,NEARUSDT,short,8333.3333,8.556,8.935,-369.1367,0.0,2,0.08333333333333333,normal,normal,-369.1367,66.2303,,1.0,-1.0
34,2026-06-01T07:24:50.040852+00:00,ETHUSDT,long,15018.4087,2616.79,2622.1,30.4754,0.0,5,0.1501840867253017,crisis,normal,0.0,2063.4895,0.0148,,0.0148
34,2026-06-01T07:24:50.040874+00:00,NEARUSDT,long,14112.0054,11.035,10.428,-776.2562,0.0,1,0.1411200543749847,crisis,normal,-776.2562,0.0,,1.0,-1.0
36,2026-06-01T07:25:13.780676+00:00,NEARUSDT,long,14778.9888,10.505,10.094,-578.2165,0.0,1,0.14778988766724052,normal,normal,-578.2165,0.0,,1.0,-1.0
39,2026-06-01T07:25:48.821817+00:00,ADAUSDT,short,10887.9946,0.903,0.849,651.1093,0.0,6,0.1088799456250153,crisis,normal,0.0,1326.3338,0.4909,,0.4909
43,2026-06-01T07:26:56.155959+00:00,NEARUSDT,long,16447.9392,10.327,9.85,-759.7237,0.0,1,0.16447939206466072,normal,normal,-759.7237,0.0,,1.0,-1.0
46,2026-06-01T07:27:30.988823+00:00,ADAUSDT,short,8552.0608,0.789,0.838,-531.1166,0.0,4,0.08552060793533929,crisis,normal,-531.1166,32.5173,,1.0,-1.0
49,2026-06-01T07:28:07.521414+00:00,ADAUSDT,short,12600.5264,0.835,0.903,-1026.1507,0.0,2,0.1260052639274748,normal,normal,-1026.1507,0.0,,1.0,-1.0
50,2026-06-01T07:28:30.526058+00:00,NEARUSDT,long,12399.4736,10.723,10.653,-80.9441,0.0,3,0.12399473607252523,normal,normal,-80.9441,730.8092,,1.0,-1.0
76,2026-06-01T07:33:52.028222+00:00,NEARUSDT,long,22621.3293,16.384,16.032,-486.0051,0.0,1,0.2262132927459856,normal,normal,-486.0051,0.0,,1.0,-1.0
80,2026-06-01T07:34:38.931987+00:00,ADAUSDT,short,25000.0,1.045,0.952,2224.8804,0.0,10,0.25,normal,normal,0.0,3133.9713,0.7099,,0.7099
81,2026-06-01T07:34:50.513223+00:00,NEARUSDT,long,22423.9499,15.934,16.654,1013.2574,0.0,4,0.22423949857604492,normal,normal,-354.6401,2087.0288,0.4855,,0.4855
82,2026-06-01T07:35:02.285380+00:00,NEARUSDT,long,16657.5956,16.654,15.64,-1014.2189,0.0,1,0.16657595577949483,normal,normal,-1014.2189,0.0,,1.0,-1.0
85,2026-06-01T07:35:36.586792+00:00,NEARUSDT,long,15136.9544,15.569,15.006,-547.3765,0.0,2,0.1513695443575354,normal,normal,-547.3765,0.0,,1.0,-1.0
90,2026-06-01T07:36:34.335879+00:00,ETHUSDT,long,12584.6748,2809.67,2817.13,33.4138,0.0,3,0.12584674776021562,normal,normal,0.0,570.0049,0.0586,,0.0586
91,2026-06-01T07:36:45.692450+00:00,ADAUSDT,short,8342.4044,0.937,0.7556,1615.061,0.0,10,0.08342404422050517,normal,normal,0.0,1615.061,1.0,,1.0
92,2026-06-01T07:36:57.404579+00:00,NEARUSDT,short,6207.6626,12.685,11.837,414.986,0.0,5,0.062076626119892196,normal,normal,-94.9378,1149.5309,0.361,,0.361
94,2026-06-01T07:37:20.834693+00:00,ETHUSDT,long,18763.6463,2726.66,2781.7,378.7605,0.0,3,0.18763646288209607,normal,normal,0.0,893.7757,0.4238,,0.4238
