cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-06-01T05:14:21.155929+00:00,ETHUSDT,short,15000.0,1814.67,1832.71,-149.118,0.0,3,0.15,normal,normal,-267.156,114.6489,,0.5582,-0.5582
8,2026-06-01T05:14:58.932922+00:00,ETHUSDT,short,15000.0,1855.54,1900.95,-367.0899,0.0,2,0.15,normal,normal,-367.0899,0.0,,1.0,-1.0
9,2026-06-01T05:15:11.113563+00:00,NEARUSDT,long,7500.0,1.332,1.446,641.8919,0.0,7,0.075,crisis,normal,0.0,1711.7117,0.375,,0.375
11,2026-06-01T05:15:55.778411+00:00,ETHUSDT,short,15000.0,1900.95,2121.32,-1738.8937,0.0,3,0.15,crisis,normal,-1738.8937,123.7276,,1.0,-1.0
12,2026-06-01T05:16:07.582690+00:00,ADAUSDT,long,7500.0,0.293,0.3859,2377.9863,0.0,10,0.075,crisis,normal,0.0,2377.9863,1.0,,1.0
14,2026-06-01T05:16:31.061395+00:00,ARBUSDT,long,5000.0,0.9901,1.1558,836.7842,0.0,10,0.049999999999999996,crisis,normal,0.0,1101.9089,0.7594,,0.7594
16,2026-06-01T05:16:54.171865+00:00,ETHUSDT,long,30000.0,2053.17,1979.39,-1078.0403,0.0,3,0.3,crisis,normal,-1078.0403,7.0135,,1.0,-1.0
34,2026-06-01T05:21:01.500040+00:00,ARBUSDT,short,25000.0,1.0666,1.1105,-1028.9706,0.0,7,0.25,normal,normal,-1028.9706,1411.0257,,1.0,-1.0
38,2026-06-01T05:21:48.866021+00:00,ETHUSDT,long,12500.0,2243.37,2232.7,-59.453,0.0,2,0.125,normal,normal,-59.453,278.3758,,1.0,-1.0
43,2026-06-01T05:23:05.571591+00:00,NEARUSDT,long,12500.0,2.149,2.24,529.316,0.0,7,0.125,normal,normal,0.0,2152.1638,0.2459,,0.2459
43,2026-06-01T05:23:05.571659+00:00,ETHUSDT,long,8333.3333,2355.73,2225.12,-462.0295,0.0,4,0.08333333333333333,normal,normal,-462.0295,10.577,,1.0,-1.0
47,2026-06-01T05:23:55.488771+00:00,NEARUSDT,long,8333.3333,2.322,2.191,-470.1407,0.0,1,0.08333333333333333,normal,normal,-470.1407,0.0,,1.0,-1.0
47,2026-06-01T05:23:55.488797+00:00,ARBUSDT,long,8333.3333,1.1834,1.1001,-586.5867,0.0,1,0.08333333333333333,normal,normal,-586.5867,0.0,,1.0,-1.0
49,2026-06-01T05:24:18.442597+00:00,ADAUSDT,long,8333.3333,0.4555,0.5804,2285.0348,0.0,10,0.08333333333333333,normal,normal,0.0,3878.5218,0.5892,,0.5892
49,2026-06-01T05:24:18.442633+00:00,NEARUSDT,long,5600.895,2.39,2.266,-290.5904,0.0,1,0.05600894984225097,normal,normal,-290.5904,0.0,,1.0,-1.0
50,2026-06-01T05:24:41.713526+00:00,ARBUSDT,long,5600.895,1.1249,1.101,-118.9985,0.0,2,0.05600894984225097,normal,normal,-118.9985,0.0,,1.0,-1.0
50,2026-06-01T05:24:41.713582+00:00,ETHUSDT,short,8197.315,2228.96,2219.43,35.0479,0.0,2,0.08197315047324705,normal,normal,0.0,119.3027,0.2938,,0.2938
51,2026-06-01T05:25:06.267542+00:00,ADAUSDT,long,9422.8195,0.6021,0.5761,-406.898,0.0,1,0.09422819520312557,normal,normal,-406.898,0.0,,1.0,-1.0
52,2026-06-01T05:25:18.914148+00:00,ETHUSDT,short,6154.361,2219.43,2202.17,47.8611,0.0,2,0.06154360959374887,normal,normal,0.0,115.1327,0.4157,,0.4157
53,2026-06-01T05:25:30.077433+00:00,ARBUSDT,short,5498.0658,1.105,1.1582,-264.7033,0.0,1,0.0549806576402321,normal,normal,-264.7033,0.0,,1.0,-1.0
56,2026-06-01T05:26:04.861266+00:00,ADAUSDT,long,8376.4507,0.5894,0.5919,35.5296,0.0,4,0.08376450676982593,normal,normal,0.0,649.4805,0.0547,,0.0547
