cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-06-01T15:50:07.071964+00:00,ADAUSDT,short,15000.0,1.051,1.096,-642.2455,0.0,1,0.15,normal,normal,-642.2455,0.0,,1.0,-1.0
6,2026-06-01T15:50:42.063906+00:00,NEARUSDT,short,15000.0,11.12,12.984,-2514.3885,0.0,4,0.15,crisis,normal,-2514.3885,346.6727,,1.0,-1.0
13,2026-06-01T15:52:18.836458+00:00,ETHUSDT,long,22860.8891,2680.67,2927.54,2105.3198,0.0,9,0.22860889069497037,crisis,normal,0.0,4803.595,0.4383,,0.4383
27,2026-06-01T15:55:17.759945+00:00,ETHUSDT,short,8333.3333,2579.71,2768.49,-609.8231,0.0,2,0.08333333333333333,normal,normal,-609.8231,0.0,,1.0,-1.0
27,2026-06-01T15:55:17.759967+00:00,ADAUSDT,short,8333.3333,0.866,0.898,-307.9292,0.0,2,0.08333333333333333,normal,normal,-307.9292,125.0962,,1.0,-1.0
27,2026-06-01T15:55:17.759976+00:00,NEARUSDT,short,8333.3333,8.556,8.935,-369.1367,0.0,2,0.08333333333333333,normal,normal,-369.1367,66.2303,,1.0,-1.0
34,2026-06-01T15:56:50.951788+00:00,ETHUSDT,long,15003.5086,2616.79,2622.1,30.4452,0.0,5,0.15003508566750481,crisis,normal,0.0,2061.4423,0.0148,,0.0148
34,2026-06-01T15:56:50.951808+00:00,NEARUSDT,long,14097.6288,11.035,10.428,-775.4654,0.0,1,0.14097628762063136,crisis,normal,-775.4654,0.0,,1.0,-1.0
36,2026-06-01T15:57:14.023183+00:00,NEARUSDT,long,14764.8565,10.505,10.094,-577.6636,0.0,1,0.147648564906606,normal,normal,-577.6636,0.0,,1.0,-1.0
39,2026-06-01T15:57:48.594749+00:00,ADAUSDT,short,10902.3712,0.903,0.849,651.969,0.0,6,0.10902371237936864,crisis,normal,0.0,1328.0851,0.4909,,0.4909
43,2026-06-01T15:58:46.728440+00:00,NEARUSDT,long,16434.7635,10.327,9.85,-759.1152,0.0,1,0.1643476349207129,crisis,normal,-759.1152,0.0,,1.0,-1.0
46,2026-06-01T15:59:21.503096+00:00,ADAUSDT,short,8565.2365,0.789,0.838,-531.9348,0.0,4,0.08565236507928711,crisis,normal,-531.9348,32.5674,,1.0,-1.0
49,2026-06-01T15:59:59.247416+00:00,ADAUSDT,short,10087.8735,0.838,0.903,-782.4723,0.0,3,0.10087873462214411,normal,normal,-782.4723,36.1141,,1.0,-1.0
50,2026-06-01T16:00:27.645061+00:00,NEARUSDT,long,17552.5505,10.13,10.653,906.2176,0.0,6,0.17552550524078114,normal,normal,-29.4564,2122.5937,0.4269,,0.4269
50,2026-06-01T16:00:27.645105+00:00,ETHUSDT,long,6196.9642,2938.92,2861.38,-163.4997,0.0,2,0.061969641550841253,normal,normal,-163.4997,25.1343,,1.0,-1.0
76,2026-06-01T16:05:45.382730+00:00,NEARUSDT,long,22616.0115,16.384,16.032,-485.8909,0.0,1,0.22616011474960912,normal,normal,-485.8909,0.0,,1.0,-1.0
80,2026-06-01T16:06:31.147900+00:00,ADAUSDT,short,25000.0,1.045,0.952,2224.8804,0.0,10,0.25,normal,normal,0.0,3133.9713,0.7099,,0.7099
