cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-06-01T13:07:34.920136+00:00,ADAUSDT,long,20000.0,0.295,0.2818,-894.9153,0.0,1,0.19999999999999998,normal,normal,-894.9153,0.0,,1.0,-1.0
6,2026-06-01T13:08:10.987421+00:00,ADAUSDT,long,21373.8716,0.2858,0.2735,-919.8692,0.0,2,0.21373871640137773,crisis,normal,-919.8692,0.0,,1.0,-1.0
11,2026-06-01T13:09:20.626137+00:00,ADAUSDT,long,17942.3564,0.2717,0.2623,-620.7514,0.0,1,0.17942356447034338,crisis,normal,-620.7514,0.0,,1.0,-1.0
13,2026-06-01T13:09:43.276849+00:00,ARBUSDT,short,9067.2508,0.0946,0.1008,-594.2596,0.0,3,0.09067250811793275,crisis,normal,-594.2596,239.6208,,1.0,-1.0
15,2026-06-01T13:10:06.186097+00:00,NEARUSDT,long,22500.0,1.127,1.094,-658.8287,0.0,1,0.22499999999999998,crisis,normal,-658.8287,0.0,,1.0,-1.0
17,2026-06-01T13:10:29.628713+00:00,ADAUSDT,long,7142.8571,0.281,0.2735,-190.6457,0.0,1,0.07142857142857144,crisis,normal,-190.6457,0.0,,1.0,-1.0
22,2026-06-01T13:11:45.937540+00:00,NEARUSDT,long,10714.2857,1.172,1.227,502.8035,0.0,6,0.10714285714285715,normal,normal,-201.1214,1718.6738,0.2926,,0.2926
31,2026-06-01T13:13:46.178074+00:00,ADAUSDT,short,25000.0,0.2621,0.2702,-772.6059,0.0,5,0.25,high_vol,normal,-772.6059,0.0,,1.0,-1.0
39,2026-06-01T13:15:19.468763+00:00,ARBUSDT,short,7019.7121,0.0963,0.0975,-87.473,0.0,2,0.07019712107679205,normal,normal,-87.473,276.998,,1.0,-1.0
40,2026-06-01T13:15:42.307418+00:00,NEARUSDT,long,7192.1152,1.281,1.292,61.759,0.0,3,0.07192115156928318,normal,normal,-39.3012,168.4336,0.3667,,0.3667
41,2026-06-01T13:15:54.021211+00:00,ADAUSDT,short,25000.0,0.2904,0.2705,1713.1543,0.0,9,0.25,normal,normal,0.0,3426.3085,0.5,,0.5
42,2026-06-01T13:16:05.916820+00:00,ETHUSDT,long,10788.1727,2084.87,2060.43,-126.4649,0.0,5,0.10788172735392476,normal,normal,-160.3062,435.4347,,0.7889,-0.7889
47,2026-06-01T13:17:03.881483+00:00,NEARUSDT,short,7026.8751,1.18,1.189,-53.5948,0.0,4,0.07026875117097238,normal,normal,-53.5948,107.1896,,1.0,-1.0
48,2026-06-01T13:17:18.479875+00:00,ARBUSDT,short,9840.8905,0.0975,0.0944,312.8899,0.0,9,0.09840890546683763,normal,normal,-131.2119,918.4831,0.3407,,0.3407
48,2026-06-01T13:17:18.479950+00:00,ADAUSDT,short,8333.3333,0.2418,0.2484,-227.4607,0.0,1,0.08333333333333333,normal,normal,-227.4607,0.0,,1.0,-1.0
49,2026-06-01T13:17:30.320144+00:00,ETHUSDT,long,14459.6873,1992.75,2057.17,467.441,0.0,6,0.14459687324354142,normal,normal,-58.8474,1071.0073,0.4364,,0.4364
50,2026-06-01T13:17:52.632960+00:00,NEARUSDT,short,8333.3333,1.189,1.209,-140.1738,0.0,3,0.08333333333333333,high_vol,normal,-140.1738,189.2347,,1.0,-1.0
59,2026-06-01T13:19:49.218823+00:00,ETHUSDT,long,14364.204,2057.17,2191.65,939.0075,0.0,10,0.1436420395421436,normal,normal,-23.3216,1590.7547,0.5903,,0.5903
62,2026-06-01T13:20:23.185821+00:00,ETHUSDT,long,5602.9193,2386.68,2048.72,-793.3877,0.0,1,0.05602919330879028,crisis,normal,-793.3877,0.0,,1.0,-1.0
62,2026-06-01T13:20:23.185842+00:00,NEARUSDT,long,5602.9193,1.426,1.024,-1579.5046,0.0,1,0.05602919330879028,crisis,normal,-1579.5046,0.0,,1.0,-1.0
62,2026-06-01T13:20:23.185851+00:00,ADAUSDT,short,8191.242,0.2443,0.2728,-955.589,0.0,1,0.08191242007362914,crisis,normal,-955.589,0.0,,1.0,-1.0
64,2026-06-01T13:20:46.546889+00:00,ARBUSDT,long,5602.9193,0.1132,0.1146,69.2941,0.0,3,0.05602919330879028,crisis,normal,0.0,361.319,0.1918,,0.1918
67,2026-06-01T13:21:21.841975+00:00,ADAUSDT,long,16618.4078,0.2858,0.2735,-715.2079,0.0,2,0.16618407773219662,crisis,normal,-715.2079,0.0,,1.0,-1.0
71,2026-06-01T13:22:12.663418+00:00,ADAUSDT,long,15852.713,0.2735,0.2717,-104.3323,0.0,4,0.15852713048393202,crisis,normal,-104.3323,660.7712,,1.0,-1.0
72,2026-06-01T13:22:25.863394+00:00,ADAUSDT,long,13867.7114,0.2717,0.2623,-479.781,0.0,1,0.13867711390287327,crisis,normal,-479.781,0.0,,1.0,-1.0
74,2026-06-01T13:22:48.510572+00:00,ARBUSDT,short,7860.2248,0.097,0.1008,-307.9263,0.0,5,0.07860224784164911,crisis,normal,-307.9263,397.0629,,1.0,-1.0
76,2026-06-01T13:23:11.807854+00:00,ADAUSDT,long,5652.1293,0.2587,0.2776,412.931,0.0,3,0.056521293267464814,crisis,normal,0.0,838.9709,0.4922,,0.4922
79,2026-06-01T13:23:45.764634+00:00,ARBUSDT,short,7998.9103,0.1001,0.1018,-135.8456,0.0,4,0.07998910303785908,normal,normal,-135.8456,47.9455,,1.0,-1.0
