cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-06-01T15:09:31.903047+00:00,ADAUSDT,short,15000.0,1.051,1.096,-642.2455,0.0,1,0.15,normal,normal,-642.2455,0.0,,1.0,-1.0
6,2026-06-01T15:10:06.597502+00:00,NEARUSDT,short,15000.0,11.12,12.984,-2514.3885,0.0,4,0.15,crisis,normal,-2514.3885,346.6727,,1.0,-1.0
13,2026-06-01T15:11:42.030013+00:00,ETHUSDT,long,22860.8891,2680.67,2927.54,2105.3198,0.0,9,0.22860889069497037,crisis,normal,0.0,4803.595,0.4383,,0.4383
34,2026-06-01T15:16:15.492843+00:00,ETHUSDT,long,7501.3158,2616.79,2622.1,15.2217,0.0,5,0.07501315827948185,crisis,normal,0.0,1030.6609,0.0148,,0.0148
34,2026-06-01T15:16:15.492865+00:00,NEARUSDT,long,7048.8144,11.035,10.428,-387.7327,0.0,1,0.07048814381031568,crisis,normal,-387.7327,0.0,,1.0,-1.0
36,2026-06-01T15:16:39.107230+00:00,NEARUSDT,long,7382.4282,10.505,10.094,-288.8318,0.0,1,0.073824282453303,normal,normal,-288.8318,0.0,,1.0,-1.0
39,2026-06-01T15:17:14.826559+00:00,ADAUSDT,short,5451.1856,0.903,0.849,325.9845,0.0,6,0.05451185618968432,crisis,normal,0.0,664.0425,0.4909,,0.4909
43,2026-06-01T15:18:12.022550+00:00,NEARUSDT,long,8216.9689,10.327,9.85,-379.5385,0.0,1,0.08216968897923083,crisis,normal,-379.5385,0.0,,1.0,-1.0
49,2026-06-01T15:19:24.073697+00:00,ADAUSDT,short,5044.38,0.838,0.903,-391.2705,0.0,3,0.050443799982423765,normal,normal,-391.2705,18.0586,,1.0,-1.0
50,2026-06-01T15:19:47.877692+00:00,NEARUSDT,long,8776.2753,10.13,10.653,453.1088,0.0,6,0.08776275262039057,normal,normal,-14.7282,1061.2969,0.4269,,0.4269
76,2026-06-01T15:25:13.146492+00:00,NEARUSDT,long,11308.3209,16.384,16.032,-242.9522,0.0,1,0.11308320888361835,normal,normal,-242.9522,0.0,,1.0,-1.0
80,2026-06-01T15:26:00.258068+00:00,ADAUSDT,short,12500.0,1.045,0.952,1112.4402,0.0,10,0.125,normal,normal,0.0,1566.9856,0.7099,,0.7099
81,2026-06-01T15:26:12.235534+00:00,NEARUSDT,long,11209.4584,15.934,16.654,506.515,0.0,4,0.11209458437576415,normal,normal,-177.2803,1043.2802,0.4855,,0.4855
82,2026-06-01T15:26:23.547674+00:00,NEARUSDT,long,8322.7457,16.654,15.64,-506.741,0.0,1,0.08322745687670433,normal,normal,-506.741,0.0,,1.0,-1.0
85,2026-06-01T15:26:58.527825+00:00,NEARUSDT,long,7562.4109,15.569,15.006,-273.4689,0.0,2,0.07562410893537781,normal,normal,-273.4689,0.0,,1.0,-1.0
90,2026-06-01T15:27:56.963677+00:00,ETHUSDT,long,6285.5217,2809.67,2817.13,16.6888,0.0,3,0.06285521713786069,normal,normal,0.0,284.6938,0.0586,,0.0586
94,2026-06-01T15:28:42.916321+00:00,ETHUSDT,long,9377.0489,2726.66,2781.7,189.2839,0.0,3,0.09377048881765862,normal,normal,0.0,446.6604,0.4238,,0.4238
95,2026-06-01T15:28:54.625576+00:00,ADAUSDT,short,12500.0,0.886,0.8985,-176.3544,0.0,10,0.125,normal,normal,-176.3544,1839.7291,,1.0,-1.0
96,2026-06-01T15:29:05.926641+00:00,ETHUSDT,long,9372.2644,2940.64,2747.97,-614.0684,0.0,1,0.0937226437117012,crisis,normal,-614.0684,0.0,,1.0,-1.0
121,2026-06-01T15:34:00.771666+00:00,ETHUSDT,short,8333.3333,1942.63,1998.78,-240.8676,0.0,5,0.08333333333333333,normal,normal,-240.8676,923.8335,,1.0,-1.0
121,2026-06-01T15:34:00.771687+00:00,ADAUSDT,short,8333.3333,0.5146,0.5698,-893.8982,0.0,5,0.08333333333333333,normal,normal,-893.8982,939.2408,,1.0,-1.0
121,2026-06-01T15:34:00.771695+00:00,NEARUSDT,short,8333.3333,5.758,5.76,-2.8945,0.0,5,0.08333333333333333,normal,normal,-2.8945,1377.7932,,1.0,-1.0
124,2026-06-01T15:34:36.754002+00:00,NEARUSDT,short,10561.5347,5.343,5.603,-513.9433,0.0,1,0.10561534712069906,normal,normal,-513.9433,0.0,,1.0,-1.0
125,2026-06-01T15:34:48.469821+00:00,ADAUSDT,long,14438.4653,0.5516,0.56,219.8751,0.0,2,0.14438465287930094,normal,normal,0.0,929.2341,0.2366,,0.2366
132,2026-06-01T15:36:10.304872+00:00,ADAUSDT,long,21968.6688,0.56,0.5744,564.9086,0.0,7,0.21968668807152839,high_vol,normal,0.0,3169.7651,0.1782,,0.1782
137,2026-06-01T15:37:08.841961+00:00,NEARUSDT,short,12500.0,3.695,3.813,-399.1881,0.0,3,0.125,normal,normal,-399.1881,1065.6292,,1.0,-1.0
144,2026-06-01T15:38:30.566038+00:00,ETHUSDT,short,12500.0,1434.84,1050.19,3350.9834,0.0,10,0.125,crisis,normal,0.0,3830.6536,0.8748,,0.8748
145,2026-06-01T15:38:41.910749+00:00,ETHUSDT,short,8333.3333,1050.19,1144.72,-750.1024,0.0,1,0.08333333333333333,crisis,normal,-750.1024,0.0,,1.0,-1.0
145,2026-06-01T15:38:41.910768+00:00,ADAUSDT,short,8333.3333,0.4594,0.48,-373.6758,0.0,1,0.08333333333333333,crisis,normal,-373.6758,0.0,,1.0,-1.0
145,2026-06-01T15:38:41.910777+00:00,NEARUSDT,short,8333.3333,3.28,3.554,-696.1382,0.0,1,0.08333333333333333,crisis,normal,-696.1382,0.0,,1.0,-1.0
147,2026-06-01T15:39:05.893544+00:00,NEARUSDT,short,8333.3333,3.993,4.172,-373.5704,0.0,1,0.08333333333333333,crisis,normal,-373.5704,0.0,,1.0,-1.0
152,2026-06-01T15:40:10.752361+00:00,NEARUSDT,long,14003.1684,3.417,3.338,-323.749,0.0,2,0.14003168398585691,crisis,normal,-323.749,49.1771,,1.0,-1.0
153,2026-06-01T15:40:22.053245+00:00,ETHUSDT,short,8333.3333,1225.02,2601.68,-9364.8811,0.0,7,0.08333333333333333,normal,normal,-9364.8811,1047.67,,1.0,-1.0
153,2026-06-01T15:40:22.053263+00:00,ADAUSDT,short,8333.3333,0.4981,1.035,-8982.4667,0.0,7,0.08333333333333333,normal,normal,-8982.4667,639.0952,,1.0,-1.0
160,2026-06-01T15:41:44.093258+00:00,NEARUSDT,short,5263.8579,12.984,13.495,-207.1651,0.0,2,0.0526385791237344,normal,normal,-207.1651,68.5145,,1.0,-1.0
161,2026-06-01T15:41:55.794440+00:00,ADAUSDT,short,5564.745,1.143,1.199,-272.6384,0.0,1,0.05564744993107922,normal,normal,-272.6384,0.0,,1.0,-1.0
165,2026-06-01T15:42:42.531216+00:00,ETHUSDT,long,18704.74,2680.67,2927.54,1722.569,0.0,9,0.1870473996050033,normal,normal,0.0,3930.2931,0.4383,,0.4383
169,2026-06-01T15:43:29.467220+00:00,NEARUSDT,short,25000.0,10.793,11.51,-1660.7987,0.0,3,0.25,normal,normal,-1660.7987,956.6386,,1.0,-1.0
171,2026-06-01T15:43:52.355911+00:00,ETHUSDT,long,14811.2729,2929.75,2891.87,-191.5013,0.0,3,0.14811272850428456,normal,normal,-191.5013,1282.9275,,1.0,-1.0
174,2026-06-01T15:44:27.199871+00:00,ETHUSDT,long,12780.175,2779.48,2621.99,-724.1462,0.0,2,0.12780174974141564,normal,normal,-724.1462,0.0,,1.0,-1.0
179,2026-06-01T15:45:26.128665+00:00,ADAUSDT,short,6683.2907,0.931,0.898,236.8943,0.0,5,0.06683290652114005,normal,normal,0.0,559.932,0.4231,,0.4231
179,2026-06-01T15:45:26.128680+00:00,ETHUSDT,short,8333.3333,2636.29,2768.49,-417.8852,0.0,3,0.08333333333333333,normal,normal,-417.8852,178.8498,,1.0,-1.0
180,2026-06-01T15:45:37.463420+00:00,NEARUSDT,short,9942.5849,11.223,9.117,1865.7296,0.0,10,0.09942584853647513,normal,normal,0.0,2422.968,0.77,,0.77
181,2026-06-01T15:45:49.180819+00:00,ETHUSDT,long,12552.8657,2779.47,2616.79,-734.7085,0.0,1,0.12552865684701764,normal,normal,-734.7085,0.0,,1.0,-1.0
182,2026-06-01T15:46:00.754904+00:00,ADAUSDT,short,6223.5672,0.887,0.962,-526.2317,0.0,2,0.06223567157649119,crisis,normal,-526.2317,217.5091,,1.0,-1.0
182,2026-06-01T15:46:00.754921+00:00,NEARUSDT,short,6223.5672,9.117,9.759,-438.2505,0.0,2,0.06223567157649119,crisis,normal,-438.2505,415.7236,,1.0,-1.0
186,2026-06-01T15:46:47.243547+00:00,NEARUSDT,long,14098.5472,11.035,10.428,-775.5159,0.0,1,0.14098547176686244,crisis,normal,-775.5159,0.0,,1.0,-1.0
188,2026-06-01T15:47:10.164222+00:00,NEARUSDT,long,14243.014,10.505,10.094,-557.2469,0.0,1,0.14243013969821208,normal,normal,-557.2469,0.0,,1.0,-1.0
