cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-06-01T12:26:13.884049+00:00,ADAUSDT,long,20000.0,0.295,0.2818,-894.9153,0.0,1,0.19999999999999998,normal,normal,-894.9153,0.0,,1.0,-1.0
6,2026-06-01T12:26:49.765364+00:00,ADAUSDT,long,21373.8716,0.2858,0.2735,-919.8692,0.0,2,0.21373871640137773,crisis,normal,-919.8692,0.0,,1.0,-1.0
11,2026-06-01T12:28:06.566562+00:00,ADAUSDT,long,17942.3564,0.2717,0.2623,-620.7514,0.0,1,0.17942356447034338,crisis,normal,-620.7514,0.0,,1.0,-1.0
13,2026-06-01T12:28:30.347077+00:00,ARBUSDT,short,9067.2508,0.0946,0.1008,-594.2596,0.0,3,0.09067250811793275,crisis,normal,-594.2596,239.6208,,1.0,-1.0
15,2026-06-01T12:28:54.408763+00:00,NEARUSDT,long,22500.0,1.127,1.094,-658.8287,0.0,1,0.22499999999999998,crisis,normal,-658.8287,0.0,,1.0,-1.0
17,2026-06-01T12:29:18.127743+00:00,ADAUSDT,long,7142.8571,0.281,0.2735,-190.6457,0.0,1,0.07142857142857144,crisis,normal,-190.6457,0.0,,1.0,-1.0
22,2026-06-01T12:30:28.348172+00:00,NEARUSDT,long,10714.2857,1.172,1.227,502.8035,0.0,6,0.10714285714285715,normal,normal,-201.1214,1718.6738,0.2926,,0.2926
31,2026-06-01T12:32:31.149891+00:00,ADAUSDT,short,25000.0,0.2621,0.2702,-772.6059,0.0,5,0.25,high_vol,normal,-772.6059,0.0,,1.0,-1.0
39,2026-06-01T12:34:06.634303+00:00,ARBUSDT,short,7018.2543,0.0963,0.0975,-87.4549,0.0,2,0.07018254314372936,normal,normal,-87.4549,276.9405,,1.0,-1.0
40,2026-06-01T12:34:36.367252+00:00,NEARUSDT,long,7192.6983,1.281,1.292,61.764,0.0,3,0.07192698274250826,normal,normal,-39.3044,168.4473,0.3667,,0.3667
41,2026-06-01T12:34:48.851244+00:00,ADAUSDT,short,25000.0,0.2904,0.2705,1713.1543,0.0,9,0.25,normal,normal,0.0,3426.3085,0.5,,0.5
42,2026-06-01T12:35:00.544241+00:00,ETHUSDT,long,10789.0474,2084.87,2060.43,-126.4752,0.0,5,0.10789047411376239,normal,normal,-160.3192,435.47,,0.7889,-0.7889
47,2026-06-01T12:36:03.118759+00:00,NEARUSDT,short,7025.7051,1.18,1.189,-53.5859,0.0,4,0.07025705068165262,normal,normal,-53.5859,107.1718,,1.0,-1.0
48,2026-06-01T12:36:15.206439+00:00,ARBUSDT,short,9839.1468,0.0975,0.0944,312.8344,0.0,9,0.0983914677856456,normal,normal,-131.1886,918.3204,0.3407,,0.3407
48,2026-06-01T12:36:15.206485+00:00,ADAUSDT,short,8333.3333,0.2418,0.2484,-227.4607,0.0,1,0.08333333333333333,normal,normal,-227.4607,0.0,,1.0,-1.0
49,2026-06-01T12:36:27.424582+00:00,ETHUSDT,long,14461.4424,1992.75,2057.17,467.4977,0.0,6,0.14461442397752106,normal,normal,-58.8545,1071.1373,0.4364,,0.4364
50,2026-06-01T12:36:52.398335+00:00,NEARUSDT,short,8333.3333,1.189,1.209,-140.1738,0.0,3,0.08333333333333333,high_vol,normal,-140.1738,189.2347,,1.0,-1.0
59,2026-06-01T12:38:48.647438+00:00,ETHUSDT,long,14365.9861,2057.17,2191.65,939.124,0.0,10,0.1436598613972654,normal,normal,-23.3245,1590.9521,0.5903,,0.5903
62,2026-06-01T12:39:24.298937+00:00,ETHUSDT,long,5603.4552,2386.68,2048.72,-793.4636,0.0,1,0.05603455235327359,crisis,normal,-793.4636,0.0,,1.0,-1.0
62,2026-06-01T12:39:24.298968+00:00,NEARUSDT,long,5603.4552,1.426,1.024,-1579.6557,0.0,1,0.05603455235327359,crisis,normal,-1579.6557,0.0,,1.0,-1.0
62,2026-06-01T12:39:24.298978+00:00,ADAUSDT,short,8189.6343,0.2443,0.2728,-955.4015,0.0,1,0.08189634294017924,crisis,normal,-955.4015,0.0,,1.0,-1.0
64,2026-06-01T12:39:47.549799+00:00,ARBUSDT,long,5603.4552,0.1132,0.1146,69.3007,0.0,3,0.05603455235327359,crisis,normal,0.0,361.3536,0.1918,,0.1918
67,2026-06-01T12:40:22.884977+00:00,ADAUSDT,long,16620.0131,0.2858,0.2735,-715.277,0.0,2,0.16620013099322828,crisis,normal,-715.277,0.0,,1.0,-1.0
71,2026-06-01T12:41:14.888722+00:00,ADAUSDT,long,15854.3916,0.2735,0.2717,-104.3433,0.0,4,0.1585439157465682,crisis,normal,-104.3433,660.8412,,1.0,-1.0
72,2026-06-01T12:41:26.336528+00:00,ADAUSDT,long,13869.5057,0.2717,0.2623,-479.843,0.0,1,0.138695056882559,crisis,normal,-479.843,0.0,,1.0,-1.0
74,2026-06-01T12:41:50.229229+00:00,ARBUSDT,short,7858.885,0.097,0.1008,-307.8738,0.0,5,0.07858884990334931,crisis,normal,-307.8738,396.9952,,1.0,-1.0
76,2026-06-01T12:42:12.868478+00:00,ADAUSDT,long,5653.4865,0.2587,0.2776,413.0301,0.0,3,0.05653486540654663,crisis,normal,0.0,839.1723,0.4922,,0.4922
79,2026-06-01T12:42:48.055767+00:00,ARBUSDT,short,7997.5843,0.1001,0.1018,-135.8231,0.0,4,0.07997584339929788,normal,normal,-135.8231,47.9376,,1.0,-1.0
83,2026-06-01T12:43:35.798014+00:00,NEARUSDT,long,5653.4865,0.967,1.227,1520.0688,0.0,10,0.05653486540654663,normal,normal,0.0,2297.6424,0.6616,,0.6616
83,2026-06-01T12:43:35.798035+00:00,ETHUSDT,long,6199.4387,2072.86,1978.68,-281.6703,0.0,1,0.06199438666006273,normal,normal,-281.6703,0.0,,1.0,-1.0
87,2026-06-01T12:44:22.745643+00:00,ADAUSDT,short,6334.2689,0.2692,0.2621,167.0628,0.0,5,0.06334268889989544,normal,normal,0.0,468.2465,0.3568,,0.3568
92,2026-06-01T12:45:23.056333+00:00,ADAUSDT,short,11416.5333,0.2626,0.2702,-330.41,0.0,4,0.11416533313928322,high_vol,normal,-330.41,0.0,,1.0,-1.0
94,2026-06-01T12:45:46.702883+00:00,ETHUSDT,long,5050.525,1969.59,2317.39,891.8468,0.0,10,0.050505249512931366,high_vol,normal,-83.3125,983.0829,0.9072,,0.9072
94,2026-06-01T12:45:46.702911+00:00,NEARUSDT,long,7575.7874,1.214,1.452,1485.2038,0.0,10,0.07575787426939705,high_vol,normal,-12.4807,1722.3372,0.8623,,0.8623
100,2026-06-01T12:47:02.047305+00:00,ARBUSDT,short,7071.5578,0.0963,0.0975,-88.1191,0.0,2,0.07071557801484808,normal,normal,-88.1191,279.0438,,1.0,-1.0
101,2026-06-01T12:47:14.215306+00:00,NEARUSDT,long,7171.3769,1.281,1.292,61.5809,0.0,3,0.07171376879406076,normal,normal,-39.1879,167.9479,0.3667,,0.3667
102,2026-06-01T12:47:26.200424+00:00,ADAUSDT,short,25000.0,0.2904,0.2705,1713.1543,0.0,9,0.25,normal,normal,0.0,3426.3085,0.5,,0.5
103,2026-06-01T12:47:38.091987+00:00,ETHUSDT,long,10757.0653,2084.87,2060.43,-126.1003,0.0,5,0.10757065319109113,normal,normal,-159.844,434.1791,,0.7889,-0.7889
108,2026-06-01T12:48:37.627306+00:00,NEARUSDT,short,16666.6667,1.164,1.189,-357.9611,0.0,2,0.16666666666666669,normal,normal,-357.9611,28.6369,,1.0,-1.0
109,2026-06-01T12:48:49.579112+00:00,ARBUSDT,short,9901.2065,0.0975,0.0944,314.8076,0.0,9,0.09901206504633676,normal,normal,-132.0161,924.1126,0.3407,,0.3407
109,2026-06-01T12:48:49.579131+00:00,ADAUSDT,short,8333.3333,0.2418,0.2484,-227.4607,0.0,1,0.08333333333333333,normal,normal,-227.4607,0.0,,1.0,-1.0
110,2026-06-01T12:49:01.989239+00:00,ETHUSDT,long,16784.555,1992.75,2057.17,542.5974,0.0,6,0.16784555011869579,normal,normal,-68.309,1243.2068,0.4364,,0.4364
111,2026-06-01T12:49:13.704667+00:00,NEARUSDT,short,8333.3333,1.189,1.209,-140.1738,0.0,3,0.08333333333333333,high_vol,normal,-140.1738,189.2347,,1.0,-1.0
