cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-06-01T14:29:29.924722+00:00,ETHUSDT,short,15000.0,1814.67,1832.71,-149.118,0.0,3,0.15,normal,normal,-267.156,114.6489,,0.5582,-0.5582
8,2026-06-01T14:30:04.996698+00:00,ETHUSDT,short,15000.0,1855.54,1900.95,-367.0899,0.0,2,0.15,normal,normal,-367.0899,0.0,,1.0,-1.0
9,2026-06-01T14:30:16.842728+00:00,NEARUSDT,long,7500.0,1.332,1.446,641.8919,0.0,7,0.075,crisis,normal,0.0,1711.7117,0.375,,0.375
11,2026-06-01T14:30:53.109480+00:00,ETHUSDT,short,15000.0,1900.95,2121.32,-1738.8937,0.0,3,0.15,crisis,normal,-1738.8937,123.7276,,1.0,-1.0
12,2026-06-01T14:31:04.826167+00:00,ADAUSDT,long,7500.0,0.293,0.3859,2377.9863,0.0,10,0.075,crisis,normal,0.0,2377.9863,1.0,,1.0
14,2026-06-01T14:31:28.338877+00:00,ARBUSDT,long,5000.0,0.9901,1.1558,836.7842,0.0,10,0.049999999999999996,crisis,normal,0.0,1101.9089,0.7594,,0.7594
16,2026-06-01T14:31:51.415535+00:00,ETHUSDT,long,30000.0,2053.17,1979.39,-1078.0403,0.0,3,0.3,crisis,normal,-1078.0403,7.0135,,1.0,-1.0
34,2026-06-01T14:35:46.250378+00:00,ARBUSDT,short,12500.0,1.0666,1.1105,-514.4853,0.0,7,0.125,normal,normal,-514.4853,705.5128,,1.0,-1.0
38,2026-06-01T14:36:32.403443+00:00,ETHUSDT,long,6250.0,2243.37,2232.7,-29.7265,0.0,2,0.0625,normal,normal,-29.7265,139.1879,,1.0,-1.0
43,2026-06-01T14:37:39.843973+00:00,NEARUSDT,long,6250.0,2.149,2.24,264.658,0.0,7,0.0625,normal,normal,0.0,1076.0819,0.2459,,0.2459
59,2026-06-01T14:41:15.171467+00:00,ETHUSDT,short,6219.5388,2264.05,2378.35,-313.9919,0.0,3,0.06219538808467302,normal,normal,-313.9919,91.1208,,1.0,-1.0
73,2026-06-01T14:44:03.205335+00:00,ADAUSDT,short,6250.455,0.6232,0.566,573.6939,0.0,9,0.06250454975613307,crisis,normal,0.0,1290.8112,0.4444,,0.4444
80,2026-06-01T14:45:23.902759+00:00,ARBUSDT,long,7967.5001,1.7218,2.0383,1464.58,0.0,10,0.07967500095980458,crisis,normal,0.0,2484.4644,0.5895,,0.5895
85,2026-06-01T14:46:21.650139+00:00,ETHUSDT,long,8508.2818,2457.05,2314.2,-494.6615,0.0,1,0.08508281796769779,crisis,normal,-494.6615,0.0,,1.0,-1.0
93,2026-06-01T14:47:53.886527+00:00,ETHUSDT,long,5384.3392,2242.6,2343.01,241.078,0.0,7,0.05384339206162905,normal,normal,-57.5264,241.078,1.0,,1.0
100,2026-06-01T14:49:19.581106+00:00,ETHUSDT,short,5025.2103,2343.01,2372.64,-63.5494,0.0,7,0.05025210267452069,high_vol,normal,-63.5494,128.4072,,1.0,-1.0
100,2026-06-01T14:49:19.581126+00:00,ARBUSDT,short,5000.0,1.7845,1.8307,-129.448,0.0,5,0.049999999999999996,high_vol,normal,-129.448,148.501,,1.0,-1.0
103,2026-06-01T14:49:54.876425+00:00,NEARUSDT,short,6250.0,2.87,2.995,-272.2125,0.0,2,0.0625,high_vol,normal,-272.2125,0.0,,1.0,-1.0
105,2026-06-01T14:50:17.498891+00:00,NEARUSDT,short,12500.0,2.995,3.125,-542.571,0.0,2,0.125,high_vol,normal,-542.571,0.0,,1.0,-1.0
120,2026-06-01T14:53:12.191599+00:00,ARBUSDT,short,12500.0,2.0396,1.9283,682.119,0.0,8,0.125,normal,normal,-88.8655,1476.3924,0.462,,0.462
123,2026-06-01T14:53:47.165335+00:00,ARBUSDT,short,6437.141,1.9283,1.9445,-54.0796,0.0,3,0.0643714098067616,normal,normal,-54.0796,108.493,,1.0,-1.0
126,2026-06-01T14:54:23.407952+00:00,ARBUSDT,short,6359.5742,1.988,2.0439,-178.823,0.0,2,0.06359574219823434,normal,normal,-178.823,0.0,,1.0,-1.0
129,2026-06-01T14:54:58.581336+00:00,ARBUSDT,short,7271.1,2.0439,2.0538,-35.2189,0.0,3,0.07271100012172836,crisis,normal,-35.2189,277.4822,,1.0,-1.0
141,2026-06-01T14:57:17.896514+00:00,NEARUSDT,long,6072.7629,6.727,7.026,269.9206,0.0,2,0.06072762901026822,crisis,normal,0.0,1369.4636,0.1971,,0.1971
142,2026-06-01T14:57:29.874473+00:00,NEARUSDT,long,8256.928,7.026,6.354,-789.7318,0.0,1,0.08256928028063461,crisis,normal,-789.7318,0.0,,1.0,-1.0
144,2026-06-01T14:57:53.080363+00:00,NEARUSDT,long,8064.652,6.912,6.449,-540.2103,0.0,1,0.0806465196904884,crisis,normal,-540.2103,0.0,,1.0,-1.0
147,2026-06-01T14:58:28.293335+00:00,ARBUSDT,short,6252.7344,2.0155,1.6707,1069.6814,0.0,10,0.06252734431967333,crisis,normal,0.0,1303.9069,0.8204,,0.8204
152,2026-06-01T14:59:33.135988+00:00,NEARUSDT,long,7805.5824,6.491,6.974,580.819,0.0,7,0.07805582387727109,normal,normal,0.0,1409.358,0.4121,,0.4121
178,2026-06-01T15:04:37.095746+00:00,ARBUSDT,short,6175.4762,1.0326,1.0193,79.5408,0.0,4,0.06175476225098153,normal,normal,-79.5408,494.5883,0.1608,,0.1608
180,2026-06-01T15:05:00.559305+00:00,ARBUSDT,short,7404.6379,1.0193,1.0496,-220.1124,0.0,2,0.07404637927055967,normal,normal,-220.1124,23.2462,,1.0,-1.0
187,2026-06-01T15:06:21.878964+00:00,ARBUSDT,short,6943.057,1.0496,1.0342,101.8703,0.0,7,0.06943057017706178,normal,normal,-112.4542,285.7661,0.3565,,0.3565
192,2026-06-01T15:07:20.468898+00:00,ETHUSDT,long,6250.0,2243.37,2232.7,-29.7265,0.0,2,0.0625,normal,normal,-29.7265,139.1879,,1.0,-1.0
197,2026-06-01T15:08:18.882920+00:00,NEARUSDT,long,6250.0,2.149,2.24,264.658,0.0,7,0.0625,normal,normal,0.0,1076.0819,0.2459,,0.2459
