cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-06-02T08:32:52.031116+00:00,ADAUSDT,short,15000.0,1.051,1.096,-642.2455,0.0,1,0.15,normal,normal,-642.2455,0.0,,1.0,-1.0
6,2026-06-02T08:33:27.410459+00:00,NEARUSDT,short,15000.0,11.12,12.984,-2514.3885,0.0,4,0.15,crisis,normal,-2514.3885,346.6727,,1.0,-1.0
13,2026-06-02T08:35:07.407710+00:00,ETHUSDT,long,22860.8891,2680.67,2927.54,2105.3198,0.0,9,0.22860889069497037,crisis,normal,0.0,4803.595,0.4383,,0.4383
27,2026-06-02T08:38:07.825028+00:00,ADAUSDT,short,8333.3333,0.866,0.898,-307.9292,0.0,2,0.08333333333333333,normal,normal,-307.9292,125.0962,,1.0,-1.0
27,2026-06-02T08:38:07.825077+00:00,ETHUSDT,short,8333.3333,2579.71,2768.49,-609.8231,0.0,2,0.08333333333333333,normal,normal,-609.8231,0.0,,1.0,-1.0
27,2026-06-02T08:38:07.825097+00:00,NEARUSDT,short,8333.3333,8.556,8.935,-369.1367,0.0,2,0.08333333333333333,normal,normal,-369.1367,66.2303,,1.0,-1.0
30,2026-06-02T08:38:58.267635+00:00,ADAUSDT,short,6263.6821,0.856,0.962,-775.6429,0.0,1,0.06263682136602451,crisis,normal,-775.6429,0.0,,1.0,-1.0
30,2026-06-02T08:38:58.267800+00:00,NEARUSDT,short,6263.6821,8.508,9.759,-920.9998,0.0,1,0.06263682136602451,crisis,normal,-920.9998,0.0,,1.0,-1.0
34,2026-06-02T08:39:44.872567+00:00,ETHUSDT,long,12472.6357,2616.79,2622.1,25.3095,0.0,5,0.12472635726795095,crisis,normal,0.0,1713.707,0.0148,,0.0148
34,2026-06-02T08:39:44.872725+00:00,NEARUSDT,long,14033.0526,11.035,10.428,-771.9133,0.0,1,0.14033052624587083,crisis,normal,-771.9133,0.0,,1.0,-1.0
36,2026-06-02T08:40:08.493035+00:00,NEARUSDT,long,17564.5605,10.505,10.094,-687.1998,0.0,1,0.17564560528954587,normal,normal,-687.1998,0.0,,1.0,-1.0
39,2026-06-02T08:40:43.262788+00:00,ADAUSDT,short,10966.9474,0.903,0.849,655.8307,0.0,6,0.10966947375412915,crisis,normal,0.0,1335.9515,0.4909,,0.4909
43,2026-06-02T08:41:45.990878+00:00,NEARUSDT,long,18010.7036,10.327,9.85,-831.9072,0.0,1,0.18010703575769,crisis,normal,-831.9072,0.0,,1.0,-1.0
