cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-06-02T09:14:03.233123+00:00,ADAUSDT,short,15000.0,1.051,1.096,-642.2455,0.0,1,0.15,normal,normal,-642.2455,0.0,,1.0,-1.0
6,2026-06-02T09:14:38.249638+00:00,NEARUSDT,short,15000.0,11.12,12.984,-2514.3885,0.0,4,0.15,crisis,normal,-2514.3885,346.6727,,1.0,-1.0
13,2026-06-02T09:16:12.518022+00:00,ETHUSDT,long,22860.8891,2680.67,2927.54,2105.3198,0.0,9,0.22860889069497037,crisis,normal,0.0,4803.595,0.4383,,0.4383
27,2026-06-02T09:19:07.869450+00:00,ADAUSDT,short,8333.3333,0.866,0.898,-307.9292,0.0,2,0.08333333333333333,normal,normal,-307.9292,125.0962,,1.0,-1.0
27,2026-06-02T09:19:07.869473+00:00,ETHUSDT,short,8333.3333,2579.71,2768.49,-609.8231,0.0,2,0.08333333333333333,normal,normal,-609.8231,0.0,,1.0,-1.0
27,2026-06-02T09:19:07.869482+00:00,NEARUSDT,short,8333.3333,8.556,8.935,-369.1367,0.0,2,0.08333333333333333,normal,normal,-369.1367,66.2303,,1.0,-1.0
30,2026-06-02T09:19:55.836228+00:00,ADAUSDT,short,6314.5642,0.856,0.962,-781.9437,0.0,1,0.06314564236868907,crisis,normal,-781.9437,0.0,,1.0,-1.0
30,2026-06-02T09:19:55.836271+00:00,NEARUSDT,short,6314.5642,8.508,9.759,-928.4814,0.0,1,0.06314564236868907,crisis,normal,-928.4814,0.0,,1.0,-1.0
34,2026-06-02T09:20:42.733703+00:00,ETHUSDT,long,12370.8715,2616.79,2622.1,25.103,0.0,5,0.12370871526262185,crisis,normal,0.0,1699.7249,0.0148,,0.0148
34,2026-06-02T09:20:42.733720+00:00,NEARUSDT,long,13932.769,11.035,10.428,-766.397,0.0,1,0.13932769012008964,crisis,normal,-766.397,0.0,,1.0,-1.0
36,2026-06-02T09:21:05.890352+00:00,NEARUSDT,long,17477.7101,10.505,10.094,-683.8019,0.0,1,0.17477710139491354,normal,normal,-683.8019,0.0,,1.0,-1.0
39,2026-06-02T09:21:41.148590+00:00,ADAUSDT,short,11067.231,0.903,0.849,661.8278,0.0,6,0.11067230987991036,crisis,normal,0.0,1348.1677,0.4909,,0.4909
43,2026-06-02T09:22:43.076247+00:00,NEARUSDT,long,17927.7796,10.327,9.85,-828.077,0.0,1,0.17927779634945243,crisis,normal,-828.077,0.0,,1.0,-1.0
46,2026-06-02T09:23:18.667793+00:00,ADAUSDT,short,7072.2204,0.789,0.838,-439.2127,0.0,4,0.07072220365054757,crisis,normal,-439.2127,26.8906,,1.0,-1.0
49,2026-06-02T09:23:56.337388+00:00,ADAUSDT,short,10215.5878,0.838,0.903,-792.3785,0.0,3,0.10215587754148166,normal,normal,-792.3785,36.5713,,1.0,-1.0
50,2026-06-02T09:24:20.002089+00:00,NEARUSDT,long,17442.0321,10.13,10.653,900.5116,0.0,6,0.17442032120829526,normal,normal,-29.2709,2109.229,0.4269,,0.4269
