cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-06-02T07:45:04.120942+00:00,ETHUSDT,short,15000.0,1814.67,1832.71,-149.118,0.0,3,0.15,normal,normal,-267.156,114.6489,,0.5582,-0.5582
8,2026-06-02T07:45:38.486979+00:00,ETHUSDT,short,15000.0,1855.54,1900.95,-367.0899,0.0,2,0.15,normal,normal,-367.0899,0.0,,1.0,-1.0
9,2026-06-02T07:45:49.791455+00:00,NEARUSDT,long,7500.0,1.332,1.446,641.8919,0.0,7,0.075,crisis,normal,0.0,1711.7117,0.375,,0.375
11,2026-06-02T07:48:16.405347+00:00,ETHUSDT,short,15000.0,1900.95,2121.32,-1738.8937,0.0,3,0.15,crisis,normal,-1738.8937,123.7276,,1.0,-1.0
12,2026-06-02T07:48:28.193688+00:00,ADAUSDT,long,7500.0,0.293,0.3859,2377.9863,0.0,10,0.075,crisis,normal,0.0,2377.9863,1.0,,1.0
14,2026-06-02T07:48:50.807649+00:00,ARBUSDT,long,5000.0,0.9901,1.1558,836.7842,0.0,10,0.049999999999999996,crisis,normal,0.0,1101.9089,0.7594,,0.7594
16,2026-06-02T07:49:14.947854+00:00,ARBUSDT,long,8333.3333,1.1149,1.0768,-284.7789,0.0,1,0.08333333333333333,crisis,normal,-284.7789,0.0,,1.0,-1.0
16,2026-06-02T07:49:14.947880+00:00,ETHUSDT,long,8333.3333,2053.65,1979.39,-301.3334,0.0,1,0.08333333333333333,crisis,normal,-301.3334,0.0,,1.0,-1.0
19,2026-06-02T07:49:50.310087+00:00,ADAUSDT,long,8333.3333,0.3568,0.3671,240.5643,0.0,4,0.08333333333333333,crisis,normal,0.0,513.8266,0.4682,,0.4682
34,2026-06-02T07:55:05.951196+00:00,ARBUSDT,short,25000.0,1.0666,1.1105,-1028.9706,0.0,7,0.25,normal,normal,-1028.9706,1411.0257,,1.0,-1.0
38,2026-06-02T07:55:53.292008+00:00,ETHUSDT,long,7182.4633,2192.95,2232.7,130.1913,0.0,3,0.07182463327333292,normal,normal,0.0,328.7698,0.396,,0.396
39,2026-06-02T07:56:04.659298+00:00,ARBUSDT,short,7043.8417,1.0965,1.1719,-484.3645,0.0,4,0.07043841681666771,normal,normal,-484.3645,242.8246,,1.0,-1.0
43,2026-06-02T07:57:03.879406+00:00,NEARUSDT,long,10773.695,1.979,2.24,1420.8865,0.0,8,0.10773694990999937,normal,normal,0.0,2939.7652,0.4833,,0.4833
43,2026-06-02T07:57:03.879432+00:00,ETHUSDT,long,8333.3333,2355.73,2225.12,-462.0295,0.0,4,0.08333333333333333,normal,normal,-462.0295,10.577,,1.0,-1.0
46,2026-06-02T07:57:38.238833+00:00,ETHUSDT,short,6130.2371,2260.16,2315.32,-149.6106,0.0,1,0.06130237089964274,normal,normal,-149.6106,0.0,,1.0,-1.0
47,2026-06-02T07:57:49.637663+00:00,NEARUSDT,long,12500.0,2.24,2.191,-273.4375,0.0,4,0.125,normal,normal,-273.4375,491.0714,,1.0,-1.0
49,2026-06-02T07:58:13.751108+00:00,ADAUSDT,long,8333.3333,0.4555,0.5804,2285.0348,0.0,10,0.08333333333333333,normal,normal,0.0,3878.5218,0.5892,,0.5892
49,2026-06-02T07:58:13.751122+00:00,NEARUSDT,long,7185.3504,2.191,2.266,245.9613,0.0,2,0.07185350436884179,normal,normal,0.0,652.6174,0.3769,,0.3769
50,2026-06-02T08:00:27.412631+00:00,ETHUSDT,short,7036.6239,2220.5,2219.43,3.3908,0.0,3,0.07036623907789552,normal,normal,-26.8092,75.9911,0.0446,,0.0446
51,2026-06-02T08:02:50.486361+00:00,ADAUSDT,long,12270.6265,0.5804,0.5761,-90.9092,0.0,2,0.12270626539960494,normal,normal,-90.9092,458.7743,,1.0,-1.0
56,2026-06-02T08:03:48.897263+00:00,ADAUSDT,long,14393.6731,0.5761,0.5919,394.7579,0.0,5,0.14393673060724863,normal,normal,0.0,1474.096,0.2678,,0.2678
58,2026-06-02T08:04:12.222791+00:00,ARBUSDT,long,6264.0674,1.3875,1.3261,-277.1991,0.0,1,0.06264067378203732,normal,normal,-277.1991,0.0,,1.0,-1.0
59,2026-06-02T08:04:24.279835+00:00,NEARUSDT,long,6421.0605,2.266,4.083,5148.7497,0.0,10,0.06421060461765246,normal,normal,0.0,5766.4863,0.8929,,0.8929
59,2026-06-02T08:04:24.279856+00:00,ETHUSDT,short,12842.3368,2308.2,2378.35,-390.2998,0.0,4,0.12842336805605417,normal,normal,-390.2998,430.1921,,1.0,-1.0
60,2026-06-02T08:04:37.251251+00:00,ARBUSDT,long,6002.8475,1.5052,1.4678,-149.1539,0.0,1,0.060028475057458515,normal,normal,-149.1539,0.0,,1.0,-1.0
60,2026-06-02T08:04:37.251286+00:00,NEARUSDT,long,6002.8475,4.083,3.756,-480.7571,0.0,1,0.060028475057458515,normal,normal,-480.7571,0.0,,1.0,-1.0
64,2026-06-02T08:05:23.204228+00:00,ADAUSDT,short,5989.7846,0.6334,0.6232,96.4569,0.0,5,0.05989784585016678,normal,normal,0.0,372.5884,0.2589,,0.2589
64,2026-06-02T08:05:23.204263+00:00,ETHUSDT,short,7004.5204,2378.35,2352.04,77.486,0.0,5,0.07004520403491618,normal,normal,0.0,284.1449,0.2727,,0.2727
66,2026-06-02T08:05:47.764432+00:00,NEARUSDT,long,6247.7301,3.62,3.771,260.6097,0.0,5,0.062477300791748375,crisis,normal,0.0,522.9454,0.4983,,0.4983
69,2026-06-02T08:06:23.079583+00:00,ARBUSDT,long,6247.7301,1.5098,1.7519,1001.8383,0.0,8,0.062477300791748375,crisis,normal,-122.9021,2045.0578,0.4899,,0.4899
69,2026-06-02T08:06:23.079602+00:00,NEARUSDT,long,7090.0792,3.552,3.479,-145.7139,0.0,1,0.07090079237357504,crisis,normal,-145.7139,0.0,,1.0,-1.0
71,2026-06-02T08:06:46.546481+00:00,ADAUSDT,short,9530.9171,0.5414,0.5412,3.5208,0.0,3,0.09530917108186629,crisis,normal,0.0,825.6373,0.0043,,0.0043
75,2026-06-02T08:07:33.620714+00:00,ETHUSDT,long,7164.187,2618.01,2522.54,-261.2538,0.0,1,0.07164187019194732,crisis,normal,-261.2538,0.0,,1.0,-1.0
77,2026-06-02T08:07:57.108963+00:00,ETHUSDT,long,9378.5143,2578.19,2472.87,-383.1157,0.0,1,0.0937851428822906,crisis,normal,-383.1157,0.0,,1.0,-1.0
80,2026-06-02T08:08:32.557657+00:00,ARBUSDT,long,17587.7024,1.7218,2.0383,3232.9584,0.0,10,0.17587702417636766,crisis,normal,0.0,5484.2824,0.5895,,0.5895
80,2026-06-02T08:08:32.557677+00:00,ETHUSDT,long,9185.6105,2511.78,2530.19,67.3256,0.0,2,0.09185610473654132,crisis,normal,0.0,276.5433,0.2435,,0.2435
81,2026-06-02T08:08:44.597177+00:00,ARBUSDT,long,10681.5585,2.0383,1.8918,-767.7223,0.0,1,0.10681558490311616,crisis,normal,-767.7223,0.0,,1.0,-1.0
81,2026-06-02T08:08:44.597197+00:00,ETHUSDT,long,7939.952,2530.19,2470.81,-186.3395,0.0,1,0.0793995200348133,crisis,normal,-186.3395,0.0,,1.0,-1.0
85,2026-06-02T08:09:31.347870+00:00,ETHUSDT,long,9798.3755,2492.0,2314.2,-699.0976,0.0,3,0.09798375481795911,crisis,normal,-699.0976,0.0,,1.0,-1.0
87,2026-06-02T08:09:54.837242+00:00,ARBUSDT,short,6737.1777,1.6902,1.7376,-188.9375,0.0,1,0.0673717767215505,crisis,normal,-188.9375,0.0,,1.0,-1.0
89,2026-06-02T08:10:18.239867+00:00,NEARUSDT,short,8080.9829,3.01,2.917,249.6782,0.0,7,0.08080982945768521,crisis,normal,0.0,969.181,0.2576,,0.2576
93,2026-06-02T08:11:05.422945+00:00,ETHUSDT,long,10677.6287,2242.6,2343.01,478.0793,0.0,7,0.10677628666355228,normal,normal,-114.0801,478.0793,1.0,,1.0
100,2026-06-02T08:12:27.308088+00:00,ARBUSDT,short,9641.0034,1.885,1.8307,277.7223,0.0,7,0.09641003356180641,high_vol,normal,0.0,785.0897,0.3537,,0.3537
100,2026-06-02T08:12:27.308114+00:00,ETHUSDT,short,10538.495,2343.01,2372.64,-133.2711,0.0,7,0.10538494965729038,high_vol,normal,-133.2711,269.286,,1.0,-1.0
101,2026-06-02T08:12:38.693992+00:00,NEARUSDT,short,5000.0,2.815,2.87,-97.6909,0.0,4,0.049999999999999996,high_vol,normal,-97.6909,140.3197,,1.0,-1.0
102,2026-06-02T08:12:50.508380+00:00,ADAUSDT,short,6097.2159,0.5022,0.5304,-342.3765,0.0,1,0.06097215924971691,high_vol,normal,-342.3765,0.0,,1.0,-1.0
103,2026-06-02T08:13:02.274762+00:00,ARBUSDT,short,6097.2159,1.8991,1.9812,-263.5888,0.0,2,0.06097215924971691,high_vol,normal,-263.5888,116.5441,,1.0,-1.0
103,2026-06-02T08:13:02.274778+00:00,NEARUSDT,short,12805.5682,2.87,2.995,-557.7338,0.0,2,0.12805568150056615,high_vol,normal,-557.7338,0.0,,1.0,-1.0
105,2026-06-02T08:13:26.076598+00:00,NEARUSDT,short,16666.6667,2.995,3.125,-723.4279,0.0,2,0.16666666666666666,high_vol,normal,-723.4279,0.0,,1.0,-1.0
106,2026-06-02T08:13:36.979184+00:00,ADAUSDT,short,8333.3333,0.5407,0.5592,-285.1242,0.0,3,0.08333333333333333,high_vol,normal,-285.1242,0.0,,1.0,-1.0
106,2026-06-02T08:13:36.979203+00:00,NEARUSDT,short,25000.0,3.125,3.381,-2048.0,0.0,1,0.25,high_vol,normal,-2048.0,0.0,,1.0,-1.0
120,2026-06-02T08:16:27.691064+00:00,ARBUSDT,short,25000.0,2.0396,1.9283,1364.2381,0.0,8,0.25,normal,normal,-177.7309,2952.7849,0.462,,0.462
123,2026-06-02T08:17:02.043257+00:00,ARBUSDT,short,9995.5458,1.9283,1.9445,-83.9744,0.0,3,0.09995545773707322,normal,normal,-83.9744,168.4672,,1.0,-1.0
126,2026-06-02T08:17:36.888813+00:00,ADAUSDT,long,5059.8859,0.5858,0.7279,1227.3981,0.0,10,0.05059885934503394,normal,normal,-29.3677,1345.7327,0.9121,,0.9121
126,2026-06-02T08:17:36.888834+00:00,ETHUSDT,long,5059.8859,2971.4,3487.81,879.3753,0.0,10,0.05059885934503394,normal,normal,-83.7127,879.3753,1.0,,1.0
