cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-06-03T10:16:55.565009+00:00,ADAUSDT,short,15000.0,1.051,1.096,-642.2455,0.0,1,0.15,normal,normal,-642.2455,0.0,,1.0,-1.0
6,2026-06-03T10:17:31.377966+00:00,NEARUSDT,short,15000.0,11.12,12.984,-2514.3885,0.0,4,0.15,crisis,normal,-2514.3885,346.6727,,1.0,-1.0
13,2026-06-03T10:19:05.588650+00:00,ETHUSDT,long,22860.8891,2680.67,2927.54,2105.3198,0.0,9,0.2286088906949703,crisis,normal,0.0,4803.595,0.4383,,0.4383
27,2026-06-03T10:21:59.795045+00:00,ADAUSDT,short,8333.3333,0.866,0.898,-307.9292,0.0,2,0.08333333333333333,normal,normal,-307.9292,125.0962,,1.0,-1.0
27,2026-06-03T10:21:59.795097+00:00,ETHUSDT,short,8333.3333,2579.71,2768.49,-609.8231,0.0,2,0.08333333333333333,normal,normal,-609.8231,0.0,,1.0,-1.0
27,2026-06-03T10:21:59.795115+00:00,NEARUSDT,short,8333.3333,8.556,8.935,-369.1367,0.0,2,0.08333333333333333,normal,normal,-369.1367,66.2303,,1.0,-1.0
30,2026-06-03T10:22:50.130675+00:00,ADAUSDT,short,12500.0,0.856,0.962,-1547.8972,0.0,1,0.125,crisis,normal,-1547.8972,0.0,,1.0,-1.0
30,2026-06-03T10:22:50.130779+00:00,NEARUSDT,short,12500.0,8.508,9.759,-1837.976,0.0,1,0.125,crisis,normal,-1837.976,0.0,,1.0,-1.0
34,2026-06-03T10:23:36.850777+00:00,NEARUSDT,long,14001.0259,11.035,10.428,-770.1516,0.0,1,0.14001025917377413,crisis,normal,-770.1516,0.0,,1.0,-1.0
36,2026-06-03T10:23:59.680951+00:00,NEARUSDT,long,18401.2714,10.505,10.094,-719.9355,0.0,1,0.18401271386436127,normal,normal,-719.9355,0.0,,1.0,-1.0
