cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-06-03T05:31:23.509983+00:00,ADAUSDT,long,22500.0,0.2818,0.2811,-55.8907,0.0,2,0.22499999999999998,crisis,normal,-55.8907,319.3754,,1.0,-1.0
11,2026-06-03T05:32:49.580030+00:00,ADAUSDT,long,18035.5538,0.2717,0.2623,-623.9757,0.0,1,0.18035553833967596,crisis,normal,-623.9757,0.0,,1.0,-1.0
13,2026-06-03T05:33:12.877713+00:00,ARBUSDT,short,8958.5205,0.0946,0.1008,-587.1335,0.0,3,0.08958520527037805,crisis,normal,-587.1335,236.7474,,1.0,-1.0
15,2026-06-03T05:33:36.352905+00:00,NEARUSDT,long,22500.0,1.127,1.094,-658.8287,0.0,1,0.22499999999999998,crisis,normal,-658.8287,0.0,,1.0,-1.0
22,2026-06-03T05:35:15.840484+00:00,NEARUSDT,long,19937.1227,1.172,1.227,935.6158,0.0,6,0.19937122739194135,normal,normal,-374.2463,3198.105,0.2926,,0.2926
31,2026-06-03T05:37:17.027151+00:00,ADAUSDT,short,25000.0,0.2621,0.2702,-772.6059,0.0,5,0.25,high_vol,normal,-772.6059,0.0,,1.0,-1.0
39,2026-06-03T05:38:49.400751+00:00,ARBUSDT,short,7094.7486,0.0963,0.0975,-88.4081,0.0,2,0.07094748621875906,normal,normal,-88.4081,279.9589,,1.0,-1.0
40,2026-06-03T05:39:15.876955+00:00,NEARUSDT,long,7162.1006,1.281,1.292,61.5013,0.0,3,0.07162100551249638,normal,normal,-39.1372,167.7307,0.3667,,0.3667
41,2026-06-03T05:39:27.860418+00:00,ADAUSDT,short,25000.0,0.2904,0.2705,1713.1543,0.0,9,0.25,normal,normal,0.0,3426.3085,0.5,,0.5
42,2026-06-03T05:39:39.291074+00:00,ETHUSDT,long,10743.1508,2084.87,2060.43,-125.9372,0.0,5,0.10743150826874455,normal,normal,-159.6372,433.6175,,0.7889,-0.7889
47,2026-06-03T05:40:38.650322+00:00,NEARUSDT,short,12500.0,1.18,1.189,-95.339,0.0,4,0.125,normal,normal,-95.339,190.678,,1.0,-1.0
48,2026-06-03T05:40:51.448657+00:00,ARBUSDT,short,9929.4691,0.0975,0.0944,315.7062,0.0,9,0.09929469131860795,normal,normal,-132.3929,926.7505,0.3407,,0.3407
48,2026-06-03T05:40:51.448686+00:00,ADAUSDT,short,8333.3333,0.2418,0.2484,-227.4607,0.0,1,0.08333333333333333,normal,normal,-227.4607,0.0,,1.0,-1.0
50,2026-06-03T05:41:25.593637+00:00,NEARUSDT,short,8333.3333,1.189,1.209,-140.1738,0.0,3,0.08333333333333333,high_vol,normal,-140.1738,189.2347,,1.0,-1.0
59,2026-06-03T05:43:24.672486+00:00,ETHUSDT,long,14283.0505,2057.17,2191.65,933.7024,0.0,10,0.14283050531418984,normal,normal,-23.1898,1581.7675,0.5903,,0.5903
62,2026-06-03T05:43:59.681548+00:00,ETHUSDT,long,5008.447,2386.68,2048.72,-709.2089,0.0,1,0.0500844703439122,crisis,normal,-709.2089,0.0,,1.0,-1.0
62,2026-06-03T05:43:59.681577+00:00,NEARUSDT,long,7710.6715,1.426,1.024,-2173.6956,0.0,1,0.07710671510496639,crisis,normal,-2173.6956,0.0,,1.0,-1.0
64,2026-06-03T05:44:22.978907+00:00,ARBUSDT,long,8092.5466,0.1132,0.1146,100.0845,0.0,3,0.0809254662819028,crisis,normal,0.0,521.8692,0.1918,,0.1918
67,2026-06-03T05:44:58.117059+00:00,ADAUSDT,long,16554.3358,0.2858,0.2735,-712.4504,0.0,2,0.16554335784138124,crisis,normal,-712.4504,0.0,,1.0,-1.0
71,2026-06-03T05:45:48.939997+00:00,ADAUSDT,long,15783.6979,0.2735,0.2717,-103.8781,0.0,4,0.15783697884087783,crisis,normal,-103.8781,657.8945,,1.0,-1.0
72,2026-06-03T05:46:01.747587+00:00,ADAUSDT,long,13790.9153,0.2717,0.2623,-477.124,0.0,1,0.13790915285079872,crisis,normal,-477.124,0.0,,1.0,-1.0
74,2026-06-03T05:46:24.527407+00:00,ARBUSDT,short,7918.7986,0.097,0.1008,-310.221,0.0,5,0.0791879855139159,crisis,normal,-310.221,400.0218,,1.0,-1.0
76,2026-06-03T05:46:48.281833+00:00,ADAUSDT,long,5613.793,0.2587,0.2776,410.1302,0.0,3,0.05613793035039986,crisis,normal,0.0,833.2805,0.4922,,0.4922
79,2026-06-03T05:47:23.731856+00:00,ARBUSDT,short,8054.9846,0.1001,0.1018,-136.7979,0.0,4,0.08054984563345086,normal,normal,-136.7979,48.2816,,1.0,-1.0
83,2026-06-03T05:48:09.754027+00:00,NEARUSDT,long,5613.793,0.967,1.227,1509.3963,0.0,10,0.05613793035039986,normal,normal,0.0,2281.5105,0.6616,,0.6616
86,2026-06-03T05:48:45.246347+00:00,ADAUSDT,short,7079.6904,0.2544,0.2552,-22.2632,0.0,2,0.07079690389865258,normal,normal,-22.2632,141.9278,,1.0,-1.0
87,2026-06-03T05:48:57.233431+00:00,ADAUSDT,short,7854.2073,0.2552,0.2621,-212.3591,0.0,1,0.07854207299026156,normal,normal,-212.3591,0.0,,1.0,-1.0
92,2026-06-03T05:49:55.686174+00:00,ADAUSDT,short,8216.8643,0.2626,0.2702,-237.8072,0.0,4,0.08216864331203212,high_vol,normal,-237.8072,0.0,,1.0,-1.0
94,2026-06-03T05:50:19.309155+00:00,NEARUSDT,long,17920.3096,1.214,1.452,3513.2073,0.0,10,0.17920309610134744,high_vol,normal,-29.5228,4074.1396,0.8623,,0.8623
100,2026-06-03T05:51:31.164172+00:00,ARBUSDT,short,7147.3036,0.0963,0.0975,-89.063,0.0,2,0.07147303550308136,normal,normal,-89.063,282.0327,,1.0,-1.0
101,2026-06-03T05:51:42.506446+00:00,NEARUSDT,long,7141.0786,1.281,1.292,61.3207,0.0,3,0.07141078579876746,normal,normal,-39.0223,167.2384,0.3667,,0.3667
102,2026-06-03T05:51:53.833170+00:00,ADAUSDT,short,25000.0,0.2904,0.2705,1713.1543,0.0,9,0.25,normal,normal,0.0,3426.3085,0.5,,0.5
103,2026-06-03T05:52:05.563031+00:00,ETHUSDT,long,10711.6179,2084.87,2060.43,-125.5675,0.0,5,0.1071161786981512,normal,normal,-159.1686,432.3448,,0.7889,-0.7889
108,2026-06-03T05:53:03.988732+00:00,NEARUSDT,short,12500.0,1.18,1.189,-95.339,0.0,4,0.125,normal,normal,-95.339,190.678,,1.0,-1.0
109,2026-06-03T05:53:15.359121+00:00,ARBUSDT,short,9990.4203,0.0975,0.0944,317.6441,0.0,9,0.09990420343706456,normal,normal,-133.2056,932.4392,0.3407,,0.3407
109,2026-06-03T05:53:15.359144+00:00,ADAUSDT,short,8333.3333,0.2418,0.2484,-227.4607,0.0,1,0.08333333333333333,normal,normal,-227.4607,0.0,,1.0,-1.0
111,2026-06-03T05:53:38.827049+00:00,NEARUSDT,short,8333.3333,1.189,1.209,-140.1738,0.0,3,0.08333333333333333,high_vol,normal,-140.1738,189.2347,,1.0,-1.0
120,2026-06-03T05:55:22.821648+00:00,ETHUSDT,long,14281.2746,2057.17,2191.65,933.5863,0.0,10,0.14281274603240376,normal,normal,-23.1869,1581.5708,0.5903,,0.5903
123,2026-06-03T05:55:58.035850+00:00,ETHUSDT,long,5008.326,2386.68,2048.72,-709.1918,0.0,1,0.05008326044938309,crisis,normal,-709.1918,0.0,,1.0,-1.0
123,2026-06-03T05:55:58.035884+00:00,NEARUSDT,long,7710.4852,1.426,1.024,-2173.6431,0.0,1,0.07710485243192376,crisis,normal,-2173.6431,0.0,,1.0,-1.0
125,2026-06-03T05:56:22.009033+00:00,ARBUSDT,long,8092.3511,0.1132,0.1146,100.0821,0.0,3,0.0809235113589846,crisis,normal,0.0,521.8566,0.1918,,0.1918
128,2026-06-03T05:56:56.937595+00:00,ADAUSDT,long,16552.71,0.2858,0.2735,-712.3805,0.0,2,0.16552709996631018,crisis,normal,-712.3805,0.0,,1.0,-1.0
132,2026-06-03T05:57:43.550721+00:00,ADAUSDT,long,15782.0055,0.2735,0.2717,-103.8669,0.0,4,0.1578200545186062,crisis,normal,-103.8669,657.824,,1.0,-1.0
133,2026-06-03T05:57:54.825052+00:00,ADAUSDT,long,13790.9153,0.2717,0.2623,-477.124,0.0,1,0.1379091528507987,crisis,normal,-477.124,0.0,,1.0,-1.0
135,2026-06-03T05:58:17.578666+00:00,ARBUSDT,short,7918.7986,0.097,0.1008,-310.221,0.0,5,0.0791879855139159,crisis,normal,-310.221,400.0218,,1.0,-1.0
137,2026-06-03T05:58:39.800229+00:00,ADAUSDT,long,5613.793,0.2587,0.2776,410.1302,0.0,3,0.05613793035039986,crisis,normal,0.0,833.2805,0.4922,,0.4922
140,2026-06-03T05:59:14.279488+00:00,ARBUSDT,short,8054.9846,0.1001,0.1018,-136.7979,0.0,4,0.08054984563345084,normal,normal,-136.7979,48.2816,,1.0,-1.0
144,2026-06-03T05:59:59.075381+00:00,NEARUSDT,long,5613.793,0.967,1.227,1509.3963,0.0,10,0.05613793035039986,normal,normal,0.0,2281.5105,0.6616,,0.6616
147,2026-06-03T06:00:38.471264+00:00,ADAUSDT,short,7079.6904,0.2544,0.2552,-22.2632,0.0,2,0.07079690389865256,normal,normal,-22.2632,141.9278,,1.0,-1.0
148,2026-06-03T06:00:51.656371+00:00,ADAUSDT,short,7854.2073,0.2552,0.2621,-212.3591,0.0,1,0.07854207299026156,normal,normal,-212.3591,0.0,,1.0,-1.0
153,2026-06-03T06:01:51.182734+00:00,ADAUSDT,short,8216.8643,0.2626,0.2702,-237.8072,0.0,4,0.0821686433120321,high_vol,normal,-237.8072,0.0,,1.0,-1.0
155,2026-06-03T06:02:14.387553+00:00,NEARUSDT,long,17920.3096,1.214,1.452,3513.2073,0.0,10,0.17920309610134744,high_vol,normal,-29.5228,4074.1396,0.8623,,0.8623
161,2026-06-03T06:03:23.640694+00:00,ARBUSDT,short,7148.0452,0.0963,0.0975,-89.0722,0.0,2,0.07148045156470492,normal,normal,-89.0722,282.062,,1.0,-1.0
