cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
5,2026-06-03T06:53:11.412947+00:00,ETHUSDT,short,15000.0,1814.67,1832.71,-149.118,0.0,3,0.15,normal,normal,-267.156,114.6489,,0.5582,-0.5582
8,2026-06-03T06:53:46.452942+00:00,ETHUSDT,short,15000.0,1855.54,1900.95,-367.0899,0.0,2,0.15,normal,normal,-367.0899,0.0,,1.0,-1.0
9,2026-06-03T06:53:58.216592+00:00,NEARUSDT,long,7500.0,1.332,1.446,641.8919,0.0,7,0.075,crisis,normal,0.0,1711.7117,0.375,,0.375
11,2026-06-03T06:54:38.229151+00:00,ETHUSDT,short,15000.0,1900.95,2121.32,-1738.8937,0.0,3,0.15,crisis,normal,-1738.8937,123.7276,,1.0,-1.0
12,2026-06-03T06:54:50.082152+00:00,ADAUSDT,long,7500.0,0.293,0.3859,2377.9863,0.0,10,0.075,crisis,normal,0.0,2377.9863,1.0,,1.0
14,2026-06-03T06:55:14.061496+00:00,ARBUSDT,long,5000.0,0.9901,1.1558,836.7842,0.0,10,0.049999999999999996,crisis,normal,0.0,1101.9089,0.7594,,0.7594
15,2026-06-03T06:55:25.477986+00:00,ADAUSDT,long,5000.0,0.3859,0.3568,-377.0407,0.0,3,0.049999999999999996,crisis,normal,-377.0407,0.0,,1.0,-1.0
15,2026-06-03T06:55:25.478008+00:00,NEARUSDT,long,5000.0,1.553,1.59,119.1243,0.0,3,0.049999999999999996,crisis,normal,0.0,476.4971,0.25,,0.25
15,2026-06-03T06:55:25.478018+00:00,ARBUSDT,long,10000.0,1.1558,1.1149,-353.8675,0.0,1,0.09999999999999999,crisis,normal,-353.8675,0.0,,1.0,-1.0
17,2026-06-03T06:55:48.516417+00:00,ETHUSDT,short,15000.0,2077.72,2058.48,138.9023,0.0,5,0.15,normal,normal,0.0,709.8887,0.1957,,0.1957
19,2026-06-03T06:56:12.142359+00:00,ADAUSDT,long,12500.0,0.3579,0.3671,321.3188,0.0,3,0.125,crisis,normal,0.0,729.9525,0.4402,,0.4402
23,2026-06-03T06:57:10.760825+00:00,NEARUSDT,long,12500.0,1.538,1.75,1723.0169,0.0,7,0.125,crisis,normal,0.0,3730.4941,0.4619,,0.4619
34,2026-06-03T06:59:32.909400+00:00,ARBUSDT,short,25000.0,1.0666,1.1105,-1028.9706,0.0,7,0.25,normal,normal,-1028.9706,1411.0257,,1.0,-1.0
38,2026-06-03T07:00:19.946456+00:00,ETHUSDT,long,10000.0,2243.37,2232.7,-47.5624,0.0,2,0.1,normal,normal,-47.5624,222.7007,,1.0,-1.0
42,2026-06-03T07:01:20.983814+00:00,ARBUSDT,short,6157.4624,1.1661,1.1558,54.388,0.0,2,0.061574624446125575,normal,normal,0.0,142.0425,0.3829,,0.3829
43,2026-06-03T07:01:32.999311+00:00,NEARUSDT,long,15000.0,2.149,2.24,635.1792,0.0,7,0.15,normal,normal,0.0,2582.5966,0.2459,,0.2459
43,2026-06-03T07:01:32.999330+00:00,ETHUSDT,long,9059.6509,2232.7,2225.12,-30.7574,0.0,5,0.09059650853756808,normal,normal,-30.7574,511.3527,,1.0,-1.0
43,2026-06-03T07:01:32.999339+00:00,ADAUSDT,long,9421.2688,0.5454,0.5507,91.5525,0.0,3,0.09421268777693721,normal,normal,0.0,853.3382,0.1073,,0.1073
44,2026-06-03T07:01:44.379919+00:00,ARBUSDT,short,8205.1344,1.1558,1.2521,-683.6429,0.0,2,0.08205134368539975,normal,normal,-683.6429,430.2052,,1.0,-1.0
45,2026-06-03T07:01:56.233067+00:00,ETHUSDT,short,6144.0907,2203.46,2260.16,-158.1013,0.0,1,0.06144090663788451,normal,normal,-158.1013,0.0,,1.0,-1.0
47,2026-06-03T07:02:20.193283+00:00,ADAUSDT,long,9427.9547,0.5784,0.6004,358.6013,0.0,3,0.09427954668105774,normal,normal,0.0,1452.3353,0.2469,,0.2469
47,2026-06-03T07:02:20.193312+00:00,NEARUSDT,long,9427.9547,2.305,2.191,-466.285,0.0,3,0.09427954668105774,normal,normal,-466.285,94.075,,1.0,-1.0
49,2026-06-03T07:02:45.084559+00:00,ADAUSDT,long,12806.2522,0.6078,0.5804,-577.3138,0.0,1,0.12806252248256128,normal,normal,-577.3138,0.0,,1.0,-1.0
49,2026-06-03T07:02:45.084577+00:00,NEARUSDT,long,6147.5966,2.39,2.266,-318.9548,0.0,1,0.061475966202635506,normal,normal,-318.9548,0.0,,1.0,-1.0
51,2026-06-03T07:03:32.335085+00:00,ADAUSDT,long,21272.2239,0.6021,0.5761,-918.5813,0.0,1,0.2127222394684411,normal,normal,-918.5813,0.0,,1.0,-1.0
54,2026-06-03T07:04:06.963193+00:00,ETHUSDT,short,6064.6823,2315.32,2324.54,-24.1506,0.0,8,0.06064682326912223,normal,normal,-24.1506,359.9278,,1.0,-1.0
56,2026-06-03T07:04:29.667075+00:00,ADAUSDT,long,13061.833,0.5894,0.5919,55.4031,0.0,4,0.13061833049566665,normal,normal,0.0,1012.7685,0.0547,,0.0547
58,2026-06-03T07:04:53.157509+00:00,ARBUSDT,long,6895.117,1.354,1.3261,-142.0781,0.0,2,0.0689511700271147,normal,normal,-142.0781,170.5956,,1.0,-1.0
59,2026-06-03T07:05:04.904397+00:00,ETHUSDT,short,9047.1898,2324.54,2378.35,-209.4304,0.0,5,0.09047189756226492,normal,normal,-209.4304,364.5279,,1.0,-1.0
62,2026-06-03T07:05:39.708693+00:00,NEARUSDT,long,7926.9181,2.845,3.676,2315.3845,0.0,10,0.0792691810499582,normal,normal,0.0,4056.7989,0.5707,,0.5707
64,2026-06-03T07:06:02.956046+00:00,ADAUSDT,short,7139.2188,0.6158,0.6232,-85.7912,0.0,4,0.07139218843607399,normal,normal,-85.7912,252.7362,,1.0,-1.0
64,2026-06-03T07:06:02.956076+00:00,ETHUSDT,short,7222.0054,2344.15,2352.04,-24.308,0.0,4,0.07222005410799326,normal,normal,-24.308,191.8762,,1.0,-1.0
66,2026-06-03T07:06:26.041863+00:00,NEARUSDT,long,6935.9483,3.676,3.771,179.2478,0.0,4,0.06935948291798982,crisis,normal,-49.0573,466.0444,0.3846,,0.3846
68,2026-06-03T07:06:49.341263+00:00,ARBUSDT,long,8190.4397,1.3261,1.952,3865.769,0.0,10,0.08190439722669313,crisis,normal,0.0,4186.9385,0.9233,,0.9233
69,2026-06-03T07:07:01.326649+00:00,ARBUSDT,long,9548.9876,1.952,1.7519,-978.8691,0.0,1,0.09548987570592504,crisis,normal,-978.8691,0.0,,1.0,-1.0
