cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-06-05T17:23:04.291371+00:00,ADAUSDT,short,15000.0,1.051,1.096,-642.2455,0.0,1,0.15,normal,normal,-642.2455,0.0,,1.0,-1.0
6,2026-06-05T17:23:39.200493+00:00,NEARUSDT,short,15000.0,11.12,12.984,-2514.3885,0.0,4,0.15,crisis,normal,-2514.3885,346.6727,,1.0,-1.0
13,2026-06-05T17:25:10.832718+00:00,ETHUSDT,long,22860.8891,2680.67,2927.54,2105.3198,0.0,9,0.22860889069497037,crisis,normal,0.0,4803.595,0.4383,,0.4383
30,2026-06-05T17:29:09.922835+00:00,ADAUSDT,short,12500.0,0.856,0.962,-1547.8972,0.0,1,0.125,crisis,normal,-1547.8972,0.0,,1.0,-1.0
30,2026-06-05T17:29:09.922927+00:00,NEARUSDT,short,12500.0,8.508,9.759,-1837.976,0.0,1,0.125,crisis,normal,-1837.976,0.0,,1.0,-1.0
39,2026-06-05T17:30:55.025374+00:00,ADAUSDT,short,25000.0,0.903,0.849,1495.0166,0.0,6,0.25,crisis,normal,0.0,3045.4042,0.4909,,0.4909
46,2026-06-05T17:32:25.077870+00:00,ADAUSDT,short,25000.0,0.789,0.838,-1552.5982,0.0,4,0.25,crisis,normal,-1552.5982,95.057,,1.0,-1.0
49,2026-06-05T17:33:02.702966+00:00,ADAUSDT,short,25000.0,0.835,0.903,-2035.9281,0.0,2,0.25,normal,normal,-2035.9281,0.0,,1.0,-1.0
62,2026-06-05T17:36:25.836915+00:00,ADAUSDT,long,8497.6537,0.975,1.165,1655.953,0.0,10,0.08497653674243603,high_vol,normal,0.0,1882.5571,0.8796,,0.8796
62,2026-06-05T17:36:25.836948+00:00,ETHUSDT,long,12617.0057,2969.64,3455.21,2063.0243,0.0,10,0.1261700568407052,high_vol,normal,0.0,2063.0243,1.0,,1.0
76,2026-06-05T17:39:15.036364+00:00,NEARUSDT,long,23168.2779,16.384,16.032,-497.756,0.0,1,0.23168277853112287,normal,normal,-497.756,0.0,,1.0,-1.0
81,2026-06-05T17:40:14.028140+00:00,NEARUSDT,long,22954.8523,15.934,16.654,1037.247,0.0,4,0.22954852258537994,normal,normal,-363.0364,2136.4407,0.4855,,0.4855
82,2026-06-05T17:40:26.502884+00:00,NEARUSDT,long,16738.3062,16.654,15.64,-1019.1331,0.0,1,0.1673830620057863,normal,normal,-1019.1331,0.0,,1.0,-1.0
85,2026-06-05T17:41:01.688864+00:00,NEARUSDT,long,13761.7582,15.569,15.006,-497.6472,0.0,2,0.13761758166259042,normal,normal,-497.6472,0.0,,1.0,-1.0
89,2026-06-05T17:41:48.263107+00:00,ADAUSDT,short,5642.976,0.937,0.8432,564.8998,0.0,10,0.05642975970746506,normal,normal,-90.3358,669.0871,0.8443,,0.8443
90,2026-06-05T17:42:00.109146+00:00,ETHUSDT,long,12102.7238,2809.67,2817.13,32.1341,0.0,3,0.12102723801724667,normal,normal,0.0,548.1756,0.0586,,0.0586
92,2026-06-05T17:42:22.981534+00:00,NEARUSDT,short,7044.5461,12.685,11.837,470.9322,0.0,5,0.07044546128039277,normal,normal,-107.7369,1304.5044,0.361,,0.361
94,2026-06-05T17:42:46.406014+00:00,ETHUSDT,long,18868.2134,2726.66,2781.7,380.8713,0.0,3,0.18868213423640884,normal,normal,0.0,898.7566,0.4238,,0.4238
96,2026-06-05T17:43:12.875467+00:00,ETHUSDT,long,19655.0183,2940.64,2747.97,-1287.7919,0.0,1,0.1965501828906628,crisis,normal,-1287.7919,0.0,,1.0,-1.0
100,2026-06-05T17:43:58.999866+00:00,ADAUSDT,long,9396.3677,0.7403,0.6019,-1756.6626,0.0,1,0.09396367714626822,crisis,normal,-1756.6626,0.0,,1.0,-1.0
100,2026-06-05T17:43:58.999891+00:00,ETHUSDT,long,9396.3677,2519.71,2228.55,-1085.7783,0.0,1,0.09396367714626822,crisis,normal,-1085.7783,0.0,,1.0,-1.0
109,2026-06-05T17:45:44.109528+00:00,NEARUSDT,short,6207.2646,11.145,5.923,2908.4195,0.0,10,0.062072645707463556,crisis,normal,0.0,2908.4195,1.0,,1.0
121,2026-06-05T17:48:03.876764+00:00,ADAUSDT,short,8333.3333,0.5146,0.5698,-893.8982,0.0,5,0.08333333333333333,normal,normal,-893.8982,939.2408,,1.0,-1.0
121,2026-06-05T17:48:03.876807+00:00,ETHUSDT,short,8333.3333,1942.63,1998.78,-240.8676,0.0,5,0.08333333333333333,normal,normal,-240.8676,923.8335,,1.0,-1.0
121,2026-06-05T17:48:03.876833+00:00,NEARUSDT,short,8333.3333,5.758,5.76,-2.8945,0.0,5,0.08333333333333333,normal,normal,-2.8945,1377.7932,,1.0,-1.0
124,2026-06-05T17:48:38.272504+00:00,NEARUSDT,short,10513.3926,5.343,5.603,-511.6006,0.0,1,0.10513392623899179,normal,normal,-511.6006,0.0,,1.0,-1.0
125,2026-06-05T17:48:49.656824+00:00,ADAUSDT,long,14486.6074,0.5516,0.56,220.6082,0.0,2,0.1448660737610082,normal,normal,0.0,932.3324,0.2366,,0.2366
132,2026-06-05T17:50:11.737126+00:00,ADAUSDT,long,22221.5317,0.56,0.5744,571.4108,0.0,7,0.22221531701434508,high_vol,normal,0.0,3206.2496,0.1782,,0.1782
137,2026-06-05T17:51:10.618782+00:00,NEARUSDT,short,12500.0,3.695,3.813,-399.1881,0.0,3,0.125,normal,normal,-399.1881,1065.6292,,1.0,-1.0
144,2026-06-05T17:52:32.640555+00:00,ETHUSDT,short,12500.0,1434.84,1050.19,3350.9834,0.0,10,0.125,crisis,normal,0.0,3830.6536,0.8748,,0.8748
145,2026-06-05T17:52:47.971177+00:00,ADAUSDT,short,8333.3333,0.4594,0.48,-373.6758,0.0,1,0.08333333333333333,crisis,normal,-373.6758,0.0,,1.0,-1.0
145,2026-06-05T17:52:47.971193+00:00,ETHUSDT,short,8333.3333,1050.19,1144.72,-750.1024,0.0,1,0.08333333333333333,crisis,normal,-750.1024,0.0,,1.0,-1.0
145,2026-06-05T17:52:47.971202+00:00,NEARUSDT,short,8333.3333,3.28,3.554,-696.1382,0.0,1,0.08333333333333333,crisis,normal,-696.1382,0.0,,1.0,-1.0
147,2026-06-05T17:53:13.472701+00:00,NEARUSDT,short,9124.411,3.993,4.172,-409.0332,0.0,1,0.0912441098782393,crisis,normal,-409.0332,0.0,,1.0,-1.0
153,2026-06-05T17:54:22.031987+00:00,ADAUSDT,short,6751.178,0.4981,1.035,-7277.0678,0.0,7,0.06751178024352139,normal,normal,-7277.0678,517.7575,,1.0,-1.0
153,2026-06-05T17:54:22.032007+00:00,ETHUSDT,short,9124.411,1225.02,2601.68,-10253.8829,0.0,7,0.0912441098782393,normal,normal,-10253.8829,1147.1246,,1.0,-1.0
156,2026-06-05T17:54:57.427515+00:00,ETHUSDT,long,18739.1115,2787.23,2680.67,-716.4245,0.0,1,0.1873911149825784,normal,normal,-716.4245,0.0,,1.0,-1.0
163,2026-06-05T17:56:18.991016+00:00,ADAUSDT,short,9124.441,1.199,1.195,30.4402,0.0,2,0.09124441018568655,normal,normal,0.0,175.031,0.1739,,0.1739
164,2026-06-05T17:56:30.775613+00:00,NEARUSDT,long,6019.5947,12.995,11.787,-559.5745,0.0,1,0.06019594746801962,normal,normal,-559.5745,0.0,,1.0,-1.0
165,2026-06-05T17:56:42.560794+00:00,ETHUSDT,long,18550.7659,2695.46,2927.54,1597.2271,0.0,8,0.1855076592451653,normal,normal,0.0,3774.7635,0.4231,,0.4231
169,2026-06-05T17:57:30.281918+00:00,NEARUSDT,short,10909.2622,10.38,11.51,-1187.6172,0.0,2,0.10909262170049956,normal,normal,-1187.6172,0.0,,1.0,-1.0
171,2026-06-05T17:57:53.367813+00:00,ETHUSDT,long,15085.1458,2927.54,2891.87,-183.8018,0.0,6,0.1508514581945611,normal,normal,-290.6717,1319.024,,0.6323,-0.6323
172,2026-06-05T17:58:05.240254+00:00,ETHUSDT,long,9280.1842,2891.87,2779.48,-360.6662,0.0,1,0.09280184167672852,normal,normal,-360.6662,0.0,,1.0,-1.0
173,2026-06-05T17:58:18.445840+00:00,ADAUSDT,short,12960.8105,1.195,0.996,2158.3274,0.0,10,0.12960810506396075,normal,normal,0.0,2169.1733,0.995,,0.995
179,2026-06-05T17:59:28.673930+00:00,NEARUSDT,short,12191.4468,11.51,8.935,2727.4523,0.0,10,0.12191446808672105,normal,normal,0.0,3200.9168,0.8521,,0.8521
179,2026-06-05T17:59:28.673947+00:00,ETHUSDT,short,8333.3333,2579.71,2768.49,-609.8231,0.0,2,0.08333333333333333,normal,normal,-609.8231,0.0,,1.0,-1.0
181,2026-06-05T17:59:51.862376+00:00,ETHUSDT,long,12597.8686,2779.47,2616.79,-737.3425,0.0,1,0.12597868638538495,normal,normal,-737.3425,0.0,,1.0,-1.0
182,2026-06-05T18:00:03.680582+00:00,ADAUSDT,short,5620.0413,0.996,0.962,191.8488,0.0,9,0.056200412529839566,crisis,normal,0.0,806.8935,0.2378,,0.2378
182,2026-06-05T18:00:03.680599+00:00,NEARUSDT,short,6201.0657,9.117,9.759,-436.666,0.0,2,0.06201065680730753,crisis,normal,-436.666,414.2206,,1.0,-1.0
186,2026-06-05T18:00:50.477431+00:00,NEARUSDT,long,14107.3705,11.035,10.428,-776.0013,0.0,1,0.14107370494779303,crisis,normal,-776.0013,0.0,,1.0,-1.0
