cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
3,2026-06-05T11:55:58.573604+00:00,ADAUSDT,long,20000.0,0.295,0.2818,-894.9153,0.0,1,0.19999999999999998,normal,normal,-894.9153,0.0,,1.0,-1.0
11,2026-06-05T11:57:46.745929+00:00,ADAUSDT,long,18035.5538,0.2717,0.2623,-623.9757,0.0,1,0.18035553833967596,crisis,normal,-623.9757,0.0,,1.0,-1.0
13,2026-06-05T11:58:10.493514+00:00,ARBUSDT,short,8958.5205,0.0946,0.1008,-587.1335,0.0,3,0.08958520527037805,crisis,normal,-587.1335,236.7474,,1.0,-1.0
15,2026-06-05T11:58:32.824544+00:00,NEARUSDT,long,22500.0,1.127,1.094,-658.8287,0.0,1,0.22499999999999998,crisis,normal,-658.8287,0.0,,1.0,-1.0
18,2026-06-05T11:59:07.661096+00:00,ARBUSDT,short,12500.0,0.0997,0.1018,-263.2899,0.0,2,0.125,normal,normal,-263.2899,25.0752,,1.0,-1.0
18,2026-06-05T11:59:07.661131+00:00,ETHUSDT,short,12500.0,1964.51,2027.35,-399.8453,0.0,2,0.125,normal,normal,-399.8453,157.8002,,1.0,-1.0
39,2026-06-05T12:03:38.612379+00:00,ARBUSDT,short,6898.4354,0.0963,0.0975,-85.9618,0.0,2,0.06898435406402673,normal,normal,-85.9618,272.2124,,1.0,-1.0
40,2026-06-05T12:04:02.241844+00:00,NEARUSDT,long,7240.6258,1.281,1.292,62.1756,0.0,3,0.07240625837438931,normal,normal,-39.5663,169.5697,0.3667,,0.3667
42,2026-06-05T12:04:25.949814+00:00,ETHUSDT,long,10860.9388,2084.87,2060.43,-127.3179,0.0,5,0.10860938756158398,normal,normal,-161.3875,438.3717,,0.7889,-0.7889
47,2026-06-05T12:05:24.601567+00:00,NEARUSDT,short,12500.0,1.18,1.189,-95.339,0.0,4,0.125,normal,normal,-95.339,190.678,,1.0,-1.0
48,2026-06-05T12:05:39.019914+00:00,ARBUSDT,short,9696.3633,0.0975,0.0944,308.2946,0.0,9,0.0969636331999304,normal,normal,-129.2848,904.9939,0.3407,,0.3407
48,2026-06-05T12:05:39.020017+00:00,ADAUSDT,short,8333.3333,0.2418,0.2484,-227.4607,0.0,1,0.08333333333333333,normal,normal,-227.4607,0.0,,1.0,-1.0
50,2026-06-05T12:06:15.505819+00:00,NEARUSDT,short,8333.3333,1.189,1.209,-140.1738,0.0,3,0.08333333333333333,high_vol,normal,-140.1738,189.2347,,1.0,-1.0
59,2026-06-05T12:08:21.271948+00:00,ETHUSDT,long,14536.1124,2057.17,2191.65,950.2454,0.0,10,0.1453611237724278,normal,normal,-23.6007,1609.7926,0.5903,,0.5903
62,2026-06-05T12:08:56.795181+00:00,ETHUSDT,long,5043.0991,2386.68,2048.72,-714.1157,0.0,1,0.0504309908342776,crisis,normal,-714.1157,0.0,,1.0,-1.0
62,2026-06-05T12:08:56.795196+00:00,NEARUSDT,long,7764.0195,1.426,1.024,-2188.7348,0.0,1,0.07764019497497734,crisis,normal,-2188.7348,0.0,,1.0,-1.0
64,2026-06-05T12:09:20.706160+00:00,ARBUSDT,long,8148.5367,0.1132,0.1146,100.777,0.0,3,0.0814853670269141,crisis,normal,0.0,525.4798,0.1918,,0.1918
69,2026-06-05T12:10:20.411481+00:00,NEARUSDT,short,5000.0,1.058,1.054,18.9036,0.0,4,0.049999999999999996,crisis,normal,0.0,241.0208,0.0784,,0.0784
74,2026-06-05T12:11:22.984987+00:00,ETHUSDT,short,10000.0,1998.33,2057.48,-295.9972,0.0,9,0.09999999999999999,crisis,normal,-295.9972,732.5617,,1.0,-1.0
75,2026-06-05T12:11:35.079944+00:00,ARBUSDT,short,10000.0,0.1153,0.1001,1318.3001,0.0,10,0.09999999999999999,crisis,normal,0.0,2012.1422,0.6552,,0.6552
