cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
2,2026-06-05T13:58:26.299052+00:00,ADAUSDT,long,15000.0,0.3031,0.293,-499.835,0.0,1,0.15,normal,normal,-499.835,0.0,,1.0,-1.0
4,2026-06-05T13:58:49.000173+00:00,ARBUSDT,long,5000.0,1.0404,0.9901,-241.7339,0.0,1,0.049999999999999996,normal,normal,-241.7339,0.0,,1.0,-1.0
5,2026-06-05T13:59:01.014846+00:00,ETHUSDT,short,15000.0,1846.99,1832.71,115.9725,0.0,2,0.15,normal,normal,0.0,375.1239,0.3092,,0.3092
7,2026-06-05T13:59:24.241745+00:00,ETHUSDT,short,10000.0,1832.71,1891.71,-321.9276,0.0,2,0.09999999999999999,normal,normal,-321.9276,0.0,,1.0,-1.0
9,2026-06-05T13:59:47.727564+00:00,NEARUSDT,long,15000.0,1.32,1.446,1431.8182,0.0,8,0.15,crisis,normal,0.0,3590.9091,0.3987,,0.3987
9,2026-06-05T13:59:47.727578+00:00,ARBUSDT,long,6666.6667,1.0598,1.0826,143.4233,0.0,4,0.06666666666666667,crisis,normal,0.0,408.8822,0.3508,,0.3508
11,2026-06-05T14:00:23.903997+00:00,ETHUSDT,short,17026.0373,1891.71,2121.32,-2066.5686,0.0,4,0.1702603726940273,crisis,normal,-2066.5686,57.9622,,1.0,-1.0
13,2026-06-05T14:00:47.080562+00:00,ADAUSDT,long,5000.0,0.3071,0.3844,1258.5477,0.0,10,0.049999999999999996,crisis,normal,0.0,1282.9697,0.981,,0.981
13,2026-06-05T14:00:47.080579+00:00,ARBUSDT,long,5000.0,1.1733,1.1373,-153.4134,0.0,1,0.049999999999999996,crisis,normal,-153.4134,0.0,,1.0,-1.0
15,2026-06-05T14:01:10.605818+00:00,NEARUSDT,long,5000.0,1.553,1.59,119.1243,0.0,3,0.049999999999999996,crisis,normal,0.0,476.4971,0.25,,0.25
17,2026-06-05T14:01:34.368161+00:00,ETHUSDT,short,15000.0,2077.72,2058.48,138.9023,0.0,5,0.15,normal,normal,0.0,709.8887,0.1957,,0.1957
38,2026-06-05T14:06:06.585804+00:00,ETHUSDT,long,8445.1275,2243.37,2232.7,-40.167,0.0,2,0.08445127454289486,normal,normal,-40.167,188.0736,,1.0,-1.0
42,2026-06-05T14:07:05.184756+00:00,ARBUSDT,short,5758.9961,1.1661,1.1558,50.8684,0.0,2,0.05758996099392176,normal,normal,0.0,132.8505,0.3829,,0.3829
43,2026-06-05T14:07:17.318028+00:00,NEARUSDT,long,16554.8725,2.149,2.24,701.0207,0.0,7,0.1655487254571051,normal,normal,0.0,2850.3038,0.2459,,0.2459
43,2026-06-05T14:07:17.318050+00:00,ETHUSDT,long,6869.5806,2232.7,2225.12,-23.3222,0.0,5,0.0686958059144047,normal,normal,-23.3222,387.7389,,1.0,-1.0
43,2026-06-05T14:07:17.318059+00:00,ADAUSDT,long,9620.502,0.5454,0.5507,93.4886,0.0,3,0.09620501950303911,normal,normal,0.0,871.3839,0.1073,,0.1073
44,2026-06-05T14:07:29.219493+00:00,ARBUSDT,short,8064.2843,1.1558,1.2521,-671.9074,0.0,2,0.08064284345660087,normal,normal,-671.9074,422.8202,,1.0,-1.0
45,2026-06-05T14:07:40.527198+00:00,ETHUSDT,short,5737.1578,2203.46,2260.16,-147.63,0.0,1,0.05737157841065681,normal,normal,-147.63,0.0,,1.0,-1.0
47,2026-06-05T14:08:04.005836+00:00,ADAUSDT,long,9631.4211,0.5784,0.6004,366.3404,0.0,3,0.0963142107946716,normal,normal,0.0,1483.6785,0.2469,,0.2469
47,2026-06-05T14:08:04.005850+00:00,NEARUSDT,long,9631.4211,2.305,2.191,-476.3479,0.0,3,0.0963142107946716,normal,normal,-476.3479,96.1053,,1.0,-1.0
49,2026-06-05T14:08:30.058290+00:00,ADAUSDT,long,14555.0836,0.6078,0.5804,-656.1522,0.0,1,0.14555083630577964,normal,normal,-656.1522,0.0,,1.0,-1.0
50,2026-06-05T14:08:55.426665+00:00,ETHUSDT,short,5786.8384,2228.96,2219.43,24.7418,0.0,2,0.05786838361878024,normal,normal,0.0,84.2209,0.2938,,0.2938
51,2026-06-05T14:09:19.750123+00:00,ADAUSDT,long,22397.7388,0.6021,0.5761,-967.1835,0.0,1,0.22397738757631788,normal,normal,-967.1835,0.0,,1.0,-1.0
56,2026-06-05T14:10:18.393775+00:00,ADAUSDT,long,13157.3831,0.5894,0.5919,55.8084,0.0,4,0.1315738306120658,normal,normal,0.0,1020.1771,0.0547,,0.0547
58,2026-06-05T14:10:41.715042+00:00,ARBUSDT,long,6990.2681,1.354,1.3261,-144.0388,0.0,2,0.06990268055079105,normal,normal,-144.0388,172.9498,,1.0,-1.0
59,2026-06-05T14:10:53.029340+00:00,ETHUSDT,short,8865.9602,2324.54,2378.35,-205.2352,0.0,5,0.08865960214324602,normal,normal,-205.2352,357.2259,,1.0,-1.0
62,2026-06-05T14:11:28.295002+00:00,NEARUSDT,long,7984.9052,2.845,3.676,2332.322,0.0,10,0.0798490515124934,normal,normal,0.0,4086.4752,0.5707,,0.5707
64,2026-06-05T14:11:51.625188+00:00,ADAUSDT,short,7273.8294,0.6158,0.6232,-87.4088,0.0,4,0.07273829433157497,normal,normal,-87.4088,257.5016,,1.0,-1.0
64,2026-06-05T14:11:51.625203+00:00,ETHUSDT,short,7358.1769,2344.15,2352.04,-24.7663,0.0,4,0.07358176948243116,normal,normal,-24.7663,195.494,,1.0,-1.0
66,2026-06-05T14:12:14.650712+00:00,NEARUSDT,long,7057.9048,3.676,3.771,182.3996,0.0,4,0.0705790478427134,crisis,normal,-49.9199,474.239,0.3846,,0.3846
68,2026-06-05T14:12:38.107609+00:00,ARBUSDT,long,8000.772,1.3261,1.952,3776.2485,0.0,10,0.08000771997572463,crisis,normal,0.0,4089.9806,0.9233,,0.9233
69,2026-06-05T14:12:49.981360+00:00,ARBUSDT,long,9655.0699,1.952,1.7519,-989.7436,0.0,1,0.09655069930222032,crisis,normal,-989.7436,0.0,,1.0,-1.0
69,2026-06-05T14:12:49.981374+00:00,NEARUSDT,long,6155.183,3.552,3.479,-126.5001,0.0,1,0.0615518299780002,crisis,normal,-126.5001,0.0,,1.0,-1.0
73,2026-06-05T14:13:49.619796+00:00,ADAUSDT,short,5980.4028,0.6232,0.566,548.9073,0.0,9,0.05980402764425754,crisis,normal,0.0,1235.0415,0.4444,,0.4444
73,2026-06-05T14:13:49.619811+00:00,NEARUSDT,short,7607.3806,3.222,3.603,-899.5692,0.0,1,0.0760738064227692,crisis,normal,-899.5692,0.0,,1.0,-1.0
84,2026-06-05T14:15:59.187655+00:00,ADAUSDT,short,7055.5939,0.582,0.5032,955.2935,0.0,10,0.07055593881989071,crisis,normal,0.0,962.5673,0.9924,,0.9924
84,2026-06-05T14:15:59.187679+00:00,NEARUSDT,short,17944.4061,3.612,2.922,3427.9181,0.0,10,0.17944406118010933,crisis,normal,0.0,3427.9181,1.0,,1.0
87,2026-06-05T14:16:34.300305+00:00,ARBUSDT,short,11759.8851,1.6902,1.7376,-329.7944,0.0,1,0.11759885139147143,crisis,normal,-329.7944,0.0,,1.0,-1.0
89,2026-06-05T14:16:57.431782+00:00,NEARUSDT,short,18636.548,2.922,2.917,31.8901,0.0,5,0.18636548037780964,crisis,normal,0.0,1741.197,0.0183,,0.0183
100,2026-06-05T14:19:07.436101+00:00,ARBUSDT,short,10185.8652,1.885,1.8307,293.4178,0.0,7,0.10185865206002433,high_vol,normal,0.0,829.459,0.3537,,0.3537
100,2026-06-05T14:19:07.436130+00:00,ETHUSDT,short,11148.4764,2343.01,2372.64,-140.985,0.0,7,0.1114847635179027,high_vol,normal,-140.985,284.8726,,1.0,-1.0
101,2026-06-05T14:19:19.502463+00:00,NEARUSDT,short,5630.4628,2.815,2.87,-110.009,0.0,4,0.05630462801313675,high_vol,normal,-110.009,158.013,,1.0,-1.0
103,2026-06-05T14:19:43.080530+00:00,NEARUSDT,short,15702.6633,2.87,2.995,-683.9139,0.0,2,0.1570266332059251,high_vol,normal,-683.9139,0.0,,1.0,-1.0
118,2026-06-05T14:22:39.990123+00:00,ARBUSDT,short,10865.42,1.808,1.8446,-219.9526,0.0,2,0.10865419998628636,normal,normal,-219.9526,55.8896,,1.0,-1.0
