cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason,mae,mfe,win_capture,loss_capture,exit_score
2,2026-06-05T18:21:35.853607+00:00,ADAUSDT,long,15000.0,0.3031,0.293,-499.835,0.0,1,0.15,normal,normal,-499.835,0.0,,1.0,-1.0
4,2026-06-05T18:21:59.768266+00:00,ARBUSDT,long,5000.0,1.0404,0.9901,-241.7339,0.0,1,0.049999999999999996,normal,normal,-241.7339,0.0,,1.0,-1.0
5,2026-06-05T18:22:11.500298+00:00,ETHUSDT,short,15000.0,1846.99,1832.71,115.9725,0.0,2,0.15,normal,normal,0.0,375.1239,0.3092,,0.3092
7,2026-06-05T18:22:34.740972+00:00,ETHUSDT,short,10000.0,1832.71,1891.71,-321.9276,0.0,2,0.09999999999999999,normal,normal,-321.9276,0.0,,1.0,-1.0
9,2026-06-05T18:22:58.235403+00:00,NEARUSDT,long,15000.0,1.32,1.446,1431.8182,0.0,8,0.15,crisis,normal,0.0,3590.9091,0.3987,,0.3987
9,2026-06-05T18:22:58.235428+00:00,ARBUSDT,long,6666.6667,1.0598,1.0826,143.4233,0.0,4,0.06666666666666667,crisis,normal,0.0,408.8822,0.3508,,0.3508
11,2026-06-05T18:23:32.706932+00:00,ETHUSDT,short,17026.0373,1891.71,2121.32,-2066.5686,0.0,4,0.1702603726940273,crisis,normal,-2066.5686,57.9622,,1.0,-1.0
13,2026-06-05T18:23:55.896560+00:00,ADAUSDT,long,5000.0,0.3071,0.3844,1258.5477,0.0,10,0.049999999999999996,crisis,normal,0.0,1282.9697,0.981,,0.981
13,2026-06-05T18:23:55.896588+00:00,ARBUSDT,long,5000.0,1.1733,1.1373,-153.4134,0.0,1,0.049999999999999996,crisis,normal,-153.4134,0.0,,1.0,-1.0
15,2026-06-05T18:24:19.440543+00:00,NEARUSDT,long,5000.0,1.553,1.59,119.1243,0.0,3,0.049999999999999996,crisis,normal,0.0,476.4971,0.25,,0.25
17,2026-06-05T18:24:43.092310+00:00,ETHUSDT,short,15000.0,2077.72,2058.48,138.9023,0.0,5,0.15,normal,normal,0.0,709.8887,0.1957,,0.1957
38,2026-06-05T18:29:24.464821+00:00,ETHUSDT,long,8445.1275,2243.37,2232.7,-40.167,0.0,2,0.08445127454289487,normal,normal,-40.167,188.0736,,1.0,-1.0
42,2026-06-05T18:30:23.040805+00:00,ARBUSDT,short,5753.2017,1.1661,1.1558,50.8172,0.0,2,0.05753201702271549,normal,normal,0.0,132.7169,0.3829,,0.3829
43,2026-06-05T18:30:34.814618+00:00,NEARUSDT,long,16554.8725,2.149,2.24,701.0207,0.0,7,0.1655487254571051,normal,normal,0.0,2850.3038,0.2459,,0.2459
43,2026-06-05T18:30:34.814669+00:00,ETHUSDT,long,6869.5806,2232.7,2225.12,-23.3222,0.0,5,0.0686958059144047,normal,normal,-23.3222,387.7389,,1.0,-1.0
43,2026-06-05T18:30:34.814692+00:00,ADAUSDT,long,9623.3991,0.5454,0.5507,93.5167,0.0,3,0.09623399148864226,normal,normal,0.0,871.6463,0.1073,,0.1073
44,2026-06-05T18:30:46.660847+00:00,ARBUSDT,short,8057.0594,1.1558,1.2521,-671.3054,0.0,2,0.08057059358980502,normal,normal,-671.3054,422.4414,,1.0,-1.0
45,2026-06-05T18:30:58.811507+00:00,ETHUSDT,short,5730.0322,2203.46,2260.16,-147.4467,0.0,1,0.05730032155753143,normal,normal,-147.4467,0.0,,1.0,-1.0
