symbol,entry_ms,exit_ms,direction,entry_z,entry_price,exit_price,gross_ret,gross_pnl_usd,fee_usd,pnl_usd
SOLUSDT,1641675600000,1641693600000,1,1.14596511,144.44000000,143.88000000,-0.0038770424,-38.7704,24.0000,-62.7704
SOLUSDT,1644192000000,1644210000000,-1,-1.03363183,113.73000000,118.17000000,-0.0390398312,-390.3983,24.0000,-414.3983
SOLUSDT,1644307200000,1644325200000,-1,-1.04008733,114.22000000,112.59000000,0.0142707057,142.7071,24.0000,118.7071
SOLUSDT,1646193600000,1646211600000,-1,-1.07595928,104.07000000,103.82000000,0.0024022293,24.0223,24.0000,0.0223
SOLUSDT,1646222400000,1646240400000,-1,-1.10936149,104.08000000,101.76000000,0.0222905457,222.9055,24.0000,198.9055
SOLUSDT,1646265600000,1646283600000,-1,-1.11308756,100.15000000,99.04000000,0.0110833749,110.8337,24.0000,86.8337
SOLUSDT,1646319600000,1646337600000,-1,-1.29235637,95.95000000,94.63000000,0.0137571652,137.5717,24.0000,113.5717
SOLUSDT,1646352000000,1646370000000,-1,-1.15832912,92.52000000,91.66000000,0.0092952875,92.9529,24.0000,68.9529
SOLUSDT,1646420400000,1646438400000,-1,-1.08274129,88.70000000,86.15000000,0.0287485908,287.4859,24.0000,263.4859
SOLUSDT,1646438400000,1646456400000,-1,-1.05129092,86.15000000,88.15000000,-0.0232153221,-232.1532,24.0000,-256.1532
SOLUSDT,1646679600000,1646697600000,-1,-1.02462023,80.34000000,82.40000000,-0.0256410256,-256.4103,24.0000,-280.4103
SOLUSDT,1646802000000,1646820000000,-1,-1.02875881,87.31000000,88.68000000,-0.0156912152,-156.9122,24.0000,-180.9122
SOLUSDT,1646830800000,1646848800000,-1,-1.00661423,86.86000000,87.03000000,-0.0019571725,-19.5717,24.0000,-43.5717
SOLUSDT,1646848800000,1646866800000,-1,-1.03302044,87.03000000,88.06000000,-0.0118349994,-118.3500,24.0000,-142.3500
SOLUSDT,1649854800000,1649872800000,1,1.15744098,103.98000000,105.72000000,0.0167339873,167.3399,24.0000,143.3399
SOLUSDT,1652338800000,1652356800000,1,1.04834672,44.70000000,44.94000000,0.0053691275,53.6913,24.0000,29.6913
SOLUSDT,1657206000000,1657224000000,-1,-1.06363882,38.29000000,38.51000000,-0.0057456255,-57.4563,24.0000,-81.4563
SOLUSDT,1657224000000,1657242000000,-1,-1.21751482,38.51000000,39.03000000,-0.0135029862,-135.0299,24.0000,-159.0299
SOLUSDT,1657245600000,1657263600000,-1,-1.05089569,38.44000000,37.51000000,0.0241935484,241.9355,24.0000,217.9355
SOLUSDT,1657267200000,1657285200000,-1,-1.02222159,36.92000000,36.60000000,0.0086673889,86.6739,24.0000,62.6739
SOLUSDT,1657490400000,1657508400000,-1,-1.05292161,36.78000000,35.81000000,0.0263730288,263.7303,24.0000,239.7303
SOLUSDT,1657544400000,1657562400000,-1,-1.00607594,34.79000000,35.44000000,-0.0186835297,-186.8353,24.0000,-210.8353
SOLUSDT,1657576800000,1657594800000,-1,-1.04499843,33.53000000,33.63000000,-0.0029824038,-29.8240,24.0000,-53.8240
SOLUSDT,1657713600000,1657731600000,-1,-1.00907121,32.40000000,33.92000000,-0.0469135802,-469.1358,24.0000,-493.1358
SOLUSDT,1657850400000,1657868400000,-1,-1.04811043,37.08000000,37.46000000,-0.0102481122,-102.4811,24.0000,-126.4811
SOLUSDT,1657900800000,1657918800000,-1,-1.01093140,37.30000000,37.97000000,-0.0179624665,-179.6247,24.0000,-203.6247
SOLUSDT,1658300400000,1658318400000,-1,-1.08265607,44.41000000,45.16000000,-0.0168880883,-168.8809,24.0000,-192.8809
SOLUSDT,1658332800000,1658350800000,-1,-1.06533630,43.88000000,43.41000000,0.0107110301,107.1103,24.0000,83.1103
SOLUSDT,1658502000000,1658520000000,-1,-1.01356687,41.69000000,40.52000000,0.0280642840,280.6428,24.0000,256.6428
SOLUSDT,1664053200000,1664071200000,-1,-1.01344720,33.47000000,33.56000000,-0.0026889752,-26.8898,24.0000,-50.8898
SOLUSDT,1664096400000,1664114400000,-1,-1.15233652,33.65000000,33.06000000,0.0175334324,175.3343,24.0000,151.3343
SOLUSDT,1664114400000,1664132400000,-1,-1.16609417,33.06000000,32.73000000,0.0099818512,99.8185,24.0000,75.8185
SOLUSDT,1664182800000,1664200800000,-1,-1.06232424,32.78000000,33.13000000,-0.0106772422,-106.7724,24.0000,-130.7724
SOLUSDT,1664222400000,1664240400000,-1,-1.00188782,33.38000000,34.70000000,-0.0395446375,-395.4464,24.0000,-419.4464
SOLUSDT,1664290800000,1664308800000,-1,-1.13541631,34.37000000,32.65000000,0.0500436427,500.4364,24.0000,476.4364
SOLUSDT,1668405600000,1668423600000,1,1.27494312,14.57000000,14.22000000,-0.0240219629,-240.2196,24.0000,-264.2196
SOLUSDT,1676966400000,1676984400000,-1,-1.20992211,25.27000000,24.94000000,0.0130589632,130.5896,24.0000,106.5896
SOLUSDT,1677013200000,1677031200000,-1,-1.03765984,24.78000000,24.40000000,0.0153349475,153.3495,24.0000,129.3495
SOLUSDT,1677045600000,1677063600000,-1,-1.04275644,23.54000000,23.56000000,-0.0008496177,-8.4962,24.0000,-32.4962
SOLUSDT,1677150000000,1677168000000,-1,-1.07800823,23.76000000,23.76000000,-0.0000000000,-0.0000,24.0000,-24.0000
SOLUSDT,1681264800000,1681282800000,-1,-1.04290025,22.45000000,23.69000000,-0.0552338530,-552.3385,24.0000,-576.3385
SOLUSDT,1683691200000,1683709200000,1,1.02794277,20.77000000,20.61000000,-0.0077034184,-77.0342,24.0000,-101.0342
SOLUSDT,1683720000000,1683738000000,1,1.30178424,21.14000000,20.74000000,-0.0189214759,-189.2148,24.0000,-213.2148
SOLUSDT,1683745200000,1683763200000,1,1.12868803,20.96000000,20.67000000,-0.0138358779,-138.3588,24.0000,-162.3588
SOLUSDT,1683828000000,1683846000000,1,1.06324977,20.13000000,20.17000000,0.0019870840,19.8708,24.0000,-4.1292
SOLUSDT,1684897200000,1684915200000,-1,-1.16151900,19.56000000,19.50000000,0.0030674847,30.6748,24.0000,6.6748
SOLUSDT,1684933200000,1684951200000,-1,-1.19204798,19.11000000,19.15000000,-0.0020931450,-20.9314,24.0000,-44.9314
SOLUSDT,1685239200000,1685257200000,-1,-1.00043977,20.40000000,20.49000000,-0.0044117647,-44.1176,24.0000,-68.1176
SOLUSDT,1685372400000,1685390400000,-1,-1.09144924,20.48000000,20.58000000,-0.0048828125,-48.8281,24.0000,-72.8281
SOLUSDT,1685505600000,1685523600000,-1,-1.16391724,20.75000000,20.71000000,0.0019277108,19.2771,24.0000,-4.7229
SOLUSDT,1685584800000,1685602800000,-1,-1.07041304,20.49000000,20.61000000,-0.0058565154,-58.5652,24.0000,-82.5652
SOLUSDT,1685977200000,1685995200000,-1,-1.06330268,19.93000000,20.03000000,-0.0050175615,-50.1756,24.0000,-74.1756
SOLUSDT,1686499200000,1686517200000,1,1.11475462,15.41000000,15.76000000,0.0227125243,227.1252,24.0000,203.1252
SOLUSDT,1686560400000,1686578400000,1,1.03039772,15.49000000,15.28000000,-0.0135571336,-135.5713,24.0000,-159.5713
SOLUSDT,1686924000000,1686942000000,1,1.03853007,14.70000000,15.28000000,0.0394557823,394.5578,24.0000,370.5578
SOLUSDT,1686978000000,1686996000000,1,1.03672018,16.06000000,15.85000000,-0.0130759651,-130.7597,24.0000,-154.7597
SOLUSDT,1692424800000,1692442800000,1,1.27811224,21.62000000,21.65000000,0.0013876041,13.8760,24.0000,-10.1240
SOLUSDT,1692457200000,1692475200000,1,1.38608739,21.97000000,21.76000000,-0.0095584888,-95.5849,24.0000,-119.5849
SOLUSDT,1692622800000,1692640800000,1,1.03648977,21.37000000,21.03000000,-0.0159101544,-159.1015,24.0000,-183.1015
SOLUSDT,1697958000000,1697976000000,-1,-1.44477570,28.80000000,28.59000000,0.0072916667,72.9167,24.0000,48.9167
SOLUSDT,1698012000000,1698030000000,-1,-1.04956500,29.26000000,30.66000000,-0.0478468900,-478.4689,24.0000,-502.4689
SOLUSDT,1698051600000,1698069600000,-1,-1.02217497,29.57000000,29.24000000,0.0111599594,111.5996,24.0000,87.5996
SOLUSDT,1698238800000,1698256800000,-1,-1.13408863,32.74000000,33.02000000,-0.0085522297,-85.5223,24.0000,-109.5223
SOLUSDT,1698303600000,1698321600000,-1,-1.03441004,32.82000000,32.25000000,0.0173674589,173.6746,24.0000,149.6746
SOLUSDT,1698328800000,1698346800000,-1,-1.13272640,31.71000000,31.55000000,0.0050457269,50.4573,24.0000,26.4573
SOLUSDT,1698361200000,1698379200000,-1,-1.07145220,32.77000000,32.41000000,0.0109856576,109.8566,24.0000,85.8566
SOLUSDT,1698411600000,1698429600000,-1,-1.07367743,32.58000000,31.65000000,0.0285451197,285.4512,24.0000,261.4512
SOLUSDT,1698429600000,1698447600000,-1,-1.01735321,31.65000000,31.73000000,-0.0025276461,-25.2765,24.0000,-49.2765
SOLUSDT,1698494400000,1698512400000,-1,-1.14877223,31.76000000,31.84000000,-0.0025188917,-25.1889,24.0000,-49.1889
SOLUSDT,1705248000000,1705266000000,1,1.00237814,101.56000000,97.26000000,-0.0423395037,-423.3950,24.0000,-447.3950
SOLUSDT,1705388400000,1705406400000,1,1.14158524,97.73000000,97.11000000,-0.0063440090,-63.4401,24.0000,-87.4401
SOLUSDT,1705417200000,1705435200000,1,1.01304488,97.25000000,97.15000000,-0.0010282776,-10.2828,24.0000,-34.2828
SOLUSDT,1705438800000,1705456800000,1,1.01607568,98.36000000,100.65000000,0.0232818219,232.8182,24.0000,208.8182
SOLUSDT,1707703200000,1707721200000,-1,-1.02366044,105.86000000,105.93000000,-0.0006612507,-6.6125,24.0000,-30.6125
SOLUSDT,1707832800000,1707850800000,-1,-1.04740015,109.90000000,111.51000000,-0.0146496815,-146.4968,24.0000,-170.4968
SOLUSDT,1707897600000,1707915600000,-1,-1.27415802,114.74000000,117.99000000,-0.0283249085,-283.2491,24.0000,-307.2491
SOLUSDT,1707915600000,1707933600000,-1,-1.21365684,117.99000000,115.64000000,0.0199169421,199.1694,24.0000,175.1694
SOLUSDT,1707955200000,1707973200000,-1,-1.28568170,117.97000000,115.38000000,0.0219547343,219.5473,24.0000,195.5473
SOLUSDT,1707998400000,1708016400000,-1,-1.42535479,116.01000000,113.34000000,0.0230152573,230.1526,24.0000,206.1526
SOLUSDT,1708030800000,1708048800000,-1,-1.55738254,111.99000000,114.03000000,-0.0182159121,-182.1591,24.0000,-206.1591
SOLUSDT,1708066800000,1708084800000,-1,-1.11588106,111.48000000,113.04000000,-0.0139935414,-139.9354,24.0000,-163.9354
SOLUSDT,1708092000000,1708110000000,-1,-1.29424946,109.77000000,108.65000000,0.0102031520,102.0315,24.0000,78.0315
SOLUSDT,1708156800000,1708174800000,-1,-1.42906792,109.31000000,106.89000000,0.0221388711,221.3887,24.0000,197.3887
SOLUSDT,1708174800000,1708192800000,-1,-1.58344988,106.89000000,107.49000000,-0.0056132473,-56.1325,24.0000,-80.1325
SOLUSDT,1708203600000,1708221600000,-1,-1.09365141,109.27000000,107.70000000,0.0143680791,143.6808,24.0000,119.6808
SOLUSDT,1708239600000,1708257600000,-1,-1.09979169,109.23000000,110.82000000,-0.0145564405,-145.5644,24.0000,-169.5644
SOLUSDT,1708257600000,1708275600000,-1,-1.39376390,110.82000000,113.23000000,-0.0217469771,-217.4698,24.0000,-241.4698
SOLUSDT,1708275600000,1708293600000,-1,-1.14685976,113.23000000,112.80000000,0.0037975801,37.9758,24.0000,13.9758
SOLUSDT,1708293600000,1708311600000,-1,-1.31732649,112.80000000,111.68000000,0.0099290780,99.2908,24.0000,75.2908
SOLUSDT,1708344000000,1708362000000,-1,-1.10661538,111.89000000,112.60000000,-0.0063455179,-63.4552,24.0000,-87.4552
SOLUSDT,1708365600000,1708383600000,-1,-1.07248871,111.96000000,111.53000000,0.0038406574,38.4066,24.0000,14.4066
SOLUSDT,1708390800000,1708408800000,-1,-1.36797551,109.77000000,110.80000000,-0.0093832559,-93.8326,24.0000,-117.8326
SOLUSDT,1708412400000,1708430400000,-1,-1.42655733,109.42000000,109.08000000,0.0031072930,31.0729,24.0000,7.0729
SOLUSDT,1708430400000,1708448400000,-1,-1.39940028,109.08000000,105.43000000,0.0334616795,334.6168,24.0000,310.6168
SOLUSDT,1708448400000,1708466400000,-1,-1.23719182,105.43000000,108.85000000,-0.0324385848,-324.3858,24.0000,-348.3858
SOLUSDT,1708498800000,1708516800000,-1,-1.20743274,104.85000000,103.72000000,0.0107773009,107.7730,24.0000,83.7730
SOLUSDT,1708524000000,1708542000000,-1,-1.25614453,101.83000000,102.04000000,-0.0020622606,-20.6226,24.0000,-44.6226
SOLUSDT,1708552800000,1708570800000,-1,-1.09962827,104.62000000,103.58000000,0.0099407379,99.4074,24.0000,75.4074
SOLUSDT,1708873200000,1708891200000,-1,-1.00595244,102.78000000,103.64000000,-0.0083673867,-83.6739,24.0000,-107.6739
SOLUSDT,1708909200000,1708927200000,-1,-1.04115755,103.42000000,104.15000000,-0.0070585960,-70.5860,24.0000,-94.5860
SOLUSDT,1708938000000,1708956000000,-1,-1.28607532,101.48000000,103.51000000,-0.0200039417,-200.0394,24.0000,-224.0394
SOLUSDT,1709002800000,1709020800000,-1,-1.06552699,110.17000000,111.04000000,-0.0078968866,-78.9689,24.0000,-102.9689
SOLUSDT,1709035200000,1709053200000,-1,-1.11026667,110.01000000,107.19000000,0.0256340333,256.3403,24.0000,232.3403
SOLUSDT,1709118000000,1709136000000,-1,-1.14438856,111.39000000,116.08000000,-0.0421043182,-421.0432,24.0000,-445.0432
SOLUSDT,1709168400000,1709186400000,-1,-1.00388055,123.62000000,123.45000000,0.0013751820,13.7518,24.0000,-10.2482
SOLUSDT,1709197200000,1709215200000,-1,-1.20410359,129.00000000,131.55000000,-0.0197674419,-197.6744,24.0000,-221.6744
SOLUSDT,1709215200000,1709233200000,-1,-1.11920844,131.55000000,130.19000000,0.0103382744,103.3827,24.0000,79.3827
SOLUSDT,1709254800000,1709272800000,-1,-1.19421108,135.71000000,133.47000000,0.0165057844,165.0578,24.0000,141.0578
SOLUSDT,1709305200000,1709323200000,-1,-1.37413966,131.18000000,131.60000000,-0.0032017076,-32.0171,24.0000,-56.0171
SOLUSDT,1709449200000,1709467200000,-1,-1.07773392,126.76000000,128.27000000,-0.0119122752,-119.1228,24.0000,-143.1228
SOLUSDT,1709546400000,1709564400000,-1,-1.01153156,131.58000000,131.77000000,-0.0014439884,-14.4399,24.0000,-38.4399
SOLUSDT,1709604000000,1709622000000,-1,-1.00459877,129.93000000,129.48000000,0.0034634034,34.6340,24.0000,10.6340
SOLUSDT,1709654400000,1709672400000,-1,-1.18062144,133.10000000,121.10000000,0.0901577761,901.5778,24.0000,877.5778
SOLUSDT,1709730000000,1709748000000,-1,-1.00272125,127.95000000,130.19000000,-0.0175068386,-175.0684,24.0000,-199.0684
SOLUSDT,1714737600000,1714755600000,1,1.10939739,141.96000000,142.19000000,0.0016201747,16.2017,24.0000,-7.7983
SOLUSDT,1714816800000,1714834800000,1,1.00121871,148.86000000,146.18000000,-0.0180034932,-180.0349,24.0000,-204.0349
SOLUSDT,1717603200000,1717621200000,-1,-1.00910172,174.07000000,173.14000000,0.0053426782,53.4268,24.0000,29.4268
SOLUSDT,1717689600000,1717707600000,-1,-1.16015808,171.60000000,170.22000000,0.0080419580,80.4196,24.0000,56.4196
SOLUSDT,1717779600000,1717797600000,-1,-1.15461045,165.36000000,163.09000000,0.0137276246,137.2762,24.0000,113.2762
SOLUSDT,1720256400000,1720274400000,1,1.07151894,139.91000000,139.82000000,-0.0006432707,-6.4327,24.0000,-30.4327
SOLUSDT,1720278000000,1720296000000,1,1.05639725,141.88000000,142.53000000,0.0045813363,45.8134,24.0000,21.8134
