symbol,entry_ms,exit_ms,direction,entry_z,entry_price,exit_price,gross_ret,gross_pnl_usd,fee_usd,pnl_usd
SOLUSDT,1641657600000,1641675600000,1,1.03144184,140.71000000,144.44000000,0.0265084216,265.0842,24.0000,241.0842
SOLUSDT,1642982400000,1643000400000,1,1.04496256,92.85000000,88.61000000,-0.0456650512,-456.6505,24.0000,-480.6505
SOLUSDT,1644188400000,1644206400000,-1,-1.09280685,115.28000000,118.98000000,-0.0320957668,-320.9577,24.0000,-344.9577
SOLUSDT,1644242400000,1644260400000,-1,-1.02419773,120.89000000,120.03000000,0.0071139052,71.1391,24.0000,47.1391
SOLUSDT,1644350400000,1644368400000,-1,-1.02768125,113.26000000,113.30000000,-0.0003531697,-3.5317,24.0000,-27.5317
SOLUSDT,1646190000000,1646208000000,-1,-1.46885376,104.24000000,103.35000000,0.0085379893,85.3799,24.0000,61.3799
SOLUSDT,1646208000000,1646226000000,-1,-1.11062773,103.35000000,100.96000000,0.0231253024,231.2530,24.0000,207.2530
SOLUSDT,1646229600000,1646247600000,-1,-1.27332200,104.31000000,100.99000000,0.0318282044,318.2820,24.0000,294.2820
SOLUSDT,1646265600000,1646283600000,-1,-1.01912814,100.15000000,99.04000000,0.0110833749,110.8337,24.0000,86.8337
SOLUSDT,1646323200000,1646341200000,-1,-1.04837411,95.46000000,95.13000000,0.0034569453,34.5695,24.0000,10.5695
SOLUSDT,1646794800000,1646812800000,-1,-1.33277611,88.13000000,89.04000000,-0.0103256553,-103.2566,24.0000,-127.2566
SOLUSDT,1652270400000,1652288400000,1,1.15673412,49.57000000,52.09000000,0.0508371999,508.3720,24.0000,484.3720
SOLUSDT,1657198800000,1657216800000,-1,-1.26022577,37.68000000,38.59000000,-0.0241507431,-241.5074,24.0000,-265.5074
SOLUSDT,1657216800000,1657234800000,-1,-1.09423091,38.59000000,38.46000000,0.0033687484,33.6875,24.0000,9.6875
SOLUSDT,1657288800000,1657306800000,-1,-1.16166303,37.79000000,38.96000000,-0.0309605716,-309.6057,24.0000,-333.6057
SOLUSDT,1657468800000,1657486800000,-1,-1.07762976,37.07000000,37.20000000,-0.0035068789,-35.0688,24.0000,-59.0688
SOLUSDT,1657868400000,1657886400000,-1,-1.02662336,37.46000000,38.12000000,-0.0176187934,-176.1879,24.0000,-200.1879
SOLUSDT,1657911600000,1657929600000,-1,-1.00690839,38.82000000,36.85000000,0.0507470376,507.4704,24.0000,483.4704
SOLUSDT,1658185200000,1658203200000,-1,-1.02900573,43.52000000,43.28000000,0.0055147059,55.1471,24.0000,31.1471
SOLUSDT,1658350800000,1658368800000,-1,-1.03718753,43.41000000,40.04000000,0.0776318821,776.3188,24.0000,752.3188
SOLUSDT,1664125200000,1664143200000,-1,-1.18284274,33.04000000,32.29000000,0.0226997579,226.9976,24.0000,202.9976
SOLUSDT,1664143200000,1664161200000,-1,-1.16095293,32.29000000,32.52000000,-0.0071229483,-71.2295,24.0000,-95.2295
SOLUSDT,1664175600000,1664193600000,-1,-1.17710199,32.47000000,32.87000000,-0.0123190638,-123.1906,24.0000,-147.1906
SOLUSDT,1664193600000,1664211600000,-1,-1.01602609,32.87000000,33.08000000,-0.0063888044,-63.8880,24.0000,-87.8880
SOLUSDT,1664215200000,1664233200000,-1,-1.08535832,33.65000000,33.88000000,-0.0068350669,-68.3507,24.0000,-92.3507
SOLUSDT,1664233200000,1664251200000,-1,-1.02172763,33.88000000,34.73000000,-0.0250885478,-250.8855,24.0000,-274.8855
SOLUSDT,1664546400000,1664564400000,-1,-1.07761942,35.06000000,33.72000000,0.0382201940,382.2019,24.0000,358.2019
SOLUSDT,1668175200000,1668193200000,1,1.18199701,16.28000000,16.22000000,-0.0036855037,-36.8550,24.0000,-60.8550
SOLUSDT,1668319200000,1668337200000,1,1.03949220,13.72000000,13.78000000,0.0043731778,43.7318,24.0000,19.7318
SOLUSDT,1671858000000,1671876000000,1,1.05646377,11.37000000,11.30000000,-0.0061565523,-61.5655,24.0000,-85.5655
SOLUSDT,1672203600000,1672221600000,1,1.08601397,9.94000000,9.97000000,0.0030181087,30.1811,24.0000,6.1811
SOLUSDT,1676988000000,1677006000000,-1,-1.02453516,25.20000000,25.25000000,-0.0019841270,-19.8413,24.0000,-43.8413
SOLUSDT,1677056400000,1677074400000,-1,-1.00966978,23.62000000,23.54000000,0.0033869602,33.8696,24.0000,9.8696
SOLUSDT,1677117600000,1677135600000,-1,-1.00733321,24.61000000,24.50000000,0.0044697278,44.6973,24.0000,20.6973
SOLUSDT,1681282800000,1681300800000,-1,-1.01869861,23.69000000,24.00000000,-0.0130856902,-130.8569,24.0000,-154.8569
