cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason
6,2026-04-01T07:33:50.688848+00:00,MATICUSDT,short,10000.0,0.3794,0.3794,-0.0,0.0,5,0.09999999999999999,normal,normal
6,2026-04-01T07:33:50.688882+00:00,ADAUSDT,short,10000.0,0.2518,0.2515,11.9142,0.0,5,0.09999999999999999,normal,normal
7,2026-04-01T07:34:09.122972+00:00,DOTUSDT,short,10000.0,1.292,1.29,15.4799,0.0,6,0.09999999999999999,normal,normal
10,2026-04-01T07:34:56.302014+00:00,MATICUSDT,short,10000.0,0.3794,0.3794,-0.0,0.0,3,0.09999999999999999,normal,normal
11,2026-04-01T07:35:09.624158+00:00,ADAUSDT,short,10000.0,0.2515,0.2513,7.9523,0.0,4,0.09999999999999999,normal,normal
12,2026-04-01T07:35:25.249333+00:00,DOTUSDT,short,10000.0,1.29,1.291,-7.7519,0.0,5,0.09999999999999999,crisis,normal
15,2026-04-01T07:36:08.268843+00:00,ADAUSDT,short,10000.0,0.2513,0.2512,3.9793,0.0,4,0.09999999999999999,crisis,normal
16,2026-04-01T07:36:21.886182+00:00,DOTUSDT,short,10000.0,1.291,1.291,-0.0,0.0,3,0.09999999999999999,crisis,normal
17,2026-04-01T07:36:38.079636+00:00,MATICUSDT,short,10000.0,0.3794,0.3794,-0.0,0.0,6,0.09999999999999999,normal,normal
18,2026-04-01T07:36:51.996910+00:00,ADAUSDT,short,8333.3333,0.2512,0.2511,3.3174,0.0,3,0.08333333333333333,normal,normal
22,2026-04-01T07:37:55.810541+00:00,MATICUSDT,short,8333.3333,0.3794,0.3794,-0.0,0.0,5,0.08333333333333333,high_vol,normal
24,2026-04-01T07:38:23.306395+00:00,DOTUSDT,short,8333.3333,1.29,1.291,-6.4599,0.0,7,0.08333333333333333,high_vol,normal
25,2026-04-01T07:38:36.248926+00:00,ADAUSDT,short,8333.3333,0.2511,0.2514,-9.9562,0.0,6,0.08333333333333333,high_vol,normal
30,2026-04-01T07:39:48.777100+00:00,MATICUSDT,short,8333.3333,0.3794,0.3794,-0.0,0.0,7,0.08333333333333333,normal,normal
32,2026-04-01T07:40:18.361950+00:00,DOTUSDT,short,8333.3333,1.291,1.29,6.4549,0.0,7,0.08333333333333333,normal,normal
32,2026-04-01T07:40:18.361988+00:00,ADAUSDT,short,8333.3333,0.2514,0.2512,6.6295,0.0,7,0.08333333333333333,normal,normal
37,2026-04-01T07:41:27.528051+00:00,MATICUSDT,short,8333.3333,0.3794,0.3794,-0.0,0.0,6,0.08333333333333333,normal,normal
40,2026-04-01T07:42:11.889876+00:00,MATICUSDT,short,8333.3333,0.3794,0.3794,-0.0,0.0,3,0.08333333333333333,normal,normal
41,2026-04-01T07:42:27.924097+00:00,ADAUSDT,short,8333.3333,0.2513,0.2512,3.3161,0.0,4,0.08333333333333333,crisis,normal
44,2026-04-01T07:43:10.795614+00:00,DOTUSDT,short,8333.3333,1.29,1.291,-6.4599,0.0,7,0.08333333333333333,crisis,normal
46,2026-04-01T07:43:38.436819+00:00,ADAUSDT,short,8333.3333,0.2512,0.2509,9.9522,0.0,5,0.08333333333333333,crisis,normal
48,2026-04-01T07:44:06.917897+00:00,MATICUSDT,short,8333.3333,0.3794,0.3794,-0.0,0.0,7,0.08333333333333333,crisis,normal
