cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime,sit_out_reason
5,2026-04-03T03:52:44.398634+00:00,LINKUSDT,long,8181.8182,8.66,8.65,-9.4478,0.0,4,0.0818181818181818,normal,normal
6,2026-04-03T03:52:56.043446+00:00,MATICUSDT,short,5454.5455,0.3794,0.3794,-0.0,0.0,5,0.054545454545454536,normal,normal
7,2026-04-03T03:53:07.638637+00:00,DOTUSDT,short,5454.5455,1.237,1.238,-4.4095,0.0,6,0.054545454545454536,normal,normal
8,2026-04-03T03:53:19.214226+00:00,ETHUSDT,long,8181.8182,2053.44,2053.85,1.6336,0.0,7,0.0818181818181818,normal,normal
9,2026-04-03T03:53:30.824795+00:00,LINKUSDT,long,8181.8182,8.65,8.65,0.0,0.0,4,0.0818181818181818,normal,normal
11,2026-04-03T03:54:02.163703+00:00,MATICUSDT,short,5454.5455,0.3794,0.3794,-0.0,0.0,4,0.054545454545454536,crisis,normal
14,2026-04-03T03:54:36.947115+00:00,DOTUSDT,short,5454.5455,1.238,1.237,4.4059,0.0,7,0.054545454545454536,crisis,normal
14,2026-04-03T03:54:36.947160+00:00,LINKUSDT,long,8181.8182,8.65,8.66,9.4587,0.0,5,0.0818181818181818,crisis,normal
14,2026-04-03T03:54:36.947179+00:00,MATICUSDT,short,7500.0,0.3794,0.3794,-0.0,0.0,3,0.075,crisis,normal
15,2026-04-03T03:54:53.348830+00:00,ETHUSDT,long,8181.8182,2053.85,2053.63,-0.8764,0.0,6,0.0818181818181818,normal,normal
18,2026-04-03T03:55:28.355574+00:00,LINKUSDT,long,6250.0,8.66,8.66,0.0,0.0,3,0.0625,normal,normal
20,2026-04-03T03:55:56.182273+00:00,ETHUSDT,long,6250.0,2053.63,2053.17,-1.4,0.0,5,0.0625,high_vol,normal
21,2026-04-03T03:56:07.847371+00:00,DOTUSDT,short,6250.0,1.237,1.236,5.0525,0.0,6,0.0625,high_vol,normal
22,2026-04-03T03:56:19.451431+00:00,MATICUSDT,short,6250.0,0.3794,0.3794,-0.0,0.0,7,0.0625,high_vol,normal
26,2026-04-03T03:57:11.638218+00:00,LINKUSDT,long,6000.0,8.66,8.65,-6.9284,0.0,7,0.060000000000000005,crisis,normal
28,2026-04-03T03:57:34.925585+00:00,ETHUSDT,long,6994.4273,2053.17,2053.18,0.0341,0.0,7,0.069944272861555,crisis,normal
28,2026-04-03T03:57:34.925616+00:00,MATICUSDT,short,6075.0777,0.3794,0.3794,-0.0,0.0,3,0.06075077743225233,crisis,normal
30,2026-04-03T03:58:02.909628+00:00,LINKUSDT,long,6974.3311,8.65,8.66,8.0628,0.0,3,0.06974331076724694,crisis,normal
31,2026-04-03T03:58:14.537966+00:00,DOTUSDT,short,6075.0777,1.237,1.237,-0.0,0.0,6,0.06075077743225233,crisis,normal
32,2026-04-03T03:58:26.144065+00:00,ETHUSDT,long,6402.2584,2053.18,2054.83,5.1451,0.0,3,0.06402258422806367,crisis,normal
34,2026-04-03T03:58:49.738054+00:00,LINKUSDT,long,6423.9195,8.66,8.66,0.0,0.0,3,0.06423919478981645,crisis,normal
36,2026-04-03T03:59:17.442140+00:00,MATICUSDT,short,6097.7416,0.3794,0.3794,-0.0,0.0,7,0.060977415771936314,crisis,normal
36,2026-04-03T03:59:17.442199+00:00,DOTUSDT,short,6076.0805,1.237,1.237,-0.0,0.0,5,0.06076080521018354,crisis,normal
40,2026-04-03T04:00:11.648776+00:00,ETHUSDT,long,6421.0429,2054.83,2054.14,-2.1561,0.0,7,0.06421042899408284,normal,normal
40,2026-04-03T04:00:11.648796+00:00,LINKUSDT,long,6950.817,8.65,8.66,8.0356,0.0,3,0.06950817032922806,normal,normal
44,2026-04-03T04:00:59.114183+00:00,ETHUSDT,long,6923.4021,2054.14,2054.14,0.0,0.0,3,0.06923402085374199,normal,normal
46,2026-04-03T04:01:28.363545+00:00,LINKUSDT,long,6923.4021,8.66,8.66,0.0,0.0,5,0.06923402085374199,normal,normal
48,2026-04-03T04:01:54.892583+00:00,ETHUSDT,long,6906.9412,2054.95,2054.95,0.0,0.0,3,0.06906941163839382,normal,normal
52,2026-04-03T04:02:57.264100+00:00,LINKUSDT,long,6898.6798,8.66,8.66,0.0,0.0,5,0.06898679832564131,normal,normal
53,2026-04-03T04:03:10.592841+00:00,DOTUSDT,short,6195.058,1.236,1.236,-0.0,0.0,4,0.061950579892147445,normal,normal
55,2026-04-03T04:03:43.073919+00:00,MATICUSDT,short,6195.058,0.3794,0.3794,-0.0,0.0,6,0.061950579892147445,crisis,normal
56,2026-04-03T04:03:55.243456+00:00,ETHUSDT,long,6304.942,2054.95,2054.54,-1.258,0.0,7,0.06304942010785256,crisis,normal
