snapshot_cycle,timestamp,symbol,side,size,entry_price,exit_price,pnl,slippage,hold_cycles,conviction,regime
10,2026-03-26T06:49:54.498949+00:00,ETHUSDT,long,9500.0,2121.8,2121.8,0.0,0.0,0,,sideways
10,2026-03-26T06:49:54.498983+00:00,BTCUSDT,short,5750.0,70081.99,70081.99,-0.0,0.0,0,,sideways
10,2026-03-26T06:49:54.499009+00:00,DOTUSDT,short,5750.0,1.324,1.324,-0.0,0.0,0,,sideways
10,2026-03-26T06:49:54.499022+00:00,XRPUSDT,short,5750.0,1.3869,1.3869,-0.0,0.0,0,,sideways
10,2026-03-26T06:49:54.499034+00:00,AVAXUSDT,short,5750.0,9.44,9.44,-0.0,0.0,0,,sideways
10,2026-03-26T06:49:54.499045+00:00,MATICUSDT,short,5750.0,0.3794,0.3794,-0.0,0.0,0,,sideways
10,2026-03-26T06:49:54.499061+00:00,SOLUSDT,long,9500.0,89.08,89.08,0.0,0.0,0,,sideways
10,2026-03-26T06:49:54.499079+00:00,BNBUSDT,short,5750.0,634.94,634.94,-0.0,0.0,0,,sideways
10,2026-03-26T06:49:54.499090+00:00,ADAUSDT,short,5750.0,0.2615,0.2615,-0.0,0.0,0,,sideways
10,2026-03-26T06:49:54.499101+00:00,LINKUSDT,short,5750.0,9.09,9.09,-0.0,0.0,0,,sideways
10,2026-03-26T06:49:54.499111+00:00,BTCUSDT,short,5750.0,70081.99,70081.99,-0.0,0.0,0,,sideways
20,2026-03-26T06:50:18.807799+00:00,ETHUSDT,long,9500.0,2121.8,2121.8,0.0,0.0,0,,sideways
20,2026-03-26T06:50:18.807821+00:00,XRPUSDT,short,5750.0,1.3869,1.3869,-0.0,0.0,0,,sideways
20,2026-03-26T06:50:18.807829+00:00,DOTUSDT,short,5750.0,1.324,1.324,-0.0,0.0,0,,sideways
20,2026-03-26T06:50:18.807835+00:00,AVAXUSDT,short,5750.0,9.44,9.44,-0.0,0.0,0,,sideways
20,2026-03-26T06:50:18.807841+00:00,MATICUSDT,short,5750.0,0.3794,0.3794,-0.0,0.0,0,,sideways
20,2026-03-26T06:50:18.807848+00:00,ADAUSDT,short,15000.0,0.2615,0.2615,-0.0,0.0,0,,sideways
20,2026-03-26T06:50:18.807853+00:00,LINKUSDT,short,15000.0,9.09,9.09,-0.0,0.0,0,,sideways
