regime,symbol,direction,entry_date,exit_date,entry_price,exit_price,pnl_pct,duration_days,mae_pct,mfe_pct
BULL,BTCUSDT,short,2024-01-10,2024-01-13,46110.0,42782.74,0.072159,3,-0.062014,0.099978
BULL,BTCUSDT,long,2024-01-19,2024-01-30,41327.51,43302.71,0.047794,11,-0.067086,0.048527
BULL,BTCUSDT,short,2024-02-08,2024-03-15,44349.6,69499.85,-0.567091,36,-0.663532,0.000417
BULL,ETHUSDT,short,2024-01-11,2024-01-23,2584.37,2314.19,0.104544,12,-0.051444,0.108645
BULL,ETHUSDT,long,2024-01-24,2024-02-07,2242.6,2372.63,0.057982,14,-0.031793,0.066797
BULL,ETHUSDT,short,2024-02-08,2024-03-15,2425.09,3742.19,-0.543114,36,-0.688152,0.005806
BULL,SOLUSDT,short,2024-01-18,2024-01-22,102.1,91.08,0.107933,4,-0.014594,0.147502
BULL,SOLUSDT,short,2024-01-29,2024-02-23,95.99,101.75,-0.060006,25,-0.236483,0.032399
BULL,SOLUSDT,short,2024-02-29,2024-03-15,119.03,183.95,-0.545409,15,-0.587667,0.117869
BEAR,ETHUSDT,short,2022-08-29,2022-09-26,1426.76,1294.62,0.092615,28,-0.25389,0.144916
BEAR,SOLUSDT,long,2022-11-10,2022-11-15,14.08,14.32,0.017045,5,-0.142756,0.340199
SIDEWAYS,BTCUSDT,long,2024-09-07,2024-09-14,53962.97,60497.99,0.121102,7,-0.006189,0.123456
SIDEWAYS,BTCUSDT,short,2024-09-21,2024-10-03,63201.05,60649.27,0.040376,12,-0.052166,0.050649
SIDEWAYS,ETHUSDT,long,2024-09-06,2024-09-20,2368.81,2465.21,0.040696,14,-0.092139,0.05325
SIDEWAYS,ETHUSDT,short,2024-09-24,2024-10-02,2646.98,2447.78,0.075256,8,-0.030835,0.088017
SIDEWAYS,SOLUSDT,long,2024-09-04,2024-09-20,127.54,142.88,0.120276,16,-0.059119,0.129371
SIDEWAYS,SOLUSDT,short,2024-09-22,2024-10-04,149.42,136.81,0.084393,12,-0.08272,0.109155
